A	'ə	ə
borsa	b 'o r s ə	b 'ɔ r s ə
borses	b 'o r s ə s	b 'ɔ r s ə s
bosc	b 'ɔ s k	b 'o s k
bossa	b 'o s ə	b 'ɔ s ə
bosses	b 'o s ə s	b 'ɔ s ə s
bot	b 'o t	b 'ɔ t
bota	b 'o t ə	b 'ɔ t ə
botes	b 'o t ə s	b 'ɔ t ə s
boti	b 'o t i	b 'ɔ t i
bou	b 'ɔ w	b 'o w
bous	b 'ɔ w s	b 'o w s
Brasília	b ɾ ə z 'i l i ə	b ɾ ə s 'i l i ə
bressa	b ɾ 'ɛ s ə	b ɾ 'e s ə
bretxa	b ɾ 'e t ʃ ə	b ɾ 'ɛ t ʃ ə
breu	b ɾ 'e w	b ɾ 'ɛ w
breus	b ɾ 'e w s	b ɾ 'ɛ w s
broda	b ɾ 'o ð ə	b ɾ 'ɔ ð ə
brolla	b ɾ 'o ʎ ə	b ɾ 'ɔ ʎ ə
brollen	b ɾ 'o ʎ ə n	b ɾ 'ɔ ʎ ə n
brot	b ɾ 'o t	b ɾ 'ɔ t
brota	b ɾ 'o t ə	b ɾ 'ɔ t ə
brou	b ɾ 'ɔ w	b ɾ 'o w
búlgar	b 'u l ɣ ə r	b 'u l ɣ ə
bullabessa	b u ʎ ə β 'ɛ s ə	b u ʎ ə β 'e s ə
busseig	b u s 'ɛ t ʃ	b u s 'ɛ tʃ
cabeça	k ə β 'ɛ s ə	k ə β 'e s ə
cabell	k ə β 'ɛ ʎ	k ə β 'e ʎ
caber	k ə β 'ɛ	k ə β 'e
Calabuig	k ə l ə β 'u t ʃ	k ə l ə β 'u tʃ
calb	k 'a l p	k 'a l
caler	k ə l 'ɛ	k ə l 'e
calfred	k ə l f ɾ 'ɛ t	k ə l f ɾ 'e t
camps	k 'a m s	k 'a m p s
càncer	k 'a n s ə r	k 'a n s ə
cantimplora	k ə n t i m p l 'ɔ ɾ ə	k ə n t i m p l 'o ɾ ə
caos	k 'a o s	k 'a u s
capritx	k ə p ɾ 'i t ʃ	k ə p ɾ 'i tʃ
capvespre	k ə b b 'e s p ɾ ə	k ə b b 'ɛ s p ɾ ə
car	k 'a r	k 'a
caràcter	k ə ɾ 'a k t ə r	k ə ɾ 'a k t ə
card	k 'a r t	k 'a r
cars	k 'a r s	k 'a s
cartutx	k ə r t 'u t ʃ	k ə r t 'u t
casts	k 'a s t s	k 'a s s
càtar	k 'a t ə r	k 'a t ə
catorze	k ə t 'o r z ə	k ə t 'ɔ r z ə
caviar	k ə β i 'a r	k ə β i 'a
ce	s 'e	s 'ɛ
cec	s 'e k	s 'ɛ k
cecs	s 'e k s	s 'ɛ k s
cega	s 'e ɣ ə	s 'ɛ ɣ ə
cegues	s 'e ɣ ə s	s 'ɛ ɣ ə s
cella	s 'ɛ ʎ ə	s 'e ʎ ə
celles	s 'ɛ ʎ ə s	s 'e ʎ ə s
cens	s 'ɛ n s	s 'e n s
centre	s 'e n t ɾ ə	s 'ɛ n t ɾ ə
centren	s 'e n t ɾ ə n	s 'ɛ n t ɾ ə n
centres	s 'e n t ɾ ə s	s 'ɛ n t ɾ ə s
centri	s 'e n t ɾ i	s 'ɛ n t ɾ i
centrin	s 'e n t ɾ i n	s 'ɛ n t ɾ i n
centro	s 'e n t ɾ u	s 'ɛ n t ɾ u
ceptre	s 'e p t ɾ ə	s 'ɛ p t ɾ ə
cera	s 'ɛ ɾ ə	s 'e ɾ ə
cercle	s 'e r k l ə	s 'ɛ r k l ə
cercles	s 'e r k l ə s	s 'ɛ r k l ə s
Cèsar	s 'ɛ z ə r	s 'ɛ z ə
cessen	s 'e s ə n	s 'ɛ s ə n
cessi	s 'e s i	s 'ɛ s i
cessin	s 'e s i n	s 'ɛ s i n
cianur	s i ə n 'u r	s i ə n 'u
ciclomotor	s i k l u m u t 'o r	s i k l u m u t 'o
cigar	s i ɣ 'a r	s i ɣ 'a
Cir	s 'i r	s 'i
clixé	k l i ʃ 'e	k l i k s 'e
clon	k l 'ɔ n	k l 'o n
clona	k l 'ɔ n ə	k l 'o n ə
clones	k l 'ɔ n ə s	k l 'o n ə s
cloni	k l 'ɔ n i	k l 'o n i
clonin	k l 'ɔ n i n	k l 'o n i n
clonis	k l 'ɔ n i s	k l 'o n i s
clono	k l 'ɔ n u	k l 'o n u
clor	k l 'ɔ r	k l 'o
clora	k l 'ɔ ɾ ə	k l 'o ɾ ə
clores	k l 'ɔ ɾ ə s	k l 'o ɾ ə s
clos	k l 'ɔ s	k l 'o s
closa	k l 'ɔ z ə	k l 'o z ə
closes	k l 'ɔ z ə s	k l 'o z ə s
closos	k l 'ɔ z u s	k l 'o z u s
clou	k l 'ɔ w	k l 'o w
ço	s 'ɔ	s 'o
coa	k 'ɔ ə	k 'o ə
cobla	k 'o b b l ə	k 'ɔ b b l ə
cobles	k 'o b b l ə s	k 'ɔ b b l ə s
coca	k 'o k ə	k 'ɔ k ə
coclear	k u k l e 'a r	k u k l e 'a
coco	k 'o k u	k 'ɔ k u
cofoi	k u f 'ɔ j	k u f 'o i
cogoma	k u ɣ 'ɔ m ə	k u ɣ 'o m ə
cogombre	k u ɣ 'o m b ɾ ə	k u ɣ 'ɔ m b ɾ ə
coherentment	k u ə ɾ ə m m 'e n	k u ə ɾ ə n m 'e n
coit	k 'ɔ j t	k 'o i t
colesteatoma	k u l ə s t e ə t 'ɔ m ə	k u l ə s t e ə t 'o m ə
colesteatomes	k u l ə s t e ə t 'ɔ m ə s	k u l ə s t e ə t 'o m ə s
colitx	k u l 'i t ʃ	k u l 'i tʃ
coll	k 'ɔ ʎ	k 'o ʎ
colossos	k u l 'o s u s	k u l 'ɔ s u s
colze	k 'o l z ə	k 'ɔ l z ə
colzes	k 'o l z ə s	k 'ɔ l z ə s
comboi	k u m b 'ɔ j	k u m b 'o i
Comores	k u m 'ɔ ɾ ə s	k u m 'o ɾ ə s
compon	k u m p 'ɔ n	k u m p 'o n
compost	k u m p 'ɔ s t	k u m p 'o s t
compra	k 'o m p ɾ ə	k 'ɔ m p ɾ ə
compren	k 'o m p ɾ ə n	k 'ɔ m p ɾ ə n
compres	k 'o m p ɾ ə s	k 'ɔ m p ɾ ə s
compro	k 'o m p ɾ u	k 'ɔ m p ɾ u
compta	k 'o m t ə	k 'ɔ m t ə
compte	k 'o m t ə	k 'ɔ m p t ə
compten	k 'o m t ə n	k 'ɔ m p t ə n
comptes	k 'o m t ə s	k 'ɔ m p t ə s
compti	k 'o m t i	k 'ɔ m t i
comptin	k 'o m t i n	k 'ɔ m p t i n
compto	k 'o m t u	k 'ɔ m t u
comte	k 'o m t ə	k 'ɔ m t ə
comtes	k 'o m t ə s	k 'ɔ m t ə s
comtessa	k u m t 'ɛ s ə	k u m t 'e s ə
conca	k 'o ŋ k ə	k 'ɔ ŋ k ə
concepte	k u n s 'e p t ə	k u n s 'ɛ p t ə
concloses	k u ŋ k l 'ɔ z ə s	k u ŋ k l 'o z ə s
conclosos	k u ŋ k l 'ɔ z u s	k u ŋ k l 'o z u s
concret	k u ŋ k ɾ 'e t	k u ŋ k ɾ 'ɛ t
còndor	k 'ɔ n d u r	k 'ɔ n d u
conques	k 'o ŋ k ə s	k 'ɔ ŋ k ə s
conquesta	k u ŋ k 'e s t ə	k u ŋ k 'ɛ s t ə
conscientment	k u n s i ə m m 'e n	k u n s i ə n m 'e n
consell	k u n s 'ɛ ʎ	k u n s 'e ʎ
consens	k u n s 'ɛ n s	k u n s 'e n s
consta	k 'o n s t ə	k 'ɔ n s t ə
consten	k 'o n s t ə n	k 'ɔ n s t ə n
consular	k u n s u l 'a r	k u n s u l 'a
conta	k 'o n t ə	k 'ɔ n t ə
conte	k 'o n t ə	k 'ɔ n t ə
conten	k 'o n t ə n	k 'ɔ n t ə n
contes	k 'o n t ə s	k 'ɔ n t ə s
context	k u n t 'e k s t	k u n t 'ɛ k s t
contigu	k u n t 'i ɣ u	k u n t 'i ɣ
contrasts	k u n t ɾ 'a s t s	k u n t ɾ 'a s s
contret	k u n t ɾ 'e t	k u n t ɾ 'ɛ t
contreta	k u n t ɾ 'e t ə	k u n t ɾ 'ɛ t ə
contrets	k u n t ɾ 'e t s	k u n t ɾ 'ɛ t s
convenientment	k u m b ə n i ə m m 'e n	k u m b ə n i ə n m 'e n
copa	k 'o p ə	k 'ɔ p ə
copes	k 'o p ə s	k 'ɔ p ə s
copsa	k 'o p s ə	k 'ɔ p s ə
coquessa	k u k 'ɛ s ə	k u k 'e s ə
cor	k 'ɔ r	k 'o
cora	k 'ɔ ɾ ə	k 'o ɾ ə
corre	k 'o r ə	k 'ɔ r ə
corren	k 'o r ə n	k 'ɔ r ə n
corri	k 'o r i	k 'ɔ r i
corrin	k 'o r i n	k 'ɔ r i n
corro	k 'o r u	k 'ɔ r u
corrompre	k u r 'o m p ɾ ə	k u r 'ɔ m p ɾ ə
cors	k 'ɔ r s	k 'o s
corsa	k 'o r s ə	k 'ɔ r s ə
corses	k 'o r s ə s	k 'ɔ r s ə s
corsos	k 'o r s u s	k 'ɔ r s u s
Corts	k 'o r s	k 'o r t s
cos	k 'ɔ s	k 'o s
cosa	k 'ɔ z ə	k 'o z ə
coses	k 'ɔ z ə s	k 'o z ə s
cosinus	k u s 'i n u s	k u z 'i n u s
cost	k 'ɔ s t	k 'o s t
cotxe	k 'o t ʃ ə	k 'ɔ t ʃ ə
cotxes	k 'o t ʃ ə s	k 'ɔ t ʃ ə s
cou	k 'ɔ w	k 'o w
covard	k u β 'a r t	k u β 'a r
cranc	k ɾ 'a ŋ	k ɾ 'a n s
cràter	k ɾ 'a t ə r	k ɾ 'a t ə
creen	k ɾ 'e ə n	k ɾ 'ɛ ə n
creï	k ɾ 'e i	k ɾ 'ɛ i
creïn	k ɾ 'e i n	k ɾ ə 'i n
creixen	k ɾ 'e ʃ ə n	k ɾ 'ɛ ʃ ə n
crema	k ɾ 'e m ə	k ɾ 'ɛ m ə
cremen	k ɾ 'e m ə n	k ɾ 'ɛ m ə n
cremes	k ɾ 'e m ə s	k ɾ 'ɛ m ə s
cremi	k ɾ 'e m i	k ɾ 'ɛ m i
cremin	k ɾ 'e m i n	k ɾ 'ɛ m i n
crepuscular	k ɾ ə p u s k u l 'a r	k ɾ ə p u s k u l 'a
cuinar	k u j n 'a	k u i n 'a
cuir	k 'u j r	k 'u j
curricular	k u r i k u l 'a r	k u r i k u l 'a
curts	k 'u r s	k 'u r t s
d'acord	d ə k 'ɔ r t	d ə k 'o r t
d'hora	d 'ɔ ɾ ə	d i 'o ɾ ə
dard	d 'a r t	d 'a r
darrere	d ə r 'e ɾ ə	d ə r 'ɛ ɾ ə
de	d 'ə	d ə
decor	d ə k 'o r	d ə k 'o
decret	d ə k ɾ 'e t	d ə k ɾ 'ɛ t
Deessa	d ə 'ɛ s ə	d ə 'e s ə
deessa	d ə 'ɛ s ə	d ə 'e s ə
defora	d ə f 'ɔ ɾ ə	d ə f 'o ɾ ə
degoteig	d ə ɣ u t 'ɛ t ʃ	d ə ɣ u t 'ɛ tʃ
deix	d 'e ʃ	d 'ɛ ʃ
deixeble	d ə ʃ 'e b b l ə	d ə ʃ 'ɛ b b l ə
deixis	d 'e ʃ i s	d 'ɛ ʃ i s
deler	d ə l 'ɛ	d ə l 'e
demagog	d ə m ə ɣ 'ɔ k	d ə m ə ɣ 'o k
dens	d 'ɛ n s	d 'e n s
desa	d 'e z ə	d 'ɛ z ə
desamor	d ə z ə m 'o r	d ə z ə m 'o
desatendre	d ə z ə t 'e n d ɾ ə	d ə z ə t 'ɛ n d ɾ ə
descompte	d ə s k 'o m t ə	d ə s k 'ɔ m p t ə
desembre	d ə z 'e m b ɾ ə	d ə z 'ɛ m b ɾ ə
desfet	d ə s f 'e t	d ə s f 'ɛ t
desfeta	d ə s f 'e t ə	d ə s f 'ɛ t ə
deshonest	d ə z u n 'e s t	d ə z u n 'ɛ s t
desi	d 'e z i	d 'ɛ z i
desig	d ə z 'i t ʃ	d ə z 'i ɣ
desigs	d ə z 'i t ʃ s	d ə z 'i k s
deso	d 'e z u	d 'ɛ z u
Despuig	d ə s p 'u t ʃ	d ə s p 'u tʃ
dessota	d ə s 'o t ə	d ə s 'ɔ t ə
destorb	d ə s t 'o r p	d ə s t 'o ɾ
destra	d 'e s t ɾ ə	d 'ɛ s t ɾ ə
destres	d 'e s t ɾ ə s	d 'ɛ s t ɾ ə s
detona	d ə t 'ɔ n ə	d ə t 'o n ə
detones	d ə t 'ɔ n ə s	d ə t 'o n ə s
detono	d ə t 'ɔ n u	d ə t 'o n u
devers	d ə β 'ɛ r s	d ə β 'e s
diatomea	d i ə t u m 'ɛ ə	d i ə t u m 'e ə
difondre	d i f 'o n d ɾ ə	d i f 'ɔ n d ɾ ə
dijous	d i ʒ 'ɔ w s	d i ʒ 'o w s
diligentment	d i l i ʒ ə m m 'e n	d i l i ʒ ə n m 'e n
dimecres	d i m 'e k ɾ ə s	d i m 'ɛ k ɾ ə s
dimoni	d i m 'ɔ n i	d i m 'o n i
dimonis	d i m 'ɔ n i s	d i m 'o n i s
dinou	d i n 'ɔ w	d i n 'o w
discret	d i s k ɾ 'e t	d i s k ɾ 'ɛ t
discreta	d i s k ɾ 'e t ə	d i s k ɾ 'ɛ t ə
discretes	d i s k ɾ 'e t ə s	d i s k ɾ 'ɛ t ə s
discrets	d i s k ɾ 'e t s	d i s k ɾ 'ɛ t s
dispers	d i s p 'ɛ r s	d i s p 'e s
dissabte	d i s 'a p t ə	d i s 'a b b t ə
dissolt	d i s 'ɔ l t	d i s 'o l t
dissort	d i s 'ɔ r t	d i s 'o r t
distendre	d i s t 'e n d ɾ ə	d i s t 'ɛ n d ɾ ə
distret	d i s t ɾ 'e t	d i s t ɾ 'ɛ t
distreta	d i s t ɾ 'e t ə	d i s t ɾ 'ɛ t ə
distrets	d i s t ɾ 'e t s	d i s t ɾ 'ɛ t s
diumenge	d i w m 'e n ʒ ə	d i w m 'ɛ n ʒ ə
divers	d i β 'ɛ r s	d i β 'e s
dividend	d i β i ð 'e n	d i β i ð 'ɛ n
do	d 'ɔ	d 'o
dobla	d 'o b b l ə	d 'ɔ b b l ə
doble	d 'o b b l ə	d 'ɔ b b l ə
doblen	d 'o b b l ə n	d 'ɔ b b l ə n
dobles	d 'o b b l ə s	d 'ɔ b b l ə s
dolça	d 'o l s ə	d 'ɔ l s ə
dolces	d 'o l s ə s	d 'ɔ l s ə s
dolços	d 'o l s u s	d 'ɔ l s u s
dona	d 'ɔ n ə	d 'o n ə
donen	d 'o n ə n	d 'ɔ n ə n
dones	d 'ɔ n ə s	d 'o n ə s
dons	d 'ɔ n s	d 'o n s
dors	d 'ɔ r s	d 'o s
dotze	d 'o d z ə	d 'ɔ d z ə
dramaturg	d ɾ ə m ə t 'u r k	d ɾ ə m ə t 'u r
dreces	d ɾ 'ɛ s ə s	d ɾ 'e s ə s
duquessa	d u k 'ɛ s ə	d u k 'e s ə
Ebre	'e β ɾ ə	'ɛ β ɾ ə
ecosistema	ə k u s i s t 'e m ə	ə k u z i s t 'ɛ m ə
Eduard	ə ð u 'a r t	ə ð u 'a r
efímer	ə f 'i m ə r	ə f 'i m ə
ei	'e j	'ɛ j
Eivissa	ə j β 'i s ə	ə i β 'i s ə
eivissenc	ə j β i s 'ɛ ŋ	ə i β i s 'ɛ ŋ
eix	'e ʃ	'ɛ ʃ
ela	'e l ə	'ɛ l ə
element	ə l ə m 'e n	ɛ l ə m 'e n
Eloi	ə l 'ɔ j	ə l 'o i
em	'ə m	ə m
ema	'e m ə	'ɛ m ə
emir	ə m 'i r	ə m 'i
empatx	ə m p 'a t ʃ	ə m p 'a tʃ
empenta	ə m p 'ɛ n t ə	ə m p 'e n t ə
empra	'e m p ɾ ə	'ɛ m p ɾ ə
empremta	ə m p ɾ 'e m t ə	ə m p ɾ 'ɛ m t ə
empren	'e m p ɾ ə n	'ɛ m p ɾ ə n
empri	'e m p ɾ i	'ɛ m p ɾ i
en	'ə n	ə n
ena	'e n ə	'ɛ n ə
encendre	ə n s 'e n d ɾ ə	ə n s 'ɛ n d ɾ ə
endarrere	ə n d ə r 'e ɾ ə	ə n d ə r 'ɛ ɾ ə
endinsar	ə n d i n z 'a	ə n d i n s 'a
endinsat	ə n d i n z 'a t	ə n d i n s 'a t
ene	'e n ə	'ɛ n ə
enhorabona	ə n u ɾ ə β 'ɔ n ə	ə n u ɾ ə β 'o n ə
enmig	ə m m 'i t ʃ	ə n m 'i tʃ
enorme	ə n 'o r m ə	ə n 'ɔ r m ə
enormes	ə n 'o r m ə s	ə n 'ɔ r m ə s
enquesta	ə ŋ k 'e s t ə	ə ŋ k 'ɛ s t ə
enrenou	ə n r ə n 'ɔ w	ə n r ə n 'o w
enrere	ə n r 'e ɾ ə	ə n 'ɛ ɾ ə
ens	'ə n s	ə n s
entendre	ə n t 'e n d ɾ ə	ə n t 'ɛ n d ɾ ə
enter	ə n t 'e r	ə n t 'e
entre	'e n t ɾ ə	'ɛ n t ɾ ə
entrebanc	ə n t ɾ ə β 'a ŋ	ə n t ɾ ə β 'a n s
entren	'e n t ɾ ə n	'ɛ n t ɾ ə n
entres	'e n t ɾ ə s	'ɛ n t ɾ ə s
entri	'e n t ɾ i	'ɛ n t ɾ i
entrin	'e n t ɾ i n	'ɛ n t ɾ i n
entris	'e n t ɾ i s	'ɛ n t ɾ i s
entro	'e n t ɾ u	'ɛ n t ɾ u
enuig	ə n 'u t ʃ	ə n 'u tʃ
envers	ə m b 'ɛ r s	ə m b 'e s
ep	'e p	'ɛ p
epicens	ə p i s 'ɛ n s	ə p i s 'e n s
equivaler	ə k i β ə l 'ɛ	ə k i β ə l 'e
equivoco	ə k i β 'o k u	ə k i β 'ɔ k u
eren	'e ɾ ə n	'ɛ ɾ ə n
erra	'e r ə	'ɛ r ə
erres	'e r ə s	'ɛ r ə s
erroni	ə r 'ɔ n i	ə r 'o n i
error	ə r 'o r	ə r 'o
es	'ə s	ə s
escaig	ə s k 'a t ʃ	ə s k 'a tʃ
escalens	ə s k ə l 'ɛ n s	ə s k ə l 'e n s
escletxa	ə s k l 'e t ʃ ə	ə s k l 'ɛ t ʃ ə
escolar	ə s k u l 'a r	ə s k u l 'a
escolta	ə s k 'o l t ə	ə s k 'ɔ l t ə
escombra	ə s k 'o m b ɾ ə	ə s k 'ɔ m b ɾ ə
escreix	ə s k ɾ 'e ʃ	ə s k ɾ 'ɛ ʃ
escrot	ə s k ɾ 'o t	ə s k ɾ 'ɔ t
esfinx	ə s f 'i n ʃ	ə s f 'i n
esforç	ə s f 'ɔ r s	ə s f 'o r s
