A	'a	 a 
ampolla	a m p 'o ʎ a	 a m p 'ɔ ʎ a 
anàrquica	a n 'a ɾ k i k a	 a n a ɾ k 'i k a 
anàrquics	a n 'a ɾ k i k s	 a n a ɾ k 'i k s 
Andreu	a n d ɾ 'e w	 a n d ɾ 'ɛ w 
anglesa	a ŋ g l 'e z a	 a ŋ g l 'ɛ z a 
anglesos	a ŋ g l 'e z o s	 a ŋ g l 'ɛ z o s 
Ànglia	'a ŋ g l i a	 a ŋ g l 'i a 
anguila	a ŋ g 'i l a	 a ŋ g u 'i l a 
anguiles	a ŋ g 'i l e s	 a ŋ g u 'i l e s 
antimoni	a n t i m 'ɔ n i	 a n t i m 'o n i 
Antoni	a n t 'ɔ n i	 a n t 'o n i 
ants	'a n s	 'a n t s 
aplec	a p l 'e k	 a p l 'ɛ k 
apòstrofs	a p 'ɔ s t ɾ o f s	 a p o s t ɾ 'ɔ f s 
apresa	a p ɾ 'e z a	 a p ɾ 'ɛ z a 
apreses	a p ɾ 'e z e s	 a p ɾ 'ɛ z e s 
aquàriums	a k w 'a ɾ i u m s	 a k w 'a ɾ i w m s 
aqüeducte	a k w e ð 'u k t e	 a k e ð 'u k t e 
aqüeductes	a k w e ð 'u k t e s	 a k e ð 'u k t e s 
aquest	a k 'e s t	 a k 'ɛ s t 
aqüícola	a k w 'i k o l a	 a k 'i k o l a 
aqüicultura	a k w i k u l t 'u ɾ a	 a k i k u l t 'u ɾ a 
aqüífer	a k w 'i f e ɾ	 a k 'i f e ɾ 
àrab	'a ɾ a p	 'a ɾ a β 
aràcnid	a ɾ 'a g n i t	 a ɾ 'a k n i t 
arameu	a ɾ a m 'e w	 a ɾ a m 'ɛ w 
arcaics	a ɾ k 'a j k s	 a ɾ k a 'i k s 
àrguens	'a ɾ ɣ e n s	 a ɾ ɣ 'e n s 
aritmètic	a ɾ i d m 'ɛ t i k	 a ɾ i t m 'ɛ t i k 
aritmètica	a ɾ i d m 'ɛ t i k a	 a ɾ i t m 'ɛ t i k a 
arraulint	a r a w l 'i n t	 a r a u l 'i n t 
arraulir	a r a w l 'i ɾ	 a r a u l 'i ɾ 
arreu	a r 'e w	 a r 'ɛ w 
asimètric	a s i m 'ɛ t ɾ i k	 a z i m 'ɛ t ɾ i k 
asímptota	a z 'i m t o t a	 a z i m p t 'ɔ t a 
asseure	a s 'e w ɾ e	 a s 'ɛ w ɾ e 
asseure's	a s 'e w ɾ e s	 a s e w ɾ 'ɛ s 
assumpte	a s 'u m t e	 a s 'u m p t e 
assumptes	a s 'u m t e s	 a s 'u m p t e s 
asteroide	a s t e ɾ 'ɔ j ð e	 a s t e ɾ o 'i ð e 
astronauta	a s t ɾ o n 'a w t a	 a s t ɾ o n a 'u t a 
atendre	a t 'e n d ɾ e	 a t 'ɛ n d ɾ e 
ateneu	a t e n 'e w	 a t e n 'ɛ w 
Ateneu	a t e n 'e w	 a t e n 'ɛ w 
atesa	a t 'e z a	 a t 'ɛ z a 
ateses	a t 'e z e s	 a t 'ɛ z e s 
atesos	a t 'e z o s	 a t 'ɛ z o s 
ateu	a t 'e w	 a t 'ɛ w 
atleta	a d l 'e t a	 a t l 'e t a 
atlètic	a d l 'ɛ t i k	 a t l 'ɛ t i k 
atraient	a t ɾ a j 'e n t	 a t ɾ a i 'e n t 
atreure	a t ɾ 'e w ɾ e	 a t ɾ 'ɛ w ɾ e 
atribuint	a t ɾ i β w 'i n t	 a t ɾ i β u 'i n t 
atribuir	a t ɾ i β w 'i ɾ	 a t ɾ i β u 'i ɾ 
atroç	a t ɾ 'ɔ s	 a t ɾ 'o s 
augment	a w g m 'e n t	 a w a m 'e n t 
Àustria	'a w s t ɾ i a	 a w s t ɾ 'i a 
autòmats	a w t 'ɔ m a t s	 a w t o m 'a t s 
avinentesa	a v i n e n t 'e z a	 a v i n e n t 'ɛ z a 
babiloni	b a β i l 'ɔ n i	 b a β i l 'o n i 
Badakhxan	b a ð a k t ʃ 'a n	 b a ð a k e 'a n 
bàdminton	b 'a d m i n t o n	 b a d m i n t 'o n 
Bahames	b a 'a m e s	 b a m m e s 
basquetbol	b a s k e d b 'o l	 b a s k e t b 'ɔ l 
batec	b a t 'e k	 b a t 'ɛ k 
batlle	b 'a l l e	 b 'a t ʎ e 
Batlle	b 'a l l e	 b 'a t ʎ e 
batlles	b 'a l l e s	 b 'a t ʎ e s 
be	b 'e	 b 'ɛ 
bec	b 'e k	 b 'ɛ k 
beca	b 'e k a	 b 'ɛ k a 
befa	b 'e f a	 b 'ɛ f a 
bei	b 'ɛ j	 b 'ɛ i 
bellesa	b e ʎ 'e z a	 b e ʎ 'ɛ z a 
ben	b 'e n	 b 'ɛ n 
beneficiem	b e n e f i s i 'ɛ m	 b e n e f i s i 'e m 
beneitó	b e n e j t 'o	 b e n e i t 'o 
bens	b 'e n s	 b 'ɛ n s 
beques	b 'e k e s	 b 'ɛ k e s 
Bèrgam	b 'ɛ ɾ ɣ a m	 b e ɾ ɣ 'a m 
berkeli	b e ɾ k 'ɛ l i	 b e ɾ e 'ɛ l i 
bertrol	b e ɾ t ɾ 'o l	 b e ɾ t ɾ 'ɔ l 
bes	b 'e s	 b 'ɛ s 
besnebot	b e z n e β 'o t	 b e z n e β 'ɔ t 
beso	b 'e z o	 b 'ɛ z o 
bestiesa	b e s t i 'e z a	 b e s t i 'ɛ z a 
beu	b 'e w	 b 'ɛ w 
beure	b 'e w ɾ e	 b 'ɛ w ɾ e 
beus	b 'e w s	 b 'ɛ w s 
Bigorra	b i ɣ 'ɔ r a	 b i ɣ 'o r a 
bilbaí	b i l β a 'i	 b i l β 'a t 
bilingüe	b i l 'i ŋ g w e	 b i l 'i ŋ g e 
Blai	b l 'a j	 b l 'a i 
bleda	b l 'e ð a	 b l 'ɛ ð a 
boca	b 'o k a	 b 'ɔ k a 
boda	b 'o ð a	 b 'ɔ ð a 
bodega	b o ð 'e ɣ a	 b o ð 'ɛ ɣ a 
bodes	b 'o ð e s	 b 'ɔ ð e s 
boga	b 'o ɣ a	 b 'ɔ ɣ a 
boirina	b o j ɾ 'i n a	 b o i ɾ 'i n a 
boirós	b o j ɾ 'o s	 b o i ɾ 'o s 
bolca	b 'o l k a	 b 'ɔ l k a 
boletaire	b o l e t 'a j ɾ e	 b o l e t a 'i ɾ e 
bolígrafs	b o l 'i ɣ ɾ a f s	 b o l i ɣ ɾ 'a f s 
bolívar	b o l 'i v a ɾ	 b o l i v 'a ɾ 
bolquen	b 'o l k e n	 b 'ɔ l k e n 
bomba	b 'o m b a	 b 'ɔ m b a 
bombes	b 'o m b e s	 b 'ɔ m b e s 
bombo	b 'o m b o	 b 'ɔ m b o 
bombolla	b o m b 'o ʎ a	 b o m b 'ɔ ʎ a 
bonze	b 'ɔ n z e	 b 'o n z e 
boques	b 'o k e s	 b 'ɔ k e s 
borda	b 'o ɾ ð a	 b 'ɔ ɾ ð a 
Bordeus	b o ɾ ð 'e w s	 b o ɾ ð 'ɛ w s 
bordo	b 'o ɾ ð o	 b 'ɔ ɾ ð o 
borrissol	b o r i s 'o l	 b o r i s 'ɔ l 
borsa	b 'o ɾ s a	 b 'ɔ ɾ s a 
borses	b 'o ɾ s e s	 b 'ɔ ɾ s e s 
bosquerol	b o s k e ɾ 'o l	 b o s k e ɾ 'ɔ l 
bossa	b 'o s a	 b 'ɔ s a 
bosses	b 'o s e s	 b 'ɔ s e s 
bot	b 'o t	 b 'ɔ t 
bou	b 'ɔ w	 b 'o w 
bous	b 'ɔ w s	 b o 'u s 
boxa	b 'o k s a	 b 'ɔ k s a 
boxes	b 'o k s e s	 b 'ɔ k s e s 
brànquia	b ɾ 'a ŋ k i a	 b ɾ a ŋ k 'i a 
brànquies	b ɾ 'a ŋ k i e s	 b ɾ a ŋ k 'i e s 
brega	b ɾ 'e ɣ a	 b ɾ 'ɛ ɣ a 
bretxa	b ɾ 'e t ʃ a	 b ɾ 'ɛ t ʃ a 
breu	b ɾ 'e w	 b ɾ 'ɛ w 
breus	b ɾ 'e w s	 b ɾ 'ɛ w s 
broda	b ɾ 'o ð a	 b ɾ 'ɔ ð a 
broida	b ɾ 'ɔ j ð a	 b ɾ o 'i ð a 
broides	b ɾ 'ɔ j ð e s	 b ɾ o 'i ð e s 
brolla	b ɾ 'o ʎ a	 b ɾ 'ɔ ʎ a 
brollen	b ɾ 'o ʎ e n	 b ɾ 'ɔ ʎ e n 
brot	b ɾ 'o t	 b ɾ 'ɔ t 
brou	b ɾ 'ɔ w	 b ɾ 'o w 
búbal	b 'u β a l	 b u β 'a l 
búfal	b 'u f a l	 b u f 'a l 
búfals	b 'u f a l s	 b u f 'a l s 
búgula	b 'u ɣ u l a	 b u ɣ 'u l a 
buit	b w 'i t	 b u 'i t 
buixol	b u j ʃ 'o l	 b u j ʃ 'ɔ l 
búlgar	b 'u l ɣ a ɾ	 b u l ɣ 'a ɾ 
búlgara	b 'u l ɣ a ɾ a	 b u l ɣ 'a ɾ a 
búlgares	b 'u l ɣ a ɾ e s	 b u l ɣ 'a ɾ e s 
burgesa	b u ɾ d ʒ 'e z a	 b u ɾ d ʒ 'ɛ z a 
burgesos	b u ɾ d ʒ 'e z o s	 b u ɾ d ʒ 'ɛ z o s 
butlla	b 'u l l a	 b 'u t ʎ a 
butlles	b 'u l l e s	 b 'u t ʎ e s 
butlletins	b u l l e t 'i n s	 b u ʎ l e t 'i n s 
cabeça	k a β 'ɛ s a	 k a β 'e s a 
caber	k a β 'ɛ ɾ	 k a β 'e ɾ 
cabirol	k a β i ɾ 'o l	 k a β i ɾ 'ɔ l 
cabiscol	k a β i s k 'o l	 k a β i s k 'ɔ l 
cacem	k a s 'ɛ m	 k a s 'e m 
caiguda	k a j ɣ 'u ð a	 k a i ɣ 'u ð a 
caigudes	k a j ɣ 'u ð e s	 k a i ɣ 'u ð e s 
caigut	k a j ɣ 'u t	 k a i ɣ 'u t 
caiguts	k a j ɣ 'u t s	 k a i ɣ 'u t s 
calabruixar	k a l a β ɾ u j ʃ 'a ɾ	 k a l a β ɾ u i ʃ 'a ɾ 
calàndria	k a l 'a n d ɾ i a	 k a l a n d ɾ 'i a 
calb	k 'a l p	 k 'a l i 
campestre	k a m p 'e s t ɾ e	 k a m p 'ɛ s t ɾ e 
camps	k 'a m s	 k 'a m p s 
càncers	k 'a n s e ɾ s	 k a n s 'e ɾ s 
càndids	k 'a n d i t s	 k a n d i 'a s 
caníbals	k a n 'i β a l s	 k a n i β 'a l s 
canoa	k a n 'o a	 k a n 'ɔ a 
cants	k 'a n s	 k 'a n t s 
capdavall	k a b d a v 'a ʎ	 k a p d a v 'a ʎ 
captem	k a p t 'ɛ m	 k a p t 'e m 
caragol	k a ɾ a ɣ 'o l	 k a ɾ a ɣ 'ɔ l 
carantoines	k a ɾ a n t 'ɔ j n e s	 k a ɾ a n t 'ɔ i n e s 
caribeny	k a ɾ i β 'e ɲ	 k a ɾ i β 'ɛ ɲ 
caricaturesc	k a ɾ i k a t u ɾ 'e s k	 k a ɾ i k a t u ɾ 'ɛ s k 
cartaginesos	k a ɾ t a d ʒ i n 'e z o s	 k a ɾ t a d ʒ i n 'ɛ z o s 
cartílag	k a ɾ t 'i l a k	 k a ɾ t i l 'a k 
cartílags	k a ɾ t 'i l a k s	 k a ɾ t i l 'a k s 
caserna	k a z 'ɛ ɾ n a	 k a s 'ɛ ɾ n a 
catanyol	k a t a ɲ 'o l	 k a t a ɲ 'ɔ l 
catorze	k a t 'o ɾ z e	 k a t 'ɔ ɾ z e 
cauts	k 'a w t s	 k a 'u t s 
cautxú	k a w t ʃ 'u	 k a u t ʃ 'u 
ce	s 'e	 s 'ɛ 
cec	s 'e k	 s 'ɛ k 
cecs	s 'e k s	 s 'ɛ k s 
cedre	s 'e ð ɾ e	 s 'ɛ ð ɾ e 
cega	s 'e ɣ a	 s 'ɛ ɣ a 
cegues	s 'e ɣ e s	 s 'ɛ ɣ e s 
ceguesa	s e ɣ 'e z a	 s e ɣ 'ɛ z a 
cens	s 'e n s	 s 'ɛ n s 
censos	s 'e n s o s	 s 'ɛ n s o s 
centre	s 'e n t ɾ e	 s 'ɛ n t ɾ e 
centren	s 'e n t ɾ e n	 s 'ɛ n t ɾ e n 
centres	s 'e n t ɾ e s	 s 'ɛ n t ɾ e s 
cèntrics	s 'ɛ n t ɾ i k s	 s e n t ɾ 'i k s 
centro	s 'e n t ɾ o	 s 'ɛ n t ɾ o 
ceptre	s 'e p t ɾ e	 s 'ɛ p t ɾ e 
cèrcols	s 'ɛ ɾ k o l s	 s e ɾ k 'ɔ l s 
cervesa	s e ɾ v 'e z a	 s e ɾ v 'ɛ z a 
Cèsar	s 'ɛ z a ɾ	 s e z 'a ɾ 
cessen	s 'e s e n	 s 'ɛ s e n 
cessin	s 'e s i n	 s 'ɛ s i n 
cèstrum	s 'ɛ s t ɾ u m	 s e s t ɾ 'u m 
ciberespai	s i β e ɾ e s p 'a j	 s i β e ɾ e s p 'a i 
ciberespais	s i β e ɾ e s p 'a j s	 s i β e ɾ e s p 'a i s 
Cíclades	s 'i k l a ð e s	 s i k l 'a ð e s 
cilíndrica	s i l 'i n d ɾ i k a	 s i l i n d ɾ 'i k a 
cínamom	s 'i n a m o m	 s i n a m 'o m 
circuit	s i ɾ k w 'i t	 s 'i ɾ k 'u 'i t 
circuits	s i ɾ k w 'i t s	 s 'i ɾ k 'u 'i t s 
ciutadà	s i w t a ð 'a	 s 'i w t 'a ð 'a 
ciutadania	s i w t a ð a n 'i a	 s 'i w t 'a ð a n 'i a 
clavicèmbal	k l a v i s 'ɛ m b a l	 k l a v i s e m b 'a l 
clona	k l 'ɔ n a	 k l 'o n a 
clones	k l 'ɔ n e s	 k l 'o n e s 
cloni	k l 'ɔ n i	 k l 'o n i 
clonin	k l 'ɔ n i n	 k l 'o n i n 
clonis	k l 'ɔ n i s	 k l 'o n i s 
clono	k l 'ɔ n o	 k l 'o n o 
clora	k l 'ɔ ɾ a	 k l 'o ɾ a 
clores	k l 'ɔ ɾ e s	 k l 'o ɾ e s 
closes	k l 'ɔ z e s	 k l 'o z e s 
clou	k l 'ɔ w	 k l 'o w 
cobla	k 'o β l a	 k 'ɔ β l a 
cobles	k 'o β l e s	 k 'ɔ β l e s 
cobra	k 'o β ɾ a	 k 'ɔ β ɾ a 
cobren	k 'o β ɾ e n	 k 'ɔ β ɾ e n 
cobres	k 'o β ɾ e s	 k 'ɔ β ɾ e s 
cobro	k 'o β ɾ o	 k 'ɔ β ɾ o 
coco	k 'o k o	 k 'ɔ k o 
cocs	k 'o k s	 k 'ɔ k s 
còctels	k 'ɔ k t e l s	 k o k t 'ɛ l s 
coexistirem	k o e g z i s t i ɾ 'ɛ m	 k o e g z i s t i ɾ 'e m 
cofoi	k o f 'ɔ j	 k o f 'o i 
cofre	k 'o f ɾ e	 k 'ɔ f ɾ e 
cogoma	k o ɣ 'ɔ m a	 k o ɣ 'o m a 
cogombre	k o ɣ 'o m b ɾ e	 k o ɣ 'ɔ m b ɾ e 
coit	k 'ɔ j t	 k o 'i t 
colesteatoma	k o l e s t e a t 'ɔ m a	 k o l e s t e a t 'o m a 
colesteatomes	k o l e s t e a t 'ɔ m e s	 k o l e s t e a t 'o m e s 
colossos	k o l 'o s o s	 k o l 'ɔ s o s 
colza	k 'o l z a	 k 'ɔ l z a 
colze	k 'o l z e	 k 'ɔ l z e 
colzes	k 'o l z e s	 k 'ɔ l z e s 
comandem	k o m a n d 'ɛ m	 k o m a n d 'e m 
comboi	k o m b 'ɔ j	 k o m b 'o i 
comesa	k o m 'e z a	 k o m 'ɛ z a 
comeses	k o m 'e z e s	 k o m 'ɛ z e s 
comesos	k o m 'e z o s	 k o m 'ɛ z o s 
cometre	k o m 'e t ɾ e	 k o m 'ɛ t ɾ e 
còmplices	k 'ɔ m p l i s e s	 k o m p l 'i s e s 
compliquem	k o m p l i k 'ɛ m	 k o m p l i k 'e m 
compost	k o m p 'ɔ s t	 k o m p 'o s t 
compra	k 'o m p ɾ a	 k 'ɔ m p ɾ a 
compren	k 'o m p ɾ e n	 k 'ɔ m p ɾ e n 
compres	k 'o m p ɾ e s	 k 'ɔ m p ɾ e s 
compresa	k o m p ɾ 'e z a	 k o m p ɾ 'ɛ z a 
compreses	k o m p ɾ 'e z e s	 k o m p ɾ 'ɛ z e s 
compresos	k o m p ɾ 'e z o s	 k o m p ɾ 'ɛ z o s 
compro	k 'o m p ɾ o	 k 'ɔ m p ɾ o 
compromesa	k o m p ɾ o m 'e z a	 k o m p ɾ o m 'ɛ z a 
compromeses	k o m p ɾ o m 'e z e s	 k o m p ɾ o m 'ɛ z e s 
compromesos	k o m p ɾ o m 'e z o s	 k o m p ɾ o m 'ɛ z o s 
comprometre	k o m p ɾ o m 'e t ɾ e	 k o m p ɾ o m 'ɛ t ɾ e 
compta	k 'o m t a	 k 'ɔ m p t a 
compte	k 'o m t e	 k 'ɔ m p t e 
compten	k 'o m t e n	 k 'ɔ m p t e n 
comptes	k 'o m t e s	 k 'ɔ m p t e s 
compto	k 'o m t o	 k 'ɔ m p t o 
comte	k 'o m t e	 k 'ɔ m t e 
comtes	k 'o m t e s	 k 'ɔ m t e s 
conca	k 'o ŋ k a	 k 'ɔ ŋ k a 
concloses	k o ŋ k l 'ɔ z e s	 k o ŋ k l 'o z e s 
conclosos	k o ŋ k l 'ɔ z o s	 k o ŋ k l 'o z o s 
conduir	k o n d w 'i ɾ	 k o n d u 'i ɾ 
cònjuge	k 'ɔ n d ʒ u d ʒ e	 k o n d ʒ 'u d ʒ e 
conques	k 'o ŋ k e s	 k 'ɔ ŋ k e s 
conquesta	k o ŋ k 'e s t a	 k o ŋ k 'ɛ s t a 
consens	k o n s 'e n s	 k o n s 'ɛ n s 
conseqüència	k o n s e k w 'ɛ n s i a	 k o n s e k 'ɛ n s i a 
conseqüències	k o n s e k w 'ɛ n s i e s	 k o n s e k 'ɛ n s i e s 
consta	k 'o n s t a	 k 'ɔ n s t a 
consten	k 'o n s t e n	 k 'ɔ n s t e n 
constituents	k o n s t i t u 'e n s	 k o n s t i t u 'e n t s 
construir	k o n s t ɾ w 'i ɾ	 k o n s t ɾ u 'i ɾ 
consuetud	k o n s u e t 'u t	 k o n s e t 'u t 
conta	k 'o n t a	 k 'ɔ n t a 
conte	k 'o n t e	 k 'ɔ n t e 
conten	k 'o n t e n	 k 'ɔ n t e n 
contes	k 'o n t e s	 k 'ɔ n t e s 
contingents	k o n t i n d ʒ 'e n s	 k o n t i n d ʒ 'e n t s 
contra	k 'o n t ɾ a	 k 'ɔ n t ɾ a 
contres	k 'o n t ɾ e s	 k 'ɔ n t ɾ e s 
contreure	k o n t ɾ 'e w ɾ e	 k o n t ɾ 'ɛ w ɾ e 
contribuents	k o n t ɾ i β u 'e n s	 k o n t ɾ i β u 'e n t s 
contribuir	k o n t ɾ i β w 'i ɾ	 k o n t ɾ i β u 'i ɾ 
cookie	k o o k 'i e	 k o o 'i e 
cop	k 'o p	 k 'ɔ p 
copa	k 'o p a	 k 'ɔ p a 
copes	k 'o p e s	 k 'ɔ p e s 
copsa	k 'o p s a	 k 'ɔ p s a 
cora	k 'ɔ ɾ a	 k 'o ɾ a 
corre	k 'o r e	 k 'ɔ r e 
corren	k 'o r e n	 k 'ɔ r e n 
correu	k o r 'e w	 k o r 'ɛ w 
corro	k 'o r o	 k 'ɔ r o 
corrompre	k o r 'o m p ɾ e	 k o r 'ɔ m p ɾ e 
corsa	k 'o ɾ s a	 k 'ɔ ɾ s a 
corses	k 'o ɾ s e s	 k 'ɔ ɾ s e s 
corsos	k 'o ɾ s o s	 k 'ɔ ɾ s o s 
cortesa	k o ɾ t 'e z a	 k o ɾ t 'ɛ z a 
corticoide	k o ɾ t i k 'ɔ j ð e	 k o ɾ t i k o 'i ð e 
cosa	k 'ɔ z a	 k 'o z a 
coses	k 'ɔ z e s	 k 'o z e s 
cosmos	k 'o z m o s	 k 'ɔ z m o s 
cossol	k o s 'o l	 k o s 'ɔ l 
cost	k 'ɔ s t	 k 'o s t 
cotxe	k 'o t ʃ e	 k 'ɔ t ʃ e 
cotxes	k 'o t ʃ e s	 k 'ɔ t ʃ e s 
cou	k 'ɔ w	 k 'o w 
coure	k 'o w ɾ e	 k 'ɔ w ɾ e 
cova	k 'o v a	 k 'ɔ v a 
crec	k ɾ 'e k	 k ɾ 'ɛ k 
creen	k ɾ 'e e n	 k ɾ 'ɛ e n 
creï	k ɾ 'e i	 k ɾ 'ɛ i 
creient	k ɾ e j 'e n t	 k ɾ e i 'e n t 
creïn	k ɾ 'e i n	 k ɾ e 'i n 
cremen	k ɾ 'e m e n	 k ɾ 'ɛ m e n 
cremes	k ɾ 'e m e s	 k ɾ 'ɛ m e s 
cresta	k ɾ 'e s t a	 k ɾ 'ɛ s t a 
crestes	k ɾ 'e s t e s	 k ɾ 'ɛ s t e s 
cretes	k ɾ 'ɛ t e s	 k ɾ 'e t e s 
creu	k ɾ 'e w	 k ɾ 'ɛ w 
creure	k ɾ 'e w ɾ e	 k ɾ 'ɛ w ɾ e 
creus	k ɾ 'e w s	 k ɾ 'ɛ w s 
cruesa	k ɾ u 'e z a	 k ɾ u 'ɛ z a 
cruixida	k ɾ u j ʃ 'i ð a	 k ɾ u i ʃ 'i ð a 
cruixides	k ɾ u j ʃ 'i ð e s	 k ɾ u i ʃ 'i ð e s 
cruixir	k ɾ u j ʃ 'i ɾ	 k ɾ u i ʃ 'i ɾ 
cruixit	k ɾ u j ʃ 'i t	 k ɾ u i ʃ 'i t 
cruixits	k ɾ u j ʃ 'i t s	 k ɾ u i ʃ 'i t s 
cuboide	k u β 'ɔ j ð e	 k u β o 'i ð e 
cudol	k u ð 'o l	 k u ð 'ɔ l 
cuida	k w 'i ð a	 k d ʒ 'i ð a 
cuides	k w 'i ð e s	 k 'u j ð e s 
cuido	k w 'i ð o	 k 'u j ð o 
cuina	k w 'i n a	 k 'u j n a 
cuir	k w 'i ɾ	 k t 'i ɾ 
cupaire	k u p 'a j ɾ e	 k u p a 'i ɾ e 
currículum	k u r 'i k u l u m	 k u r i k u l 'u m 
currículums	k u r 'i k u l u m s	 k u r i k u l 'u m s 
damisel·la	d a m i z 'ɛ l a	 d a m i s 'ɛ l a 
danesos	d a n 'e z o s	 d a n 'ɛ z o s 
dantesc	d a n t 'e s k	 d a n t 'ɛ s k 
dantesca	d a n t 'e s k a	 d a n t 'ɛ s k a 
dantesques	d a n t 'e s k e s	 d a n t 'ɛ s k e s 
darrere	d a r 'e ɾ e	 d a r 'ɛ ɾ e 
de	d 'e	 d e 
dec	d 'e k	 d 'ɛ k 
dècada	d 'ɛ k a ð a	 d e k 'a ð a 
dècade	d 'ɛ k a ð e	 d e k 'a ð e 
dèdal	d 'ɛ ð a l	 d e ð 'a l 
deduir	d e ð w 'i ɾ	 d e ð u 'i ɾ 
defendre	d e f 'e n d ɾ e	 d e f 'ɛ n d ɾ e 
dèficit	d 'ɛ f i s i t	 d e f i s 'i t 
