A	'ə	 ə 
aparença	ə p ə ɾ 'ɛ n s ə	 ə p ə ɾ 'e n s ə 
aparentment	ə p ə ɾ ə m m 'e n	 ə p ə ɾ ə n ə m 'e n 
aplaudida	ə p l ə w ð 'i ð ə	 ə p l ə u ð 'i ð ə 
aplaudides	ə p l ə w ð 'i ð ə s	 ə p l ə u ð 'i ð ə s 
aplaudint	ə p l ə w ð 'i n	 ə p l ə u ð 'i n 
aplaudir	ə p l ə w ð 'i	 ə p l ə u ð 'i 
apòstrofs	ə p 'ɔ s t ɾ u f s	 ə p u s t ɾ 'ɔ f s 
aprehendre	ə p ɾ ə 'ɛ n d ɾ ə	 ə p ɾ ə u n d ɾ ə 
aquàriums	ə k w 'a ɾ i u m s	 ə k w 'a ɾ i w m s 
aqüeducte	ə k w ə ð 'u k t ə	 ə k ə ð 'u k t ə 
aqüeductes	ə k w ə ð 'u k t ə s	 ə k ə ð 'u k t ə s 
aqueix	ə k 'ɛ ʃ	 ə k 'e ʃ 
aquell	ə k 'ɛ ʎ	 ə k 'e ʎ 
aquest	ə k 'ɛ t	 ə k 'ɛ s t 
aqüicultura	ə k w i k u l t 'u ɾ ə	 ə k i k u l t 'u ɾ ə 
armament	ə r m ə m 'e n	 a r m ə m 'e n 
arqueig	ə r k 'ɛ t ʃ	 ə r k 'ɛ ʃ 
arraulida	ə r ə w l 'i ð ə	 ə r ə u l 'i ð ə 
arraulides	ə r ə w l 'i ð ə s	 ə r ə u l 'i ð ə s 
arraulint	ə r ə w l 'i n	 ə r ə u l 'i n 
arraulir	ə r ə w l 'i	 ə r ə u l 'i 
arts	'a r s	 'a r t s 
Artur	ə r t 'u r	 ə r t 'u 
arxiduquessa	ə r ʃ i ð u k 'ɛ s ə	 ə r ʃ i ð u k 'e s ə 
arxillaüt	ə r ʃ i ʎ ə 'u t	 ə r ʃ 'i ʎ 'a 'u t 
asimètric	ə s i m 'ɛ t ɾ i k	 ə z i m 'ɛ t ɾ i k 
assaig	ə s 'a t ʃ	 ə s ə 'i ə 
assalt	ə s 'a l	 ə s 'a l t 
asseure's	ə s 'ɛ w ɾ ə s	 ə s ə w ɾ 'ɛ s 
assumpte	ə s 'u m t ə	 ə s 'u m p t ə 
assumptes	ə s 'u m t ə s	 ə s 'u m p t ə s 
asteroide	ə s t ə ɾ 'ɔ j ð ə	 ə s t ə ɾ u 'i ð ə 
astronauta	ə s t ɾ u n 'a w t ə	 ə s t ɾ u n ə 'u t ə 
astronautes	ə s t ɾ u n 'a w t ə s	 ə s t ɾ u n ə 'u t ə s 
atendre	ə t 'e n d ɾ ə	 ə t 'ɛ n d ɾ ə 
atenenc	ə t ə n 'ɛ ŋ	 ə t ə n 'ɛ n s 
ateu	ə t 'e w	 ə t 'ɛ w 
atlàntic	ə l l 'a n t i k	 ə t l 'a n t i k 
atles	'a l l ə s	 'a t l ə s 
Atles	'a l l ə s	 'a t l ə s 
atleta	ə l l 'ɛ t ə	 ə t l 'ɛ t ə 
atlètic	ə l l 'ɛ t i k	 ə t l 'ɛ t i k 
atot	ə t 'o t	 ə t 'ɔ t 
atraient	ə t ɾ ə j 'e n	 ə t ɾ ə i 'e n 
atret	ə t ɾ 'e t	 ə t ɾ 'ɛ t 
atrets	ə t ɾ 'e t s	 ə t ɾ 'ɛ t s 
atroç	ə t ɾ 'ɔ s	 ə t ɾ 'o s 
atur	ə t 'u r	 ə t 'u 
atzar	ə d z 'a r	 ə d z 'a 
aurèola	ə w ɾ 'ɛ u l ə	 ə w ɾ ə 'ɔ l ə 
auster	ə w s t 'e r	 ə w s t 'e 
Àustria	'a w s t ɾ i ə	 a w s t ɾ 'i ə 
autocar	ə w t u k 'a r	 ə w t u k 'a 
autòmats	ə w t 'ɔ m ə t s	 ə w t u m 'a t s 
autoretrat	ə w t u r ə t ɾ 'a t	 ə w t u ɾ ə t ɾ 'a t 
autoretrats	ə w t u r ə t ɾ 'a t s	 ə w t u ɾ ə t ɾ 'a t s 
autosuficiència	ə w t u s u f i s i 'ɛ n s i ə	 ə w t u z u f i s i 'ɛ n s i ə 
autosuficient	ə w t u s u f i s i 'e n	 ə w t u z u f i s i 'e n 
avantbraç	ə β ə m b ɾ 'a s	 ə β ə n β ɾ 'a s 
avantpassat	ə β ə m p ə s 'a t	 ə β ə n p ə s 'a t 
avantpassats	ə β ə m p ə s 'a t s	 ə β ə n p ə s 'a t s 
avar	ə β 'a r	 ə β 'a 
avellanenc	ə β ə ʎ ə n 'ɛ ŋ	 ə β ə ʎ ə n 'ɛ n s 
babiloni	b ə β i l 'ɔ n i	 b ə β i l 'o n i 
Badakhxan	b ə ð ə k ʃ 'a n	 b ə ð ə k ə 'a n 
bagenc	b ə ʒ 'ɛ ŋ	 b ə ʒ 'ɛ n s 
Bahames	b ə 'a m ə s	 b ə m m ə s 
baixkir	b ə ʃ k 'i	 b ə ʃ s 'i 
balbuceig	b ə l β u s 'ɛ t ʃ	 b ə l β u s 'ɛ ʃ 
balear	b ə l e 'a r	 b ə l e 'a 
balears	b ə l e 'a r s	 b ə l ə 'a s 
Balears	b ə l e 'a r s	 b ə l ə 'a s 
balneari	b ə l n e 'a ɾ i	 b ə l ə e 'a ɾ i 
banc	b 'a ŋ	 b 'a ŋ k 
bancs	b 'a ŋ s	 b 'a ŋ k s 
bàndols	b 'a n d u l s	 b ə n d 'ɔ l s 
bar	b 'a r	 b 'a 
baronessa	b ə ɾ u n 'ɛ s ə	 b ə ɾ u n 'e s ə 
barreig	b ə r 'ɛ t ʃ	 b ə r 'ɛ ʃ 
basalt	b ə z 'a l	 b ə z 'a l t 
bastard	b ə s t 'a r t	 b ə s t 'a r 
bateig	b ə t 'ɛ t ʃ	 b ə t 'ɛ ʃ 
baül	b ə 'u l	 b 'a ʎ 
be	b 'e	 b 'ɛ 
Beatriu	b e ə t ɾ 'i w	 b e ə t ɾ 'i u 
beguina	b ə ɣ 'i n ə	 b ə ɣ u 'i n ə 
bei	b 'ɛ j	 b 'ɛ i 
beisbol	b ə j z β 'ɔ l	 b ə i z β 'ɔ l 
Belgrad	b ə l ɣ ɾ 'a t	 b ə l ɣ ɾ 'a ð 
bellugueig	b ə ʎ u ɣ 'ɛ t ʃ	 b ə ʎ u ɣ u 'ɛ ʃ 
bemoll	b ə m 'ɔ ʎ	 b ə m 'o ʎ 
ben	b 'e n	 b 'ɛ n 
Benaguasil	b ə n ə ɣ w ə z 'i l	 b ə n ə ɣ w ə s 'i l 
beneficioses	b ə n ə f i s i 'o z ə s	 b ə n ə f i s i 'o s ə s 
beneitó	b ə n ə j t 'o	 b ə n ə i t 'o 
bes	b 'e s	 b 'ɛ s 
besnebot	b ə z n ə β 'o t	 b ə z n ə β 'ɔ t 
beso	b 'e z u	 b 'ɛ z u 
Bétera	b 'e t ə ɾ ə	 b ə t 'e ɾ ə 
Bigorra	b i ɣ 'ɔ r ə	 b i ɣ 'o r ə 
billar	b i ʎ 'a r	 b i ʎ 'a 
bioflavonoide	b i u f l ə β u n 'ɔ j ð ə	 b i u f l ə β u n u 'i ð ə 
bioma	b i 'ɔ m ə	 b i 'o m ə 
bipolar	b i p u l 'a r	 b i p u l 'a 
bisbalenc	b i z β ə l 'ɛ ŋ	 b i z β ə l 'ɛ n s 
blanqueig	b l ə ŋ k 'ɛ t ʃ	 b l ə ŋ k 'ɛ ʃ 
blavenc	b l ə β 'ɛ ŋ	 b l ə β 'ɛ n s 
blens	b l 'ɛ n s	 b l 'e n s 
bloqueig	b l u k 'ɛ t ʃ	 b l u k 'ɛ ʃ 
bo	b 'ɔ	 b 'o 
bobolinc	b u β u l 'i ŋ	 b u β u l 'i ŋ k 
boc	b 'o k	 b 'ɔ k 
boca	b 'o k ə	 b 'ɔ k ə 
bocs	b 'o k s	 b 'ɔ k s 
boda	b 'o ð ə	 b 'ɔ ð ə 
bodes	b 'o ð ə s	 b 'ɔ ð ə s 
boga	b 'o ɣ ə	 b 'ɔ ɣ ə 
boig	b 'ɔ t ʃ	 b 'ɔ j ə 
boirina	b u j ɾ 'i n ə	 b u i ɾ 'i n ə 
bolca	b 'o l k ə	 b 'ɔ l k ə 
bolquen	b 'o l k ə n	 b 'ɔ l k ə n 
bomba	b 'o m b ə	 b 'ɔ m b ə 
bombes	b 'o m b ə s	 b 'ɔ m b ə s 
bombo	b 'o m b u	 b 'ɔ m b u 
bombolla	b u m b 'o ʎ ə	 b u m b 'ɔ ʎ ə 
bon	b 'ɔ n	 b 'o n 
bona	b 'ɔ n ə	 b 'o n ə 
bones	b 'ɔ n ə s	 b 'o n ə s 
bons	b 'ɔ n s	 b 'o n s 
bonze	b 'ɔ n z ə	 b 'o n z ə 
bonzessa	b u n z 'ɛ s ə	 b u n z 'e s ə 
boques	b 'o k ə s	 b 'ɔ k ə s 
borgenc	b u r ʒ 'ɛ ŋ	 b u r ʒ 'ɛ n s 
borsa	b 'o r s ə	 b 'ɔ r s ə 
borses	b 'o r s ə s	 b 'ɔ r s ə s 
borur	b u ɾ 'u r	 b u ɾ 'u 
bosc	b 'ɔ s k	 b 'o s k 
bossa	b 'o s ə	 b 'ɔ s ə 
bosses	b 'o s ə s	 b 'ɔ s ə s 
bot	b 'o t	 b 'ɔ t 
bota	b 'o t ə	 b 'ɔ t ə 
botes	b 'o t ə s	 b 'ɔ t ə s 
boti	b 'o t i	 b 'ɔ t i 
bou	b 'ɔ w	 b 'o w 
bous	b 'ɔ w s	 b u 'u s 
bràctea	b ɾ 'a k t e ə	 b ɾ 'a k t ə ə 
bragueta	b ɾ ə ɣ 'ɛ t ə	 b ɾ ə ɣ u 'ɛ t ə 
brànquia	b ɾ 'a ŋ k i ə	 b ɾ ə ŋ k 'i ə 
brànquies	b ɾ 'a ŋ k i ə s	 b ɾ ə ŋ k 'i ə s 
bressa	b ɾ 'ɛ s ə	 b ɾ 'e s ə 
bretxa	b ɾ 'e t ʃ ə	 b ɾ 'ɛ t ʃ ə 
breu	b ɾ 'e w	 b ɾ 'ɛ w 
breus	b ɾ 'e w s	 b ɾ 'ɛ w s 
brillantment	b ɾ i ʎ ə m m 'e n	 b ɾ i ʎ ə n ə m 'e n 
broda	b ɾ 'o ð ə	 b ɾ 'ɔ ð ə 
brolla	b ɾ 'o ʎ ə	 b ɾ 'ɔ ʎ ə 
brollen	b ɾ 'o ʎ ə n	 b ɾ 'ɔ ʎ ə n 
bromur	b ɾ u m 'u r	 b ɾ u m 'u 
brot	b ɾ 'o t	 b ɾ 'ɔ t 
brota	b ɾ 'o t ə	 b ɾ 'ɔ t ə 
brou	b ɾ 'ɔ w	 b ɾ 'o 
Brunei	b ɾ u n 'ɛ j	 b ɾ u n 'ɛ i 
brunenc	b ɾ u n 'ɛ ŋ	 b ɾ u n 'ɛ n s 
búbal	b 'u β ə l	 b u β 'a l 
búfal	b 'u f ə l	 b u f 'a l 
búfals	b 'u f ə l s	 b u f 'a l s 
búgula	b 'u ɣ u l ə	 b u ɣ 'u l ə 
buidada	b u j ð 'a ð ə	 b u i ð 'a ð ə 
buidades	b u j ð 'a ð ə s	 b u i ð 'a ð ə s 
buidar	b u j ð 'a	 b u i ð 'a 
buidat	b u j ð 'a t	 b u i ð 'a t 
buidatge	b u j ð 'a d ʒ ə	 b u i ð 'a d ʒ ə 
buidats	b u j ð 'a t s	 b u i ð 'a t s 
buidor	b u j ð 'o	 b u i ð 'o 
búlgar	b 'u l ɣ ə r	 b u l ɣ 'a 
búlgara	b 'u l ɣ ə ɾ ə	 b u l ɣ 'a ɾ ə 
bullabessa	b u ʎ ə β 'ɛ s ə	 b u ʎ ə β 'e s ə 
búnquer	b 'u ŋ k ə r	 b u ŋ k 'e 
burg	b 'u r k	 b 'u r 
busseig	b u s 'ɛ t ʃ	 b u s 'ɛ ʃ 
cabeça	k ə β 'ɛ s ə	 k ə β 'e s ə 
cabell	k ə β 'ɛ ʎ	 k ə β 'e ʎ 
caber	k ə β 'ɛ	 k ə β 'e 
cabilenc	k ə β i l 'ɛ ŋ	 k ə β i l 'ɛ n s 
caireta	k ə j ɾ 'ɛ t ə	 k ə i ɾ 'ɛ t ə 
calabruixar	k ə l ə β ɾ u ʃ 'a	 k ə l ə β ɾ u i ʃ 'a 
Calabuig	k ə l ə β 'u t ʃ	 k ə l ə β 'u ʃ 
calàndria	k ə l 'a n d ɾ i ə	 k ə l ə n d ɾ 'i ə 
calb	k 'a l p	 k 'a l 
calbs	k 'a l p s	 k 'a l s 
caler	k ə l 'ɛ	 k ə l 'e 
calfred	k ə l f ɾ 'ɛ t	 k ə l f ɾ 'e d 
camarlenc	k ə m ə r l 'ɛ ŋ	 k ə m ə r l 'ɛ ŋ k 
camp	k 'a m	 k 'a m p 
camps	k 'a m s	 k 'a m p s 
canadenc	k ə n ə ð 'ɛ ŋ	 k ə n ə ð 'ɛ n s 
canadencs	k ə n ə ð 'ɛ ŋ s	 k ə n ə ð 'ɛ ŋ k s 
càndid	k 'a n d i t	 k 'a n d i ð 
canoa	k ə n 'o ə	 k ə n 'ɔ ə 
cantimplora	k ə n t i m p l 'ɔ ɾ ə	 k ə n t i m p l 'o ɾ ə 
caos	k 'a o s	 k ə 'ɔ s 
capbussó	k ə b b u s 'o	 k ə p b u s 'o 
capdavall	k ə b d ə β 'a ʎ	 k ə p d ə β 'a ʎ 
capdavanter	k ə b d ə β ə n t 'e	 k ə p d ə β ə n t 'e 
capgirada	k ə b ʒ i ɾ 'a ð ə	 k ə p ʒ i ɾ 'a ð ə 
capgirades	k ə b ʒ i ɾ 'a ð ə s	 k ə p ʒ i ɾ 'a ð ə s 
capgirar	k ə b ʒ i ɾ 'a	 k ə p ʒ i ɾ 'a 
capgirat	k ə b ʒ i ɾ 'a t	 k ə p ʒ i ɾ 'a t 
capgirats	k ə b ʒ i ɾ 'a t s	 k ə p ʒ i ɾ 'a t s 
capvespre	k ə b b 'e s p ɾ ə	 k ə p b 'ɛ s p ɾ ə 
capvuitada	k ə b b u j t 'a ð ə	 k ə p b u i t 'a ð ə 
car	k 'a r	 k 'a 
carablanc	k ə ɾ ə b b l 'a ŋ	 k ə ɾ ə β l 'a ŋ 
caràcter	k ə ɾ 'a k t ə r	 k ə ɾ 'a k t ə 
carantoines	k ə ɾ ə n t 'ɔ j n ə s	 k ə ɾ ə n 'ɔ j n ə s 
càrcer	k 'a r s ə	 k 'a r s ə r 
carei	k ə ɾ 'ɛ j	 k ə ɾ 'ɛ i 
cartílags	k ə r t 'i l ə k s	 k ə r t i l 'a k s 
càtar	k 'a t ə r	 k ə t 'a 
catorze	k ə t 'o r z ə	 k ə t 'ɔ r z ə 
caviar	k ə β i 'a r	 k ə β i 'a 
ce	s 'e	 s 'ɛ 
cec	s 'e k	 s 'ɛ k 
cecs	s 'e k s	 s 'ɛ k s 
cega	s 'e ɣ ə	 s 'ɛ ɣ ə 
cegues	s 'e ɣ ə s	 s 'ɛ ɣ ə s 
ceguesa	s ə ɣ 'ɛ z ə	 s ə ɣ u 'ɛ z ə 
Ceilan	s ə j l 'a n	 s ə i l 'a n 
cella	s 'ɛ ʎ ə	 s 'e ʎ ə 
celles	s 'ɛ ʎ ə s	 s 'e ʎ ə s 
cens	s 'ɛ n s	 s 'e n s 
centre	s 'e n t ɾ ə	 s 'ɛ n t ɾ ə 
centren	s 'e n t ɾ ə n	 s 'ɛ n t ɾ ə n 
centres	s 'e n t ɾ ə s	 s 'ɛ n t ɾ ə s 
centri	s 'e n t ɾ i	 s 'ɛ n t ɾ i 
cèntrics	s 'ɛ n t ɾ i k s	 s ə n t ɾ 'i k s 
centrin	s 'e n t ɾ i n	 s 'ɛ n t ɾ i n 
centro	s 'e n t ɾ u	 s 'ɛ n t ɾ u 
ceptre	s 'e p t ɾ ə	 s 'ɛ p t ɾ ə 
cera	s 'ɛ ɾ ə	 s 'e ɾ ə 
cercle	s 'e r k l ə	 s 'ɛ r k l ə 
cercles	s 'e r k l ə s	 s 'ɛ r k l ə s 
cèrcols	s 'ɛ r k u l s	 s ə r k 'ɔ l s 
Cèsar	s 'ɛ z ə r	 s ə z 'a 
cessen	s 'e s ə n	 s 'ɛ s ə n 
cessi	s 'e s i	 s 'ɛ s i 
cessin	s 'e s i n	 s 'ɛ s i n 
cèstrum	s 'ɛ s t ɾ u m	 s ə s t ɾ 'u m 
cianur	s i ə n 'u r	 s i ə n 'u 
ciberespai	s i β ə ɾ ə s p 'a j	 s i β ə ɾ ə s p 'a i 
ciberespais	s i β ə ɾ ə s p 'a j s	 s i β ə ɾ ə s p 'a i s 
ciberpunk	s i β ə r p 'u ŋ k	 s i β ə r p 'u n 
cicatriu	s i k ə t ɾ 'i w	 s i k ə t ɾ 'i u 
ciclomotor	s i k l u m u t 'o r	 s i k l u m u t 'o 
cigar	s i ɣ 'a r	 s i ɣ 'a 
cilíndrica	s i l 'i n d ɾ i k ə	 s i l i n d ɾ 'i k ə 
cínamom	s 'i n ə m u m	 s i n ə m 'o m 
cinc	s 'i ŋ	 s 'i ŋ k 
cincs	s 'i ŋ s	 s 'i ŋ k s 
Cir	s 'i r	 s 'i 
cistellenc	s i s t ə ʎ 'ɛ ŋ	 s i s t ə ʎ 'ɛ n s 
cistercenc	s i s t ə r s 'ɛ ŋ	 s i s t ə r s 'ɛ n s 
ciurons	s i w ɾ 'o n s	 s i u ɾ 'o n s 
ciutadà	s i w t ə ð 'a	 s 'i w t 'a ð 'a 
clixé	k l i ʃ 'e	 k l ʃ 'e 
clon	k l 'ɔ n	 k l 'o n 
clona	k l 'ɔ n ə	 k l 'o n ə 
clones	k l 'ɔ n ə s	 k l 'o n ə s 
cloni	k l 'ɔ n i	 k l 'o n i 
clonin	k l 'ɔ n i n	 k l 'o n i n 
clonis	k l 'ɔ n i s	 k l 'o n i s 
clono	k l 'ɔ n u	 k l 'o n u 
clor	k l 'ɔ r	 k l 'o 
clora	k l 'ɔ ɾ ə	 k l 'o ɾ ə 
clores	k l 'ɔ ɾ ə s	 k l 'o ɾ ə s 
clorur	k l u ɾ 'u r	 k l u ɾ 'u 
clos	k l 'ɔ s	 k l 'o s 
closa	k l 'ɔ z ə	 k l 'o z ə 
closes	k l 'ɔ z ə s	 k l 'o z ə s 
closos	k l 'ɔ z u s	 k l 'o z u s 
clou	k l 'ɔ w	 k l 'o 
ço	s 'ɔ	 s 'o 
cobalt	k u β 'a l	 k u β 'a l t 
cobla	k 'o b b l ə	 k 'ɔ b b l ə 
cobles	k 'o b b l ə s	 k 'ɔ b b l ə s 
coca	k 'o k ə	 k 'ɔ k ə 
coclear	k u k l e 'a r	 k u k l e 'a 
coco	k 'o k u	 k 'ɔ k u 
cofoi	k u f 'ɔ j	 k u f 'o i 
