A	'ə	ə
angoixat	ə ŋ g o ʃ 'a t	ə ŋ g o i ʃ 'a t
angoixats	ə ŋ g o ʃ 'a t s	ə ŋ g o i ʃ 'a t s
anguila	ə ŋ g 'i l ə	ə ŋ g u 'i l ə
anoienc	ə n o j 'ə ŋ k	ə n o i 'ə ŋ k
anorèxia	ə n o ɾ 'ɛ t s i ə	ə n o ɾ 'ə t s i ə
anòxic	ə n 'ɔ t s i k	ə n ʃ i k
antimoni	ə n t i m 'ɔ n i	ə n t i m 'o n i
antiquades	ə n t i k w 'a ð ə s	ə n t i k 'a ð ə s
antiquats	ə n t i k w 'a t s	ə n t i k 'a t s
Antoni	ə n t 'ɔ n i	ə n t 'o n i
aparell	ə p ə ɾ 'ə ʎ	ə p ə ɾ 'e ʎ
apèndix	ə p 'ɛ n d i t s	ə p 'ɛ n d i
apòstols	ə p 'ɔ s t o l s	ə p o s t 'ɔ l s
apòstrofs	ə p 'ɔ s t ɾ o f s	ə p o s t ɾ 'o s
aprehendre	ə p ɾ ə 'ɛ n d ɾ ə	ə p ɾ ə o n d ɾ ə
aquari	ə k w 'a ɾ i	ə k 'a ɾ i
aquaris	ə k w 'a ɾ i s	ə k 'a ɾ i s
aquàrium	ə k w 'a ɾ i w m	ə k 'a ɾ i w m
aquell	ə k 'ə ʎ	ə k 'e ʎ
aqueus	ə k 'ɛ w s	ə k ə 'u s
aqüicultura	ə k w i k u l t 'u ɾ ə	ə k i k u l t 'u ɾ ə
arborètum	ə ɾ β o ɾ 'ɛ t u m	ə ɾ β o ɾ ə t 'u m
areng	ə ɾ 'ə ŋ k	ə ɾ 'ɛ ŋ k
àrguens	'a ɾ ɣ ə n s	a ɾ ɣ 'e n s
arguïts	ə ɾ ɣ u 'i t s	ə ɾ ɣ 'i s
argument	ə ɾ ɣ u m 'e n t	a ɾ ɣ u m 'e n t
armament	ə ɾ m ə m 'e n t	a ɾ m ə m 'e n t
arqueà	ə ɾ k e 'a	ə ɾ k ə 'a
arts	'a ɾ s	'a ɾ t s
arxiduquessa	ə ɾ ʃ i ð u k 'ə s ə	ə ɾ ʃ i ð u k 'e s ə
arxipèlag	ə ɾ ʃ i p 'ɛ l ə k	ə ɾ ʃ i p ə l 'a k
asimètric	ə s i m 'ɛ t ɾ i k	ə z i m 'ɛ t ɾ i k
asímptota	ə z 'i m t o t ə	ə z i m t 'ɔ t ə
asseure	ə s 'ə w ɾ ə	ə s 'ɛ w ɾ ə
assignada	ə s i n n 'a ð ə	ə s i ə n 'a ð ə
assignades	ə s i n n 'a ð ə s	ə s i ə n 'a ð ə s
assignant	ə s i n n 'a n t	ə s i ə n 'a n t
assignar	ə s i n n 'a	ə s i ə n 'a
assignat	ə s i n n 'a t	ə s i ə n 'a t
assignats	ə s i n n 'a t s	ə s i ə n 'a t s
astènia	ə s t 'è n i ə	ə s t 'ɛ n i ə
astènic	ə s t 'è n i k	ə s t 'ɛ n i k
astronauta	ə s t ɾ o n 'a w t ə	ə s t ɾ o n ə 'u t ə
astronautes	ə s t ɾ o n 'a w t ə s	ə s t ɾ o n ə 'u t ə s
atendre	ə t 'e n d ɾ ə	ə t 'ə n d ɾ ə
atles	'a l l ə s	'a b b l ə s
Atles	'a l l ə s	'a b b l ə s
atreure	ə t ɾ 'ə w ɾ ə	ə t ɾ 'ɛ w ɾ ə
atribuïts	ə t ɾ i β u 'i t s	ə t ɾ i β u 'i s
aurèola	ə w ɾ 'ɛ o l ə	ə w ɾ ə 'ɔ l ə
Àustria	'a w s t ɾ i ə	a w s t ɾ 'i ə
autòmats	ə w t 'ɔ m ə t s	ə w t o m 'a t s
autoretrat	ə w t o r ə t ɾ 'a t	ə w t o ɾ ə t ɾ 'a t
autoretrats	ə w t o r ə t ɾ 'a t s	ə w t o ɾ ə t ɾ 'a t s
autosuficiència	ə w t o s u f i s i 'ɛ n s i ə	ə w t o z u f i s i 'ɛ n s i ə
autosuficient	ə w t o s u f i s i 'e n t	ə w t o z u f i s i 'e n t
avantbraç	ə v ə m b ɾ 'a s	ə v ə n t ə ɾ 'a s
avantpassat	ə v ə m p ə s 'a t	ə v ə n t p ə s 'a t
avantpassats	ə v ə m p ə s 'a t s	ə v ə n t p ə s 'a t s
babaues	b ə β 'a w ə s	b ə β 'a ə s
bàrbar	b 'a ɾ β ə	b ə ɾ β 'a
bateria	b ə t ə ɾ 'i ə	 b e t ə ɾ 'i ə
bateries	b ə t ə ɾ 'i ə s	 b e t ə ɾ 'i ə s
batimètric	b ə t i m 'ɛ t ɾ i k	b ə t i m 'ə t ɾ i k
bauprès	b ə w p ɾ 'ə s	 b e w p ɾ 'ə s
beata	b e 'a t ə	ə e 'a t ə
beates	b e 'a t ə s	ə e 'a t ə s
becllarg	b ə k ʎ 'a ɾ k	b ə k ʎ 'a ɾ ə
beneïts	b ə n ə 'i t s	b ə n ə 'i s
berberetxo	b ə ɾ β ə ɾ 'ɛ tʃ o	b ə ɾ β ə ɾ 'ə tʃ o
besnebot	b ə z n ə β 'o t	b ə z n ə β 'ɔ t
beure	b 'ə w ɾ ə	b 'ɛ w ɾ ə
Bigorra	b i ɣ 'ɔ r ə	b i ɣ 'o r ə
bilbaí	b i l β ə 'i	b i l β 'a
biogènesi	b i o ʒ 'ɛ n ə z i	b i o ʒ 'ə n ə z i
bitlles	b 'i l l ə s	b 'i ʎ ʎ ə s
Blancaneus	b l ə ŋ k ə n 'ɛ w s	b l ə ŋ k ə n ə 'u s
blens	b l 'ə n s	b l 'e n s
boa	b 'ɔ ə	b 'o ə
boc	b 'o k	b 'ɔ k
boca	b 'o k ə	b 'ɔ k ə
bocs	b 'o t s	b 'ɔ t s
boda	b 'o ð ə	b 'ɔ ð ə
bodes	b 'o ð ə s	b 'ɔ ð ə s
boes	b 'ɔ ə s	b 'o ə s
boirina	b o j ɾ 'i n ə	b o i ɾ 'i n ə
bolca	b 'o l k ə	b 'ɔ l k ə
bolenga	b o l 'ə ŋ g ə	b o l 'ɛ ŋ g ə
bolquen	b 'o l k ə n	b 'ɔ l k ə n
bomba	b 'o m b ə	b 'ɔ m b ə
bombes	b 'o m b ə s	b 'ɔ m b ə s
bombo	b 'o m b o	b 'ɔ m b o
bombolla	b o m b 'o ʎ ə	b o m b 'ɔ ʎ ə
bonze	b 'ɔ n z ə	b 'o n z ə
bonzessa	b o n z 'ə s ə	b o n z 'e s ə
boques	b 'o k ə s	b 'ɔ k ə s
borda	b 'o ɾ ð ə	b 'ɔ ɾ ð ə
bordo	b 'o ɾ ð o	b 'ɔ ɾ ð o
borsa	b 'o ɾ s ə	b 'ɔ ɾ s ə
borses	b 'o ɾ s ə s	b 'ɔ ɾ s ə s
bossa	b 'o s ə	b 'ɔ s ə
bosses	b 'o s ə s	b 'ɔ s ə s
boxa	b 'o t s ə	b 'ɔ t s ə
boxes	b 'o t s ə s	b 'ɔ t s ə s
brànquia	b ɾ 'a ŋ k i ə	b ɾ ə ŋ k 'i ə
brànquies	b ɾ 'a ŋ k i ə s	b ɾ ə ŋ k 'i ə s
bressin	b ɾ 'ə s i n	b ɾ 'e s i n
brètol	b ɾ 'ɛ t o l	b ɾ 'ə t o l
brètola	b ɾ 'ɛ t o l ə	b ɾ 'ə t o l ə
brètoles	b ɾ 'ɛ t o l ə s	b ɾ 'ə t o l ə s
brètols	b ɾ 'ɛ t o ls	b ɾ 'ə t o l s
bretxa	b ɾ 'e tʃ ə	b ɾ 'ə tʃ ə
bròcolis	b ɾ 'ɔ k o l i s	b ɾ o k o l 'i s
broda	b ɾ 'o ð ə	b ɾ 'ɔ ð ə
brolla	b ɾ 'o ʎ ə	b ɾ 'ɔ ʎ ə
brollen	b ɾ 'o ʎ ə n	b ɾ 'ɔ ʎ ə n
brúfol	b ɾ 'u f o l	b ɾ u f 'ɔ l
brúixola	b ɾ 'u ʃ o l ə	b ɾ u ʃ 'ɔ l ə
búbal	b 'u β ə l	b u β 'a l
búfal	b 'u f ə l	b u f 'a l
búfals	b 'u f ə l s	b u f 'a l s
buidada	b u j ð 'a ð ə	b u i ð 'a ð ə
buidades	b u j ð 'a ð ə s	b u i ð 'a ð ə s
buidar	b u j ð 'a	b u i ð 'a
buidatge	b u j ð 'a dʒ ə	b u i ð 'a dʒ ə
buidor	b u j ð 'o	b u i ð 'o
búlgara	b 'u l ɣ ə ɾ ə	b u l ɣ 'a ɾ ə
calamarsada	k ə l ə m ə ɾ s 'a ð ə	k ə l ə m ə s 'a ð ə
calamarsades	k ə l ə m ə ɾ s 'a ð ə s	k ə l ə m ə s 'a ð ə s
calàndria	k ə l 'a n d ɾ i ə	k ə l ə n d ɾ 'i ə
caler	k ə l 'ə	k ə l 'e
camaraderia	k ə m ə ɾ ə ð ə ɾ 'i ə	k ə m ə ɾ e ð ə ɾ 'i ə
candela	k ə n d 'ɛ l ə	k ə n d 'ə l ə
canela	k ə n 'ɛ l ə	k ə n 'ə l ə
caneles	k ə n 'ɛ l ə s	k ə n 'ə l ə s
capsa	k 'a t s ə	k 'a s ə
càpsules	k 'a t s u l ə s	k 'a s u l ə s
carboni	k ə ɾ β 'ɔ n i	k ə ɾ β 'o n i
carbonis	k ə ɾ β 'ɔ n i s	k ə ɾ β 'o n i s
càrcer	k 'a ɾ s ə	k 'a ɾ s e 
cars	k 'a s	k 'a ɾ s
cartílag	k ə ɾ t 'i l ə k	k ə ɾ t 'i l ə tʃ
cartilaginoses	k ə ɾ t i l ə ʒ i n 'o z ə s	k ə ɾ t i l ə ʒ i n 'o s ə s
casella	k ə z 'e ʎ ə	k ə s 'e ʎ ə
Caterina	k ə t ə ɾ 'i n ə	 k e t ə ɾ 'i n ə
catorze	k ə t 'o ɾ z ə	k ə t 'ɔ ɾ z ə
catúfol	k ə t 'u f o l	k ə t u f 'ɔ l
cavernícola	k ə v ə ɾ n 'i k o l ə	 k e v ə ɾ n 'i k o l ə
cèdula	s 'ɛ ð u l ə	s 'ə ð u l ə
cèdules	s 'ɛ ð u l ə s	s 'ə ð u l ə s
cegues	s 'ə ɣ ə s	s 'ɛ ɣ ə s
cella	s 'ə ʎ ə	s 'e ʎ ə
celles	s 'ə ʎ ə s	s 'e ʎ ə s
cens	s 'ə n s	s 'e n s
centren	s 'e n t ɾ ə n	s 'ə n t ɾ ə n
centres	s 'e n t ɾ ə s	s 'ə n t ɾ ə s
cèntrica	s 'ɛ n t ɾ i k ə	s ə n t ɾ 'i k ə
cèntriques	s 'ɛ n t ɾ i k ə s	s 'ə n t ɾ i k ə s
centro	s 'e n t ɾ o	s 'ə n t ɾ o
ceptre	s 'e t t ɾ ə	s 'ɛ t t ɾ ə
cèrcols	s 'ɛ ɾ k o l s	s ə ɾ k 'ɔ l s
cessen	s 'e s ə n	s 'ə s ə n
ciberespais	s i β ə ɾ ə s p 'a j s	s i β ə ɾ ə s p 'a i s
cilíndrica	s i l 'i n d ɾ i k ə	s i l i n d ɾ 'i k ə
circumcisió	s i ɾ k u n s i z i 'o	s i ɾ k u t s i z i 'o
ciutadà	s i w t ə ð 'a	s i w t 'a ð 'a
clavicèmbal	k l ə v i s 'ɛ m b ə l	k l ə v i s 'ə m b ə l
clona	k l 'ɔ n ə	k l 'o n ə
clones	k l 'ɔ n ə s	k l 'o n ə s
cloni	k l 'ɔ n i	k l 'o n i
clonin	k l 'ɔ n i n	k l 'o n i n
clonis	k l 'ɔ n i s	k l 'o n i s
clono	k l 'ɔ n o	k l 'o n o
clora	k l 'ɔ ɾ ə	k l 'o ɾ ə
clores	k l 'ɔ ɾ ə s	k l 'o ɾ ə s
closes	k l 'ɔ z ə s	k l 'o s ə s
coa	k 'ɔ ə	k 'o ə
cobles	k 'o b b l ə s	k 'ɔ b b l ə s
còclea	k 'ɔ k l e ə	k 'ɔ k l ə ə
coco	k 'o k o	k 'ɔ k o
cofoi	k o f 'ɔ j	k o f 'o i
cogoma	k o ɣ 'ɔ m ə	k o ɣ 'o m ə
cogombre	k o ɣ 'o m b ɾ ə	k o ɣ 'ɔ m b ɾ ə
colesteatoma	k o l ə s t e ə t 'ɔ m ə	k o l ə s t ə ə t 'o m ə
colesteatomes	k o l ə s t e ə t 'ɔ m ə s	k o l ə s t ə ə t 'o m ə s
colossos	k o l 'o s o s	k o l 'ɔ s o s
colze	k 'o l z ə	k 'ɔ l z ə
com	k 'ɔ m	k 'o m
comandaments	k o m ə n d ə m 'e n s	k o m ə n d ə m 'e n t s
comboi	k o m b 'ɔ j	k o m b 'o i
còmplices	k 'ɔ m p l i s ə s	k o m p l 'i s ə s
compra	k 'o m p ɾ ə	k 'ɔ m p ɾ ə
compren	k 'o m p ɾ ə n	k 'ɔ m p ɾ ə n
compres	k 'o m p ɾ ə s	k 'ɔ m p ɾ ə s
compro	k 'o m p ɾ o	k 'ɔ m p ɾ o
compta	k 'o m t ə	k 'ɔ m t ə
comptada	k o m t 'a ð ə	k o m o t 'a ð ə
comptades	k o m t 'a ð ə s	k o m o t 'a ð ə s
compte	k 'o m t ə	k 'ɔ m t ə
compten	k 'o m t ə n	k 'ɔ m i t ə n
comptes	k 'o m t ə s	k 'ɔ m t ə s
comtat	k o n t 'a t	k o ə t 'a t
comtats	k o n t 'a t s	k o ə t 'a t s
comte	k 'o n t ə	k 'ɔ n t ə
comtes	k 'o n t ə s	k 'ɔ n t ə s
conca	k 'o ŋ k ə	k 'ɔ ŋ k ə
concloses	k o ŋ k l 'ɔ z ə s	k o ŋ k l 'o s ə s
conduïts	k o n d u 'i t s	k o n d u 'i s
cònjuge	k 'ɔ n ʒ u ʒ ə	k o n ʒ 'u ʒ ə
conques	k 'o ŋ k ə s	k 'ɔ ŋ k ə s
conquesta	k o ŋ k 'e s t ə	k o ŋ k 'ə s t ə
consciència	k o n t s i 'ɛ n s i ə	k o n s i 'ɛ n s i ə
conscient	k o n t s i 'e n t	k o n s i 'e n t
consell	k o n s 'ə ʎ	k o n s 'e ʎ
consens	k o n s 'ə n s	k o n s 'e n s
consignar	k o n s i n n 'a	k o n s i ə n 'a
cònsols	k 'ɔ n s o l s	k o n s 'ɔ l s
consta	k 'o n s t ə	k 'ɔ n s t ə
conte	k 'o n t ə	k 'ɔ n t ə
conten	k 'o n t ə n	k 'ɔ n t ə n
contes	k 'o n t ə s	k 'ɔ n t ə s
contigu	k o n t 'i ɣ u	k o n t 'i ɣ
contingents	k o n t i n ʒ 'e n s	k o n t i ŋ g 'e n s
contra	k 'o n t ɾ ə	k 'ɔ n t ɾ ə
contreure	k o n t ɾ 'ə w ɾ ə	k o n t ɾ 'ɛ w ɾ ə
contribuïts	k o n t ɾ i β u 'i t s	k o n t ɾ i β u 'i s
copa	k 'o p ə	k 'ɔ p ə
copes	k 'o p ə s	k 'ɔ p ə s
copsa	k 'o t s ə	k 'ɔ t s ə
coquessa	k o k 'ə s ə	k o k 'e s ə
cora	k 'ɔ ɾ ə	k 'o ɾ ə
coratjosa	k o ɾ ə dʒ 'o z ə	k o ɾ ə dʒ 'o s ə
coreans	k o ɾ e 'a n s	k o ɾ ə 'a n s
córner	k 'o ɾ n ə	k o ɾ n 'e 
corre	k 'o r ə	k 'ɔ r ə
corren	k 'o r ə n	k 'ɔ r ə n
corro	k 'o r o	k 'ɔ r o
corroïts	k o r o 'i t s	k o r o 'i s
corrompre	k o r 'o m p ɾ ə	k o r 'ɔ m p ɾ ə
corroure	k o r 'ɔ w ɾ ə	k o r o 'u ɾ ə
corsa	k 'o ɾ s ə	k 'ɔ ɾ s ə
corses	k 'o ɾ s ə s	k 'ɔ ɾ s ə s
Cortsaví	k o ɾ t s ə v 'i	k o ɾ s 'a v 'i
cosa	k 'ɔ z ə	k 'o z ə
coses	k 'ɔ z ə s	k 'o z ə s
cosmos	k 'o z m o s	k 'ɔ z m o s
costoses	k o s t 'o z ə s	k o s t 'o s ə s
cotxe	k 'o tʃ o	k 'ɔ tʃ ə
cotxes	k 'o tʃ ə s	k 'ɔ tʃ ə s
courenc	k o w ɾ 'ə ŋ k	k o u ɾ 'ə ŋ k
creador	k ɾ e ə ð 'o	k ɾ ə ə ð 'o
creatiu	k ɾ e ə t 'i w	k ɾ ə ə t 'i w
creatius	k ɾ e ə t 'i w s	k ɾ ə ə t 'i w s
creativa	k ɾ e ə t 'i v ə	k ɾ ə ə t 'i v ə
creatives	k ɾ e ə t 'i v ə s	k ɾ ə ə t 'i v ə s
creen	k ɾ 'e ə n	k ɾ 'ɛ ə n
creixen	k ɾ 'e ʃ ə n	k ɾ 'ə ʃ ə n
crema	k ɾ 'e m ə	k ɾ 'ə m ə
cremen	k ɾ 'e m ə n	k ɾ 'ə m ə n
cremes	k ɾ 'e m ə s	k ɾ 'ə m ə s
creure	k ɾ 'ə w ɾ ə	k ɾ 'ɛ w ɾ ə
cuidar	k u j ð 'a	k u i ð 'a
cuidares	k u j ð 'a ɾ ə s	k u i ð 'a ɾ ə s
cuidava	k u j ð 'a v ə	k u i ð 'a v ə
cuinada	k u j n 'a ð ə	k u i n 'a ð ə
cuinades	k u j n 'a ð ə s	k u i n 'a ð ə s
cuinar	k u j n 'a	k u i n 'a
cuiner	k u j n 'e	k u i n 'e
cuitar	k u j t 'a	k u i t 'a
cursada	k u ɾ s 'a ð ə	k u ə s 'a ð ə
cursades	k u ɾ s 'a ð ə s	k u ə s 'a ð ə s
dard	d 'a ɾ t	d 'a ɾ ə
darrere	d ə r 'e ɾ ə	d ə r 'ɛ ɾ ə
de	d 'ə	d ə
dècada	d 'ɛ k ə ð ə	d ə k 'a ð ə
dècade	d 'ɛ k ə ð ə	d ə k 'a ð ə
dècima	d 'ɛ s i m ə	d ə s i m ə
deduïts	d ə ð u 'i t s	d ə ð u 'i s
defora	d ə f 'ɔ ɾ ə	d ə f 'o ɾ ə
deguin	d 'ə ɣ i n	d 'ɛ ɣ i n
deguis	d 'ə ɣ i s	d 'ɛ ɣ i s
deixeble	d ə ʃ 'e b b l ə	d ə ʃ 'ɛ b b l ə
delinquits	d ə l i ŋ k 'i t s	d ə l i ŋ k 'i s
dempeus	d ə m p 'ɛ w s	d ə m p ə 'u s
Dénia	d 'e n i ə	d ə n 'i ə
dens	d 'ə n s	d 'e n s
derruïts	d ə r u 'i t s	d ə r u 'i s
desatendre	d ə z ə t 'e n d ɾ ə	d ə z ə t 'ə n d ɾ ə
descompte	d ə s k 'o m t ə	d ə s k 'ɔ m t ə
desembeinar	d ə z ə m b ə j n 'a	d ə z ə m b ə i n 'a
desembre	d ə z 'e m b ɾ ə	d ə z 'ə m b ɾ ə
desesma	d ə z 'ə z m ə	d ə s 'ə z m ə
desfet	d ə s f 'e t	d ə s f 'ə t
desfeta	d ə s f 'e t ə	d ə s f 'ə t ə
desguàs	d ə z ɣ w 'a s	d ə z ɣ 'a s
deshidratar	d ə s i ð ɾ ə t 'a	d ə z i ð ɾ ə t 'a
desig	d ə z 'i tʃ	d ə z 'i ə
designada	d ə z i n n 'a ð ə	d ə z i ə n 'a ð ə
designades	d ə z i n n 'a ð ə s	d ə z i ə n 'a ð ə s
designar	d ə z i n n 'a	d ə z i ə n 'a
designat	d ə z i n n 'a t	d ə z i ə n 'a t
designats	d ə z i n n 'a t s	d ə z i ə n 'a t s
desigs	d ə z 'i tʃ s	d ə z 'i n s
deso	d 'e z o	d 'ə z o
desobeïts	d ə z o β ə 'i t s	d ə z o β ə 'i s
desordre	d ə z 'o ɾ ð ɾ ə	d ə z 'ɔ ɾ ð ɾ ə
destituïts	d ə s t i t u 'i t s	d ə s t i t u 'i s
destra	d 'e s t ɾ ə	d 'ə s t ɾ ə
destres	d 'e s t ɾ ə s	d 'ə s t ɾ ə s
destruïts	d ə s t ɾ u 'i t s	d ə s t ɾ u 'i s
detona	d ə t 'ɔ n ə	d ə t 'o n ə
detones	d ə t 'ɔ n ə s	d ə t 'o n ə s
detono	d ə t 'ɔ n o	d ə t 'o n o
deure	d 'ə w ɾ ə	d 'ɛ w ɾ ə
diamants	d i ə m 'a n s	d i ə m 'a n t s
diarrea	d i ə r 'ɛ ə	d i ə r 'e ə
diatomea	d i ə t o m 'ɛ ə	d i ə t o m 'e ə
dièsel	d i 'ə z ə l	d i 'ə s ə l
difondre	d i f 'o n d ɾ ə	d i f 'ɔ n d ɾ ə
difoses	d i f 'o z ə s	d i f 'o s ə s
dijous	d i ʒ 'ɔ w s	d i ʒ o 'u s
dimecres	d i m 'e k ɾ ə s	d i m 'ɛ k ɾ ə s
dionisíac	d i o n i z 'i ə k	d i o n i s 'i ə k
dírham	d 'i ɾ ə m	d i ɾ 'a m
dismenorrea	d i z m ə n o r 'ɛ ə	d i z m ə n 'o r 'e ə
disposes	d i s p 'ɔ z ə s	d i s p 'o z ə s
distendre	d i s t 'e n d ɾ ə	d i s t 'ə n d ɾ ə
distingida	d i s t i n ʒ 'i ð ə	d i s t i ŋ g 'i ð ə
distingir	d i s t i n ʒ 'i	d i s t i ŋ g 'i
distingit	d i s t i n ʒ 'i t	d i s t i ŋ g 'i t
distingits	d i s t i n ʒ 'i t s	d i s t i ŋ g 'i t s
distreta	d i s t ɾ 'e t ə	d i s t ɾ 'ə t ə
distreure	d i s t ɾ 'ə w ɾ ə	d i s t ɾ 'ɛ w ɾ ə
distribuïts	d i s t ɾ i β u 'i t s	d i s t ɾ i β u 'i s
dividend	d i v i ð 'e n t	d i v i ð 'ə n t
Djibouti	dʒ i β 'ɔ w t i	d ʒ i β o 'u t i
doble	d 'o b b l ə	d 'ɔ b b l ə
dobles	d 'o b b l ə s	d 'ɔ b b l ə s
dodecàedre	d o ð ə k 'a ə ð ɾ ə	d o ð ə t s ə ð ɾ ə
dogma	d 'o m m ə	d 'ɔ m m ə
dogmes	d 'o m m ə s	d 'ɔ m m ə s
dòlar	d 'ɔ l ə	d o l 'a
dolça	d 'o l s ə	d 'ɔ l s ə
dolces	d 'o l s ə s	d 'ɔ l s ə s
dolços	d 'o l s o s	d 'ɔ l s o s
doler	d o l 'ə	d o l 'e
domtà	d o n t 'a	d o m 'a
donen	d 'o n ə n	d 'ɔ n ə n
dopa	d 'o p ə	d 'ɔ p ə
dotze	d 'o d z ə	d 'ɔ d z ə
dreces	d ɾ 'ə s ə s	d ɾ 'e s ə s
Ebre	'e β ɾ ə	'ə β ɾ ə
ebri	'ɛ β ɾ i	'ə β ɾ i
eclipsa	ə k l 'i t s ə	ə k l 'i s ə
ecosistema	ə k o s i s t 'e m ə	ə k o z i s t 'ə m ə
Eduard	ə ð u 'a ɾ t	ə ð u 'a ɾ ə
efervescent	ə f ə ɾ v ə t s 'e n t	ə f ə ɾ v ə s 'e n t
ègida	'ə ʒ i ð ə	'ɛ ʒ i ð ə
ego	'e ɣ o	'ə ɣ o
eixe	'e ʃ ə	'ə ʃ ə
ele	'ɛ l ə	'ə l ə
elèctric	ə l 'ə t t ɾ i k	ə l 'ɛ t t ɾ i k
elèctrica	ə l 'ə t t ɾ i k ə	ə l ə t t ɾ 'i k ə
elèctrics	ə l 'ə t t ɾ i t s	ə l ə t t ɾ 'i t s
elèctriques	ə l 'ə t t ɾ i k ə s	ə l 'ɛ t t ɾ i k ə s
elèctrode	ə l 'ə t t ɾ o ð ə	ə l ə t t ɾ 'ɔ ð ə
eles	'ɛ l ə s	'ə l ə s
Eloi	ə l 'ɔ j	ə l 'o i
eloqüent	ə l o k w 'e n t	ə l o ə w 'e n t
elusiu	ə l u z 'i w	ɛ l u z 'i w
elusius	ə l u z 'i w s	ɛ l u z 'i w s
elusiva	ə l u z 'i v ə	ɛ l u z 'i v ə
elusives	ə l u z 'i v ə s	ɛ l u z 'i v ə s
elxans	ə l ʃ 'a n s	ə ʃ 'a n s
emblema	ə m b l 'ɛ m ə	ə m b l 'ə m ə
emboirar	ə m b o j ɾ 'a	ə m b o i ɾ 'a
emfisema	ə m f i z 'ɛ m ə	ə m f i z 'ə m ə
empiema	ə m p i 'ɛ m ə	ə m p i 'ə m ə
