Aaró	a a ɾ 'o
abominable	a β o m i n 'a β l e
abominables	a β o m i n 'a β l e s
abominada	a β o m i n 'a ð a
abominades	a β o m i n 'a ð e s
abominar	a β o m i n 'a
abominat	a β o m i n 'a t
abominats	a β o m i n 'a t s
abonada	a β o n 'a ð a
abonades	a β o n 'a ð e s
abonament	a β o n a m 'e n
abonar	a β o n 'a
abonat	a β o n 'a t
abonats	a β o n 'a t s
abonir	a β o n 'i
abonyegar	a β o ɲ e ɣ 'a
aborígens	a β o ɾ 'i ʒ e n s
abraça	a β ɾ 'a s a
abraçada	a β ɾ a s 'a ð a
abraçades	a β ɾ a s 'a ð e s
abraçant	a β ɾ a s 'a n
abraçar	a β ɾ a s 'a
abraçaràs	a β ɾ a s a ɾ 'a s
abraçàrem	a β ɾ a s 'a ɾ e m
abraçares	a β ɾ a s 'a ɾ e s
abraçaria	a β ɾ a s a ɾ 'i a
abraçat	a β ɾ a s 'a t
abraçats	a β ɾ a s 'a t s
abraçava	a β ɾ a s 'a β a
abraces	a β ɾ 'a s e s
abraços	a β ɾ 'a s o s
Abraham	a β ɾ a 'a m
abranda	a β ɾ 'a n d a
abrandada	a β ɾ a n d 'a ð a
abrandades	a β ɾ a n d 'a ð e s
abrandar	a β ɾ a n d 'a
abrandares	a β ɾ a n d 'a ɾ e s
abrandaria	a β ɾ a n d a ɾ 'i a
abrandat	a β ɾ a n d 'a t
abrandats	a β ɾ a n d 'a t s
abrandava	a β ɾ a n d 'a β a
abrandes	a β ɾ 'a n d e s
abrandés	a β ɾ a n d 'e s
abrando	a β ɾ 'a n d o
abraonada	a β ɾ a o n 'a ð a
abraonades	a β ɾ a o n 'a ð e s
abraonar	a β ɾ a o n 'a
abraonat	a β ɾ a o n 'a t
abraonats	a β ɾ a o n 'a t s
abrasant	a β ɾ a z 'a n
abrasar	a β ɾ a z 'a
abrasiva	a β ɾ a z 'i β a
abrasives	a β ɾ a z 'i β e s
abrevia	a β ɾ e β 'i a
abrevies	a β ɾ e β 'i e s
abrevio	a β ɾ e β 'i o
abric	a β ɾ 'i k
abrigada	a β ɾ i ɣ 'a ð a
abrigades	a β ɾ i ɣ 'a ð e s
abrigall	a β ɾ i ɣ 'a ʎ
abrigar	a β ɾ i ɣ 'a
abrigat	a β ɾ i ɣ 'a t
abrigats	a β ɾ i ɣ 'a t s
abril	a β ɾ 'i l
abró	a β ɾ 'o
abrogar	a β ɾ o ɣ 'a
abròtan	a β ɾ 'ɔ t a n
Abruços	a β ɾ 'u s o s
abrupta	a β ɾ 'u p t a
abrupte	a β ɾ 'u p t e
Absaló	a p s a l 'o
abscés	a p s 'e s
absent	a p s 'e n
absenta	a p s 'e n t a
absents	a p s 'e n s
absis	'a p s i s
absolut	a p s o l 'u t
absolutoris	a p s o l u t 'ɔ ɾ i s
abstindre	a p s t 'i n d ɾ e
abstinguda	a p s t i ŋ g 'u ð a
abstingudes	a p s t i ŋ g 'u ð e s
abstingut	a p s t i ŋ g 'u t
abstinguts	a p s t i ŋ g 'u t s
abstracta	a p s t ɾ 'a k t a
abstracte	a p s t ɾ 'a k t e
abstractes	a p s t ɾ 'a k t e s
abuixar	a β u j ʃ 'a
abunda	a β 'u n d a
abundada	a β u n d 'a ð a
abundades	a β u n d 'a ð e s
abundant	a β u n d 'a n
abundants	a β u n d 'a n s
abundar	a β u n d 'a
abundares	a β u n d 'a ɾ e s
abundaria	a β u n d a ɾ 'i a
abundat	a β u n d 'a t
abundats	a β u n d 'a t s
abundava	a β u n d 'a β a
abundes	a β 'u n d e s
abundis	a β 'u n d i s
abundo	a β 'u n d o
abundós	a β u n d 'o s
abundosa	a β u n d 'o z a
abús	a β 'u s
abusada	a β u z 'a ð a
abusades	a β u z 'a ð e s
abusar	a β u z 'a
abusat	a β u z 'a t
abusats	a β u z 'a t s
abuses	a β 'u z e s
abusiva	a β u z 'i β a
abusives	a β u z 'i β e s
abuso	a β 'u z o
acaba	a k 'a β a
acabà	a k a β 'a
acabada	a k a β 'a ð a
acabades	a k a β 'a ð e s
acabament	a k a β a m 'e n
acabar	a k a β 'a
acabarà	a k a β a ɾ 'a
acabaràs	a k a β a ɾ 'a s
acabaré	a k a β a ɾ 'e
acabarem	a k a β a ɾ 'e m
acabàrem	a k a β 'a ɾ e m
acabares	a k a β 'a ɾ e s
acabaria	a k a β a ɾ 'i a
acabaríem	a k a β a ɾ 'i e m
acabat	a k a β 'a t
acabats	a k a β 'a t s
acabava	a k a β 'a β a
acabàvem	a k a β 'a β e m
acabem	a k a β 'e m
acabes	a k 'a β e s
acabés	a k a β 'e s
acabéssim	a k a β 'e s i m
acabí	a k a β 'i
acabo	a k 'a β o
acadèmic	a k a ð 'ɛ m i k
acadèmica	a k a ð 'ɛ m i k a
acadèmics	a k a ð 'ɛ m i k s
acadèmiques	a k a ð 'ɛ m i k e s
acampada	a k a m p 'a ð a
acampades	a k a m p 'a ð e s
acampar	a k a m p 'a
acampat	a k a m p 'a t
acampats	a k a m p 'a t s
acanissar	a k a n i s 'a
acaparada	a k a p a ɾ 'a ð a
acaparades	a k a p a ɾ 'a ð e s
acaparar	a k a p a ɾ 'a
acaparat	a k a p a ɾ 'a t
acaparats	a k a p a ɾ 'a t s
acaramel·lar	a k a ɾ a m e l 'a
acaricia	a k a ɾ i s 'i a
acaricies	a k a ɾ i s 'i e s
acaricio	a k a ɾ i s 'i o
acaronada	a k a ɾ o n 'a ð a
acaronades	a k a ɾ o n 'a ð e s
acaronar	a k a ɾ o n 'a
acaronat	a k a ɾ o n 'a t
acaronats	a k a ɾ o n 'a t s
acaserat	a k a z e ɾ 'a t
acastellanar	a k a s t e ʎ a n 'a
accadi	a k k 'a ð i
accedida	a k s e ð 'i ð a
accedides	a k s e ð 'i ð e s
accedir	a k s e ð 'i
accedit	a k s e ð 'i t
accedits	a k s e ð 'i t s
accelerada	a k s e l e ɾ 'a ð a
accelerades	a k s e l e ɾ 'a ð e s
accelerar	a k s e l e ɾ 'a
accelerat	a k s e l e ɾ 'a t
accelerats	a k s e l e ɾ 'a t s
accent	a k s 'e n
accentuar	a k s e n t u 'a
acceptabilitat	a k s e p t a β i l i t 'a t
acceptable	a k s e p t 'a β l e
acceptables	a k s e p t 'a β l e s
acceptada	a k s e p t 'a ð a
acceptades	a k s e p t 'a ð e s
acceptant	a k s e p t 'a n
acceptar	a k s e p t 'a
acceptat	a k s e p t 'a t
acceptats	a k s e p t 'a t s
accés	a k s 'e s
accessibilitat	a k s e s i β i l i t 'a t
accessible	a k s e s 'i β l e
accessibles	a k s e s 'i β l e s
accessori	a k s e s 'ɔ ɾ i
accident	a k s i ð 'e n
accidentada	a k s i ð e n t 'a ð a
accidentades	a k s i ð e n t 'a ð e s
accidentals	a k s i ð e n t 'a l s
accidentar	a k s i ð e n t 'a
accidentat	a k s i ð e n t 'a t
accidentats	a k s i ð e n t 'a t s
acel·lular	a s e l u l 'a
acerar	a s e ɾ 'a
acerat	a s e ɾ 'a t
aceró	a s e ɾ 'o
acèrrim	a s 'ɛ r i m
acetàbul	a s e t 'a β u l
acetat	a s e t 'a t
acetats	a s e t 'a t s
acètic	a s 'ɛ t i k
acètica	a s 'ɛ t i k a
acètics	a s 'ɛ t i k s
acetímetre	a s e t 'i m e t ɾ e
acètiques	a s 'ɛ t i k e s
ací	a s 'i
àcid	'a s i t
acidifica	a s i ð i f 'i k a
acidificada	a s i ð i f i k 'a ð a
acidificades	a s i ð i f i k 'a ð e s
acidificar	a s i ð i f i k 'a
acidificares	a s i ð i f i k 'a ɾ e s
acidificaria	a s i ð i f i k a ɾ 'i a
acidificat	a s i ð i f i k 'a t
acidificats	a s i ð i f i k 'a t s
acidificava	a s i ð i f i k 'a β a
acidifico	a s i ð i f 'i k o
acidifiques	a s i ð i f 'i k e s
acidosi	a s i ð 'ɔ z i
àcids	'a s i t s
acídul	a s 'i ð u l
acidular	a s i ð u l 'a
aclama	a k l 'a m a
aclamada	a k l a m 'a ð a
aclamades	a k l a m 'a ð e s
aclamar	a k l a m 'a
aclamares	a k l a m 'a ɾ e s
aclamaria	a k l a m a ɾ 'i a
aclamat	a k l a m 'a t
aclamats	a k l a m 'a t s
aclamava	a k l a m 'a β a
aclames	a k l 'a m e s
aclamo	a k l 'a m o
aclaparada	a k l a p a ɾ 'a ð a
aclaparades	a k l a p a ɾ 'a ð e s
aclaparador	a k l a p a ɾ a ð 'o
aclaparadora	a k l a p a ɾ a ð 'o ɾ a
aclaparadores	a k l a p a ɾ a ð 'o ɾ e s
aclaparadors	a k l a p a ɾ a ð 'o s
aclaparat	a k l a p a ɾ 'a t
aclaparats	a k l a p a ɾ 'a t s
aclarida	a k l a ɾ 'i ð a
aclarides	a k l a ɾ 'i ð e s
aclariment	a k l a ɾ i m 'e n
aclarir	a k l a ɾ 'i
aclarit	a k l a ɾ 'i t
aclarits	a k l a ɾ 'i t s
aclucada	a k l u k 'a ð a
aclucades	a k l u k 'a ð e s
aclucar	a k l u k 'a
aclucat	a k l u k 'a t
aclucats	a k l u k 'a t s
açò	a s 'ɔ
acoblada	a k o β l 'a ð a
acoblades	a k o β l 'a ð e s
acoblar	a k o β l 'a
acoblat	a k o β l 'a t
acoblats	a k o β l 'a t s
acòlit	a k 'ɔ l i t
acòlita	a k 'ɔ l i t a
acòlites	a k 'ɔ l i t e s
acòlits	a k 'ɔ l i t s
acollar	a k o ʎ 'a
acollida	a k o ʎ 'i ð a
acollides	a k o ʎ 'i ð e s
acolliment	a k o ʎ i m 'e n
acollir	a k o ʎ 'i
acollit	a k o ʎ 'i t
acollits	a k o ʎ 'i t s
acoltellar	a k o l t e ʎ 'a
acomodada	a k o m o ð 'a ð a
acomodades	a k o m o ð 'a ð e s
acomodar	a k o m o ð 'a
acomodat	a k o m o ð 'a t
acomodats	a k o m o ð 'a t s
acompanyada	a k o m p a ɲ 'a ð a
acompanyades	a k o m p a ɲ 'a ð e s
acompanyament	a k o m p a ɲ a m 'e n
acompanyar	a k o m p a ɲ 'a
acompanyat	a k o m p a ɲ 'a t
acompanyats	a k o m p a ɲ 'a t s
aconseguida	a k o n s e ɣ 'i ð a
aconseguides	a k o n s e ɣ 'i ð e s
aconseguir	a k o n s e ɣ 'i
aconseguit	a k o n s e ɣ 'i t
aconseguits	a k o n s e ɣ 'i t s
aconsellable	a k o n s e ʎ 'a β l e
aconsellables	a k o n s e ʎ 'a β l e s
aconsellada	a k o n s e ʎ 'a ð a
aconsellades	a k o n s e ʎ 'a ð e s
aconsellat	a k o n s e ʎ 'a t
aconsellats	a k o n s e ʎ 'a t s
acorada	a k o ɾ 'a ð a
acorar	a k o ɾ 'a
acorat	a k o ɾ 'a t
acorralada	a k o r a l 'a ð a
acorralades	a k o r a l 'a ð e s
acorralar	a k o r a l 'a
acorralat	a k o r a l 'a t
acorralats	a k o r a l 'a t s
acorreguda	a k o r e ɣ 'u ð a
acorregudes	a k o r e ɣ 'u ð e s
acorregut	a k o r e ɣ 'u t
acorreguts	a k o r e ɣ 'u t s
acórrer	a k 'o r e
acosta	a k 'ɔ s t a
Acosta	a k 'ɔ s t a
acostada	a k o s t 'a ð a
acostades	a k o s t 'a ð e s
acostament	a k o s t a m 'e n
acostar	a k o s t 'a
acostares	a k o s t 'a ɾ e s
acostaria	a k o s t a ɾ 'i a
acostat	a k o s t 'a t
acostats	a k o s t 'a t s
acostava	a k o s t 'a β a
acostem	a k o s t 'e m
acostes	a k 'ɔ s t e s
acostuma	a k o s t 'u m a
acostumada	a k o s t u m 'a ð a
acostumades	a k o s t u m 'a ð e s
acostumar	a k o s t u m 'a
acostumares	a k o s t u m 'a ɾ e s
acostumaria	a k o s t u m a ɾ 'i a
acostumat	a k o s t u m 'a t
acostumats	a k o s t u m 'a t s
acostumava	a k o s t u m 'a β a
acostumem	a k o s t u m 'e m
acostumes	a k o s t 'u m e s
acostumo	a k o s t 'u m o
acotada	a k o t 'a ð a
acotades	a k o t 'a ð e s
acotar	a k o t 'a
acotat	a k o t 'a t
acotats	a k o t 'a t s
acotxador	a k o tʃ a ð 'o
acotxar	a k o tʃ 'a
acredita	a k ɾ e ð 'i t a
acredità	a k ɾ e ð i t 'a
acreditada	a k ɾ e ð i t 'a ð a
acreditades	a k ɾ e ð i t 'a ð e s
acreditar	a k ɾ e ð i t 'a
acreditares	a k ɾ e ð i t 'a ɾ e s
acreditaria	a k ɾ e ð i t a ɾ 'i a
acreditat	a k ɾ e ð i t 'a t
acreditats	a k ɾ e ð i t 'a t s
acreditava	a k ɾ e ð i t 'a β a
acredites	a k ɾ e ð 'i t e s
acredito	a k ɾ e ð 'i t o
acròbata	a k ɾ 'ɔ β a t a
acròbates	a k ɾ 'ɔ β a t e s
acrobàtic	a k ɾ o β 'a t i k
acrobàtica	a k ɾ o β 'a t i k a
acrobàtics	a k ɾ o β 'a t i k s
acrobàtiques	a k ɾ o β 'a t i k e s
acrònim	a k ɾ 'ɔ n i m
acrònims	a k ɾ 'ɔ n i m s
acta	'a k t a
acte	'a k t e
actes	'a k t e s
actini	a k t 'i n i
actinomicosi	a k t i n o m i k 'ɔ z i
actitud	a k t i t 'u t
actituds	a k t i t 'u t s
activa	a k t 'i β a
activada	a k t i β 'a ð a
activades	a k t i β 'a ð e s
activar	a k t i β 'a
activat	a k t i β 'a t
activats	a k t i β 'a t s
activisme	a k t i β 'i z m e
activista	a k t i β 'i s t a
activitat	a k t i β i t 'a t
activitats	a k t i β i t 'a t s
activo	a k t 'i β o
actor	a k t 'o
actua	a k t 'u a
actuada	a k t u 'a ð a
actuades	a k t u 'a ð e s
actual	a k t u 'a l
actualitat	a k t u a l i t 'a t
actualitats	a k t u a l i t 'a t s
actualitzada	a k t u a l i d z 'a ð a
actualitzades	a k t u a l i d z 'a ð e s
actualitzant	a k t u a l i d z 'a n
actualitzar	a k t u a l i d z 'a
actualitzat	a k t u a l i d z 'a t
actualitzats	a k t u a l i d z 'a t s
actuals	a k t u 'a l s
actuar	a k t u 'a
actuarem	a k t u a ɾ 'e m
actuares	a k t u 'a ɾ e s
actuaria	a k t u a ɾ 'i a
actuat	a k t u 'a t
actuats	a k t u 'a t s
actuava	a k t u 'a β a
actuem	a k t u 'e m
actues	a k t 'u e s
actuo	a k t 'u o
acubar	a k u β 'a
acudia	a k u ð 'i a
acudida	a k u ð 'i ð a
acudides	a k u ð 'i ð e s
acudir	a k u ð 'i
acudires	a k u ð 'i ɾ e s
acudiria	a k u ð i ɾ 'i a
acudit	a k u ð 'i t
acudits	a k u ð 'i t s
acular	a k u l 'a
acumulada	a k u m u l 'a ð a
acumulades	a k u m u l 'a ð e s
acumular	a k u m u l 'a
acumulat	a k u m u l 'a t
acumulats	a k u m u l 'a t s
acurada	a k u ɾ 'a ð a
acurades	a k u ɾ 'a ð e s
acurat	a k u ɾ 'a t
acurats	a k u ɾ 'a t s
acusa	a k 'u z a
acusada	a k u z 'a ð a
acusades	a k u z 'a ð e s
acusar	a k u z 'a
acusàrem	a k u z 'a ɾ e m
acusares	a k u z 'a ɾ e s
acusaria	a k u z a ɾ 'i a
acusat	a k u z 'a t
acusativa	a k u z a t 'i β a
acusatori	a k u z a t 'ɔ ɾ i
acusatoris	a k u z a t 'ɔ ɾ i s
acusats	a k u z 'a t s
acusava	a k u z 'a β a
acuses	a k 'u z e s
acuso	a k 'u z o
acústic	a k 'u s t i k
acústics	a k 'u s t i k s
acústiques	a k 'u s t i k e s
Ada	'a ð a
adalil	a ð a l 'i l
Adam	a ð 'a m
adàmic	a ð 'a m i k
adaptabilitat	a ð a p t a β i l i t 'a t
adaptabilitats	a ð a p t a β i l i t 'a t s
adaptable	a ð a p t 'a β l e
adaptables	a ð a p t 'a β l e s
adaptada	a ð a p t 'a ð a
adaptades	a ð a p t 'a ð e s
adaptar	a ð a p t 'a
adaptat	a ð a p t 'a t
adaptats	a ð a p t 'a t s
addicte	a d d 'i k t e
addictes	a d d 'i k t e s
additiva	a d d i t 'i β a
additives	a d d i t 'i β e s
adduïda	a d d u 'i ð a
adduïdes	a d d u 'i ð e s
adduir	a d d u 'i
adduït	a d d u 'i t
adduïts	a d d u 'i t s
Adelaida	a ð e l 'a j ð a
adequada	a ð e k w 'a ð a
adequades	a ð e k w 'a ð e s
adequat	a ð e k w 'a t
adequats	a ð e k w 'a t s
adés	a ð 'e s
adherida	a ð e ɾ 'i ð a
adherides	a ð e ɾ 'i ð e s
adherir	a ð e ɾ 'i
adherit	a ð e ɾ 'i t
adherits	a ð e ɾ 'i t s
àdhuc	'a ð u k
adic	a ð 'i k
adigué	a ð i ɣ 'e
adigues	a ð 'i ɣ e s
adigués	a ð i ɣ 'e s
adigui	a ð 'i ɣ i
adiguí	a ð i ɣ 'i
adiguis	a ð 'i ɣ i s
adinerada	a ð i n e ɾ 'a ð a
adinerades	a ð i n e ɾ 'a ð e s
adinerar	a ð i n e ɾ 'a
adinerat	a ð i n e ɾ 'a t
adinerats	a ð i n e ɾ 'a t s
adipós	a ð i p 'o s
adir	a ð 'i
adirà	a ð i ɾ 'a
adiran	a ð i ɾ 'a n
adiràs	a ð i ɾ 'a s
adiré	a ð i ɾ 'e
adiria	a ð i ɾ 'i a
adiríem	a ð i ɾ 'i e m
adiries	a ð i ɾ 'i e s
adit	a ð 'i t
adita	a ð 'i t a
adites	a ð 'i t e s
adits	a ð 'i t s
adives	a ð 'i β e s
admesa	a d m 'e z a
admeses	a d m 'e z e s
admesos	a d m 'e z o s
admetre	a d m 'e t ɾ e
adminicle	a d m i n 'i k l e
administra	a d m i n 'i s t ɾ a
administrà	a d m i n i s t ɾ 'a
administrada	a d m i n i s t ɾ 'a ð a
administrades	a d m i n i s t ɾ 'a ð e s
administrador	a d m i n i s t ɾ a ð 'o
administrar	a d m i n i s t ɾ 'a
administrares	a d m i n i s t ɾ 'a ɾ e s
administraria	a d m i n i s t ɾ a ɾ 'i a
administrat	a d m i n i s t ɾ 'a t
administrats	a d m i n i s t ɾ 'a t s
administrava	a d m i n i s t ɾ 'a β a
administres	a d m i n 'i s t ɾ e s
administri	a d m i n 'i s t ɾ i
administro	a d m i n 'i s t ɾ o
admira	a d m 'i ɾ a
admirable	a d m i ɾ 'a β l e
admirables	a d m i ɾ 'a β l e s
admirada	a d m i ɾ 'a ð a
admirades	a d m i ɾ 'a ð e s
admirador	a d m i ɾ a ð 'o
admirar	a d m i ɾ 'a
admirares	a d m i ɾ 'a ɾ e s
admiraria	a d m i ɾ a ɾ 'i a
admirat	a d m i ɾ 'a t
admirats	a d m i ɾ 'a t s
admirava	a d m i ɾ 'a β a
admires	a d m 'i ɾ e s
admiri	a d m 'i ɾ i
admiris	a d m 'i ɾ i s
admiro	a d m 'i ɾ o
admissible	a d m i s 'i β l e
admissibles	a d m i s 'i β l e s
adob	a ð 'o p
adobada	a ð o β 'a ð a
adobades	a ð o β 'a ð e s
adobar	a ð o β 'a
adobat	a ð o β 'a t
adobats	a ð o β 'a t s
adoberia	a ð o β e ɾ 'i a
adoctrinada	a ð o k t ɾ i n 'a ð a
adoctrinades	a ð o k t ɾ i n 'a ð e s
adoctrinament	a ð o k t ɾ i n a m 'e n
adoctrinar	a ð o k t ɾ i n 'a
adoctrinat	a ð o k t ɾ i n 'a t
adoctrinats	a ð o k t ɾ i n 'a t s
adolescent	a ð o l e s 'e n
adolescents	a ð o l e s 'e n s
adolorar	a ð o l o ɾ 'a
adonada	a ð o n 'a ð a
adonades	a ð o n 'a ð e s
adonar	a ð o n 'a
adonat	a ð o n 'a t
adonats	a ð o n 'a t s
adoptada	a ð o p t 'a ð a
adoptades	a ð o p t 'a ð e s
adoptant	a ð o p t 'a n
adoptar	a ð o p t 'a
adoptares	a ð o p t 'a ɾ e s
adoptaria	a ð o p t a ɾ 'i a
adoptat	a ð o p t 'a t
adoptats	a ð o p t 'a t s
adoptava	a ð o p t 'a β a
adoptem	a ð o p t 'e m
adoptiva	a ð o p t 'i β a
adoptives	a ð o p t 'i β e s
adorà	a ð o ɾ 'a
adorable	a ð o ɾ 'a β l e
adorables	a ð o ɾ 'a β l e s
adorada	a ð o ɾ 'a ð a
adorades	a ð o ɾ 'a ð e s
adorant	a ð o ɾ 'a n
adorar	a ð o ɾ 'a
adorares	a ð o ɾ 'a ɾ e s
adoraria	a ð o ɾ a ɾ 'i a
adoraries	a ð o ɾ a ɾ 'i e s
adorat	a ð o ɾ 'a t
adoratori	a ð o ɾ a t 'ɔ ɾ i
adorats	a ð o ɾ 'a t s
adorava	a ð o ɾ 'a β a
adori	a ð 'ɔ ɾ i
adoris	a ð 'ɔ ɾ i s
adoro	a ð 'ɔ ɾ o
adossada	a ð o s 'a ð a
adossades	a ð o s 'a ð e s
adossar	a ð o s 'a
adossat	a ð o s 'a t
adossats	a ð o s 'a t s
adquirida	a t k i ɾ 'i ð a
adquirides	a t k i ɾ 'i ð e s
adquirir	a t k i ɾ 'i
adquirit	a t k i ɾ 'i t
adquirits	a t k i ɾ 'i t s
adreça	a ð ɾ 'e s a
adreçada	a ð ɾ e s 'a ð a
adreçades	a ð ɾ e s 'a ð e s
adreçant	a ð ɾ e s 'a n
adreçar	a ð ɾ e s 'a
adreçat	a ð ɾ e s 'a t
adreçats	a ð ɾ e s 'a t s
adreces	a ð ɾ 'e s e s
adrenalina	a ð ɾ e n a l 'i n a
adrogueria	a ð ɾ o ɣ e ɾ 'i a
adscrit	a t s k ɾ 'i t
adscrita	a t s k ɾ 'i t a
adscrites	a t s k ɾ 'i t e s
adscrits	a t s k ɾ 'i t s
adulador	a ð u l a ð 'o
adular	a ð u l 'a
adult	a ð 'u l
adulta	a ð 'u l t a
adúltera	a ð 'u l t e ɾ a
adúlteres	a ð 'u l t e ɾ e s
adulteri	a ð u l t 'ɛ ɾ i
adultes	a ð 'u l t e s
adults	a ð 'u l s
adust	a ð 'u s t
adveniment	a d b e n i m 'e n
advenir	a d b e n 'i
adverar	a d b e ɾ 'a
advocada	a d b o k 'a ð a
advocades	a d b o k 'a ð e s
advocar	a d b o k 'a
advocat	a d b o k 'a t
advocats	a d b o k 'a t s
aeri	a 'ɛ ɾ i
aerobi	a e ɾ 'ɔ β i
aeròbic	a e ɾ 'ɔ β i k
aerobús	a e ɾ o β 'u s
