A	'a	 a 
ajuntament	a d ʒ u n t a m 'e n t	 a d ʒ 'u n t a m 'ɛ n t 
ajustament	a d ʒ u s t a m 'e n t	 a d ʒ 'u s t a m 'ɛ n t 
al	'a l	 a l 
alabastrí	a l a β a s t ɾ 'i	 a l 'a β a s t ɾ 'i 
alabastrina	a l a β a s t ɾ 'i n a	 a l 'a β a s t ɾ 'i n a 
alabastrins	a l a β a s t ɾ 'i n s	 a l 'a β a s t ɾ 'i n s 
albanesos	a l β a n 'e z o s	 a l β 'a n 'ɛ z o s 
albufera	a l β u f 'e ɾ a	 a l β u f 'ɛ ɾ a 
alcaldessa	a l k a l d 'e s a	 a l k a l d 'ɛ s a 
alçament	a l s a m 'e n t	 'a l s a m 'ɛ n t 
alçapremar	a l s a p ɾ e m 'a ɾ	 a l s 'a p ɾ e m 'a ɾ 
alcohol	a l k o 'ɔ l	 a l k o 'a l 
aldea	a l d 'e a	 a l d 'ɛ a 
alegre	a l 'e ɣ ɾ e	 a l 'ɛ ɣ ɾ e 
aleta	a l 'e t a	 a l 'ɛ t a 
alfabet	a l f a β 'e t	 a l f a β 'ɛ t 
algebraic	a l d ʒ e β ɾ 'a j k	 a l d ʒ e β ɾ 'a i k 
àlgids	'a l d ʒ i t s	 'a l d ʒ i ð s 
algueresa	a l ɣ e ɾ 'e z a	 a l ɣ e ɾ 'ɛ z a 
algutzir	a l ɣ u d z 'i ɾ	 a l ɣ 'u t z 'i ɾ 
aliena	a l i 'e n a	 a l i 'ɛ n a 
alienes	a l i 'e n e s	 a l i 'ɛ n e s 
àliga	'a l i ɣ a	 ' a l i ɣ a 
àligues	'a l i ɣ e s	 ' a l i ɣ e s 
aliment	a l i m 'e n t	 ' a l i m 'ɛ n t 
alimenta	a l i m 'e n t a	 a l i m 'ɛ n t a 
alineament	a l i n e a m 'e n t	 a l i n 'ɛ a m 'ɛ n t 
allargament	a ʎ a ɾ ɣ a m 'e n t	 a ʎ 'a ɾ ɣ a m 'ɛ n t 
alleugerada	a ʎ e w d ʒ e ɾ 'a ð a	 a ʎ 'e w d ʒ e ɾ 'a ð a 
alleugerades	a ʎ e w d ʒ e ɾ 'a ð e s	 a ʎ 'e w d ʒ e ɾ 'a ð e s 
alleugerant	a ʎ e w d ʒ e ɾ 'a n t	 a ʎ 'e w d ʒ e ɾ 'a n t 
alleugerar	a ʎ e w d ʒ e ɾ 'a ɾ	 a ʎ 'e w d ʒ e ɾ 'a ɾ 
alleugerat	a ʎ e w d ʒ e ɾ 'a t	 a ʎ 'e w d ʒ e ɾ 'a t 
alleugerats	a ʎ e w d ʒ e ɾ 'a t s	 a ʎ 'e w d ʒ e ɾ 'a t s 
alleugerida	a ʎ e w d ʒ e ɾ 'i ð a	 a ʎ 'e w d ʒ e ɾ 'i ð a 
alleugerides	a ʎ e w d ʒ e ɾ 'i ð e s	 a ʎ 'e w d ʒ e ɾ 'i ð e s 
alleugerint	a ʎ e w d ʒ e ɾ 'i n t	 a ʎ 'e w d ʒ e ɾ 'i n t 
alleugerir	a ʎ e w d ʒ e ɾ 'i ɾ	 a ʎ 'e w d ʒ e ɾ 'i ɾ 
alleugerit	a ʎ e w d ʒ e ɾ 'i t	 a ʎ 'e w d ʒ e ɾ 'i t 
alleugerits	a ʎ e w d ʒ e ɾ 'i t s	 a ʎ 'e w d ʒ e ɾ 'i t s 
alleujament	a ʎ e w d ʒ a m 'e n t	 a ʎ 'ɛ w d ʒ a m 'ɛ n t 
alliberament	a ʎ i β e ɾ a m 'e n t	 a ʎ i β 'ɛ ɾ a m 'ɛ n t 
almenys	a l m 'e ɲ s	 a l m 'ɛ ɲ s 
almívar	a l m 'i v a ɾ	 a l m 'i v 'a ɾ 
Altai	a l t 'a j	 a l t 'a i 
altaic	a l t 'a j k	 a l t 'a i k 
altesa	a l t 'e z a	 a l t 'ɛ z a 
altruisme	a l t ɾ w 'i z m e	 a l t ɾ u 'i z m e 
altruista	a l t ɾ w 'i s t a	 a l t ɾ u 'i s t a 
alts	'a l s	 'a l t s 
Àlvar	'a l v a ɾ	 'a l v 'a ɾ 
amaguem	a m a ɣ 'e m	 a m a ɣ 'ɛ m 
amagueu	a m a ɣ 'e w	 a m a ɣ 'ɛ w 
amainada	a m a j n 'a ð a	 a m a i n 'a ð a 
amainades	a m a j n 'a ð e s	 a m a i n 'a ð e s 
amainant	a m a j n 'a n t	 a m a i n 'a n t 
amainar	a m a j n 'a ɾ	 a m a i n 'a ɾ 
amainat	a m a j n 'a t	 a m a i n 'a t 
amainats	a m a j n 'a t s	 a m a i n 'a t s 
amatent	a m a t 'e n t	 a m a t 'ɛ n t 
Amazones	a m a z 'o n e s	 a m a z 'ɔ n e s 
ambient	a m b i 'e n t	 a m b i 'ɛ n t 
ambigú	a m b i ɣ 'u	 a m b 'i ɣ 'u 
amena	a m 'e n a	 a m 'ɛ n a 
amenes	a m 'e n e s	 a m 'ɛ n e s 
ametlla	a m 'e l l a	 a m 'ɛ l ʎ a 
ametller	a m e l l 'e ɾ	 a m e ʎ l 'ɛ ɾ 
amfitriona	a m f i t ɾ i 'o n a	 a m f i t ɾ i 'ɔ n a 
amfitriones	a m f i t ɾ i 'o n e s	 a m f i t ɾ i 'ɔ n e s 
amiants	a m i 'a n s	 a m i 'a n t s 
amistosa	a m i s t 'o z a	 a m i s t 'ɔ z a 
amistoses	a m i s t 'o z e s	 a m i s t 'ɔ z e s 
amistosos	a m i s t 'o z o s	 a m i s t 'ɔ z o s 
amorosa	a m o ɾ 'o z a	 a m o ɾ 'ɔ z a 
amoroses	a m o ɾ 'o z e s	 a m o ɾ 'ɔ z e s 
amorosos	a m o ɾ 'o z o s	 a m o ɾ 'ɔ z o s 
ampolla	a m p 'o ʎ a	 a m p 'ɔ ʎ a 
amulet	a m u l 'e t	 a m u l 'ɛ t 
analfabet	a n a l f a β 'e t	 a n a l f a β 'ɛ t 
analfabeta	a n a l f a β 'e t a	 a n a l f a β 'ɛ t a 
analfabets	a n a l f a β 'e t s	 a n a l f a β 'ɛ t s 
anàrquica	a n 'a ɾ k i k a	 a n 'a ɾ k 'i k a 
anàrquics	a n 'a ɾ k i k s	 a n 'a ɾ k 'i k s 
Andorra	a n d 'o r a	 a n d 'ɔ r a 
Andreu	a n d ɾ 'e w	 a n d ɾ 'ɛ w 
aneguet	a n e ɣ 'e t	 a n e ɣ 'ɛ t 
anell	a n 'e ʎ	 a n 'ɛ l i 
anemoscopi	a n e m o s k 'ɔ p i	 a n 'e m o s k 'ɔ p i 
angelet	a n d ʒ e l 'e t	 a n d ʒ e l 'ɛ t 
anglesa	a ŋ g l 'e z a	 a ŋ g l 'ɛ z a 
anglesos	a ŋ g l 'e z o s	 a ŋ g l 'ɛ z o s 
Ànglia	'a ŋ g l i a	 'a ŋ g l 'i a 
angloparlant	a ŋ g l o p a ɾ l 'a n t	 a ŋ g l o p 'a ɾ l 'a n t 
angoixa	a ŋ g 'o j ʃ a	 a ŋ g 'ɔ j ʃ a 
anguila	a ŋ g 'i l a	 a ŋ g u 'i l a 
anguiles	a ŋ g 'i l e s	 a ŋ g u 'i l e s 
animadora	a n i m a ð 'o ɾ a	 a n i m a ð 'ɔ ɾ a 
animadores	a n i m a ð 'o ɾ e s	 a n i m a ð 'ɔ ɾ e s 
animem	a n i m 'e m	 a n i m 'ɛ m 
animositat	a n i m o z i t 'a t	 a n 'i m o z i t 'a t 
antecessora	a n t e s e s 'o ɾ a	 a n t e s e s 'ɔ ɾ a 
antena	a n t 'e n a	 a n t 'ɛ n a 
antiacadèmics	a n t i a k a ð 'ɛ m i k s	 a n t 'i a k a ð 'ɛ m i k s 
antiacadèmiques	a n t i a k a ð 'ɛ m i k e s	 a n t 'i a k a ð 'ɛ m i k e s 
Antillia	a n t i ʎ 'i a	 a n t 'i ʎ 'i a 
ants	'a n s	 'a n t s 
apagallums	a p a ɣ a ʎ 'u m s	 a p a ɣ 'a ʎ 'u m s 
aparcament	a p a ɾ k a m 'e n t	 a p 'a ɾ k a m 'ɛ n t 
apareixent	a p a ɾ e j ʃ 'e n t	 a p a ɾ e j ʃ 'ɛ n t 
aparell	a p a ɾ 'e ʎ	 a p a ɾ 'ɛ l i 
aparença	a p a ɾ 'e n s a	 a p a ɾ 'ɛ n s a 
aparent	a p a ɾ 'e n t	 a p a ɾ 'ɛ n t 
apartament	a p a ɾ t a m 'e n t	 a p 'a ɾ t a m 'ɛ n t 
apertura	a p e ɾ t 'u ɾ a	 a p 'e ɾ t 'u ɾ a 
apertures	a p e ɾ t 'u ɾ e s	 a p 'e ɾ t 'u ɾ e s 
apicultura	a p i k u l t 'u ɾ a	 a p i k 'u l t 'u ɾ a 
aplaudiment	a p l a w ð i m 'e n t	 a p l 'a w ð i m 'ɛ n t 
aplec	a p l 'e k	 a p l 'ɛ k 
apòstrofs	a p 'ɔ s t ɾ o f s	 a p 'ɔ s t ɾ 'ɔ f s 
aprenent	a p ɾ e n 'e n t	 a p ɾ e n 'ɛ n t 
apresa	a p ɾ 'e z a	 a p ɾ 'ɛ z a 
apreses	a p ɾ 'e z e s	 a p ɾ 'ɛ z e s 
aprofitament	a p ɾ o f i t a m 'e n t	 a p ɾ o f 'i t a m 'ɛ n t 
aquàriums	a k w 'a ɾ i u m s	 a k w 'a ɾ i w m s 
aqüeducte	a k w e ð 'u k t e	 a k e ð 'u k t e 
aqüeductes	a k w e ð 'u k t e s	 a k e ð 'u k t e s 
aqueix	a k 'e j ʃ	 a k 'ɛ j ʃ 
aquell	a k 'e ʎ	 a k 'ɛ l i 
aquest	a k 'e s t	 a k 'ɛ s t 
aqüícola	a k w 'i k o l a	 a k 'i k o l a 
aqüicultura	a k w i k u l t 'u ɾ a	 a k i k 'u l t 'u ɾ a 
aqüífer	a k w 'i f e ɾ	 a k 'i f e ɾ 
àrab	'a ɾ a p	 'a ɾ a β 
aràcnid	a ɾ 'a g n i t	 a ɾ 'a k n i t 
arameu	a ɾ a m 'e w	 a ɾ a m 'ɛ w 
arcaics	a ɾ k 'a j k s	 a ɾ k 'a 'i k s 
ardent	a ɾ ð 'e n t	 a ɾ ð 'ɛ n t 
argent	a ɾ d ʒ 'e n t	 a ɾ d ʒ 'ɛ n t 
àrguens	'a ɾ ɣ e n s	 'a ɾ ɣ 'e n s 
argument	a ɾ ɣ u m 'e n t	 'a ɾ ɣ u m 'ɛ n t 
argumenta	a ɾ ɣ u m 'e n t a	 a ɾ ɣ u m 'ɛ n t a 
argumentes	a ɾ ɣ u m 'e n t e s	 a ɾ ɣ u m 'ɛ n t e s 
arguments	a ɾ ɣ u m 'e n s	 a ɾ ɣ u m 'ɛ n t s 
ariet	a ɾ i 'e t	 a ɾ 'i 'ɛ t 
aritmètic	a ɾ i d m 'ɛ t i k	 a ɾ i t m 'ɛ t i k 
aritmètica	a ɾ i d m 'ɛ t i k a	 a ɾ i t m 'ɛ t i k a 
armament	a ɾ m a m 'e n t	 'a ɾ m a m 'ɛ n t 
armaments	a ɾ m a m 'e n s	 a ɾ m a m 'ɛ n t s 
armistici	a ɾ m i s t 'i s i	 a ɾ m 'i s t 'i s i 
armisticis	a ɾ m i s t 'i s i s	 a ɾ m 'i s t 'i s i s 
aroma	a ɾ 'o m a	 a ɾ 'ɔ m a 
arquer	a ɾ k 'e ɾ	 a ɾ k 'ɛ ɾ 
arquet	a ɾ k 'e t	 a ɾ k 'ɛ t 
arquitectura	a ɾ k i t e k t 'u ɾ a	 a ɾ k i t 'e k t 'u ɾ a 
arrabassar	a r a β a s 'a ɾ	 a r 'a β a s 'a ɾ 
arranjament	a r a n d ʒ a m 'e n t	 a r 'a n d ʒ a m 'ɛ n t 
arraulida	a r a w l 'i ð a	 a r 'a w l 'i ð a 
arraulides	a r a w l 'i ð e s	 a r 'a w l 'i ð e s 
arraulint	a r a w l 'i n t	 a r 'a u l 'i n t 
arraulir	a r a w l 'i ɾ	 a r 'a u l 'i ɾ 
arraulit	a r a w l 'i t	 a r 'a w l 'i t 
arraulits	a r a w l 'i t s	 a r 'a w l 'i t s 
arrebossada	a r e β o s 'a ð a	 a r 'e β o s 'a ð a 
arrebossades	a r e β o s 'a ð e s	 a r 'e β o s 'a ð e s 
arrebossant	a r e β o s 'a n t	 a r 'e β o s 'a n t 
arrebossar	a r e β o s 'a ɾ	 a r 'e β o s 'a ɾ 
arrebossat	a r e β o s 'a t	 a r 'e β o s 'a t 
arrebossats	a r e β o s 'a t s	 a r 'e β o s 'a t s 
arrelament	a r e l a m 'e n t	 a r 'ɛ l a m 'ɛ n t 
arreu	a r 'e w	 a r 'ɛ w 
arriet	a r i 'e t	 a r 'i 'ɛ t 
arrodoniment	a r o ð o n i m 'e n t	 a r o ð 'ɔ n i m 'ɛ n t 
artell	a ɾ t 'e ʎ	 a ɾ t 'ɛ ʎ 
ascendent	a s e n d 'e n t	 a s e n d 'ɛ n t 
asimètric	a s i m 'ɛ t ɾ i k	 a z i m 'ɛ t ɾ i k 
asímptota	a z 'i m t o t a	 a z 'i m p t 'ɔ t a 
aspergil·losi	a s p e ɾ d ʒ i l 'ɔ z i	 a s p e ɾ d ʒ 'i l 'ɔ z i 
assemblea	a s e m b l 'e a	 a s e m b l 'ɛ a 
assentament	a s e n t a m 'e n t	 a s 'ɛ n t a m 'ɛ n t 
assessorament	a s e s o ɾ a m 'e n t	 a s e s 'ɔ ɾ a m 'ɛ n t 
asseure	a s 'e w ɾ e	 a s 'ɛ w ɾ e 
asseure's	a s 'e w ɾ e s	 a s e w ɾ 'ɛ s 
assistent	a s i s t 'e n t	 a s i s t 'ɛ n t 
associatiu	a s o s i a t 'i w	 a s o s 'i a t 'i w 
associatius	a s o s i a t 'i w s	 a s o s 'i a t 'i w s 
associativa	a s o s i a t 'i v a	 a s o s 'i a t 'i v a 
associatives	a s o s i a t 'i v e s	 a s o s 'i a t 'i v e s 
assoliment	a s o l i m 'e n t	 a s 'ɔ l i m 'ɛ n t 
assot	a s 'ɔ t	 a s 'o t 
assumpte	a s 'u m t e	 a s 'u m p t e 
assumptes	a s 'u m t e s	 a s 'u m p t e s 
asteroide	a s t e ɾ 'ɔ j ð e	 a s t e ɾ 'ɔ 'i ð e 
astorament	a s t o ɾ a m 'e n t	 a s t 'ɔ ɾ a m 'ɛ n t 
astronauta	a s t ɾ o n 'a w t a	 a s t ɾ o n 'a 'u t a 
atendre	a t 'e n d ɾ e	 a t 'ɛ n d ɾ e 
atenenc	a t e n 'e ŋ k	 a t e n 'ɛ ŋ k 
atenent	a t e n 'e n t	 a t e n 'ɛ n t 
ateneu	a t e n 'e w	 a t e n 'ɛ w 
Ateneu	a t e n 'e w	 a t e n 'ɛ w 
atent	a t 'e n t	 a t 'ɛ n t 
atenta	a t 'e n t a	 a t 'ɛ n t a 
atesa	a t 'e z a	 a t 'ɛ z a 
ateses	a t 'e z e s	 a t 'ɛ z e s 
atesos	a t 'e z o s	 a t 'ɛ z o s 
ateu	a t 'e w	 a t 'ɛ w 
atleta	a d l 'e t a	 a t l 'ɛ t a 
atlètic	a d l 'ɛ t i k	 a t l 'ɛ t i k 
atmosfera	a d m o s f 'e ɾ a	 a d m o s f 'ɛ ɾ a 
atracament	a t ɾ a k a m 'e n t	 a t ɾ 'a k a m 'ɛ n t 
atraient	a t ɾ a j 'e n t	 a t ɾ a i 'ɛ n t 
atret	a t ɾ 'e t	 a t ɾ 'ɛ t 
atrets	a t ɾ 'e t s	 a t ɾ 'ɛ t s 
atreure	a t ɾ 'e w ɾ e	 a t ɾ 'ɛ w ɾ e 
atribuint	a t ɾ i β w 'i n t	 a t ɾ i β u 'i n t 
atribuir	a t ɾ i β w 'i ɾ	 a t ɾ i β u 'i ɾ 
atroç	a t ɾ 'ɔ s	 a t ɾ 'o s 
atropellament	a t ɾ o p e ʎ a m 'e n t	 a t ɾ o p 'ɛ ʎ a m 'ɛ n t 
audiometria	a w ð i o m e t ɾ 'i a	 a w ð 'i o m e t ɾ 'i a 
augment	a w g m 'e n t	 'a w g m 'ɛ n t 
auster	a w s t 'e ɾ	 a w s t 'ɛ ɾ 
austera	a w s t 'e ɾ a	 a w s t 'ɛ ɾ a 
Àustria	'a w s t ɾ i a	 'a w s t ɾ 'i a 
autòmats	a w t 'ɔ m a t s	 a w t 'ɔ m 'a t s 
autora	a w t 'o ɾ a	 a w t 'ɔ ɾ a 
avançament	a v a n s a m 'e n t	 a v 'a n s a m 'ɛ n t 
avançarem	a v a n s a ɾ 'e m	 a v a n s a ɾ 'ɛ m 
avancem	a v a n s 'e m	 a v a n s 'ɛ m 
aventura	a v e n t 'u ɾ a	 a v 'e n t 'u ɾ a 
aventurer	a v e n t u ɾ 'e ɾ	 a v e n t u ɾ 'ɛ ɾ 
aventures	a v e n t 'u ɾ e s	 a v 'e n t 'u ɾ e s 
avet	a v 'e t	 a v 'ɛ t 
avinent	a v i n 'e n t	 a v i n 'ɛ n t 
avinentesa	a v i n e n t 'e z a	 a v i n 'e n t 'ɛ z a 
avinguda	a v i ŋ g 'u ð a	 a v 'i ŋ g 'u ð a 
avingudes	a v i ŋ g 'u ð e s	 a v 'i ŋ g 'u ð e s 
avisem	a v i z 'e m	 a v i z 'ɛ m 
avituallament	a v i t u a ʎ a m 'e n t	 a v i t u 'a ʎ a m 'ɛ n t 
avorriment	a v o r i m 'e n t	 a v 'ɔ r i m 'ɛ n t 
avortament	a v o ɾ t a m 'e n t	 a v 'ɔ ɾ t a m 'ɛ n t 
axioma	a k s i 'o m a	 a k s i 'ɔ m a 
babirussa	b a β i ɾ 'u s a	 b a β 'i ɾ 'u s a 
Badakhxan	b a ð a k t ʃ 'a n	 b 'a ð a k e 'a n 
bàdminton	b 'a d m i n t o n	 b 'a d m i n t 'o n 
bagenc	b a d ʒ 'e ŋ k	 b a d ʒ 'ɛ ŋ k 
Bahames	b a 'a m e s	 b a m m e s 
Balaguer	b a l a ɣ 'e ɾ	 b a l a ɣ 'ɛ ɾ 
balbuç	b a l β 'u s	 b 'a l β 'u s 
baldament	b a l d a m 'e n t	 b 'a l d a m 'ɛ n t 
balena	b a l 'e n a	 b a l 'ɛ n a 
Ballester	b a ʎ e s t 'e ɾ	 b a ʎ e s t 'ɛ ɾ 
Balutxistan	b a l u t ʃ i s t 'a n	 b a l 'u t ʃ i s t 'a n 
bandera	b a n d 'e ɾ a	 b a n d 'ɛ ɾ a 
bandoler	b a n d o l 'e ɾ	 b a n d o l 'ɛ ɾ 
banquer	b a ŋ k 'e ɾ	 b a ŋ k 'ɛ ɾ 
banquet	b a ŋ k 'e t	 b a ŋ k 'ɛ t 
banqueta	b a ŋ k 'e t a	 b a ŋ k 'ɛ t a 
banyera	b a ɲ 'e ɾ a	 b a ɲ 'ɛ ɾ a 
Barcelona	b a ɾ s e l 'o n a	 b a ɾ s e l 'ɔ n a 
baronessa	b a ɾ o n 'e s a	 b a ɾ o n 'ɛ s a 
barrera	b a r 'e ɾ a	 b a r 'ɛ ɾ a 
barret	b a r 'e t	 b a r 'ɛ t 
barroc	b a r 'ɔ k	 b a r 'o k 
barroer	b a r o 'e ɾ	 b a r 'o 'ɛ ɾ 
barrufet	b a r u f 'e t	 b a r u f 'ɛ t 
basament	b a z a m 'e n t	 b 'a z a m 'ɛ n t 
basquetbol	b a s k e d b 'o l	 b a s k e t b 'o l 
bastiment	b a s t i m 'e n t	 b 'a s t i m 'ɛ n t 
batec	b a t 'e k	 b a t 'ɛ k 
bateig	b a t 'e t ʃ	 b a t 'ɛ t ʃ 
batlle	b 'a l l e	 b 'a t ʎ e 
Batlle	b 'a l l e	 b 'a t ʎ e 
