A	'ə	ə
altea	ə l t 'ɛ ə	ə l t 'e ə
altrament	ə l t ɾ ə m 'e n t	a l t ɾ ə m 'e n t
amaguem	ə m ə ɣ 'ə m	ə m ə ɣ 'ɛ m
amaratge	ə m ə ɾ 'a d ʒ ə	ə m ə ɾ 'a dʒ ə
amaratges	ə m ə ɾ 'a d ʒ ə s	ə m ə ɾ 'a dʒ ə s
amarratge	ə m ə r 'a d ʒ ə	ə m ə r 'a dʒ ə
ambigu	ə m b 'i ɣ u	ə m b 'i ɣ
amens	ə m 'ə n s	ə m 'e n s
Amèrica	ə m 'ɛ ɾ i k ə	ə m 'ə ɾ i k ə
ametler	ə m ə l l 'e	ə m ə t l 'e
ametller	ə m ə ʎ ʎ 'e	ə m ə l l 'e
ampolla	ə m p 'o ʎ ə	ə m p 'ɔ ʎ ə
analgèsic	ə n ə l ʒ 'ɛ z i k	ə n ə l ʒ 'ə z i k
analgèsics	ə n ə l ʒ 'ɛ z i t s	ə n ə l ʒ 'ə z i t s
ancorarem	ə ŋ k o ɾ ə ɾ 'ə m	ə ŋ k o ɾ ə ɾ 'ɛ m
Andreu	ə n d ɾ 'e w	ə n d ɾ 'ɛ w
androgènic	ə n d ɾ o ʒ 'ɛ n i k	ə n d ɾ o ʒ 'ə n i k
androgènica	ə n d ɾ o ʒ 'ɛ n i k ə	ə n d ɾ o ʒ 'ə n i k ə
androgènics	ə n d ɾ o ʒ 'ɛ n i t s	ə n d ɾ o ʒ 'ə n i t s
androgèniques	ə n d ɾ o ʒ 'ɛ n i k ə s	ə n d ɾ o ʒ 'ə n i k ə s
anèmic	ə n 'ɛ m i k	ə n 'ə m i k
anèmica	ə n 'ɛ m i k ə	ə n 'ə m i k ə
anèmics	ə n 'ɛ m i t s	ə n 'ə m i t s
anèmiques	ə n 'ɛ m i k ə s	ə n 'ə m i k ə s
anestèsia	ə n ə s t 'ɛ z i ə	ə n ə s t 'ə z i ə
anestèsic	ə n ə s t 'ɛ z i k	ə n ə s t 'ə z i k
anestèsica	ə n ə s t 'ɛ z i k ə	ə n ə s t 'ə z i k ə
anestèsics	ə n ə s t 'ɛ z i t s	ə n ə s t 'ə z i t s
anestèsies	ə n ə s t 'ɛ z i ə s	ə n ə s t 'ə z i ə s
anestèsiques	ə n ə s t 'ɛ z i k ə s	ə n ə s t 'ə z i k ə s
angèlic	ə n ʒ 'ɛ l i k	ə n ʒ 'ə l i k
angèlica	ə n ʒ 'ɛ l i k ə	ə n ʒ 'ə l i k ə
angèlics	ə n ʒ 'ɛ l i t s	ə n ʒ 'ə l i t s
angèliques	ə n ʒ 'ɛ l i k ə s	ə n ʒ 'ə l i k ə s
animarem	ə n i m ə ɾ 'ə m	ə n i m ə ɾ 'ɛ m
animem	ə n i m 'ə m	ə n i m 'ɛ m
anorèxia	ə n o ɾ 'ɛ t s i ə	ə n o ɾ 'ə t s i ə
antimoni	ə n t i m 'ɔ n i	ə n t i m 'o n i
Antoni	ə n t 'ɔ n i	ə n t 'o n i
antropocèntric	ə n t ɾ o p o s 'ɛ n t ɾ i k	ə n t ɾ o p o s 'ə n t ɾ i k
Apalatxes	ə p ə l 'a t ʃ ə s	ə p ə l 'a tʃ ə s
aparèixer	ə p ə ɾ 'ə ʃ ə	ə p ə ɾ 'ɛ ʃ ə
aparell	ə p ə ɾ 'ə ʎ	ə p ə ɾ 'e ʎ
apèndix	ə p 'ɛ n d i t s	ə p 'ə n d ʃ
apirènia	ə p i ɾ 'ɛ n i ə	ə p i ɾ 'ə n i ə
apitxar	ə p i t ʃ 'a	ə p i tʃ 'a
apitxat	ə p i t ʃ 'a t	ə p i tʃ 'a t
apòcrifs	ə p 'ɔ k ɾ i t s	ə p 'ɔ k ɾ i s
apologètic	ə p o l o ʒ 'ɛ t i k	ə p o l o ʒ 'ə t i k
aprenentatge	ə p ɾ ə n ə n t 'a d ʒ ə	ə p ɾ ə n ə n t 'a dʒ ə
aprenentatges	ə p ɾ ə n ə n t 'a d ʒ ə s	ə p ɾ ə n ə n t 'a dʒ ə s
apurarem	ə p u ɾ ə ɾ 'ə m	ə p u ɾ ə ɾ 'ɛ m
apurem	ə p u ɾ 'ə m	ə p u ɾ 'ɛ m
aquell	ə k 'ə ʎ	ə k 'e ʎ
aqüicultura	ə k w i k u l t 'u ɾ ə	ə k i k u l t 'u ɾ ə
arborètum	ə ɾ β o ɾ 'ɛ t u m	ə ɾ β o ɾ 'ə t u m
argument	ə ɾ ɣ u m 'e n t	a ɾ ɣ u m 'e n t
arítjol	ə ɾ 'i d ʒ o l	ə ɾ 'i dʒ o l
aritmètic	ə ɾ i m m 'ɛ t i k	ə ɾ i m m 'ə t i k
aritmètica	ə ɾ i m m 'ɛ t i k ə	ə ɾ i m m 'ə t i k ə
armament	ə ɾ m ə m 'e n t	a ɾ m ə m 'e n t
armarem	ə ɾ m ə ɾ 'ə m	ə ɾ m ə ɾ 'ɛ m
armem	ə ɾ m 'ə m	ə ɾ m 'ɛ m
Armènia	ə ɾ m 'ɛ n i ə	ə ɾ m 'ə n i ə
arrambatge	ə r ə m b 'a d ʒ ə	ə r ə m b 'a dʒ ə
arrambatges	ə r ə m b 'a d ʒ ə s	ə r ə m b 'a dʒ ə s
arsènic	ə ɾ s 'ɛ n i k	ə ɾ s 'ə n i k
artèries	ə ɾ t 'ɛ ɾ i ə s	ə ɾ t 'ə ɾ i ə s
arts	'a ɾ s	'a ɾ t s
arxiduquessa	ə ɾ ʃ i ð u k 'ə s ə	ə ɾ ʃ i ð u k 'e s ə
asafètida	ə z ə f 'ɛ t i ð ə	ə z ə f 'ə t i ð ə
ascendència	ə t s ə n d 'ɛ n s i ə	ə t s ə n d 'ə n s i ə
asfíxia	ə s f 'i t s i ə	ə s f 'i ʃ i ə
asimètric	ə s i m 'ɛ t ɾ i k	ə z i m 'ə t ɾ i k
assaig	ə s 'a t ʃ	ə s 'a tʃ
assassinarem	ə s ə s i n ə ɾ 'ə m	ə s ə s i n ə ɾ 'ɛ m
assassinem	ə s ə s i n 'ə m	ə s ə s i n 'ɛ m
assetjada	ə s ə d ʒ 'a ð ə	ə s ə dʒ 'a ð ə
assetjades	ə s ə d ʒ 'a ð ə s	ə s ə dʒ 'a ð ə s
assetjament	ə s ə d ʒ ə m 'e n t	ə s ə dʒ ə m 'e n t
assetjant	ə s ə d ʒ 'a n t	ə s ə dʒ 'a n t
assetjar	ə s ə d ʒ 'a	ə s ə dʒ 'a
assetjat	ə s ə d ʒ 'a t	ə s ə dʒ 'a t
assetjats	ə s ə d ʒ 'a t s	ə s ə dʒ 'a t s
assistència	ə s i s t 'ɛ n s i ə	ə s i s t 'ə n s i ə
assistències	ə s i s t 'ɛ n s i ə s	ə s i s t 'ə n s i ə s
astènia	ə s t 'è n i ə	ə s t 'ə n i ə
astènic	ə s t 'è n i k	ə s t 'ə n i k
atendre	ə t 'e n d ɾ ə	ə t 'ə n d ɾ ə
aterratge	ə t ə r 'a d ʒ ə	ə t ə r 'a dʒ ə
atlàntic	ə l l 'a n t i k	ə t l 'a n t i k
atles	'a l l ə s	'a b b l ə s
Atles	'a l l ə s	'a b b l ə s
atmosfèric	ə m m o s f 'ɛ ɾ i k	ə m m o s f 'ə ɾ i k
atmosfèrica	ə m m o s f 'ɛ ɾ i k ə	ə m m o s f 'ə ɾ i k ə
atmosfèrics	ə m m o s f 'ɛ ɾ i t s	ə m m o s f 'ə ɾ i t s
atmosfèriques	ə m m o s f 'ɛ ɾ i k ə s	ə m m o s f 'ə ɾ i k ə s
atrèsia	ə t ɾ 'ɛ z i ə	ə t ɾ 'ə z i ə
atrèsies	ə t ɾ 'ɛ z i ə s	ə t ɾ 'ə z i ə s
atrofiarem	ə t ɾ o f i ə ɾ 'ə m	ə t ɾ o f i ə ɾ 'ɛ m
atrofiem	ə t ɾ o f i 'ə m	ə t ɾ o f i 'ɛ m
atxes	'a t ʃ ə s	'a tʃ ə s
audiència	ə w ð i 'ɛ n s i ə	ə w ð i 'ə n s i ə
audiències	ə w ð i 'ɛ n s i ə s	ə w ð i 'ə n s i ə s
aurèola	ə w ɾ 'ɛ o l ə	ə w ɾ 'ə o l ə
austronèsic	ə w s t ɾ o n 'ɛ z i k	ə w s t ɾ o n 'ə z i k
autèntic	ə w t 'è n t i k	ə w t 'ə n t i k
autoretrat	ə w t o r ə t ɾ 'a t	ə w t o ɾ ə t ɾ 'a t
autoretrats	ə w t o r ə t ɾ 'a t s	ə w t o ɾ ə t ɾ 'a t s
autosuficiència	ə w t o s u f i s i 'ɛ n s i ə	ə w t o z u f i s i 'ə n s i ə
autosuficient	ə w t o s u f i s i 'e n t	ə w t o z u f i s i 'e n t
avançarem	ə v ə n s ə ɾ 'ə m	ə v ə n s ə ɾ 'ɛ m
avancem	ə v ə n s 'ə m	ə v ə n s 'ɛ m
avantatge	ə v ə n t 'a d ʒ ə	ə v ə n t 'a dʒ ə
avantatja	ə v ə n t 'a d ʒ ə	ə v ə n t 'a dʒ ə
avantatjada	ə v ə n t ə d ʒ 'a ð ə	ə v ə n t ə dʒ 'a ð ə
avantatjades	ə v ə n t ə d ʒ 'a ð ə s	ə v ə n t ə dʒ 'a ð ə s
avantatjant	ə v ə n t ə d ʒ 'a n t	ə v ə n t ə dʒ 'a n t
avantatjat	ə v ə n t ə d ʒ 'a t	ə v ə n t ə dʒ 'a t
avantatjats	ə v ə n t ə d ʒ 'a t s	ə v ə n t ə dʒ 'a t s
avantatjós	ə v ə n t ə d ʒ 'o s	ə v ə n t ə dʒ 'o s
avantbraç	ə v ə m b ɾ 'a s	ə v ə n b ɾ 'a s
avantpassat	ə v ə m p ə s 'a t	ə v ə n p ə s 'a t
avantpassats	ə v ə m p ə s 'a t s	ə v ə n p ə s 'a t s
avèstic	ə v 'ɛ s t i k	ə v 'ə s t i k
aviarem	ə v i ə ɾ 'ə m	ə v i ə ɾ 'ɛ m
aviem	ə v i 'ə m	ə v i 'ɛ m
avisarem	ə v i z ə ɾ 'ə m	ə v i z ə ɾ 'ɛ m
avisem	ə v i z 'ə m	ə v i z 'ɛ m
baromètric	b ə ɾ o m 'ɛ t ɾ i k	b ə ɾ o m 'ə t ɾ i k
baromètrica	b ə ɾ o m 'ɛ t ɾ i k ə	b ə ɾ o m 'ə t ɾ i k ə
baromètrics	b ə ɾ o m 'ɛ t ɾ i t s	b ə ɾ o m 'ə t ɾ i t s
baromètriques	b ə ɾ o m 'ɛ t ɾ i k ə s	b ə ɾ o m 'ə t ɾ i k ə s
bastarem	b ə s t ə ɾ 'ə m	b ə s t ə ɾ 'ɛ m
bastem	b ə s t 'ə m	b ə s t 'ɛ m
batimètric	b ə t i m 'ɛ t ɾ i k	b ə t i m 'ə t ɾ i k
batlle	b 'a ʎ ʎ ə	b 'a l l ə
batlles	b 'a ʎ ʎ ə s	b 'a l l ə s
batlles	b 'a ʎ ʎ ə s	b 'a l l ə s
Batlló	b ə ʎ ʎ 'o	b ə l l 'o
beix	b 'e ʃ	b 'ɛ ʃ
benèfic	b ə n 'ɛ f i k	b ə n 'ə f i k
benèfica	b ə n 'ɛ f i k ə	b ə n 'ə f i k ə
beneficència	b ə n ə f i s 'ɛ n s i ə	b ə n ə f i s 'ə n s i ə
beneficiarem	b ə n ə f i s i ə ɾ 'ə m	b ə n ə f i s i ə ɾ 'ɛ m
beneficiem	b ə n ə f i s i 'ə m	b ə n ə f i s i 'ɛ m
beneficiosa	b ə n ə f i s i 	b ə n ə f i s i 'o z ə
benèfics	b ə n 'ɛ f i t s	b ə n 'ə f i t s
benèfiques	b ə n 'ɛ f i k ə s	b ə n 'ə f i k ə s
benèvol	b ə n 'ɛ v o l	b ə n 'ə v o l
benèvola	b ə n 'ɛ v o l ə	b ə n 'ə v o l ə
benevolència	b ə n ə v o l 'ɛ n s i ə	b ə n ə v o l 'ə n s i ə
benèvoles	b ə n 'ɛ v o l ə s	b ə n 'ə v o l ə s
benèvols	b ə n 'ɛ v o l s	b ə n 'ə v o l s
berberetxo	b ə ɾ β ə ɾ 'ɛ t ʃ o	b ə ɾ β ə ɾ 'ɛ tʃ o
besnebot	b ə z n ə β 'o t	b ə z n ə β 'ɔ t
bèstia	b 'ɛ s t i ə	b 'ə s t i ə
bèsties	b 'ɛ s t i ə s	b 'ə s t i ə s
Bigorra	b i ɣ 'ɔ r ə	b i ɣ 'o r ə
bioètica	b i o 'ɛ t i k ə	b i o 'ə t i k ə
biogènesi	b i o ʒ 'ɛ n ə z i	b i o ʒ 'ə n ə z i
bioluminescència	b i o l u m i n ə t s 'ɛ n s i ə	b i o l u m i n ə t s 'ə n s i ə
bioma	b i 'ɔ m ə	b i 'o m ə
bisexual	b i s ə t s u 'a l	b i z ə t s u 'a l
bisexualitat	b i s ə t s u ə l i t 'a t	b i z ə t s u ə l i t 'a t
bisexuals	b i s ə t s u 'a l s	b i z ə t s u 'a l s
bitlles	b 'i ʎ ʎ ə s	b 'i tʃ ʎ l ə s
bitlet	b i l l 'ə t	b i l 'ə t
bitlles	b 'i l l ə s	b 'i tʃ ʎ l ə s
bitlet	b i l l 'ə t	b i l 'ə t
bitxo	b 'i t ʃ o	b 'i tʃ o
bitxos	b 'i t ʃ o s	b 'i tʃ o s
blasfem	b l ə s f 'ə m	b l ə s f 'ɛ m
blens	b l 'ə n s	b l 'e n s
blindatge	b l i n d 'a d ʒ ə	b l i n d 'a dʒ ə
blindatges	b l i n d 'a d ʒ ə s	b l i n d 'a dʒ ə s
boa	b 'ɔ ə	b 'o ə
boc	b 'o k	b 'ɔ k
boca	b 'o k ə	b 'ɔ k ə
bocs	b 'o t s	b 'ɔ t s
boda	b 'o ð ə	b 'ɔ ð ə
bodes	b 'o ð ə s	b 'ɔ ð ə s
boes	b 'ɔ ə s	b 'o ə s
boirina	b o j ɾ 'i n ə	b o i ɾ 'i n ə
bolca	b 'o l k ə	b 'ɔ l k ə
bolquen	b 'o l k ə n	b 'ɔ l k ə n
bomba	b 'o m b ə	b 'ɔ m b ə
bombes	b 'o m b ə s	b 'ɔ m b ə s
bombo	b 'o m b o	b 'ɔ m b o
bombolla	b o m b 'o ʎ ə	b o m b 'ɔ ʎ ə
bonze	b 'ɔ n z ə	b 'o n z ə
bonzessa	b o n z 'ə s ə	b o n z 'e s ə
boques	b 'o k ə s	b 'ɔ k ə s
borda	b 'o ɾ ð ə	b 'ɔ ɾ ð ə
bordo	b 'o ɾ ð o	b 'ɔ ɾ ð o
borratja	b o r 'a d ʒ ə	b o r 'a dʒ ə
borratxera	b o r ə t ʃ 'e ɾ ə	b o r ə tʃ 'e ɾ ə
borratxo	b o r 'a t ʃ o	b o r 'a tʃ o
borsa	b 'o ɾ s ə	b 'ɔ ɾ s ə
borses	b 'o ɾ s ə s	b 'ɔ ɾ s ə s
boscatge	b o s k 'a d ʒ ə	b o s k 'a dʒ ə
bossa	b 'o s ə	b 'ɔ s ə
bosses	b 'o s ə s	b 'ɔ s ə s
botem	b o t 'ə m	b o t 'ɛ m
botxí	b o t ʃ 'i	b o tʃ 'i
boxa	b 'o t s ə	b 'ɔ t s ə
boxes	b 'o t s ə s	b 'ɔ t s ə s
brètol	b ɾ 'ɛ t o l	b ɾ 'ə t o l
brètola	b ɾ 'ɛ t o l ə	b ɾ 'ə t o l ə
brètoles	b ɾ 'ɛ t o l ə s	b ɾ 'ə t o l ə s
brètols	b ɾ 'ɛ t o ls	b ɾ 'ə t o l s
bretxa	b ɾ 'e t ʃ ə	b ɾ 'ɛ tʃ ə
bricolatge	b ɾ i k o l 'a d ʒ ə	b ɾ i k o l 'a dʒ ə
brindarem	b ɾ i n d ə ɾ 'ə m	b ɾ i n d ə ɾ 'ɛ m
broda	b ɾ 'o ð ə	b ɾ 'ɔ ð ə
brolla	b ɾ 'o ʎ ə	b ɾ 'ɔ ʎ ə
brollen	b ɾ 'o ʎ ə n	b ɾ 'ɔ ʎ ə n
brotxa	b ɾ 'ɔ t ʃ ə	b ɾ 'ɔ tʃ ə
brotxes	b ɾ 'ɔ t ʃ ə s	b ɾ 'ɔ tʃ ə s
buidatge	b u j ð 'a d ʒ ə	b u j ð 'a dʒ ə
butlla	b 'u ʎ ʎ ə	b 'u l l ə
butla	b 'u l l ə	b 'u l ə
butlles	b 'u ʎ ʎ ə s	b 'u l l ə s
butles	b 'u l l ə s	b 'u dʒ ə s
butlletins	b u ʎ ʎ ə t 'i n s	b u l l ə t 'i n s
butllofa	b u ʎ ʎ 'ɔ f ə	b u l l 'ɔ f ə
butxaca	b u t ʃ 'a k ə	b u tʃ 'a k ə
butxacada	b u t ʃ ə k 'a ð ə	b u tʃ ə k 'a ð ə
butxacades	b u t ʃ ə k 'a ð ə s	b u tʃ ə k 'a ð ə s
butxaques	b u t ʃ 'a k ə s	b u tʃ 'a k ə s
caçarem	k ə s ə ɾ 'ə m	k ə s ə ɾ 'ɛ m
cacem	k ə s 'ə m	k ə s 'ɛ m
cadavèric	k ə ð ə v 'ɛ ɾ i k	k ə ð ə v 'ə ɾ i k
cadavèrica	k ə ð ə v 'ɛ ɾ i k ə	k ə ð ə v 'ə ɾ i k ə
cadavèrics	k ə ð ə v 'ɛ ɾ i t s	k ə ð ə v 'ə ɾ i t s
cadavèriques	k ə ð ə v 'ɛ ɾ i k ə s	k ə ð ə v 'ə ɾ i k ə s
cadència	k ə ð 'ɛ n s i ə	k ə ð 'ə n s i ə
cadències	k ə ð 'ɛ n s i ə s	k ə ð 'ə n s i ə s
Calabuig	k ə l ə β 'u t ʃ	k ə l ə β 'u tʃ
calarem	k ə l ə ɾ 'ə m	k ə l ə ɾ 'ɛ m
calatge	k ə l 'a d ʒ ə	k ə l 'a dʒ ə
calcularem	k ə l k u l ə ɾ 'ə m	k ə l k u l ə ɾ 'ɛ m
calculem	k ə l k u l 'ə m	k ə l k u l 'ɛ m
calem	k ə l 'ə m	k ə l 'ɛ m
