A	'ə	 ə 
aidar	ə j ð 'a	 ə i ð 'a 
aidat	ə j ð 'a t	 ə i ð 'a t 
aidats	ə j ð 'a t s	 ə i ð 'a t s 
àlber	'a l β ə	 'a l β e  
alçament	ə l s ə m 'e n t	 a l s ə m 'e n t 
alcohol	ə l k o 'ɔ l	 ə l k o 'a l 
alegre	ə l 'e ɣ ɾ ə	 ə l 'ə ɣ ɾ ə 
aliment	ə l i m 'e n t	 a l i m 'e n t 
alineada	ə l i n e 'a ð ə	 ə l i n ə 'a ð ə 
alineament	ə l i n e ə m 'e n t	 ə l i n ə ə m 'e n t 
alinear	ə l i n e 'a	 ə l i n ə 'a 
alineat	ə l i n e 'a t	 ə l i n ə 'a t 
alineats	ə l i n e 'a t s	 ə l i n ə 'a t s 
alleujament	ə ʎ ə w ʒ ə m 'e n t	 ə ʎ ə u ʒ ə m 'e n t 
almirallessa	ə l m i ɾ ə ʎ 'ə s ə	 ə l m i ɾ ə ʎ 'e s ə 
Altai	ə l t 'a j	 ə l t 'a i 
altea	ə l t 'ɛ ə	 ə l t 'e ə 
altrament	ə l t ɾ ə m 'e n t	 a l t ɾ ə m 'e n t 
amainada	ə m ə j n 'a ð ə	 ə m ə i n 'a ð ə 
amainades	ə m ə j n 'a ð ə s	 ə m ə i n 'a ð ə s 
amainant	ə m ə j n 'a n t	 ə m ə i n 'a n t 
amainar	ə m ə j n 'a	 ə m ə i n 'a 
amainat	ə m ə j n 'a t	 ə m ə i n 'a t 
amainats	ə m ə j n 'a t s	 ə m ə i n 'a t s 
amants	ə m 'a n s	 ə m 'a n t s 
amarants	ə m ə ɾ 'a n s	 ə m ə ɾ 'a n t s 
amarg	ə m 'a ɾ k	 ə m 'a ɾ ə 
ambigu	ə m b 'i ɣ u	 ə m b 'i ɣ 
ambulants	ə m b u l 'a n s	 ə m b u l 'a n t s 
amens	ə m 'ə n s	 ə m 'e n s 
ametler	ə m ə l l 'e	 ə m ə ʎ 'e 
amhàric	ə m 'a ɾ i k	 ə m ə ɾ i k 
ampolla	ə m p 'o ʎ ə	 ə m p 'ɔ ʎ ə 
anàrquica	ə n 'a ɾ k i k ə	 ə n ə ɾ k 'i k ə 
anàrquics	ə n 'a ɾ k i t s	 ə n ə ɾ k 'i t s 
Andreu	ə n d ɾ 'e w	 ə n d ɾ 'ɛ w 
anemoscopi	ə n ə m o s k 'ɔ p i	 ə n ə m u s k 'ɔ p i 
Ànglia	'a ŋ g l i ə	 a ŋ g l 'i ə 
angoixa	ə ŋ g 'o ʃ ə	 ə ŋ g 'ɔ ʃ ə 
angoixat	ə ŋ g o ʃ 'a t	 ə ŋ g o i ʃ 'a t 
angoixats	ə ŋ g o ʃ 'a t s	 ə ŋ g o i ʃ 'a t s 
anhel	ə n 'ɛ l	 ə n 'a l 
anhela	ə n 'ɛ l ə	 ə n ə l ə 
anhelo	ə n 'ɛ l o	 ə n i l o 
animositat	ə n i m o z i t 'a t	 ə n i m u z i t 'a t 
anoienc	ə n o j 'ə ŋ k	 ə n o i 'ə ŋ k 
anorèxia	ə n o ɾ 'ɛ t s i ə	 ə n o ɾ 'ə t s i ə 
antimoni	ə n t i m 'ɔ n i	 ə n t i m 'o n i 
antiquada	ə n t i k w 'a ð ə	 ə n t i k 'a ð ə 
antiquades	ə n t i k w 'a ð ə s	 ə n t i k 'a ð ə s 
antiquats	ə n t i k w 'a t s	 ə n t i k 'a t s 
Antoni	ə n t 'ɔ n i	 ə n t 'o n i 
aparell	ə p ə ɾ 'ə ʎ	 ə p ə ɾ 'e ʎ 
aparença	ə p ə ɾ 'ɛ n s ə	 ə p ə ɾ 'e n s ə 
apèndix	ə p 'ɛ n d i t s	 ə p 'ɛ n d i 
apòstols	ə p 'ɔ s t o l s	 ə p u s t 'ɔ l s 
apòstrofs	ə p 'ɔ s t ɾ o f s	 ə p u s t ɾ 'o t s 
aprehendre	ə p ɾ ə 'ɛ n d ɾ ə	 ə p ɾ ə o n d ɾ ə 
aprofitament	ə p ɾ o f i t ə m 'e n t	 ə p ɾ u f i t ə m 'e n t 
aquell	ə k 'ə ʎ	 ə k 'e ʎ 
aqueus	ə k 'ɛ w s	 ə k ə 'u s 
aqüicultura	ə k w i k u l t 'u ɾ ə	 ə k i k u l t 'u ɾ ə 
arborètum	ə ɾ β o ɾ 'ɛ t u m	 ə ɾ β o ɾ 'ə t u m 
àrguens	'a ɾ ɣ ə n s	 a ɾ ɣ 'e n s 
arguïts	ə ɾ ɣ u 'i t s	 ə ɾ ɣ 'i t s 
argument	ə ɾ ɣ u m 'e n t	 a ɾ ɣ u m 'e n t 
armament	ə ɾ m ə m 'e n t	 a ɾ m ə m 'e n t 
arqueà	ə ɾ k e 'a	 ə ɾ k ə 'a 
arreglada	ə r ə g g l 'a ð ə	 ə r ə ɣ l 'a ð ə 
arreglades	ə r ə g g l 'a ð ə s	 ə r ə ɣ l 'a ð ə s 
arreglant	ə r ə g g l 'a n t	 ə r ə ɣ l 'a n t 
arreglar	ə r ə g g l 'a	 ə r ə ɣ l 'a 
arreglat	ə r ə g g l 'a t	 ə r ə ɣ l 'a t 
arreglats	ə r ə g g l 'a t s	 ə r ə ɣ l 'a t s 
arrodoniment	ə r o ð o n i m 'e n t	 ə r u ð u n i m 'e n t 
arts	'a ɾ s	 'a ɾ t s 
arxiduquessa	ə ɾ ʃ i ð u k 'ə s ə	 ə ɾ ʃ i ð u k 'e s ə 
arxipèlag	ə ɾ ʃ i p 'ɛ l ə k	 ə ɾ ʃ i p 'ə l ə k 
asimètric	ə s i m 'ɛ t ɾ i k	 ə z i m 'ɛ t ɾ i k 
asímptota	ə z 'i m t o t ə	 ə z i m i t 'ɔ t ə 
aspirants	ə s p i ɾ 'a n s	 ə s p i ɾ 'a n t s 
assaig	ə s 'a t ʃ	 ə s ə 'i ə 
assessorament	ə s ə s o ɾ ə m 'e n t	 ə s ə s u ɾ ə m 'e n t 
asseure	ə s 'ə w ɾ ə	 ə s 'ɛ w ɾ ə 
assignada	ə s i n n 'a ð ə	 ə s i ə n 'a ð ə 
assignades	ə s i n n 'a ð ə s	 ə s i ə n 'a ð ə s 
associatiu	ə s o s i ə t 'i w	 ə s u s i ə t 'i w 
associatius	ə s o s i ə t 'i w s	 ə s u s i ə t 'i w s 
associativa	ə s o s i ə t 'i v ə	 ə s u s i ə t 'i v ə 
associatives	ə s o s i ə t 'i v ə s	 ə s u s i ə t 'i v ə s 
assoliment	ə s o l i m 'e n t	 ə s u l i m 'e n t 
astènia	ə s t 'è n i ə	 ə s t 'ɛ n i ə 
astènic	ə s t 'è n i k	 ə s t 'ɛ n i k 
asteroide	ə s t ə ɾ 'ɔ j ð ə	 ə s t ə ɾ u 'i ð ə 
astorament	ə s t o ɾ ə m 'e n t	 ə s t u ɾ ə m 'e n t 
astronauta	ə s t ɾ o n 'a w t ə	 ə s t ɾ u n ə 'u t ə 
astronautes	ə s t ɾ o n 'a w t ə s	 ə s t ɾ u n ə 'u t ə s 
atemptada	ə t ə m t 'a ð ə	 ə t ə m ə t 'a ð ə 
atemptades	ə t ə m t 'a ð ə s	 ə t ə m ə t 'a ð ə s 
atemptat	ə t ə m t 'a t	 ə t ə m ə t 'a t 
atemptats	ə t ə m t 'a t s	 ə t ə m ə t 'a t s 
atendre	ə t 'e n d ɾ ə	 ə t 'ə n d ɾ ə 
atlàntic	ə l l 'a n t i k	 ə t l 'a n t i k 
atles	'a l l ə s	 'a b b l ə s 
Atles	'a l l ə s	 'a b b l ə s 
atraient	ə t ɾ ə j 'e n t	 ə t ɾ ə i 'e n t 
atrèsies	ə t ɾ 'ɛ z i ə s	 ə t ɾ 'ə z i ə s 
atreure	ə t ɾ 'ə w ɾ ə	 ə t ɾ 'ɛ w ɾ ə 
atrofiaria	ə t ɾ o f i ə ɾ 'i ə	 ə t ɾ u f i ə ɾ 'i ə 
atropellament	ə t ɾ o p ə ʎ ə m 'e n t	 ə t ɾ u p ə ʎ ə m 'e n t 
aurèola	ə w ɾ 'ɛ o l ə	 ə w ɾ ə 'ɔ l ə 
Àustria	'a w s t ɾ i ə	 a w s t ɾ 'i ə 
autèntic	ə w t 'è n t i k	 ə w t 'ɛ n t i k 
autòmats	ə w t 'ɔ m ə t s	 ə w t u m 'a t s 
autoretrat	ə w t o r ə t ɾ 'a t	 ə w t o ɾ ə t ɾ 'a t 
autoretrats	ə w t o r ə t ɾ 'a t s	 ə w t o ɾ ə t ɾ 'a t s 
autosuficiència	ə w t o s u f i s i 'ɛ n s i ə	 ə w t o z u f i s i 'ɛ n s i ə 
autosuficient	ə w t o s u f i s i 'e n t	 ə w t o z u f i s i 'e n t 
avantbraç	ə v ə m b ɾ 'a s	 ə v ə n t ə ɾ 'a s 
avantpassat	ə v ə m p ə s 'a t	 ə v ə n t p ə s 'a t 
avantpassats	ə v ə m p ə s 'a t s	 ə v ə n t p ə s 'a t s 
avorriment	ə v o r i m 'e n t	 ə v u r i m 'e n t 
avortament	ə v o ɾ t ə m 'e n t	 ə v u ɾ t ə m 'e n t 
babaues	b ə β 'a w ə s	 b ə β 'a ə s 
barbacoa	b ə ɾ β ə k 'o ə	 b ə ɾ β ə k 'ɔ ə 
bàrbar	b 'a ɾ β ə	 b ə ɾ β 'a 
bards	b 'a ɾ s	 b 'a ɾ t s 
bastard	b ə s t 'a ɾ t	 b ə s t 'a ɾ ə 
bateria	b ə t ə ɾ 'i ə	  b e t ə ɾ 'i ə 
bateries	b ə t ə ɾ 'i ə s	  b e t ə ɾ 'i ə s 
Batle	b 'a l l ə	 b 'a b b l ə 
Batle	b 'a l l ə	 b 'a b b l ə 
beata	b e 'a t ə	 b ə 'a t ə 
becllarg	b ə k ʎ 'a ɾ k	 b ə k ʎ 'a ɾ ə 
beneficiosa	b ə n ə f i s i 	 b ə n ə f i s i 'o s ə 
beneficioses	b ə n ə f i s i 'o z ə s	 b ə n ə f i s i 'o s ə s 
beneficiosos	b ə n ə f i s i 'o z o s	 b ə n ə f i s i 'o s o s 
beneïts	b ə n ə 'i t s	 b ə n ə 'i s 
besnebot	b ə z n ə β 'o t	 b ə z n ə β 'ɔ t 
beure	b 'ə w ɾ ə	 b 'ɛ w ɾ ə 
bíceps	b 'i s ə t s	 b i s 'ə t s 
Bigorra	b i ɣ 'ɔ r ə	 b i ɣ 'o r ə 
biogènesi	b i o ʒ 'ɛ n ə z i	 b i o ʒ 'ə n ə z i 
bioluminescència	b i o l u m i n ə t s 'ɛ n s i ə	 b i u l u m i n ə t s 'ɛ n s i ə 
bioma	b i 'ɔ m ə	 b i 'o m ə 
bisexual	b i s ə t s u 'a l	 b i z ə t s u 'a l 
bisexualitat	b i s ə t s u ə l i t 'a t	 b i z ə t s u ə l i t 'a t 
bisexuals	b i s ə t s u 'a l s	 b i z ə t s u 'a l s 
bitlles	b 'i l l ə s	 b 'i ʎ ʎ ə s 
Blancaneus	b l ə ŋ k ə n 'ɛ w s	 b l ə ŋ k ə n ə 'u s 
blens	b l 'ə n s	 b l 'e n s 
boc	b 'o k	 b 'ɔ k 
boca	b 'o k ə	 b 'ɔ k ə 
bocs	b 'o t s	 b 'ɔ t s 
boda	b 'o ð ə	 b 'ɔ ð ə 
bodes	b 'o ð ə s	 b 'ɔ ð ə s 
boicotejada	b o j k o t ə ʒ 'a ð ə	 b u j k u t ə ʒ 'a ð ə 
boicotejades	b o j k o t ə ʒ 'a ð ə s	 b u j k u t ə ʒ 'a ð ə s 
boicotejar	b o j k o t ə ʒ 'a	 b u j k u t ə ʒ 'a 
boicotejat	b o j k o t ə ʒ 'a t	 b u j k u t ə ʒ 'a t 
boicotejats	b o j k o t ə ʒ 'a t s	 b u j k u t ə ʒ 'a t s 
boirina	b o j ɾ 'i n ə	 b o i ɾ 'i n ə 
boirum	b o j ɾ 'u m	 b u j ɾ 'u m 
bolca	b 'o l k ə	 b 'ɔ l k ə 
bolquen	b 'o l k ə n	 b 'ɔ l k ə n 
bolxevic	b o l ʃ ə v 'i k	 b u l ʃ ə v 'i k 
bolxevisme	b o l ʃ ə v 'i z m ə	 b u l ʃ ə v 'i z m ə 
bomba	b 'o m b ə	 b 'ɔ m b ə 
bomber	b o m b 'e	 b u m b 'e 
bombes	b 'o m b ə s	 b 'ɔ m b ə s 
bombo	b 'o m b o	 b 'ɔ m b o 
bombolla	b o m b 'o ʎ ə	 b o m b 'ɔ ʎ ə 
bonze	b 'ɔ n z ə	 b 'o n z ə 
bonzessa	b o n z 'ə s ə	 b u n z 'e s ə 
boques	b 'o k ə s	 b 'ɔ k ə s 
borda	b 'o ɾ ð ə	 b 'ɔ ɾ ð ə 
bordo	b 'o ɾ ð o	 b 'ɔ ɾ ð o 
borratxera	b o r ə t ʃ 'e ɾ ə	 b u r ə t ʃ 'e ɾ ə 
borrut	b o r 'u t	 b u r 'u t 
borsa	b 'o ɾ s ə	 b 'ɔ ɾ s ə 
borsari	b o ɾ s 'a ɾ i	 b u s 'a ɾ i 
borsària	b o ɾ s 'a ɾ i ə	 b u s 'a ɾ i ə 
borses	b 'o ɾ s ə s	 b 'ɔ ɾ s ə s 
borsista	b o ɾ s 'i s t ə	 b u s 'i s t ə 
bossa	b 'o s ə	 b 'ɔ s ə 
bosses	b 'o s ə s	 b 'ɔ s ə s 
bossut	b o s 'u t	 b u s 'u t 
boxa	b 'o t s ə	 b 'ɔ t s ə 
boxes	b 'o t s ə s	 b 'ɔ t s ə s 
brànquia	b ɾ 'a ŋ k i ə	 b ɾ ə ŋ k 'i ə 
brànquies	b ɾ 'a ŋ k i ə s	 b ɾ ə ŋ k 'i ə s 
brètol	b ɾ 'ɛ t o l	 b ɾ 'ə t o l 
brètola	b ɾ 'ɛ t o l ə	 b ɾ 'ə t o l ə 
brètoles	b ɾ 'ɛ t o l ə s	 b ɾ 'ə t o l ə s 
brètols	b ɾ 'ɛ t o ls	 b ɾ 'ə t o l s 
bretxa	b ɾ 'e t ʃ ə	 b ɾ 'ɛ t ʃ ə 
broda	b ɾ 'o ð ə	 b ɾ 'ɔ ð ə 
brolla	b ɾ 'o ʎ ə	 b ɾ 'ɔ ʎ ə 
brollen	b ɾ 'o ʎ ə n	 b ɾ 'ɔ ʎ ə n 
brúixola	b ɾ 'u ʃ o l ə	 b ɾ u ʃ 'ɔ l ə 
búbal	b 'u β ə l	 b u β 'a l 
búfal	b 'u f ə l	 b u f 'a l 
búfals	b 'u f ə l s	 b u f 'a l s 
búgula	b 'u ɣ u l ə	 b u ɣ 'u l ə 
buidada	b u j ð 'a ð ə	 b u i ð 'a ð ə 
buidades	b u j ð 'a ð ə s	 b u i ð 'a ð ə s 
buidar	b u j ð 'a	 b u i ð 'a 
buidatge	b u j ð 'a d ʒ ə	 b u i ð 'a d ʒ ə 
buidor	b u j ð 'o	 b u i ð 'o 
búlgara	b 'u l ɣ ə ɾ ə	 b u l ɣ 'a ɾ ə 
Calabuig	k ə l ə β 'u t ʃ	 k ə l ə β 'u ʃ 
calàndria	k ə l 'a n d ɾ i ə	 k ə l ə n d ɾ 'i ə 
caler	k ə l 'ə	 k ə l 'e 
candela	k ə n d 'ɛ l ə	 k ə n d 'ə l ə 
canela	k ə n 'ɛ l ə	 k ə n 'ə l ə 
caneles	k ə n 'ɛ l ə s	 k ə n 'ə l ə s 
caníbals	k ə n 'i β ə l s	 k ə n i β 'a l s 
canoa	k ə n 'o ə	 k ə n 'ɔ ə 
cantants	k ə n t 'a n s	 k ə n t 'a n t s 
càpsules	k 'a t s u l ə s	 k 'a s u l ə s 
carboni	k ə ɾ β 'ɔ n i	 k ə ɾ β 'o n i 
carbonis	k ə ɾ β 'ɔ n i s	 k ə ɾ β 'o n i s 
carei	k ə ɾ 'ə j	 k ə ɾ 'ə i 
catastrofisme	k ə t ə s t ɾ o f 'i z m ə	 k ə t ə s t ɾ u f 'i z m ə 
Caterina	k ə t ə ɾ 'i n ə	  k e t ə ɾ 'i n ə 
catorze	k ə t 'o ɾ z ə	 k ə t 'ɔ ɾ z ə 
cautela	k ə w t 'ɛ l ə	 k ə w t 'ə l ə 
cavernícola	k ə v ə ɾ n 'i k o l ə	  k e v ə ɾ n 'i k o l ə 
Ceilan	s ə j l 'a n	 s ə i l 'a n 
cella	s 'ə ʎ ə	 s 'e ʎ ə 
celles	s 'ə ʎ ə s	 s 'e ʎ ə s 
cens	s 'ə n s	 s 'e n s 
centre	s 'e n t ɾ ə	 s 'ɛ n t ɾ ə 
centren	s 'e n t ɾ ə n	 s 'ɛ n t ɾ ə n 
centres	s 'e n t ɾ ə s	 s 'ɛ n t ɾ ə s 
cèntrica	s 'è n t ɾ i k ə	 s ə n t ɾ 'i k ə 
cèntriques	s 'è n t ɾ i k ə s	 s 'ɛ n t ɾ i k ə s 
centro	s 'e n t ɾ o	 s 'ɛ n t ɾ o 
ceptre	s 'e t t ɾ ə	 s 'ə t t ɾ ə 
cèrcols	s 'ɛ ɾ k o l s	 s ə ɾ k 'ɔ l s 
cessen	s 'e s ə n	 s 'ə s ə n 
ciberespai	s i β ə ɾ ə s p 'a j	 s i β ə ɾ ə s p 'a i 
cilíndrica	s i l 'i n d ɾ i k ə	 s i l i n d ɾ 'i k ə 
circumcisió	s i ɾ k u n s i z i 'o	 s i ɾ k u t s i z i 'o 
ciutadà	s i w t ə ð 'a	 s 'i w t 'a ð 'a 
clavicèmbal	k l ə v i s 'ɛ m b ə l	 k l ə v i s 'ə m b ə l 
clona	k l 'ɔ n ə	 k l 'o n ə 
clones	k l 'ɔ n ə s	 k l 'o n ə s 
cloni	k l 'ɔ n i	 k l 'o n i 
clonin	k l 'ɔ n i n	 k l 'o n i n 
clonis	k l 'ɔ n i s	 k l 'o n i s 
clono	k l 'ɔ n o	 k l 'o n o 
clora	k l 'ɔ ɾ ə	 k l 'o ɾ ə 
clores	k l 'ɔ ɾ ə s	 k l 'o ɾ ə s 
closes	k l 'ɔ z ə s	 k l 'o z ə s 
cobles	k 'o b b l ə s	 k 'ɔ b b l ə s 
coco	k 'o k o	 k 'ɔ k o 
cofoi	k o f 'ɔ j	 k o f 'o i 
cogoma	k o ɣ 'ɔ m ə	 k o ɣ 'o m ə 
cogombre	k o ɣ 'o m b ɾ ə	 k o ɣ 'ɔ m b ɾ ə 
colesteatoma	k o l ə s t e ə t 'ɔ m ə	 k o l ə s t ə ə t 'o m ə 
colesteatomes	k o l ə s t e ə t 'ɔ m ə s	 k o l ə s t ə ə t 'o m ə s 
colibrí	k o l i β ɾ 'i	 k u l i β ɾ 'i 
colonialisme	k o l o n i ə l 'i z m ə	 k u l u n i ə l 'i z m ə 
colonialista	k o l o n i ə l 'i s t ə	 k u l u n i ə l 'i s t ə 
colossos	k o l 'o s o s	 k o l 'ɔ s o s 
colze	k 'o l z ə	 k 'ɔ l z ə 
com	k 'ɔ m	 k 'o m 
comandament	k o m ə n d ə m 'e n t	 k u m ə n d ə m 'e n t 
comandaments	k o m ə n d ə m 'e n s	 k o m ə n d ə m 'e n t s 
comandants	k o m ə n d 'a n s	 k o m ə n d 'a n t s 
comboi	k o m b 'ɔ j	 k o m b 'o i 
començament	k o m ə n s ə m 'e n t	 k u m ə n s ə m 'e n t 
compareixença	k o m p ə ɾ ə ʃ 'ɛ n s ə	 k o m p ə ɾ ə ʃ 'e n s ə 
compartiment	k o m p ə ɾ t i m 'e n t	 k u m p ə ɾ t i m 'e n t 
complement	k o m p l ə m 'e n t	 k u m p l ə m 'e n t 
complerts	k o m p l 'ɛ ɾ s	 k o m p l 'ɛ ɾ t s 
còmplices	k 'ɔ m p l i s ə s	 k u m p l 'i s ə s 
compliment	k o m p l i m 'e n t	 k u m p l i m 'e n t 
comportament	k o m p o ɾ t ə m 'e n t	 k u m p u ɾ t ə m 'e n t 
compra	k 'o m p ɾ ə	 k 'ɔ m p ɾ ə 
compren	k 'o m p ɾ ə n	 k 'ɔ m p ɾ ə n 
compres	k 'o m p ɾ ə s	 k 'ɔ m p ɾ ə s 
compro	k 'o m p ɾ o	 k 'ɔ m p ɾ o 
compta	k 'o m t ə	 k u m 'ə t ə 
comptables	k o m t 'a b b l ə s	 k o m ə t 'a b b l ə s 
comptada	k o m t 'a ð ə	 k o m ə t 'a ð ə 
comptades	k o m t 'a ð ə s	 k o m ə t 'a ð ə s 
compte	k 'o m t ə	 k 'ɔ m t ə 
compten	k 'o m t ə n	 k 'ɔ m i t ə n 
comptes	k 'o m t ə s	 k 'ɔ m t ə s 
comtat	k o n t 'a t	 k o m t 'a t 
comtats	k o n t 'a t s	 k o m t 'a t s 
comte	k 'o n t ə	 k 'ɔ n t ə 
comtes	k 'o n t ə s	 k 'ɔ n t ə s 
conca	k 'o ŋ k ə	 k 'ɔ ŋ k ə 
concepte	k o n s 'ɛ t t ə	 k o n s 'ə t t ə 
concloses	k o ŋ k l 'ɔ z ə s	 k o ŋ k l 'o z ə s 
concursant	k o ŋ k u ɾ s 'a n t	 k u ŋ k u ɾ s 'a n t 
concursos	k o ŋ k 'u ɾ s o s	 k u ŋ k 'u ɾ s u s 
condicionament	k o n d i s i o n ə m 'e n t	 k u n d i s i u n ə m 'e n t 
coneixement	k o n ə ʃ ə m 'e n t	 k u n ə ʃ ə m 'e n t 
cònjuge	k 'ɔ n ʒ u ʒ ə	 k u n ʒ 'u ʒ ə 
conjuntiva	k o n ʒ u n t 'i v ə	 k u n ʒ u n t 'i v ə 
conjuntives	k o n ʒ u n t 'i v ə s	 k u n ʒ u n t 'i v ə s 
conjuntura	k o n ʒ u n t 'u ɾ ə	 k u n ʒ u n t 'u ɾ ə 
conopeu	k o n o p 'ɛ w	 k o n o p 'ə w 
conques	k 'o ŋ k ə s	 k 'ɔ ŋ k ə s 
conquesta	k o ŋ k 'e s t ə	 k o ŋ k 'ə s t ə 
conscient	k o n t s i 'e n t	 k o n s i 'e n t 
consell	k o n s 'ə ʎ	 k o n s 'e ʎ 
consens	k o n s 'ə n s	 k o n s 'e n s 
consentiment	k o n s ə n t i m 'e n t	 k u n s ə n t i m 'e n t 
consonants	k o n s o n 'a n s	 k o n s o n 'a n t s 
consta	k 'o n s t ə	 k 'ɔ n s t ə 
constants	k o n s t 'a n s	 k o n s t 'a n t s 
conte	k 'o n t ə	 k 'ɔ n t ə 
conten	k 'o n t ə n	 k 'ɔ n t ə n 
contes	k 'o n t ə s	 k 'ɔ n t ə s 
contigu	k o n t 'i ɣ u	 k o n t 'i ɣ 
contingents	k o n t i n ʒ 'e n s	 k u n t i ŋ g 'e n s 
continguda	k o n t i ŋ g 'u ð ə	 k u n t i ŋ g 'u ð ə 
contingudes	k o n t i ŋ g 'u ð ə s	 k u n t i ŋ g 'u ð ə s 
contingut	k o n t i ŋ g 'u t	 k u n t i ŋ g 'u t 
continguts	k o n t i ŋ g 'u t s	 k u n t i ŋ g 'u t s 
contra	k 'o n t ɾ ə	 k 'ɔ n t ɾ ə 
contraatacada	k o n t ɾ ə ə t ə k 'a ð ə	 k u n t ɾ ə ə t ə k 'a ð ə 
contraatacades	k o n t ɾ ə ə t ə k 'a ð ə s	 k u n t ɾ ə ə t ə k 'a ð ə s 
contraatacat	k o n t ɾ ə ə t ə k 'a t	 k u n t ɾ ə ə t ə k 'a t 
contraatacats	k o n t ɾ ə ə t ə k 'a t s	 k u n t ɾ ə ə t ə k 'a t s 
contrarestades	k o n t ɾ ə ɾ ə s t 'a ð ə s	 k u n t ɾ ə ɾ ə s t 'a ð ə s 
contrarestats	k o n t ɾ ə ɾ ə s t 'a t s	 k u n t ɾ ə ɾ ə s t 'a t s 
contravinguda	k o n t ɾ ə v i ŋ g 'u ð ə	 k u n t ɾ ə v i ŋ g 'u ð ə 
contravingudes	k o n t ɾ ə v i ŋ g 'u ð ə s	 k u n t ɾ ə v i ŋ g 'u ð ə s 
contravingut	k o n t ɾ ə v i ŋ g 'u t	 k u n t ɾ ə v i ŋ g 'u t 
