A	'ə	 ə 
adjacent	ə d ʒ ə s 'e n	 ə d ʒ ə s 'ɛ n 
adob	ə ð 'o p	 ə ð 'o 
adoctrinament	ə ð u k t ɾ i n ə m 'e n	 ə ð u k t ɾ 'i n ə m 'ɛ n 
adolescent	ə ð u l ə s 'e n	 ə ð 'o l ə s 'ɛ n 
adolescents	ə ð u l ə s 'e n s	 ə ð 'o l ə s 'ɛ n s 
adonis	ə ð 'o n i s	 ə ð 'ɔ n i s 
adreça	ə ð ɾ 'e s ə	 ə ð ɾ 'ɛ s ə 
adreces	ə ð ɾ 'e s ə s	 ə ð ɾ 'ɛ s ə s 
adúlter	ə ð 'u l t ə r	 ə ð 'u l t 'e 
adveniment	ə d b ə n i m 'e n	 ə d b 'ɛ n i m 'ɛ n 
advertiment	ə d b ə r t i m 'e n	 ə d b 'ɛ r t i m 'ɛ n 
aerobi	ə e ɾ 'ɔ β i	 ə ə ɾ 'ɔ β i 
aeròbic	ə e ɾ 'ɔ β i k	 ə ə ɾ 'ɔ β i k 
aeròmetre	ə e ɾ 'ɔ m ə t ɾ ə	 ə ə ɾ 'ɔ m ə t ɾ ə 
afaiçonar	ə f ə j s u n 'a	 ə f 'a j s u n 'a 
afaitada	ə f ə j t 'a ð ə	 ə f ə i t 'a ð ə 
afaitades	ə f ə j t 'a ð ə s	 ə f ə i t 'a ð ə s 
afaitar	ə f ə j t 'a	 ə f ə i t 'a 
afaitat	ə f ə j t 'a t	 ə f ə i t 'a t 
afaitats	ə f ə j t 'a t s	 ə f ə i t 'a t s 
afecta	ə f 'e k t ə	 ə f 'ɛ k t ə 
afecte	ə f 'e k t ə	 ə f 'ɛ k t ə 
afectes	ə f 'e k t ə s	 ə f 'ɛ k t ə s 
afectuosa	ə f ə k t u 'o z ə	 ə f ə k t u 'ɔ z ə 
afectuoses	ə f ə k t u 'o z ə s	 ə f ə k t u 'ɔ z ə s 
afectuosos	ə f ə k t u 'o z u s	 ə f ə k t 'u 'ɔ z u s 
afer	ə f 'e r	 ə f 'ɛ 
Afganistan	ə v ɣ ə n i s t 'a n	 ə f ɣ ə n i s t 'a n 
afiblar	ə f i b b l 'a	 ə f 'i b b l 'a 
afluent	ə f l u 'e n	 ə f l u 'ɛ n 
afrikaans	ə f ɾ i k ə 'a n s	 ə f ɾ i k 'a 'a n s 
afronta	ə f ɾ 'o n t ə	 ə f ɾ 'ɔ n t ə 
afusellament	ə f u z ə ʎ ə m 'e n	 ə f u z 'ɛ ʎ ə m 'ɛ n 
agenda	ə ʒ 'e n d ə	 ə ʒ 'ɛ n d ə 
agent	ə ʒ 'e n	 ə ʒ 'ɛ n 
agents	ə ʒ 'e n s	 ə ʒ 'ɛ n s 
agermanament	ə ʒ ə r m ə n ə m 'e n	 ə ʒ ə r m 'a n ə m 'ɛ n 
agraïment	ə ɣ ɾ ə i m 'e n	 ə ɣ ɾ 'a i m 'ɛ n 
agricultura	ə ɣ ɾ i k u l t 'u ɾ ə	 ə ɣ ɾ i k 'u l t 'u ɾ ə 
aguaitada	ə ɣ w ə j t 'a ð ə	 ə ɣ w ə i t 'a ð ə 
aguaitades	ə ɣ w ə j t 'a ð ə s	 ə ɣ w ə i t 'a ð ə s 
aguaitant	ə ɣ w ə j t 'a n	 ə ɣ w ə i t 'a n 
aguaitar	ə ɣ w ə j t 'a	 ə ɣ w ə i t 'a 
aguaitat	ə ɣ w ə j t 'a t	 ə ɣ w ə i t 'a t 
aguaitats	ə ɣ w ə j t 'a t s	 ə ɣ w ə i t 'a t s 
Àgueda	'a ɣ ə ð ə	 'a ɣ u ə ð ə 
àguila	'a ɣ i l ə	 'a ɣ u i l ə 
aguilenc	ə ɣ i l 'ɛ ŋ	 ə ɣ i l 'ɛ n s 
àguiles	'a ɣ i l ə s	 'a ɣ u i l ə s 
agullat	ə ɣ u ʎ 'a t	 ə ɣ 'u ʎ 'a t 
agulleta	ə ɣ u ʎ 'ɛ t ə	 ə ɣ 'u ʎ 'ɛ t ə 
ai	'a j	 'a i 
aidada	ə j ð 'a ð ə	 ə i ð 'a ð ə 
aidades	ə j ð 'a ð ə s	 ə i ð 'a ð ə s 
aidant	ə j ð 'a n	 ə i ð 'a n 
aidar	ə j ð 'a	 ə i ð 'a 
aidat	ə j ð 'a t	 ə i ð 'a t 
aidats	ə j ð 'a t s	 ə i ð 'a t s 
aiguabarreig	ə j ɣ w ə β ə r 'ɛ t ʃ	 ə j ɣ w ə β ə r 'ɛ ʃ 
aiguafort	ə j ɣ w ə f 'ɔ r t	 ə j ɣ w ə f 'o r t 
aigualir	ə j ɣ w ə l 'i	 ə j ɣ u ə l 'i 
aiguaneu	ə j ɣ w ə n 'e w	 ə j ɣ w ə n 'ɛ w 
aigüera	ə j ɣ w 'e ɾ ə	 'a j ə w 'ɛ ɾ ə 
aigüerola	ə j ɣ w ə ɾ 'ɔ l ə	 'a j ɣ w ə ɾ 'ɔ l ə 
aigüeroles	ə j ɣ w ə ɾ 'ɔ l ə s	 'a j ɣ w ə ɾ 'ɔ l ə s 
aïllacionista	ə i ʎ ə s i u n 'i s t ə	 ə 'i ʎ ə s i u n 'i s t ə 
aïllada	ə i ʎ 'a ð ə	 ə 'i ʎ 'a ð ə 
aïllades	ə i ʎ 'a ð ə s	 ə 'i ʎ 'a ð ə s 
aïllament	ə i ʎ ə m 'e n	 ə 'i ʎ ə m 'ɛ n 
aïllant	ə i ʎ 'a n	 ə 'i ʎ 'a n 
aïllar	ə i ʎ 'a	 ə 'i ʎ 'a 
aïllat	ə i ʎ 'a t	 ə 'i ʎ 'a t 
aïllats	ə i ʎ 'a t s	 ə 'i ʎ 'a t s 
aixecament	ə ʃ ə k ə m 'e n	 ə ʃ 'ɛ k ə m 'ɛ n 
aixella	ə ʃ 'e ʎ ə	 ə ʃ 'ɛ ʎ ə 
ajuntament	ə ʒ u n t ə m 'e n	 ə ʒ 'u n t ə m 'ɛ n 
ajustament	ə ʒ u s t ə m 'e n	 ə ʒ 'u s t ə m 'ɛ n 
al	'ə l	 ə l 
albenc	ə l β 'ɛ ŋ	 ə l β 'ɛ n s 
albufera	ə l β u f 'e ɾ ə	 ə l β u f 'ɛ ɾ ə 
alçament	ə l s ə m 'e n	 'a l s ə m 'ɛ n 
Alcàsser	ə l k 'a s ə r	 ə l k 'a s ə 
alcàsser	ə l k 'a s ə r	 ə l k 'a s ə 
alcohol	ə l k u 'ɔ l	 ə l k u 'a l 
aldea	ə l d 'e ə	 ə l d 'ɛ ə 
aleatori	ə l e ə t 'ɔ ɾ i	 ə l ə ə t 'ɔ ɾ i 
alegre	ə l 'e ɣ ɾ ə	 ə l 'ɛ ɣ ɾ ə 
aleshores	ə l ə z 'ɔ ɾ ə s	 ə l ə s 'ɔ ɾ ə s 
aleteig	ə l ə t 'ɛ t ʃ	 ə l ə t 'ɛ ʃ 
alfabregueta	ə l f ə β ɾ ə ɣ 'ɛ t ə	 ə l f ə β ɾ ə ɣ u 'ɛ t ə 
algebraic	ə l ʒ ə β ɾ 'a j k	 ə l ʒ ə β ɾ 'a i k 
àlgid	'a l ʒ i t	 'a l ʒ i ð 
àlgids	'a l ʒ i t s	 'a l ʒ i ð s 
algutzir	ə l ɣ u d z 'i	 ə l ɣ 'u d z 'i 
àliga	'a l i ɣ ə	 ' a l i ɣ ə 
àligues	'a l i ɣ ə s	 ' a l i ɣ ə s 
aliment	ə l i m 'e n	 ' a l i m 'ɛ n 
alimenta	ə l i m 'e n t ə	 ə l i m 'ɛ n t ə 
alimenti	ə l i m 'e n t i	 ə l i m 'ɛ n t i 
alineament	ə l i n e ə m 'e n	 ə l i n 'ɛ ə m 'ɛ n 
aljub	ə l ʒ 'u p	 ə l ʒ 'u 
allenc	ə ʎ 'ɛ ŋ	 ə ʎ 'ɛ n s 
alleugerada	ə ʎ ə w ʒ ə ɾ 'a ð ə	 ə ʎ 'ɛ w ʒ ə ɾ 'a ð ə 
alleugerades	ə ʎ ə w ʒ ə ɾ 'a ð ə s	 ə ʎ 'ɛ w ʒ ə ɾ 'a ð ə s 
alleugerant	ə ʎ ə w ʒ ə ɾ 'a n	 ə ʎ 'ɛ w ʒ ə ɾ 'a n 
alleugerar	ə ʎ ə w ʒ ə ɾ 'a	 ə ʎ 'ɛ w ʒ ə ɾ 'a 
alleugerat	ə ʎ ə w ʒ ə ɾ 'a t	 ə ʎ 'ɛ w ʒ ə ɾ 'a t 
alleugerats	ə ʎ ə w ʒ ə ɾ 'a t s	 ə ʎ 'ɛ w ʒ ə ɾ 'a t s 
alleugerida	ə ʎ ə w ʒ ə ɾ 'i ð ə	 ə ʎ 'ɛ w ʒ ə ɾ 'i ð ə 
alleugerides	ə ʎ ə w ʒ ə ɾ 'i ð ə s	 ə ʎ 'ɛ w ʒ ə ɾ 'i ð ə s 
alleugerint	ə ʎ ə w ʒ ə ɾ 'i n	 ə ʎ 'ɛ w ʒ ə ɾ 'i n 
alleugerir	ə ʎ ə w ʒ ə ɾ 'i	 ə ʎ 'ɛ w ʒ ə ɾ 'i 
alleugerit	ə ʎ ə w ʒ ə ɾ 'i t	 ə ʎ 'ɛ w ʒ ə ɾ 'i t 
alleugerits	ə ʎ ə w ʒ ə ɾ 'i t s	 ə ʎ 'ɛ w ʒ ə ɾ 'i t s 
alleujament	ə ʎ ə w ʒ ə m 'e n	 ə ʎ 'ɛ w ʒ ə m 'ɛ n 
alliberament	ə ʎ i β ə ɾ ə m 'e n	 ə ʎ i β 'ɛ ɾ ə m 'ɛ n 
allotjament	ə ʎ u d ʒ ə m 'e n	 ə ʎ 'ɔ d ʒ ə m 'ɛ n 
alt	'a l	 'a l t 
Altai	ə l t 'a j	 ə l t 'a i 
altaic	ə l t 'a j k	 ə l t 'a i k 
altra	'a l t ɾ ə	 ' a l t ɾ ə 
altrament	ə l t ɾ ə m 'e n	 ' a l t ɾ ə m 'ɛ n 
altre	'a l t ɾ ə	 ' a l t ɾ ə 
altres	'a l t ɾ ə s	 ' a l t ɾ ə s 
altri	'a l t ɾ i	 ' a l t ɾ i 
alzinenc	ə l z i n 'ɛ ŋ	 ə l z i n 'ɛ n s 
amainada	ə m ə j n 'a ð ə	 ə m ə i n 'a ð ə 
amainades	ə m ə j n 'a ð ə s	 ə m ə i n 'a ð ə s 
amainant	ə m ə j n 'a n	 ə m ə i n 'a n 
amainar	ə m ə j n 'a	 ə m ə i n 'a 
amainat	ə m ə j n 'a t	 ə m ə i n 'a t 
amainats	ə m ə j n 'a t s	 ə m ə i n 'a t s 
amarg	ə m 'a r k	 ə m 'a r 
amatent	ə m ə t 'e n	 ə m ə t 'ɛ n 
Amazones	ə m ə z 'o n ə s	 ə m ə z 'ɔ n ə s 
ambdós	ə m d 'o s	 ə m b d 'o s 
ambdues	ə m d 'u ə s	 ə m b d 'u ə s 
ambient	ə m b i 'e n	 ə m b i 'ɛ n 
ambigú	ə m b i ɣ 'u	 ə m b 'i ɣ 'u 
ambigüitat	ə m b i ɣ w i t 'a t	 ə m b i ɣ i t 'a t 
ambigüitats	ə m b i ɣ w i t 'a t s	 ə m b i ɣ i t 'a t s 
amblada	ə m b l 'a ð ə	 ə m ə l 'a ð ə 
amblades	ə m b l 'a ð ə s	 ə m ə l 'a ð ə s 
ametller	ə m ə ʎ ʎ 'e	 ə m ə ʎ ʎ 'ɛ 
amfitriona	ə m f i t ɾ i 'o n ə	 ə m f i t ɾ i 'ɔ n ə 
amfitriones	ə m f i t ɾ i 'o n ə s	 ə m f i t ɾ i 'ɔ n ə s 
amistosa	ə m i s t 'o z ə	 ə m i s t 'ɔ z ə 
amistoses	ə m i s t 'o z ə s	 ə m i s t 'ɔ z ə s 
amistosos	ə m i s t 'o z u s	 ə m i s t 'ɔ z u s 
amor	ə m 'o r	 ə m 'o 
amorosa	ə m u ɾ 'o z ə	 ə m u ɾ 'ɔ z ə 
amoroses	ə m u ɾ 'o z ə s	 ə m u ɾ 'ɔ z ə s 
amorosos	ə m u ɾ 'o z u s	 ə m u ɾ 'ɔ z u s 
ampolla	ə m p 'o ʎ ə	 ə m p 'ɔ ʎ ə 
anacard	ə n ə k 'a r	 ə n ə k 'a r t 
anàrquica	ə n 'a r k i k ə	 ə n 'a r k 'i k ə 
anàrquics	ə n 'a r k i k s	 ə n 'a r k 'i k s 
Andorra	ə n d 'o r ə	 ə n d 'ɔ r ə 
Andreu	ə n d ɾ 'e w	 ə n d ɾ 'ɛ w 
anell	ə n 'e ʎ	 ə n 'ɛ ʎ 
anemoscopi	ə n ə m u s k 'ɔ p i	 ə n 'ɛ m u s k 'ɔ p i 
àngels	'a n ʒ ə l s	 'a n ʒ 'ɛ l s 
Àngels	'a n ʒ ə l s	 'a n ʒ 'ɛ l s 
anihilar	ə n i i l 'a	 ə n i 'a l 'a 
animadora	ə n i m ə ð 'o ɾ ə	 ə n i m ə ð 'ɔ ɾ ə 
animadores	ə n i m ə ð 'o ɾ ə s	 ə n i m ə ð 'ɔ ɾ ə s 
animadversió	ə n i m ə d b ə r s i 'o	 ə n i m 'a d b ə r s i 'o 
animadversions	ə n i m ə d b ə r s i 'o n s	 ə n i m 'a d b ə r s i 'o n s 
animositat	ə n i m u z i t 'a t	 ə n 'i m u z i t 'a t 
antecessora	ə n t ə s ə s 'o ɾ ə	 ə n t ə s ə s 'ɔ ɾ ə 
anterior	ə n t ə ɾ i 'o r	 ə n t ə ɾ i 'o 
antiacadèmica	ə n t i ə k ə ð 'ɛ m i k ə	 ə n t 'i ə k ə ð 'ɛ m i k ə 
antiacadèmics	ə n t i ə k ə ð 'ɛ m i k s	 ə n t 'i ə k ə ð 'ɛ m i k s 
antiacadèmiques	ə n t i ə k ə ð 'ɛ m i k ə s	 ə n t 'i ə k ə ð 'ɛ m i k ə s 
antiavalots	ə n t i ə β ə l 'ɔ t s	 ə n t i ə β ə l 'o t s 
Antillia	ə n t i ʎ 'i ə	 ə n t 'i ʎ 'i ə 
antitancs	ə n t i t 'a ŋ s	 ə n t i t 'a ŋ k s 
apagallums	ə p ə ɣ ə ʎ 'u m s	 ə p ə ɣ 'a ʎ 'u m s 
aparcament	ə p ə r k ə m 'e n	 ə p 'a r k ə m 'ɛ n 
apareixent	ə p ə ɾ ə ʃ 'e n	 ə p ə ɾ ə ʃ 'ɛ n 
aparent	ə p ə ɾ 'e n	 ə p ə ɾ 'ɛ n 
aparentment	ə p ə ɾ ə m m 'e n	 ə p ə ɾ 'ɛ n i m 'ɛ n 
apartament	ə p ə r t ə m 'e n	 ə p 'a r t ə m 'ɛ n 
apicultura	ə p i k u l t 'u ɾ ə	 ə p i k 'u l t 'u ɾ ə 
aplaudida	ə p l ə w ð 'i ð ə	 ə p l ə u ð 'i ð ə 
aplaudides	ə p l ə w ð 'i ð ə s	 ə p l ə u ð 'i ð ə s 
aplaudiment	ə p l ə w ð i m 'e n	 ə p l 'a w ð i m 'ɛ n 
aplaudint	ə p l ə w ð 'i n	 ə p l ə u ð 'i n 
aplaudir	ə p l ə w ð 'i	 ə p l ə u ð 'i 
apòstrofs	ə p 'ɔ s t ɾ u f s	 ə p 'ɔ s t ɾ 'ɔ f s 
aprehendre	ə p ɾ ə 'ɛ n d ɾ ə	 ə p ɾ ə u n d ɾ ə 
aprenent	ə p ɾ ə n 'e n	 ə p ɾ ə n 'ɛ n 
aprofitament	ə p ɾ u f i t ə m 'e n	 ə p ɾ u f 'i t ə m 'ɛ n 
aquàriums	ə k w 'a ɾ i u m s	 ə k w 'a ɾ i w m s 
aqüeducte	ə k w ə ð 'u k t ə	 ə k ə ð 'u k t ə 
aqüeductes	ə k w ə ð 'u k t ə s	 ə k ə ð 'u k t ə s 
aquest	ə k 'ɛ t	 ə k 'ɛ s t 
aqüicultura	ə k w i k u l t 'u ɾ ə	 ə k i k 'u l t 'u ɾ ə 
argent	ə r ʒ 'e n	 ə r ʒ 'ɛ n 
ariet	ə ɾ i 'ɛ t	 ə ɾ 'i 'ɛ t 
armament	ə r m ə m 'e n	 'a r m ə m 'ɛ n 
armaments	ə r m ə m 'e n s	 ə r m ə m 'ɛ n s 
armariet	ə r m ə ɾ i 'ɛ t	 ə r m ə ɾ 'i 'ɛ t 
aroma	ə ɾ 'o m ə	 ə ɾ 'ɔ m ə 
arqueig	ə r k 'ɛ t ʃ	 ə r k 'ɛ ʃ 
arquer	ə r k 'e	 ə r k 'ɛ 
arrabassar	ə r ə β ə s 'a	 ə r 'a β ə s 'a 
arranjament	ə r ə n ʒ ə m 'e n	 ə r 'a n ʒ ə m 'ɛ n 
arraulida	ə r ə w l 'i ð ə	 ə r ə u l 'i ð ə 
arraulides	ə r ə w l 'i ð ə s	 ə r ə u l 'i ð ə s 
arraulint	ə r ə w l 'i n	 ə r ə u l 'i n 
arraulir	ə r ə w l 'i	 ə r ə u l 'i 
arrelament	ə r ə l ə m 'e n	 ə r 'ɛ l ə m 'ɛ n 
arriet	ə r i 'ɛ t	 ə r 'i 'ɛ t 
arrodoniment	ə r u ð u n i m 'e n	 ə r u ð 'ɔ n i m 'ɛ n 
artell	ə r t 'e ʎ	 ə r t 'ɛ ʎ 
arts	'a r s	 'a r t s 
Artur	ə r t 'u r	 ə r t 'u 
arxillaüt	ə r ʃ i ʎ ə 'u t	 ə r ʃ 'i ʎ 'a 'u t 
ascendent	ə s ə n d 'e n	 ə s ə n d 'ɛ n 
asimètric	ə s i m 'ɛ t ɾ i k	 ə z i m 'ɛ t ɾ i k 
assaig	ə s 'a t ʃ	 ə s 'a 'i ə 
assalt	ə s 'a l	 ə s 'a l t 
assemblea	ə s ə m b l 'e ə	 ə s ə m b l 'ɛ ə 
assentament	ə s ə n t ə m 'e n	 ə s 'ɛ n t ə m 'ɛ n 
assessorament	ə s ə s u ɾ ə m 'e n	 ə s ə s 'ɔ ɾ ə m 'ɛ n 
assetjament	ə s ə d ʒ ə m 'e n	 ə s 'ɛ d ʒ ə m 'ɛ n 
asseure's	ə s 'ɛ w ɾ ə s	 ə s ə w ɾ 'ɛ s 
assistent	ə s i s t 'e n	 ə s i s t 'ɛ n 
associatiu	ə s u s i ə t 'i w	 ə s u s 'i ə t 'i w 
associatius	ə s u s i ə t 'i w s	 ə s u s 'i ə t 'i w s 
associativa	ə s u s i ə t 'i β ə	 ə s u s 'i ə t 'i β ə 
associatives	ə s u s i ə t 'i β ə s	 ə s u s 'i ə t 'i β ə s 
assoliment	ə s u l i m 'e n	 ə s 'ɔ l i m 'ɛ n 
assot	ə s 'ɔ t	 ə s 'o t 
assumpte	ə s 'u m t ə	 ə s 'u m p t ə 
assumptes	ə s 'u m t ə s	 ə s 'u m p t ə s 
asteroide	ə s t ə ɾ 'ɔ j ð ə	 ə s t ə ɾ 'ɔ 'i ð ə 
astorament	ə s t u ɾ ə m 'e n	 ə s t 'ɔ ɾ ə m 'ɛ n 
astronauta	ə s t ɾ u n 'a w t ə	 ə s t ɾ u n 'a 'u t ə 
astronautes	ə s t ɾ u n 'a w t ə s	 ə s t ɾ u n 'a 'u t ə s 
atendre	ə t 'e n d ɾ ə	 ə t 'ɛ n d ɾ ə 
atenenc	ə t ə n 'ɛ ŋ	 ə t ə n 'ɛ n s 
atenent	ə t ə n 'e n	 ə t ə n 'ɛ n 
atent	ə t 'e n	 ə t 'ɛ n 
atenta	ə t 'e n t ə	 ə t 'ɛ n t ə 
ateu	ə t 'e w	 ə t 'ɛ w 
atlàntic	ə l l 'a n t i k	 ə t l 'a n t i k 
atles	'a l l ə s	 'a t l ə s 
Atles	'a l l ə s	 'a t l ə s 
atleta	ə l l 'ɛ t ə	 ə t l 'ɛ t ə 
atlètic	ə l l 'ɛ t i k	 ə t l 'ɛ t i k 
atmosfera	ə d m u s f 'e ɾ ə	 ə d m u s f 'ɛ ɾ ə 
atracament	ə t ɾ ə k ə m 'e n	 ə t ɾ 'a k ə m 'ɛ n 
atraient	ə t ɾ ə j 'e n	 ə t ɾ ə i 'ɛ n 
atret	ə t ɾ 'e t	 ə t ɾ 'ɛ t 
atrets	ə t ɾ 'e t s	 ə t ɾ 'ɛ t s 
atroç	ə t ɾ 'ɔ s	 ə t ɾ 'o s 
atropellament	ə t ɾ u p ə ʎ ə m 'e n	 ə t ɾ u p 'ɛ ʎ ə m 'ɛ n 
atur	ə t 'u r	 ə t 'u 
atzar	ə d z 'a r	 ə d z 'a 
aurèola	ə w ɾ 'ɛ u l ə	 ə w ɾ 'ɛ 'ɔ l ə 
auster	ə w s t 'e r	 ə w s t 'ɛ 
austera	ə w s t 'e ɾ ə	 ə w s t 'ɛ ɾ ə 
Àustria	'a w s t ɾ i ə	 'a w s t ɾ 'i ə 
autocar	ə w t u k 'a r	 ə w t u k 'a 
autogol	ə w t u ɣ 'ɔ l	 ə w t u ɣ 'o l 
autòmats	ə w t 'ɔ m ə t s	 ə w t 'ɔ m 'a t s 
autora	ə w t 'o ɾ ə	 ə w t 'ɔ ɾ ə 
autoretrat	ə w t u r ə t ɾ 'a t	 ə w t u ɾ ə t ɾ 'a t 
autoretrats	ə w t u r ə t ɾ 'a t s	 ə w t u ɾ ə t ɾ 'a t s 
autosuficiència	ə w t u s u f i s i 'ɛ n s i ə	 ə w t u z u f i s i 'ɛ n s i ə 
autosuficient	ə w t u s u f i s i 'e n	 ə w t u z u f i s i 'ɛ n 
avançament	ə β ə n s ə m 'e n	 ə β 'a n s ə m 'ɛ n 
avantbraç	ə β ə m b ɾ 'a s	 ə β ə n β ɾ 'a s 
avantpassat	ə β ə m p ə s 'a t	 ə β ə n p ə s 'a t 
avantpassats	ə β ə m p ə s 'a t s	 ə β ə n p ə s 'a t s 
avar	ə β 'a r	 ə β 'a 
avellanenc	ə β ə ʎ ə n 'ɛ ŋ	 ə β ə ʎ ə n 'ɛ n s 
aventurer	ə β ə n t u ɾ 'e	 ə β ə n t u ɾ 'ɛ 
avinent	ə β i n 'e n	 ə β i n 'ɛ n 
avituallament	ə β i t u ə ʎ ə m 'e n	 ə β i t u 'a ʎ ə m 'ɛ n 
avorriment	ə β u r i m 'e n	 ə β 'ɔ r i m 'ɛ n 
avortament	ə β u r t ə m 'e n	 ə β 'ɔ r t ə m 'ɛ n 
axioma	ə k s i 'o m ə	 ə k s i 'ɔ m ə 
Badakhxan	b ə ð ə k ʃ 'a n	 b 'a ð ə k ə 'a n 
bagenc	b ə ʒ 'ɛ ŋ	 b ə ʒ 'ɛ n s 
Bahames	b ə 'a m ə s	 b ə m m ə s 
baixkir	b ə ʃ k 'i	 b 'a ʃ s 'i 
Balaguer	b ə l ə ɣ 'e	 b ə l ə ɣ 'ɛ 
balancejar	b ə l ə n s ə ʒ 'a	 b ə l 'a n s ə ʒ 'a 
balbuceig	b ə l β u s 'ɛ t ʃ	 b ə l β u s 'ɛ ʃ 
baldament	b ə l d ə m 'e n	 b 'a l d ə m 'ɛ n 
balear	b ə l e 'a r	 b ə l e 'a 
balears	b ə l e 'a r s	 b ə l 'ɛ 'a s 
Balears	b ə l e 'a r s	 b ə l 'ɛ 'a s 
Ballester	b ə ʎ ə s t 'e	 b ə ʎ ə s t 'ɛ 
balneari	b ə l n e 'a ɾ i	 b ə l ə e 'a ɾ i 
Balutxistan	b ə l u t ʃ i s t 'a n	 b ə l 'u t ʃ i s t 'a n 
banc	b 'a ŋ	 b 'a ŋ k 
bancs	b 'a ŋ s	 b 'a ŋ k s 
bandera	b ə n d 'e ɾ ə	 b ə n d 'ɛ ɾ ə 
bandoler	b ə n d u l 'e	 b ə n d u l 'ɛ 
bàndols	b 'a n d u l s	 b 'a n d 'ɔ l s 
banquer	b ə ŋ k 'e	 b ə ŋ k 'ɛ 
banyera	b ə ɲ 'e ɾ ə	 b ə ɲ 'ɛ ɾ ə 
bar	b 'a r	 b 'a 
Barcelona	b ə r s ə l 'o n ə	 b ə r s ə l 'ɔ n ə 
barranquisme	b ə r ə ŋ k 'i z m ə	 b ə r 'a ŋ k 'i z m ə 
barreig	b ə r 'ɛ t ʃ	 b ə r 'ɛ ʃ 
barrera	b ə r 'e ɾ ə	 b ə r 'ɛ ɾ ə 
barroc	b ə r 'ɔ k	 b ə r 'o k 
barroer	b ə r u 'e	 b ə r u 'ɛ r 
basalt	b ə z 'a l	 b ə z 'a l t 
basament	b ə z ə m 'e n	 b 'a z ə m 'ɛ n 
bastament	b ə s t ə m 'e n	 b 'a s t ə m 'ɛ n 
bastard	b ə s t 'a r t	 b ə s t 'a r 
bastiment	b ə s t i m 'e n	 b 'a s t i m 'ɛ n 
bateig	b ə t 'ɛ t ʃ	 b ə t 'ɛ ʃ 
batxillejar	b ə t ʃ i ʎ ə ʒ 'a	 b ə t ʃ 'i ʎ ə ʒ 'a 
