A	'ə	 ə 
adreces	ə ð ɾ 'e s ə s	 ə ð ɾ 'ə s ə s 
adscripció	ə s k ɾ i t s i 'o	 ə t s k ɾ i t s i 'o 
adscrit	ə s k ɾ 'i t	 ə t s k ɾ 'i t 
adscrita	ə s k ɾ 'i t ə	 ə t s k ɾ 'i t ə 
adscrites	ə s k ɾ 'i t ə s	 ə t s k ɾ 'i t ə s 
adscrits	ə s k ɾ 'i t s	 ə t s k ɾ 'i t s 
adscriure	ə s k ɾ 'i w ɾ ə	 ə t s k ɾ 'i w ɾ ə 
adults	ə ð 'u l s	 ə ð 'u l t s 
afaitada	ə f ə j t 'a ð ə	 ə f ə i t 'a ð ə 
afaitades	ə f ə j t 'a ð ə s	 ə f ə i t 'a ð ə s 
afaitar	ə f ə j t 'a	 ə f ə i t 'a 
afaitat	ə f ə j t 'a t	 ə f ə i t 'a t 
afaitats	ə f ə j t 'a t s	 ə f ə i t 'a t s 
afectuosa	ə f ə t t u 'o z ə	 ə f ə t t u 'ɔ z ə 
afectuoses	ə f ə t t u 'o z ə s	 ə f ə t t u 'ɔ s ə s 
afectuosos	ə f ə t t u 'o z o s	 ə f ə t t u 'ɔ z o s 
Afganistan	ə v ɣ ə n i s t 'a n	 ə f ɣ ə n i s t 'a n 
afluent	ə f l u 'e n t	 ə f l u 'ɛ n t 
afrikaans	ə f ɾ i k ə 'a n s	 ə f ɾ i k 'a 'a n s 
afronta	ə f ɾ 'o n t ə	 ə f ɾ 'ɔ n t ə 
afusellament	ə f u z ə ʎ ə m 'e n t	 ə f u z 'ə ʎ ə m 'ə n t 
agenda	ə ʒ 'e n d ə	 ə ʒ 'ɛ n d ə 
agent	ə ʒ 'e n t	 ə ʒ 'ɛ n t 
agents	ə ʒ 'e n s	 ə ʒ 'ɛ n s 
agermanament	ə ʒ ə ɾ m ə n ə m 'e n t	 ə ʒ ə ɾ m 'a n ə m 'ə n t 
agraïment	ə ɣ ɾ ə i m 'e n t	 ə ɣ ɾ 'a i m 'ɛ n t 
agricultura	ə ɣ ɾ i k u l t 'u ɾ ə	 ə ɣ ɾ i k 'u l t 'u ɾ ə 
agudesa	ə ɣ u ð 'ə z ə	 ə ɣ 'u ð 'ə z ə 
agullat	ə ɣ u ʎ 'a t	 ə ɣ 'u ʎ 'a t 
agulleta	ə ɣ u ʎ 'ə t ə	 ə ɣ 'u ʎ 'ə t ə 
aidada	ə j ð 'a ð ə	 ə i ð 'a ð ə 
aidades	ə j ð 'a ð ə s	 ə i ð 'a ð ə s 
aidant	ə j ð 'a n t	 ə i ð 'a n t 
aidar	ə j ð 'a	 ə i ð 'a 
aidat	ə j ð 'a t	 ə i ð 'a t 
aidats	ə j ð 'a t s	 ə i ð 'a t s 
aïllada	ə i ʎ 'a ð ə	 ə 'i ʎ 'a ð ə 
aïllades	ə i ʎ 'a ð ə s	 ə 'i ʎ 'a ð ə s 
aïllament	ə i ʎ ə m 'e n t	 ə 'i ʎ ə m 'ə n t 
aïllant	ə i ʎ 'a n t	 ə 'i ʎ 'a n t 
aïllar	ə i ʎ 'a	 ə 'i ʎ 'a 
aïllat	ə i ʎ 'a t	 ə 'i ʎ 'a t 
aïllats	ə i ʎ 'a t s	 ə 'i ʎ 'a t s 
aixecament	ə ʃ ə k ə m 'e n t	 ə ʃ 'ɛ k ə m 'ə n t 
aixella	ə ʃ 'e ʎ ə	 ə ʃ 'ə ʎ ə 
ajuntament	ə ʒ u n t ə m 'e n t	 ə ʒ 'u n t ə m 'ə n t 
ajustament	ə ʒ u s t ə m 'e n t	 ə ʒ 'u s t ə m 'ə n t 
àlber	'a l β ə	 'a l β e  
albufera	ə l β u f 'e ɾ ə	 ə l β u f 'ɛ ɾ ə 
alçament	ə l s ə m 'e n t	 'a l s ə m 'ə n t 
alcohol	ə l k o 'ɔ l	 ə l k o 'a l 
alegre	ə l 'e ɣ ɾ ə	 ə l 'ə ɣ ɾ ə 
algutzir	ə l ɣ u d z 'i	 ə l ɣ 'u d z 'i 
aliment	ə l i m 'e n t	 'a l i m 'ə n t 
alimenta	ə l i m 'e n t ə	 ə l i m 'ɛ n t ə 
alineada	ə l i n e 'a ð ə	 ə l i n ə 'a ð ə 
alineament	ə l i n e ə m 'e n t	 ə l i n 'ə ə m 'ə n t 
alinear	ə l i n e 'a	 ə l i n 'ə 'a 
alineat	ə l i n e 'a t	 ə l i n 'e 'a t 
alineats	ə l i n e 'a t s	 ə l i n 'e 'a t s 
alleugerada	ə ʎ ə w ʒ ə ɾ 'a ð ə	 ə ʎ 'ɛ w ʒ ə ɾ 'a ð ə 
alleugerades	ə ʎ ə w ʒ ə ɾ 'a ð ə s	 ə ʎ 'ɛ w ʒ ə ɾ 'a ð ə s 
alleugerant	ə ʎ ə w ʒ ə ɾ 'a n t	 ə ʎ 'ɛ w ʒ ə ɾ 'a n t 
alleugerar	ə ʎ ə w ʒ ə ɾ 'a	 ə ʎ 'ɛ w ʒ ə ɾ 'a 
alleugerat	ə ʎ ə w ʒ ə ɾ 'a t	 ə ʎ 'ɛ w ʒ ə ɾ 'a t 
alleugerats	ə ʎ ə w ʒ ə ɾ 'a t s	 ə ʎ 'ɛ w ʒ ə ɾ 'a t s 
alleugerida	ə ʎ ə w ʒ ə ɾ 'i ð ə	 ə ʎ 'ɛ w ʒ ə ɾ 'i ð ə 
alleugerides	ə ʎ ə w ʒ ə ɾ 'i ð ə s	 ə ʎ 'ɛ w ʒ ə ɾ 'i ð ə s 
alleugerint	ə ʎ ə w ʒ ə ɾ 'i n t	 ə ʎ 'ɛ w ʒ ə ɾ 'i n t 
alleugerir	ə ʎ ə w ʒ ə ɾ 'i	 ə ʎ 'ɛ w ʒ ə ɾ 'i 
alleugerit	ə ʎ ə w ʒ ə ɾ 'i t	 ə ʎ 'ɛ w ʒ ə ɾ 'i t 
alleugerits	ə ʎ ə w ʒ ə ɾ 'i t s	 ə ʎ 'ɛ w ʒ ə ɾ 'i t s 
alleujament	ə ʎ ə w ʒ ə m 'e n t	 ə ʎ 'ə u ʒ ə m 'ə n t 
Altai	ə l t 'a j	 ə l t 'a i 
altea	ə l t 'ɛ ə	 ə l t 'ə ə 
altrament	ə l t ɾ ə m 'e n t	 'a l t ɾ ə m 'ə n t 
amainada	ə m ə j n 'a ð ə	 ə m ə i n 'a ð ə 
amainades	ə m ə j n 'a ð ə s	 ə m ə i n 'a ð ə s 
amainant	ə m ə j n 'a n t	 ə m ə i n 'a n t 
amainar	ə m ə j n 'a	 ə m ə i n 'a 
amainat	ə m ə j n 'a t	 ə m ə i n 'a t 
amainats	ə m ə j n 'a t s	 ə m ə i n 'a t s 
amants	ə m 'a n s	 ə m 'a n t s 
amarants	ə m ə ɾ 'a n s	 ə m ə ɾ 'a n t s 
amarg	ə m 'a ɾ k	 ə m 'a ɾ ə 
amatent	ə m ə t 'e n t	 ə m ə t 'ə n t 
Amazones	ə m ə z 'o n ə s	 ə m ə z 'ɔ n ə s 
ambient	ə m b i 'e n t	 ə m b i 'ɛ n t 
ambigu	ə m b 'i ɣ u	 ə m b 'i ɣ 
ambigú	ə m b i ɣ 'u	 ə m b 'i ɣ 'u 
ambulants	ə m b u l 'a n s	 ə m b u l 'a n t s 
ametler	ə m ə l l 'e	 ə m ə l l 'ə 
ametller	ə m ə ʎ ʎ 'e	 ə m ə ʎ ʎ 'ə 
amfitriona	ə m f i t ɾ i 'o n ə	 ə m f i t ɾ i 'ɔ n ə 
amfitriones	ə m f i t ɾ i 'o n ə s	 ə m f i t ɾ i 'ɔ n ə s 
amhàric	ə m 'a ɾ i k	 ə m ə ɾ i k 
amistosa	ə m i s t 'o z ə	 ə m i s t 'ɔ z ə 
amistoses	ə m i s t 'o z ə s	 ə m i s t 'ɔ z ə s 
amistosos	ə m i s t 'o z o s	 ə m i s t 'ɔ z o s 
amorosa	ə m o ɾ 'o z ə	 ə m o ɾ 'ɔ z ə 
amoroses	ə m o ɾ 'o z ə s	 ə m o ɾ 'ɔ z ə s 
amorosos	ə m o ɾ 'o z o s	 ə m o ɾ 'ɔ z o s 
ampolla	ə m p 'o ʎ ə	 ə m p 'ɔ ʎ ə 
anàrquica	ə n 'a ɾ k i k ə	 ə n 'a ɾ k 'i k ə 
anàrquics	ə n 'a ɾ k i t s	 ə n 'a ɾ k 'i t s 
Andorra	ə n d 'o r ə	 ə n d 'ɔ r ə 
Andreu	ə n d ɾ 'e w	 ə n d ɾ 'ɛ w 
anell	ə n 'e ʎ	 ə n 'ə ʎ 
anemoscopi	ə n ə m o s k 'ɔ p i	 ə n 'ə m o s k 'ɔ p i 
angiïtis	ə n ʒ i 'i t i s	 ə n ʒ 'i 'i t i s 
Ànglia	'a ŋ g l i ə	 'a ŋ g l 'i ə 
angoixa	ə ŋ g 'o ʃ ə	 ə ŋ g 'ɔ ʃ ə 
angoixat	ə ŋ g o ʃ 'a t	 ə ŋ g o i ʃ 'a t 
angoixats	ə ŋ g o ʃ 'a t s	 ə ŋ g o i ʃ 'a t s 
anhel	ə n 'ɛ l	 ə n 'a l 
anhela	ə n 'ɛ l ə	 ə n ə l ə 
anhelo	ə n 'ɛ l o	 ə n i l o 
animadora	ə n i m ə ð 'o ɾ ə	 ə n i m ə ð 'ɔ ɾ ə 
animadores	ə n i m ə ð 'o ɾ ə s	 ə n i m ə ð 'ɔ ɾ ə s 
animositat	ə n i m o z i t 'a t	 ə n 'i m o z i t 'a t 
anoienc	ə n o j 'ə ŋ k	 ə n o i 'ə ŋ k 
anorèxia	ə n o ɾ 'ɛ t s i ə	 ə n o ɾ 'ə t s i ə 
antecessora	ə n t ə s ə s 'o ɾ ə	 ə n t ə s ə s 'ɔ ɾ ə 
antiavalots	ə n t i ə v ə l 'ɔ t s	 ə n t i ə v ə l 'o t s 
Antillia	ə n t i ʎ 'i ə	 ə n t 'i ʎ 'i ə 
antiquada	ə n t i k w 'a ð ə	 ə n t i k 'a ð ə 
antiquades	ə n t i k w 'a ð ə s	 ə n t i k 'a ð ə s 
antiquats	ə n t i k w 'a t s	 ə n t i k 'a t s 
aparcament	ə p ə ɾ k ə m 'e n t	 ə p 'a ɾ k ə m 'ə n t 
apareixent	ə p ə ɾ ə ʃ 'e n t	 ə p ə ɾ ə ʃ 'ə n t 
aparent	ə p ə ɾ 'e n t	 ə p ə ɾ 'ə n t 
apartament	ə p ə ɾ t ə m 'e n t	 ə p 'a ɾ t ə m 'ə n t 
apèndix	ə p 'ɛ n d i t s	 ə p 'ɛ n d i 
apicultura	ə p i k u l t 'u ɾ ə	 ə p i k 'u l t 'u ɾ ə 
aplaudiment	ə p l ə w ð i m 'e n t	 ə p l 'a w ð i m 'ə n t 
apòstols	ə p 'ɔ s t o l s	 ə p 'ɔ s t 'ɔ l s 
apòstrofs	ə p 'ɔ s t ɾ o f s	 ə p 'ɔ s t ɾ 'o t s 
aprehendre	ə p ɾ ə 'ɛ n d ɾ ə	 ə p ɾ ə o n d ɾ ə 
aprenent	ə p ɾ ə n 'e n t	 ə p ɾ ə n 'ə n t 
aprofitament	ə p ɾ o f i t ə m 'e n t	 ə p ɾ o f 'i t ə m 'ə n t 
aqueus	ə k 'ɛ w s	 ə k 'ə 'u s 
aqüicultura	ə k w i k u l t 'u ɾ ə	 ə k i k 'u l t 'u ɾ ə 
arborètum	ə ɾ β o ɾ 'ɛ t u m	 ə ɾ β o ɾ 'ə t u m 
ardent	ə ɾ ð 'e n t	 ə ɾ ð 'ɛ n t 
argent	ə ɾ ʒ 'e n t	 ə ɾ ʒ 'ɛ n t 
àrguens	'a ɾ ɣ ə n s	 'a ɾ ɣ 'e n s 
arguïts	ə ɾ ɣ u 'i t s	 ə ɾ ɣ 'i t s 
argument	ə ɾ ɣ u m 'e n t	 'a ɾ ɣ u m 'ə n t 
argumenta	ə ɾ ɣ u m 'e n t ə	 ə ɾ ɣ u m 'ɛ n t ə 
argumentes	ə ɾ ɣ u m 'e n t ə s	 ə ɾ ɣ u m 'ə n t ə s 
armament	ə ɾ m ə m 'e n t	 'a ɾ m ə m 'ə n t 
armistici	ə ɾ m i s t 'i s i	 ə ɾ m 'i s t 'i s i 
armisticis	ə ɾ m i s t 'i s i s	 ə ɾ m 'i s t 'i s i s 
aroma	ə ɾ 'o m ə	 ə ɾ 'ɔ m ə 
arqueà	ə ɾ k e 'a	 ə ɾ k 'ə 'a 
arquer	ə ɾ k 'e	 ə ɾ k 'ə 
arrabassar	ə r ə β ə s 'a	 ə r 'a β ə s 'a 
arranjament	ə r ə n ʒ ə m 'e n t	 ə r 'a n ʒ ə m 'ə n t 
arreglada	ə r ə g g l 'a ð ə	 ə r ə ɣ l 'a ð ə 
arreglades	ə r ə g g l 'a ð ə s	 ə r ə ɣ l 'a ð ə s 
arreglant	ə r ə g g l 'a n t	 ə r ə ɣ l 'a n t 
arreglar	ə r ə g g l 'a	 ə r ə ɣ l 'a 
arreglat	ə r ə g g l 'a t	 ə r ə ɣ l 'a t 
arreglats	ə r ə g g l 'a t s	 ə r ə ɣ l 'a t s 
arrelament	ə r ə l ə m 'e n t	 ə r 'ɛ l ə m 'ə n t 
arrodoniment	ə r o ð o n i m 'e n t	 ə r o ð 'ɔ n i m 'ə n t 
arts	'a ɾ s	 'a ɾ t s 
arxipèlag	ə ɾ ʃ i p 'ɛ l ə k	 ə ɾ ʃ i p 'ə l ə k 
ascendent	ə t s ə n d 'e n t	 ə t s ə n d 'ə n t 
asimètric	ə s i m 'ɛ t ɾ i k	 ə z i m 'ɛ t ɾ i k 
asímptota	ə z 'i m t o t ə	 ə z 'i m i t 'ɔ t ə 
aspirants	ə s p i ɾ 'a n s	 ə s p i ɾ 'a n t s 
assaig	ə s 'a t ʃ	 ə s 'a 'i ə 
assentament	ə s ə n t ə m 'e n t	 ə s 'ɛ n t ə m 'ə n t 
assessorament	ə s ə s o ɾ ə m 'e n t	 ə s ə s 'ɔ ɾ ə m 'ə n t 
assetjament	ə s ə d ʒ ə m 'e n t	 ə s 'ə d ʒ ə m 'ə n t 
asseure	ə s 'ə w ɾ ə	 ə s 'ɛ w ɾ ə 
assignada	ə s i n n 'a ð ə	 ə s i ə n 'a ð ə 
assignades	ə s i n n 'a ð ə s	 ə s i ə n 'a ð ə s 
assistent	ə s i s t 'e n t	 ə s i s t 'ɛ n t 
associatiu	ə s o s i ə t 'i w	 ə s o s 'i ə t 'i w 
associatius	ə s o s i ə t 'i w s	 ə s o s 'i ə t 'i w s 
associativa	ə s o s i ə t 'i v ə	 ə s o s 'i ə t 'i v ə 
associatives	ə s o s i ə t 'i v ə s	 ə s o s 'i ə t 'i v ə s 
assoliment	ə s o l i m 'e n t	 ə s 'ɔ l i m 'ə n t 
assot	ə s 'ɔ t	 ə s 'o t 
astènia	ə s t 'è n i ə	 ə s t 'ɛ n i ə 
astènic	ə s t 'è n i k	 ə s t 'ɛ n i k 
asteroide	ə s t ə ɾ 'ɔ j ð ə	 ə s t ə ɾ 'ɔ 'i ð ə 
astorament	ə s t o ɾ ə m 'e n t	 ə s t 'ɔ ɾ ə m 'ə n t 
astronauta	ə s t ɾ o n 'a w t ə	 ə s t ɾ o n 'a 'u t ə 
astronautes	ə s t ɾ o n 'a w t ə s	 ə s t ɾ o n 'a 'u t ə s 
atemptada	ə t ə m t 'a ð ə	 ə t ə m ə t 'a ð ə 
atemptades	ə t ə m t 'a ð ə s	 ə t ə m ə t 'a ð ə s 
atemptat	ə t ə m t 'a t	 ə t ə m ə t 'a t 
atemptats	ə t ə m t 'a t s	 ə t ə m ə t 'a t s 
atendre	ə t 'e n d ɾ ə	 ə t 'ə n d ɾ ə 
atenent	ə t ə n 'e n t	 ə t ə n 'ə n t 
atent	ə t 'e n t	 ə t 'ə n t 
atenta	ə t 'e n t ə	 ə t 'ɛ n t ə 
atlàntic	ə l l 'a n t i k	 ə t l 'a n t i k 
atles	'a l l ə s	 'a b b l ə s 
Atles	'a l l ə s	 'a b b l ə s 
atmosfera	ə m m o s f 'e ɾ ə	 ə m m o s f 'ɛ ɾ ə 
atracament	ə t ɾ ə k ə m 'e n t	 ə t ɾ 'a k ə m 'ə n t 
atraient	ə t ɾ ə j 'e n t	 ə t ɾ ə i 'ə n t 
atrèsies	ə t ɾ 'ɛ z i ə s	 ə t ɾ 'ə z i ə s 
atreure	ə t ɾ 'ə w ɾ ə	 ə t ɾ 'ɛ w ɾ ə 
atrofiaria	ə t ɾ o f i ə ɾ 'i ə	 ə t ɾ o f 'i ə ɾ 'i ə 
atropellament	ə t ɾ o p ə ʎ ə m 'e n t	 ə t ɾ o p 'ə ʎ ə m 'ə n t 
aurèola	ə w ɾ 'ɛ o l ə	 ə w ɾ 'ə 'ɔ l ə 
austera	ə w s t 'e ɾ ə	 ə w s t 'ɛ ɾ ə 
Àustria	'a w s t ɾ i ə	 'a w s t ɾ 'i ə 
autèntic	ə w t 'è n t i k	 ə w t 'ɛ n t i k 
autogol	ə w t o ɣ 'ɔ l	 ə w t o ɣ 'o l 
autòmats	ə w t 'ɔ m ə t s	 ə w t 'ɔ m 'a t s 
autora	ə w t 'o ɾ ə	 ə w t 'ɔ ɾ ə 
autoretrat	ə w t o r ə t ɾ 'a t	 ə w t o ɾ ə t ɾ 'a t 
autoretrats	ə w t o r ə t ɾ 'a t s	 ə w t o ɾ ə t ɾ 'a t s 
autosuficiència	ə w t o s u f i s i 'ɛ n s i ə	 ə w t o z u f i s i 'ɛ n s i ə 
autosuficient	ə w t o s u f i s i 'e n t	 ə w t o z u f i s i 'ɛ n t 
avançament	ə v ə n s ə m 'e n t	 ə v 'a n s ə m 'ə n t 
avantbraç	ə v ə m b ɾ 'a s	 ə v ə n t ə ɾ 'a s 
avantpassat	ə v ə m p ə s 'a t	 ə v ə n t p ə s 'a t 
avantpassats	ə v ə m p ə s 'a t s	 ə v ə n t p ə s 'a t s 
aventurer	ə v ə n t u ɾ 'e	 ə v ə n t u ɾ 'ə 
avinent	ə v i n 'e n t	 ə v i n 'ə n t 
avinguda	ə v i ŋ g 'u ð ə	 ə v 'i ŋ g 'u ð ə 
avingudes	ə v i ŋ g 'u ð ə s	 ə v 'i ŋ g 'u ð ə s 
avituallament	ə v i t u ə ʎ ə m 'e n t	 ə v i t u 'a ʎ ə m 'ə n t 
avorriment	ə v o r i m 'e n t	 ə v 'ɔ r i m 'ə n t 
avortament	ə v o ɾ t ə m 'e n t	 ə v 'ɔ ɾ t ə m 'ə n t 
babaues	b ə β 'a w ə s	 b ə β 'a ə s 
banyera	b ə ɲ 'e ɾ ə	 b ə ɲ 'ɛ ɾ ə 
barbacoa	b ə ɾ β ə k 'o ə	 b ə ɾ β ə k 'ɔ ə 
bàrbar	b 'a ɾ β ə	 b 'a ɾ β 'a 
barber	b ə ɾ β 'e	 b ə ɾ β 'ə 
Barcelona	b ə ɾ s ə l 'o n ə	 b ə ɾ s ə l 'ɔ n ə 
bards	b 'a ɾ s	 b 'a ɾ t s 
barranquisme	b ə r ə ŋ k 'i z m ə	 b ə r 'a ŋ k 'i z m ə 
barrera	b ə r 'e ɾ ə	 b ə r 'ɛ ɾ ə 
barroer	b ə r o 'e	 b ə r o 'ə 
basament	b ə z ə m 'e n t	 b 'a z ə m 'ə n t 
bastament	b ə s t ə m 'e n t	 b 'a s t ə m 'ə n t 
bastard	b ə s t 'a ɾ t	 b ə s t 'a ɾ ə 
bastiment	b ə s t i m 'e n t	 b 'a s t i m 'ə n t 
bateria	b ə t ə ɾ 'i ə	  b e t ə ɾ 'i ə 
bateries	b ə t ə ɾ 'i ə s	  b e t ə ɾ 'i ə s 
Batle	b 'a l l ə	 b 'a b b l ə 
Batle	b 'a l l ə	 b 'a b b l ə 
baül	b ə 'u l	 b 'a 'u l 
beata	b e 'a t ə	 b ə 'a t ə 
becllarg	b ə k ʎ 'a ɾ k	 b ə k ʎ 'a ɾ ə 
becquerel	b ə k k ə ɾ 'ɛ l	 b 'ɛ k k ə ɾ 'ɛ l 
beisbol	b ə j z β 'ɔ l	 b 'ə j z β 'o l 
beix	b 'e ʃ	 b 'ɛ ʃ 
bella	b 'e ʎ ə	 b 'ə ʎ ə 
belles	b 'e ʎ ə s	 b 'ə ʎ ə s 
benedictí	b ə n ə ð i t t 'i	 b ə n ə ð 'i t t 'i 
beneficiarà	b ə n ə f i s i ə ɾ 'a	 b ə n ə f i s i 'a ɾ 'a 
beneficiosa	b ə n ə f i s i 	 b ə n ə f i s i 'ɔ s ə 
beneficioses	b ə n ə f i s i 'o z ə s	 b ə n ə f i s i 'ɔ s ə s 
beneficiosos	b ə n ə f i s i 'o z o s	 b ə n ə f i s i 'ɔ z o s 
beneït	b ə n ə 'i t	 b ə n 'e 'i t 
beneïts	b ə n ə 'i t s	 b ə n ə 'i s 
berber	b ə ɾ β 'e	 b ə ɾ β 'ə 
Besalú	b ə z ə l 'u	 b ə z 'a l 'u 
bessona	b ə s 'o n ə	 b ə s 'ɔ n ə 
bessones	b ə s 'o n ə s	 b ə s 'ɔ n ə s 
beure	b 'ə w ɾ ə	 b 'ɛ w ɾ ə 
bíceps	b 'i s ə t s	 b 'i s 'ə t s 
biogènesi	b i o ʒ 'ɛ n ə z i	 b i o ʒ 'ə n ə z i 
bioluminescència	b i o l u m i n ə t s 'ɛ n s i ə	 b i o l u m 'i n ə t s 'ɛ n s i ə 
bisexual	b i s ə t s u 'a l	 b 'i z ə t s u 'a l 
bisexualitat	b i s ə t s u ə l i t 'a t	 b 'i z ə t s u ə l i t 'a t 
bisexuals	b i s ə t s u 'a l s	 b 'i z ə t s u 'a l s 
bitlles	b 'i l l ə s	 b 'i ʎ ʎ ə s 
bizantí	b i z ə n t 'i	 b i z 'a n t 'i 
bizantina	b i z ə n t 'i n ə	 b i z 'a n t 'i n ə 
Blancaneus	b l ə ŋ k ə n 'ɛ w s	 b l ə ŋ k ə n 'ə 'u s 
blavosa	b l ə v 'o z ə	 b l 'a v 'ɔ z ə 
boca	b 'o k ə	 b 'ɔ k ə 
boda	b 'o ð ə	 b 'ɔ ð ə 
bodes	b 'o ð ə s	 b 'ɔ ð ə s 
boicotejada	b o j k o t ə ʒ 'a ð ə	 b 'ɔ j k o t ə ʒ 'a ð ə 
boicotejades	b o j k o t ə ʒ 'a ð ə s	 b 'ɔ j k o t ə ʒ 'a ð ə s 
boicotejar	b o j k o t ə ʒ 'a	 b 'ɔ j k o t ə ʒ 'a 
boicotejat	b o j k o t ə ʒ 'a t	 b 'ɔ j k o t ə ʒ 'a t 
boicotejats	b o j k o t ə ʒ 'a t s	 b 'ɔ j k o t ə ʒ 'a t s 
boirina	b o j ɾ 'i n ə	 b o i ɾ 'i n ə 
boirum	b o j ɾ 'u m	 b 'ɔ j ɾ 'u m 
bolca	b 'o l k ə	 b 'ɔ l k ə 
bolquen	b 'o l k ə n	 b 'ɔ l k ə n 
bolquer	b o l k 'e	 b o l k 'ə 
bolxevic	b o l ʃ ə v 'i k	 b 'ɔ l ʃ ə v 'i k 
bolxevisme	b o l ʃ ə v 'i z m ə	 b 'ɔ l ʃ ə v 'i z m ə 
bomba	b 'o m b ə	 b 'ɔ m b ə 
bombarder	b o m b ə ɾ ð 'e	 b o m b ə ɾ ð 'ɛ 
bomber	b o m b 'e	 b o m b 'ə 
bombes	b 'o m b ə s	 b 'ɔ m b ə s 
bombo	b 'o m b o	 b 'ɔ m b o 
bombolla	b o m b 'o ʎ ə	 b o m b 'ɔ ʎ ə 
boques	b 'o k ə s	 b 'ɔ k ə s 
borda	b 'o ɾ ð ə	 b 'ɔ ɾ ð ə 
bordo	b 'o ɾ ð o	 b 'ɔ ɾ ð o 
borinot	b o ɾ i n 'ɔ t	 b o ɾ i n 'o t 
borratxera	b o r ə t ʃ 'e ɾ ə	 b o r 'a t ʃ 'ɛ ɾ ə 
borrosa	b o r 'o z ə	 b o r 'ɔ z ə 
borrut	b o r 'u t	 b 'o r 'u t 
