big	b 'i tʃ
Solenc	s u l 'ɛ ŋ
Vicenç	b i s 'ɛ n s
acienç	ə s i 'ɛ n s
advenc	ə d b 'ɛ ŋ
agrenc	ə ɣ ɾ 'ɛ ŋ
albenc	ə l β 'ɛ ŋ
allenc	ə ʎ 'ɛ ŋ
alpenc	ə l p 'ɛ ŋ
alvenc	ə l β 'ɛ ŋ
anyenc	ə ɲ 'ɛ ŋ
aprenc	ə p ɾ 'ɛ ŋ
argenç	ə r ʒ 'ɛ n s
arrenc	ə r 'ɛ ŋ
aspenc	ə s p 'ɛ ŋ
aïnenc	ə i n 'ɛ ŋ
bagenc	b ə ʒ 'ɛ ŋ
barenc	b ə ɾ 'ɛ ŋ
basenc	b ə z 'ɛ ŋ
belenc	b ə l 'ɛ ŋ
botenc	b u t 'ɛ ŋ
bouenc	b u w 'ɛ ŋ
bovenc	b u β 'ɛ n s
burenc	b u ɾ 'ɛ ŋ
capenc	k ə p 'ɛ ŋ
començ	k u m 'ɛ n s
cruenc	k ɾ u 'ɛ ŋ
dasenc	d ə z 'ɛ ŋ
defenc	d ə f 'ɛ ŋ
depenc	d ə p 'ɛ ŋ
detenc	d ə t 'ɛ ŋ
einenc	ə i n 'ɛ ŋ
eldenc	ə l d 'ɛ ŋ
encenc	ə n s 'ɛ ŋ
entenc	ə n t 'ɛ ŋ
espenc	ə s p 'ɛ ŋ
estenc	ə s t 'ɛ ŋ
eusenc	ə u z 'ɛ ŋ
expenc	ə k s p 'ɛ ŋ
ferenc	f ə ɾ 'ɛ ŋ
forenc	f u ɾ 'ɛ ŋ
gerenc	ʒ ə ɾ 'ɛ ŋ
illenc	i ʎ 'ɛ ŋ
janenc	ʒ ə n 'ɛ ŋ
josenc	ʒ u z 'ɛ ŋ
magenc	m ə ʒ 'ɛ ŋ
mogenc	m u ʒ 'ɛ n s
moienc	m u i 'ɛ n s
morenc	m u ɾ 'ɛ ŋ
mulenc	m u l 'ɛ n s
nouenc	n u w 'ɛ ŋ
obtenc	u p t 'ɛ ŋ
obvenc	u b b 'ɛ ŋ
oixenc	u ʃ 'ɛ ŋ
olienc	u l i 'ɛ n s
palenc	p ə l 'ɛ ŋ
pauenc	p ə w 'ɛ ŋ
pinenc	p i n 'ɛ ŋ
podenc	p u ð 'ɛ n s
putenc	p u t 'ɛ ŋ
ralenc	r ə l 'ɛ ŋ
rarenc	r ə ɾ 'ɛ ŋ
retenc	r ə t 'ɛ ŋ
revenc	r ə β 'ɛ ŋ
revenç	r ə β 'ɛ n s
rodenc	r u ð 'ɛ n s
rogenc	r u ʒ 'ɛ n s
rosenc	r u z 'ɛ ŋ
salenc	s ə l 'ɛ ŋ
sedenc	s ə ð 'ɛ ŋ
sevenc	s ə β 'ɛ ŋ
silenc	s i l 'ɛ ŋ
sorenc	s u ɾ 'ɛ ŋ
surenc	s u ɾ 'ɛ ŋ
tofenc	t u f 'ɛ ŋ
tonenc	t u n 'ɛ ŋ
touenc	t u w 'ɛ ŋ
tovenc	t u β 'ɛ n s
urnenc	u r n 'ɛ ŋ
vilenc	b i l 'ɛ ŋ
vitenc	b i t 'ɛ ŋ
xaienc	ʃ ə j 'ɛ n s
xinenc	ʃ i n 'ɛ ŋ
xodenc	ʃ u ð 'ɛ n s
Carlenc	k ə r l 'ɛ ŋ
Climenç	k l i m 'ɛ n s
Foixenc	f u ʃ 'ɛ ŋ
Hostenc	u s t 'ɛ ŋ
Llorenç	ʎ u ɾ 'ɛ n s
Moixenc	m u ʃ 'ɛ ŋ
Salsenc	s ə l s 'ɛ ŋ
abadenc	ə β ə ð 'ɛ ŋ
abstenc	ə p s t 'ɛ ŋ
agerenc	ə ʒ ə ɾ 'ɛ ŋ
alosenc	ə l u z 'ɛ ŋ
amerenc	ə m ə ɾ 'ɛ ŋ
anoienc	ə n u i 'ɛ n s
aparenç	ə p ə ɾ 'ɛ n s
arenenc	ə ɾ ə n 'ɛ ŋ
arrienc	ə r i 'ɛ ŋ
asprenc	ə s p ɾ 'ɛ ŋ
atenenc	ə t ə n 'ɛ ŋ
avinenç	ə β i n 'ɛ n s
badienc	b ə ð i 'ɛ n s
biarenc	b i ə ɾ 'ɛ ŋ
biurenc	b i u ɾ 'ɛ ŋ
blanenc	b l ə n 'ɛ ŋ
blavenc	b l ə β 'ɛ ŋ
boirenc	b u i ɾ 'ɛ ŋ
bordenc	b u r t 'ɛ ŋ
borgenc	b u r ʒ 'ɛ ŋ
bredenc	b ɾ ə ð 'ɛ ŋ
brunenc	b ɾ u n 'ɛ n s
cabrenc	k ə β ɾ 'ɛ ŋ
cairenc	k ə j ɾ 'ɛ ŋ
caldenc	k ə l d 'ɛ ŋ
canoenc	k ə n u 'ɛ ŋ
captenc	k ə p t 'ɛ ŋ
cartenc	k ə r t 'ɛ ŋ
carvenc	k ə r b 'ɛ ŋ
coixenc	k u ʃ 'ɛ ŋ
contenc	k u n t 'ɛ ŋ
convenc	k u m b 'ɛ ŋ
convenç	k u m b 'ɛ n s
costenc	k u s t 'ɛ ŋ
cretenc	k ɾ ə t 'ɛ ŋ
despenc	d ə s p 'ɛ ŋ
distenc	d i s t 'ɛ ŋ
doblenc	d u p l 'ɛ ŋ
dolcenc	d u l s 'ɛ ŋ
egarenc	ə ɣ ə ɾ 'ɛ ŋ
emprenc	ə m p ɾ 'ɛ ŋ
estrenc	ə s t ɾ 'ɛ ŋ
evolenc	ə β u l 'ɛ ŋ
ferrenc	f ə r 'ɛ ŋ
flamenc	f l ə m 'ɛ ŋ
flixenc	f l i k s 'ɛ ŋ
fredenc	f ɾ ə ð 'ɛ ŋ
gravenc	g ɾ ə β 'ɛ ŋ
grisenc	g ɾ i z 'ɛ ŋ
guixenc	g i ʃ 'ɛ ŋ
hortenc	u r t 'ɛ ŋ
fencs	f 'ɛ ŋ s
zencs	z 'ɛ ŋ s
asencs	ə z 'ɛ ŋ s
avencs	ə β 'ɛ ŋ s
brencs	b ɾ 'ɛ ŋ s
elencs	ə l 'ɛ ŋ s
erencs	ə ɾ 'ɛ ŋ s
obencs	u β 'ɛ ŋ s
trencs	t ɾ 'ɛ ŋ s
agrencs	ə ɣ ɾ 'ɛ ŋ s
albencs	ə l β 'ɛ ŋ s
allencs	ə ʎ 'ɛ ŋ s
alpencs	ə l p 'ɛ ŋ s
alvencs	ə l β 'ɛ ŋ s
anyencs	ə ɲ 'ɛ ŋ s
aïnencs	ə i n 'ɛ ŋ s
bagencs	b ə ʒ 'ɛ ŋ s
barencs	b ə ɾ 'ɛ ŋ s
basencs	b ə z 'ɛ ŋ s
belencs	b ə l 'ɛ ŋ s
botencs	b u t 'ɛ ŋ s
bouencs	b u w 'ɛ ŋ s
bovencs	b u β 'ɛ ŋ s
burencs	b u ɾ 'ɛ ŋ s
capencs	k ə p 'ɛ ŋ s
cruencs	k ɾ u 'ɛ ŋ s
dasencs	d ə z 'ɛ ŋ s
einencs	ə i n 'ɛ ŋ s
eusencs	ə u z 'ɛ ŋ s
forencs	f u ɾ 'ɛ ŋ s
gerencs	ʒ ə ɾ 'ɛ ŋ s
illencs	i ʎ 'ɛ ŋ s
janencs	ʒ ə n 'ɛ ŋ s
josencs	ʒ u z 'ɛ ŋ s
magencs	m ə ʒ 'ɛ ŋ s
mogencs	m u ʒ 'ɛ ŋ s
morencs	m u ɾ 'ɛ ŋ s
mulencs	m u l 'ɛ ŋ s
nouencs	n u w 'ɛ ŋ s
oixencs	u ʃ 'ɛ ŋ s
palencs	p ə l 'ɛ ŋ s
pauencs	p ə w 'ɛ ŋ s
pinencs	p i n 'ɛ ŋ s
pugencs	p u ʒ 'ɛ ŋ s
putencs	p u t 'ɛ ŋ s
ralencs	r ə l 'ɛ ŋ s
rodencs	r u ð 'ɛ ŋ s
rogencs	r u ʒ 'ɛ ŋ s
rosencs	r u z 'ɛ ŋ s
salencs	s ə l 'ɛ ŋ s
sedencs	s ə ð 'ɛ ŋ s
sevencs	s ə β 'ɛ ŋ s
silencs	s i l 'ɛ ŋ s
sorencs	s u ɾ 'ɛ ŋ s
surencs	s u ɾ 'ɛ ŋ s
tofencs	t u f 'ɛ ŋ s
tonencs	t u n 'ɛ ŋ s
touencs	t u w 'ɛ ŋ s
tovencs	t u β 'ɛ ŋ s
urnencs	u r n 'ɛ ŋ s
vilencs	b i l 'ɛ ŋ s
vitencs	b i t 'ɛ ŋ s
xaiencs	ʃ ə j 'ɛ ŋ s
xodencs	ʃ u ð 'ɛ ŋ s
Terrencs	t ə r 'ɛ ŋ s
abadencs	ə β ə ð 'ɛ ŋ s
agerencs	ə ʒ ə ɾ 'ɛ ŋ s
alosencs	ə l u z 'ɛ ŋ s
amerencs	ə m ə ɾ 'ɛ ŋ s
anoiencs	ə n u i 'ɛ ŋ s
arenencs	ə ɾ ə n 'ɛ ŋ s
arriencs	ə r i 'ɛ ŋ s
asprencs	ə s p ɾ 'ɛ ŋ s
atenencs	ə t ə n 'ɛ ŋ s
badiencs	b ə ð i 'ɛ ŋ s
biurencs	b i u ɾ 'ɛ ŋ s
blanencs	b l ə n 'ɛ ŋ s
blavencs	b l ə β 'ɛ ŋ s
boirencs	b u i ɾ 'ɛ ŋ s
bordencs	b u r t 'ɛ ŋ s
borgencs	b u r ʒ 'ɛ ŋ s
bredencs	b ɾ ə ð 'ɛ ŋ s
brunencs	b ɾ u n 'ɛ ŋ s
cabrencs	k ə β ɾ 'ɛ ŋ s
caldencs	k ə l d 'ɛ ŋ s
canoencs	k ə n u 'ɛ ŋ s
costencs	k u s t 'ɛ ŋ s
cretencs	k ɾ ə t 'ɛ ŋ s
doblencs	d u p l 'ɛ ŋ s
dolcencs	d u l s 'ɛ ŋ s
egarencs	ə ɣ ə ɾ 'ɛ ŋ s
estrencs	ə s t ɾ 'ɛ ŋ s
evolencs	ə β u l 'ɛ ŋ s
ferrencs	f ə r 'ɛ ŋ s
flamencs	f l ə m 'ɛ ŋ s
flixencs	f l i k s 'ɛ ŋ s
foixencs	f u ʃ 'ɛ ŋ s
fredencs	f ɾ ə ð 'ɛ ŋ s
gravencs	g ɾ ə β 'ɛ ŋ s
grisencs	g ɾ i z 'ɛ ŋ s
guixencs	g i ʃ 'ɛ ŋ s
hortencs	u r t 'ɛ ŋ s
ilurencs	i l u ɾ 'ɛ ŋ s
isclencs	i s k l 'ɛ ŋ s
isonencs	i z u n 'ɛ ŋ s
jafrencs	ʒ ə f ɾ 'ɛ ŋ s
joquencs	ʒ u k 'ɛ ŋ s
jorbencs	ʒ u r b 'ɛ ŋ s
llamencs	ʎ ə m 'ɛ ŋ s
llesencs	ʎ ə z 'ɛ ŋ s
mallencs	m ə ʎ 'ɛ ŋ s
marcencs	m ə r s 'ɛ ŋ s
masoencs	m ə z u 'ɛ ŋ s
mierencs	m i ə ɾ 'ɛ ŋ s
mitgencs	m i d ʒ 'ɛ ŋ s
mollencs	m u ʎ 'ɛ ŋ s
naügencs	n ə w ʒ 'ɛ ŋ s
negrencs	n ə ɣ ɾ 'ɛ ŋ s
nullencs	n u ʎ 'ɛ ŋ s
ocegencs	u s ə ʒ 'ɛ ŋ s
odenencs	u ð ə n 'ɛ ŋ s
oletencs	u l ə t 'ɛ ŋ s
olonencs	u l u n 'ɛ ŋ s
ometencs	u m ə t 'ɛ ŋ s
onilencs	u n i l 'ɛ ŋ s
opolencs	u p u l 'ɛ ŋ s
ordiencs	u r t i 'ɛ ŋ s
orisencs	u ɾ i z 'ɛ ŋ s
orriencs	u r i 'ɛ ŋ s
osonencs	u z u n 'ɛ ŋ s
osorencs	u z u ɾ 'ɛ ŋ s
palmencs	p ə l m 'ɛ ŋ s
palsencs	p ə l s 'ɛ ŋ s
patrencs	p ə t ɾ 'ɛ ŋ s
paülencs	p ə w l 'ɛ ŋ s
pedrencs	p ə ð ɾ 'ɛ ŋ s
petrencs	p ə t ɾ 'ɛ ŋ s
pianencs	p i ə n 'ɛ ŋ s
pierencs	p i ə ɾ 'ɛ ŋ s
planencs	p l ə n 'ɛ ŋ s
poalencs	p u ə l 'ɛ ŋ s
poblencs	p u β l 'ɛ ŋ s
pradencs	p ɾ ə ð 'ɛ ŋ s
pratencs	p ɾ ə t 'ɛ ŋ s
presencs	p ɾ ə z 'ɛ ŋ s
pruiencs	p ɾ u i 'ɛ ŋ s
punxencs	p u n ʃ 'ɛ ŋ s
reusencs	r ə u z 'ɛ ŋ s
rierencs	r i ə ɾ 'ɛ ŋ s
riolencs	r i u l 'ɛ ŋ s
rossencs	r u s 'ɛ ŋ s
saldencs	s ə l d 'ɛ ŋ s
saltencs	s ə l t 'ɛ ŋ s
seniencs	s ə n i 'ɛ ŋ s
sorrencs	s u r 'ɛ ŋ s
sortencs	s u r t 'ɛ ŋ s
suriencs	s u ɾ i 'ɛ ŋ s
terrencs	t ə r 'ɛ ŋ s
tianencs	t i ə n 'ɛ ŋ s
torrencs	t u r 'ɛ ŋ s
tossencs	t u s 'ɛ ŋ s
trapencs	t ɾ ə p 'ɛ ŋ s
turiencs	t u ɾ i 'ɛ ŋ s
tuïnencs	t u i n 'ɛ ŋ s
urtxencs	u r t ʃ 'ɛ ŋ s
urusencs	u ɾ u z 'ɛ ŋ s
vallencs	b ə ʎ 'ɛ ŋ s
verdencs	b ə r t 'ɛ ŋ s
vidrencs	b i ð ɾ 'ɛ ŋ s
xabiencs	ʃ ə β i 'ɛ ŋ s
abellencs	ə β ə ʎ 'ɛ ŋ s
abrerencs	ə β ɾ ə ɾ 'ɛ ŋ s
abrilencs	ə β ɾ i l 'ɛ ŋ s
agostencs	ə ɣ u s t 'ɛ ŋ s
aguilencs	ə ɣ i l 'ɛ ŋ s
aitonencs	ə j t u n 'ɛ ŋ s
alberencs	ə l β ə ɾ 'ɛ ŋ s
albinencs	ə l β i n 'ɛ ŋ s
albonencs	ə l β u n 'ɛ ŋ s
alellencs	ə l ə ʎ 'ɛ ŋ s
alfarencs	ə l f ə ɾ 'ɛ ŋ s
alionencs	ə l i u n 'ɛ ŋ s
alzinencs	ə l z i n 'ɛ ŋ s
arbocencs	ə r β u s 'ɛ ŋ s
arenyencs	ə ɾ ə ɲ 'ɛ ŋ s
argilencs	ə r ʒ i l 'ɛ ŋ s
artanencs	ə r t ə n 'ɛ ŋ s
artesencs	ə r t ə z 'ɛ ŋ s
asconencs	ə s k u n 'ɛ ŋ s
bajanencs	b ə ʒ ə n 'ɛ ŋ s
bastrencs	b ə s t ɾ 'ɛ ŋ s
begurencs	b ə ɣ u ɾ 'ɛ ŋ s
besorencs	b ə z u ɾ 'ɛ ŋ s
bestiencs	b ə s t i 'ɛ ŋ s
bianyencs	b i ə ɲ 'ɛ ŋ s
bistiencs	b i s t i 'ɛ ŋ s
brossencs	b ɾ u s 'ɛ ŋ s
brullencs	b ɾ u ʎ 'ɛ ŋ s
bulanencs	b u l ə n 'ɛ ŋ s
cabalencs	k ə β ə l 'ɛ ŋ s
cabanencs	k ə β ə n 'ɛ ŋ s
cabilencs	k ə β i l 'ɛ ŋ s
cabotencs	k ə β u t 'ɛ ŋ s
canadencs	k ə n ə ð 'ɛ ŋ s
canetencs	k ə n ə t 'ɛ ŋ s
catinencs	k ə t i n 'ɛ ŋ s
caçanencs	k ə s ə n 'ɛ ŋ s
codinencs	k u ð i n 'ɛ ŋ s
codolencs	k u ð u l 'ɛ ŋ s
cogulencs	k u ɣ u l 'ɛ ŋ s
colerencs	k u l ə ɾ 'ɛ ŋ s
colomencs	k u l u m 'ɛ ŋ s
coponencs	k u p u n 'ɛ ŋ s
cortsencs	k u r s 'ɛ ŋ s
cudolencs	k u ð u l 'ɛ ŋ s
cunitencs	k u n i t 'ɛ ŋ s
deianencs	d ə j ə n 'ɛ ŋ s
eguetencs	ə ɣ ə t 'ɛ ŋ s
elfarencs	ə l f ə ɾ 'ɛ ŋ s
escalencs	ə s k ə l 'ɛ ŋ s
escobencs	ə s k u β 'ɛ ŋ s
espasencs	ə s p ə z 'ɛ ŋ s
espilencs	ə s p i l 'ɛ ŋ s
espotencs	ə s p u t 'ɛ ŋ s
estevencs	ə s t ə β 'ɛ ŋ s
estiuencs	ə s t i w 'ɛ ŋ s
estopencs	ə s t u p 'ɛ ŋ s
faionencs	f ə j u n 'ɛ ŋ s
famolencs	f ə m u l 'ɛ ŋ s
feliuencs	f ə l i w 'ɛ ŋ s
figolencs	f i ɣ u l 'ɛ ŋ s
filipencs	f i l i p 'ɛ ŋ s
fogarencs	f u ɣ ə ɾ 'ɛ ŋ s
galerencs	g ə l ə ɾ 'ɛ ŋ s
gavanencs	g ə β ə n 'ɛ ŋ s
gelidencs	ʒ ə l i ð 'ɛ ŋ s
graciencs	g ɾ ə s i 'ɛ ŋ s
groguencs	g ɾ u ɣ u 'ɛ ŋ s
gualbencs	g w ə l β 'ɛ ŋ s
gualtencs	g w ə l t 'ɛ ŋ s
guilsencs	g i l s 'ɛ ŋ s
homenencs	u m ə n 'ɛ ŋ s
ilerdencs	i l ə r t 'ɛ ŋ s
illesencs	i ʎ ə z 'ɛ ŋ s
ivarsencs	i β ə r s 'ɛ ŋ s
juianencs	ʒ u j ə n 'ɛ ŋ s
junedencs	ʒ u n ə ð 'ɛ ŋ s
llebrencs	ʎ ə β ɾ 'ɛ ŋ s
llersencs	ʎ ə r s 'ɛ ŋ s
lliviencs	ʎ i β i 'ɛ ŋ s
lloarencs	ʎ u ə ɾ 'ɛ ŋ s
llossencs	ʎ u s 'ɛ ŋ s
maialencs	m ə j ə l 'ɛ ŋ s
maianencs	m ə j ə n 'ɛ ŋ s
marbrencs	m ə r p ɾ 'ɛ ŋ s
marinencs	m ə ɾ i n 'ɛ ŋ s
masonencs	m ə z u n 'ɛ ŋ s
maçanencs	m ə s ə n 'ɛ ŋ s
menerencs	m ə n ə ɾ 'ɛ ŋ s
milanencs	m i l ə n 'ɛ ŋ s
molarencs	m u l ə ɾ 'ɛ ŋ s
molinencs	m u l i n 'ɛ ŋ s
moradencs	m u ɾ ə ð 'ɛ ŋ s
morquencs	m u r k 'ɛ ŋ s
muserencs	m u z ə ɾ 'ɛ ŋ s
nadalencs	n ə ð ə l 'ɛ ŋ s
navatencs	n ə β ə t 'ɛ ŋ s
navesencs	n ə β ə z 'ɛ ŋ s
obertencs	u β ə r t 'ɛ ŋ s
ogassencs	u ɣ ə s 'ɛ ŋ s
oliolencs	u l i u l 'ɛ ŋ s
olostencs	u l u s t 'ɛ ŋ s
omellencs	u m ə ʎ 'ɛ ŋ s
ondarencs	u n d ə ɾ 'ɛ ŋ s
ordinencs	u r t i n 'ɛ ŋ s
orpinencs	u r p i n 'ɛ ŋ s
ovellencs	u β ə ʎ 'ɛ ŋ s
palauencs	p ə l ə w 'ɛ ŋ s
palolencs	p ə l u l 'ɛ ŋ s
parisencs	p ə ɾ i z 'ɛ ŋ s
paçanencs	p ə s ə n 'ɛ ŋ s
pinetencs	p i n ə t 'ɛ ŋ s
pinosencs	p i n u z 'ɛ ŋ s
pirinencs	p i ɾ i n 'ɛ ŋ s
pujalencs	p u ʒ ə l 'ɛ ŋ s
puçolencs	p u s u l 'ɛ ŋ s
quartencs	k w ə r t 'ɛ ŋ s
rafalencs	r ə f ə l 'ɛ ŋ s
rapitencs	r ə p i t 'ɛ ŋ s
redonencs	r ə ð u n 'ɛ ŋ s
reialencs	r ə j ə l 'ɛ ŋ s
renauencs	r ə n ə w 'ɛ ŋ s
repelencs	r ə p ə l 'ɛ ŋ s
rialpencs	r i ə l p 'ɛ ŋ s
riberencs	r i β ə ɾ 'ɛ ŋ s
riellencs	r i ə ʎ 'ɛ ŋ s
rodesencs	r u ð ə z 'ɛ ŋ s
rodonencs	r u ð u n 'ɛ ŋ s
romeuencs	r u m ə w 'ɛ ŋ s
rosadencs	r u z ə ð 'ɛ ŋ s
rubinencs	r u β i n 'ɛ ŋ s
rupitencs	r u p i t 'ɛ ŋ s
safagencs	s ə f ə ʒ 'ɛ ŋ s
saforencs	s ə f u ɾ 'ɛ ŋ s
salouencs	s ə l u w 'ɛ ŋ s
sanetencs	s ə n ə t 'ɛ ŋ s
santsencs	s ə n s 'ɛ ŋ s
sanuiencs	s ə n u i 'ɛ ŋ s
savoiencs	s ə β u i 'ɛ ŋ s
solerencs	s u l ə ɾ 'ɛ ŋ s
teianencs	t ə j ə n 'ɛ ŋ s
temorencs	t ə m u ɾ 'ɛ ŋ s
tesanencs	t ə z ə n 'ɛ ŋ s
tolugencs	t u l u ʒ 'ɛ ŋ s
toranencs	t u ɾ ə n 'ɛ ŋ s
tunisencs	t u n i z 'ɛ ŋ s
ullanencs	u ʎ ə n 'ɛ ŋ s
vajolencs	b ə ʒ u l 'ɛ ŋ s
vidriencs	b i ð ɾ i 'ɛ ŋ s
vilanencs	b i l ə n 'ɛ ŋ s
vilarencs	b i l ə ɾ 'ɛ ŋ s
vivenencs	b i β ə n 'ɛ ŋ s
viverencs	b i β ə ɾ 'ɛ ŋ s
xativencs	ʃ ə t i β 'ɛ ŋ s
xixonencs	ʃ i k s u n 'ɛ ŋ s
Estellencs	ə s t ə ʎ 'ɛ ŋ s
adrianencs	ə ð ɾ i ə n 'ɛ ŋ s
agrassencs	ə ɣ ɾ ə s 'ɛ ŋ s
alaiorencs	ə l ə j u ɾ 'ɛ ŋ s
albanyencs	ə l β ə ɲ 'ɛ ŋ s
albiolencs	ə l β i u l 'ɛ ŋ s
alcudiencs	ə l k u ð i 'ɛ ŋ s
aldeanencs	ə l d ə ə n 'ɛ ŋ s
alforgencs	ə l f u r ʒ 'ɛ ŋ s
almeriencs	ə l m ə ɾ i 'ɛ ŋ s
almuniencs	ə l m u n i 'ɛ ŋ s
amarguencs	ə m ə r ɣ w 'ɛ ŋ s
ametllencs	ə m ə ʎ ʎ 'ɛ ŋ s
aljub	ə l ʒ 'u p
bínub	b 'i n u p
encub	ə ŋ k 'u p
enjub	ə n ʒ 'u p
entub	ə n t 'u p
estub	ə s t 'u p
habub	ə β 'u p
incub	i ŋ k 'u p
intub	i n t 'u p
jakub	ʒ ə k 'u p
sucub	s u k 'u p
súcub	s 'u k u p
titub	t i t 'u p
íncub	'i ŋ k u p
Belcebub	b ə l s ə β 'u p
aeroclub	ə ə ɾ u k l 'u p
belzebub	b ə l z ə β 'u p
cineclub	s i n ə k l 'u p
desencub	d ə z ə ŋ k 'u p
discopub	d i s k u p 'u p
hipercub	i p ə r k 'u p
puticlub	p u t i k l 'u p
teleclub	t ə l ə k l 'u p
ensab	ə n s 'a p
hijab	i ʒ 'a p
kebab	k ə β 'a p
nabab	n ə β 'a p
nicab	n i k 'a p
rebab	r ə β 'a p
sòrab	s 'ɔ ɾ ə p
Carib	k ə ɾ 'i p
arrib	ə r 'i p
carib	k ə ɾ 'i p
estib	ə s t 'i p
etzib	ə d z 'i p
galib	g ə l 'i p
gàlib	g 'a l i p
labib	l ə β 'i p
sahib	s ə 'i p
talib	t ə l 'i p
deífob	d ə 'i f u p
englob	ə ŋ g l 'o p
enofob	ə n u f 'o p
enòfob	ə n 'ɔ f u p
liofob	l i u f 'o p
liòfob	l i 'ɔ f u p
mesrob	m ə s 'o
neofob	n ə u f 'o p
neòfob	n ə 'ɔ f u p
retrob	r ə t ɾ 'o
zoofob	z u u f 'o p
zoòfob	z u 'ɔ f u p
aerofob	ə ə ɾ u f 'o p
aeròfob	ə ə ɾ 'ɔ f u p
conglob	k u ŋ g l 'o p
desadob	d ə z ə ð 'o p
fotòfob	f u t 'ɔ f u p
gotilob	g u t i l 'o
halofob	ə l u f 'o p
halòfob	ə l 'ɔ f u p
homofob	u m u f 'o p
homòfob	u m 'ɔ f u p
xenòfob	ʃ ə n 'ɔ f u p
Abad	ə β 'a t
Arad	ə ɾ 'a t
Riad	r i 'a t
Txad	t ʃ 'a t
fuad	ə w 'a t
grad	g ɾ 'a t
imad	i m 'a t
iyad	i w 'a t
mead	ə e 'a t
quad	k w 'a t
read	r e 'a t
Accad	ə k k 'a t
abbad	ə b b 'a t
agrad	ə ɣ ɾ 'a t
ahmad	ə u 'a t
apiad	ə p i 'a t
aprad	ə p ɾ 'a t
aqqad	ə k 'a t
enfad	ə n f 'a t
espad	ə s p 'a t
essad	ə s 'a t
farad	f ə ɾ 'a t
forad	f u ɾ 'a t
gihad	ʒ i 'a t
jihad	ʒ i 'a t
nilad	n i l 'a t
vagad	b ə ɣ 'a t
acid	ə s 'i t
amid	ə m 'i t
arid	ə ɾ 'i t
avid	ə β 'i t
boid	b u 'i t
buid	b 'u j t
caid	k 'a j t
crid	k ɾ 'i t
cuid	k 'u j t
enid	ə n 'i t
ibíd	i β 'i t
ovid	u β 'i t
oxid	u k s 'i t
quid	k 'i t
raid	r 'a j ə
reid	r ə 'i t
said	s 'a j t
suid	s 'u j t
teid	t 'ɛ j t
zeid	z 'ɛ j t
àcid	'a s i t
àfid	'a f i t
àpid	'a p i t
àrid	'a ɾ i t
àvid	'a β i t
òsid	'ɔ z i t
