big	b 'i tʃ
mulenc	m u l 'e ŋ
nouenc	n o u 'e ŋ
obtenc	o p t 'e ŋ
obvenc	o m b 'e ŋ
oixenc	ɔ j ʃ 'e ŋ
olienc	o l i 'e ŋ
palenc	p a l 'e ŋ
pauenc	p a u 'e ŋ
pinenc	p i n 'e ŋ
podenc	p o ð 'e ŋ
putenc	p u t 'e ŋ
ralenc	r a l 'e ŋ
rarenc	r a ɾ 'e ŋ
retenc	r e t 'e ŋ
revenc	r e β 'e ŋ
revenç	r e β 'e ŋ
rodenc	r o ð 'e ŋ
rogenc	r o ʒ 'e ŋ
rosenc	r o s 'e ŋ
salenc	s a l 'e ŋ
sedenc	s e ð 'e ŋ
sevenc	s e β 'e ŋ
silenc	s i l 'e ŋ
sorenc	s o ɾ 'e ŋ
surenc	s u ɾ 'e ŋ
tofenc	t o f 'e ŋ
tonenc	t o n 'e ŋ
touenc	t o u 'e ŋ
tovenc	t o β 'e ŋ
urnenc	u ɾ n 'e ŋ
vilenc	b i l 'e ŋ
vitenc	b i t 'e ŋ
xaienc	tʃ a j 'e ŋ
xinenc	tʃ i n 'e ŋ
xodenc	tʃ o ð 'e ŋ
Carlenc	k a ɾ l 'e ŋ
Climenç	k l i m 'e ŋ
Foixenc	f o j ʃ 'e ŋ
Hostenc	o s t 'e ŋ
Llorenç	ʎ o ɾ 'e ŋ
Moixenc	m o j ʃ 'e ŋ
Salsenc	s a l s 'e ŋ
abadenc	a β a ð 'e ŋ
abstenc	a p s t 'e ŋ
agerenc	a ʒ e ɾ 'e ŋ
alosenc	a l o s 'e ŋ
amerenc	a m e ɾ 'e ŋ
anoienc	a n o j 'e ŋ
aparenç	a p a ɾ 'e ŋ
arenenc	a ɾ e n 'e ŋ
arrienc	a r i 'e ŋ
asprenc	a s p ɾ 'e ŋ
atenenc	a t e n 'e ŋ
avinenç	a β i n 'e ŋ
badienc	b a ð i 'e ŋ
biarenc	b i a ɾ 'e ŋ
biurenc	b i u ɾ 'e ŋ
blanenc	b l a n 'e ŋ
blavenc	b l a β 'e ŋ
boirenc	b o j ɾ 'e ŋ
bordenc	b o d 'e ŋ
borgenc	b o ɾ dʒ 'e ŋ
bredenc	b ɾ e ð 'e ŋ
brunenc	b ɾ u n 'e ŋ
cabrenc	k a β ɾ 'e ŋ
cairenc	k a j ɾ 'e ŋ
caldenc	k a l d 'e ŋ
canoenc	k a n o 'e ŋ
captenc	k a p t 'e ŋ
cartenc	k a t 'e ŋ
carvenc	k a m b 'e ŋ
coixenc	k o j ʃ 'e ŋ
contenc	k o n t 'e ŋ
convenc	k o m b 'e ŋ
convenç	k o m b 'e ŋ
costenc	k o s t 'e ŋ
cretenc	k ɾ e t 'e ŋ
despenc	d e s p 'e ŋ
distenc	d i s t 'e ŋ
doblenc	d o β l 'e ŋ
dolcenc	d o l s 'e ŋ
egarenc	e ɣ a ɾ 'e ŋ
emprenc	a m p ɾ 'e ŋ
estrenc	a s t ɾ 'e ŋ
evolenc	e β o l 'e ŋ
ferrenc	f e r 'e ŋ
flamenc	f l a m 'e ŋ
flixenc	f l i k s 'e ŋ
fredenc	f ɾ e ð 'e ŋ
gravenc	g ɾ a β 'e ŋ
grisenc	g ɾ i s 'e ŋ
guixenc	g i ʃ 'e ŋ
hortenc	o ɾ t 'e ŋ
ilurenc	i l u ɾ 'e ŋ
isclenc	i s k l 'e ŋ
isonenc	i z o n 'e ŋ
jafrenc	dʒ a f ɾ 'e ŋ
joquenc	dʒ o k 'e ŋ
jorbenc	dʒ o b 'e ŋ
llamenc	ʎ a m 'e ŋ
llesenc	ʎ e s 'e ŋ
llimenc	ʎ i m 'e ŋ
mallenc	m a ʎ 'e ŋ
malvenc	m a l β 'e ŋ
mantenc	m a n t 'e ŋ
marcenc	m a s 'e ŋ
masoenc	m a z o 'e ŋ
mierenc	m i e ɾ 'e ŋ
mirrenc	m i r 'e ŋ
mitgenc	m i tʃ 'e ŋ
mollenc	m o ʎ 'e ŋ
naügenc	n a w dʒ 'e ŋ
negrenc	n e ɣ ɾ 'e ŋ
nullenc	n u ʎ 'e ŋ
ocegenc	o s e ʒ 'e ŋ
odenenc	o ð e n 'e ŋ
oletenc	o l e t 'e ŋ
olonenc	o l o n 'e ŋ
ometenc	o m e t 'e ŋ
onilenc	o n i l 'e ŋ
opolenc	o p o l 'e ŋ
ordienc	o ɾ d i 'e ŋ
orisenc	o ɾ i s 'e ŋ
orrienc	o r i 'e ŋ
osonenc	o z o n 'e ŋ
osorenc	o z o ɾ 'e ŋ
palmenc	p a l m 'e ŋ
palsenc	p a l s 'e ŋ
patrenc	p a t ɾ 'e ŋ
paülenc	p a w l 'e ŋ
pedrenc	p e ð ɾ 'e ŋ
pervenc	p e ɾ b 'e ŋ
petrenc	p e t ɾ 'e ŋ
pianenc	p i a n 'e ŋ
pierenc	p i e ɾ 'e ŋ
planenc	p l a n 'e ŋ
poalenc	p o a l 'e ŋ
poblenc	p o β l 'e ŋ
poulenc	p o u l 'e ŋ
pradenc	p ɾ a ð 'e ŋ
pratenc	p ɾ a t 'e ŋ
presenc	p ɾ e s 'e ŋ
pretenc	p ɾ e t 'e ŋ
prevenc	p ɾ e β 'e ŋ
propenc	p ɾ o p 'e ŋ
provenc	p ɾ o β 'e ŋ
pruienc	p ɾ u i 'e ŋ
punxenc	p u n tʃ 'e ŋ
reprenc	r e p ɾ 'e ŋ
reusenc	r e u s 'e ŋ
rierenc	r i e ɾ 'e ŋ
riolenc	r i o l 'e ŋ
rossenc	r o s 'e ŋ
saixenc	s a j ʃ 'e ŋ
saldenc	s a l d 'e ŋ
saltenc	s a l t 'e ŋ
senienc	s e n i 'e ŋ
sorrenc	s o r 'e ŋ
sortenc	s o t 'e ŋ
sostenc	s o s t 'e ŋ
subvenc	s u b b 'e ŋ
suerenc	s e ɾ 'e ŋ
surienc	s u ɾ i 'e ŋ
suspenc	s u s p 'e ŋ
tercenc	t e s 'e ŋ
terrenc	t e r 'e ŋ
tianenc	t i a n 'e ŋ
torrenc	t o r 'e ŋ
tossenc	t o s 'e ŋ
trapenc	t ɾ a p 'e ŋ
turienc	t u ɾ i 'e ŋ
tuïnenc	t u i n 'e ŋ
urtxenc	u tʃ 'e ŋ
urusenc	u ɾ u s 'e ŋ
vallenc	b a ʎ 'e ŋ
verdenc	b e ɾ d 'e ŋ
vidrenc	b i ð ɾ 'e ŋ
viltenc	b i l t 'e ŋ
xabienc	tʃ a β i 'e ŋ
xorrenc	tʃ o r 'e ŋ
Agostenc	a ɣ o s t 'e ŋ
Bagudenc	b a ɣ u ð 'e ŋ
Cirerenc	s i ɾ e ɾ 'e ŋ
Comprenc	k o m p ɾ 'e ŋ
Crescenç	k ɾ e s 'e ŋ
Fluixenc	f l u j ʃ 'e ŋ
Quadrenc	k w a ð ɾ 'e ŋ
abellenc	a β e ʎ 'e ŋ
abrerenc	a β ɾ e ɾ 'e ŋ
abrilenc	a β ɾ i l 'e ŋ
agostenc	a ɣ o s t 'e ŋ
aguilenc	a ɣ i l 'e ŋ
aitonenc	a j t o n 'e ŋ
albalenc	a l β a l 'e ŋ
alberenc	a l β e ɾ 'e ŋ
albinenc	a l β i n 'e ŋ
albonenc	a l β o n 'e ŋ
alellenc	a l e ʎ 'e ŋ
alfarenc	a l f a ɾ 'e ŋ
algarenc	a l ɣ a ɾ 'e ŋ
alionenc	a l i o n 'e ŋ
alzinenc	a l z i n 'e ŋ
alzirenc	a l z i ɾ 'e ŋ
aprehenc	a p ɾ e o n s
arbocenc	a ɾ b o s 'e ŋ
arenyenc	a ɾ e ɲ 'e ŋ
argilenc	a r i l 'e ŋ
armadenc	a ɾ m a ð 'e ŋ
artanenc	a ɾ t a n 'e ŋ
artesenc	a t e s 'e ŋ
asconenc	a s k o n 'e ŋ
bajanenc	b a ʒ a n 'e ŋ
bastrenc	b a s t ɾ 'e ŋ
begurenc	b e ɣ u ɾ 'e ŋ
berrienc	b e r i 'e ŋ
besorenc	b e z o ɾ 'e ŋ
bestienc	b e s t i 'e ŋ
bianyenc	b i a ɲ 'e ŋ
bistienc	b i s t i 'e ŋ
brossenc	b ɾ o s 'e ŋ
brullenc	b ɾ u ʎ 'e ŋ
bulanenc	b u l a n 'e ŋ
cabalenc	k a β a l 'e ŋ
cabanenc	k a β a n 'e ŋ
cabilenc	k a β i l 'e ŋ
cabotenc	k a β o t 'e ŋ
canadenc	k a n a ð 'e ŋ
canetenc	k a n e t 'e ŋ
captrenc	k a p t ɾ 'e ŋ
caribenc	k a ɾ i β 'e ŋ
catinenc	k a t i n 'e ŋ
caçanenc	k a s a n 'e ŋ
codinenc	k o ð i n 'e ŋ
codolenc	k o ð o l 'e ŋ
cogulenc	k o ɣ u l 'e ŋ
colerenc	k o l e ɾ 'e ŋ
colomenc	k o l o m 'e ŋ
comprenc	k o m p ɾ 'e ŋ
coponenc	k o p o n 'e ŋ
corprenc	k o ɾ p ɾ 'e ŋ
cortrenc	k o ɾ t ɾ 'e ŋ
cortsenc	k o t s 'e ŋ
cudolenc	k u ð o l 'e ŋ
cunitenc	k u n i t 'e ŋ
deianenc	d e i a n 'e ŋ
desagenç	d e z a ʒ 'e ŋ
desatenc	d e z a t 'e ŋ
desavenc	d e z a β 'e ŋ
desavenç	d e z a β 'e ŋ
desprenc	d e s p ɾ 'e ŋ
dolorenc	d o l o ɾ 'e ŋ
eguetenc	e ɣ e t 'e ŋ
elfarenc	e l f a ɾ 'e ŋ
escalenc	a s k a l 'e ŋ
escobenc	a s k o β 'e ŋ
esdevenc	a z ð e β 'e ŋ
espasenc	a s p a s 'e ŋ
espilenc	a s p i l 'e ŋ
espotenc	a s p o t 'e ŋ
estevenc	a s t e β 'e ŋ
estiuenc	a s t i u 'e ŋ
estopenc	a s t o p 'e ŋ
faionenc	f a j o n 'e ŋ
famolenc	f a m o l 'e ŋ
feliuenc	f e l i u 'e ŋ
figolenc	f i ɣ o l 'e ŋ
filipenc	f i l i p 'e ŋ
fogarenc	f o ɣ a ɾ 'e ŋ
galerenc	g a l e ɾ 'e ŋ
gandienc	g a n d i 'e ŋ
gatovenc	g a t o β 'e ŋ
gavanenc	g a β a n 'e ŋ
gelidenc	dʒ e l i ð 'e ŋ
gracienc	g ɾ a s i 'e ŋ
groguenc	g ɾ o ɣ 'e ŋ
gualbenc	g w a l β 'e ŋ
gualtenc	g w a l t 'e ŋ
guilsenc	g i l s 'e ŋ
homenenc	o m e n 'e ŋ
iatovenc	i a t o β 'e ŋ
ilerdenc	i l e ð 'e ŋ
illesenc	i ʎ e s 'e ŋ
ivarsenc	i β a s 'e ŋ
juianenc	dʒ u i a n 'e ŋ
junedenc	dʒ u n e ð 'e ŋ
kosovenc	k o z o β 'e ŋ
llebrenc	ʎ e β ɾ 'e ŋ
llersenc	ʎ e s 'e ŋ
llivienc	ʎ i β i 'e ŋ
lloarenc	ʎ o a ɾ 'e ŋ
llossenc	ʎ o s 'e ŋ
maialenc	m a j a l 'e ŋ
maianenc	m a j a n 'e ŋ
malprenc	m a l p ɾ 'e ŋ
mamprenc	m a m p ɾ 'e ŋ
marbrenc	m a ɾ β ɾ 'e ŋ
marinenc	m a ɾ i n 'e ŋ
masonenc	m a z o n 'e ŋ
maçanenc	m a s a n 'e ŋ
menerenc	m e n e ɾ 'e ŋ
milanenc	m i l a n 'e ŋ
molarenc	m o l a ɾ 'e ŋ
molinenc	m o l i n 'e ŋ
moradenc	m o ɾ a ð 'e ŋ
morquenc	m o ɾ k 'e ŋ
muserenc	m u z e ɾ 'e ŋ
nadalenc	n a ð a l 'e ŋ
navatenc	n a β a t 'e ŋ
navesenc	n a β e s 'e ŋ
obertenc	o β e t 'e ŋ
ogassenc	o ɣ a s 'e ŋ
oliolenc	o l i o l 'e ŋ
olostenc	o l o s t 'e ŋ
ombrienc	o m b ɾ i 'e ŋ
omellenc	o m e ʎ 'e ŋ
ondarenc	o n d a ɾ 'e ŋ
ordinenc	o ɾ d i n 'e ŋ
orpinenc	o ɾ p i n 'e ŋ
ovellenc	o β e ʎ 'e ŋ
palauenc	p a l a u 'e ŋ
palolenc	p a l o l 'e ŋ
panamenc	p a n a m 'e ŋ
parisenc	p a ɾ i s 'e ŋ
paçanenc	p a s a n 'e ŋ
pilarenc	p i l a ɾ 'e ŋ
pinetenc	p i n e t 'e ŋ
pinosenc	p i n o s 'e ŋ
pirinenc	p i ɾ i n 'e ŋ
pujalenc	p u ʒ a l 'e ŋ
puçolenc	p u s o l 'e ŋ
quartenc	k w a t 'e ŋ
rabosenc	r a β o s 'e ŋ
rafalenc	r a f a l 'e ŋ
rafolenc	r a f o l 'e ŋ
rapitenc	r a p i t 'e ŋ
recomenç	r e k o m 'e ŋ
redonenc	r e ð o n 'e ŋ
reialenc	r e i a l 'e ŋ
remagenc	r e m a ʒ 'e ŋ
renauenc	r e n a u 'e ŋ
repelenc	r e p e l 'e ŋ
rialpenc	r i a l p 'e ŋ
riberenc	r i β e ɾ 'e ŋ
riellenc	r i e ʎ 'e ŋ
rodesenc	r o ð e s 'e ŋ
rodonenc	r o ð o n 'e ŋ
romeuenc	r o m e u 'e ŋ
rosadenc	r o z a ð 'e ŋ
rubinenc	r u β i n 'e ŋ
rupitenc	r u p i t 'e ŋ
safagenc	s a f a ʒ 'e ŋ
saforenc	s a f o ɾ 'e ŋ
salouenc	s a l o u 'e ŋ
salprenc	s a l p ɾ 'e ŋ
sanetenc	s a n e t 'e ŋ
santsenc	s a n s 'e ŋ
sanuienc	s a n u j 'e ŋ
savoienc	s a β o j 'e ŋ
solerenc	s o l e ɾ 'e ŋ
sorprenc	s o p ɾ 'e ŋ
teianenc	t e i a n 'e ŋ
temorenc	t e m o ɾ 'e ŋ
terolenc	t e ɾ o l 'e ŋ
tesanenc	t e z a n 'e ŋ
tolugenc	t o l u ʒ 'e ŋ
toranenc	t o ɾ a n 'e ŋ
tunisenc	t u n i s 'e ŋ
ullanenc	u ʎ a n 'e ŋ
ullprenc	u ʎ p ɾ 'e ŋ
vajolenc	b a ʒ o l 'e ŋ
vidrienc	b i ð ɾ i 'e ŋ
vilanenc	b i l a n 'e ŋ
vilarenc	b i l a ɾ 'e ŋ
vivenenc	b i β e n 'e ŋ
viverenc	b i β e ɾ 'e ŋ
xativenc	tʃ a t i β 'e ŋ
xixonenc	tʃ i ʃ o n 'e ŋ
fencs	f 'e ŋ s
zencs	z 'e ŋ s
asencs	a s 'e ŋ s
avencs	a β 'e ŋ s
brencs	b ɾ 'e ŋ s
elencs	e l 'e ŋ s
erencs	e ɾ 'e ŋ s
obencs	o β 'e ŋ s
trencs	t ɾ 'e ŋ s
agrencs	a ɣ ɾ 'e ŋ s
albencs	a l β 'e ŋ s
allencs	a ʎ 'e ŋ s
alpencs	a l p 'e ŋ s
alvencs	a l β 'e ŋ s
anyencs	a ɲ 'e ŋ s
aïnencs	a i n 'e ŋ s
bagencs	b a ʒ 'e ŋ s
barencs	b a ɾ 'e ŋ s
basencs	b a s 'e ŋ s
belencs	b e l 'e ŋ s
botencs	b o t 'e ŋ s
bouencs	b o u 'e ŋ s
bovencs	b o β 'e ŋ s
burencs	b u ɾ 'e ŋ s
capencs	k a p 'e ŋ s
cruencs	k ɾ u 'e ŋ s
dasencs	d a s 'e ŋ s
einencs	e i n 'e ŋ s
eusencs	e u s 'e ŋ s
forencs	f o ɾ 'e ŋ s
gerencs	dʒ e ɾ 'e ŋ s
illencs	i ʎ 'e ŋ s
janencs	dʒ a n 'e ŋ s
josencs	dʒ o s 'e ŋ s
magencs	m a ʒ 'e ŋ s
mogencs	m o ʒ 'e ŋ s
morencs	m o ɾ 'e ŋ s
mulencs	m u l 'e ŋ s
nouencs	n o u 'e ŋ s
oixencs	ɔ j ʃ 'e ŋ s
palencs	p a l 'e ŋ s
pauencs	p a u 'e ŋ s
pinencs	p i n 'e ŋ s
pugencs	p u ʒ 'e ŋ s
putencs	p u t 'e ŋ s
ralencs	r a l 'e ŋ s
rodencs	r o ð 'e ŋ s
rogencs	r o ʒ 'e ŋ s
rosencs	r o s 'e ŋ s
salencs	s a l 'e ŋ s
sedencs	s e ð 'e ŋ s
sevencs	s e β 'e ŋ s
silencs	s i l 'e ŋ s
sorencs	s o ɾ 'e ŋ s
surencs	s u ɾ 'e ŋ s
tofencs	t o f 'e ŋ s
tonencs	t o n 'e ŋ s
touencs	t o u 'e ŋ s
tovencs	t o β 'e ŋ s
urnencs	u ɾ n 'e ŋ s
vilencs	b i l 'e ŋ s
vitencs	b i t 'e ŋ s
xaiencs	tʃ a j 'e ŋ s
xodencs	tʃ o ð 'e ŋ s
Terrencs	t e r 'e ŋ s
abadencs	a β a ð 'e ŋ s
agerencs	a ʒ e ɾ 'e ŋ s
alosencs	a l o s 'e ŋ s
amerencs	a m e ɾ 'e ŋ s
anoiencs	a n o j 'e ŋ s
arenencs	a ɾ e n 'e ŋ s
arriencs	a r i 'e ŋ s
asprencs	a s p ɾ 'e ŋ s
atenencs	a t e n 'e ŋ s
badiencs	b a ð i 'e ŋ s
biurencs	b i u ɾ 'e ŋ s
blanencs	b l a n 'e ŋ s
blavencs	b l a β 'e ŋ s
boirencs	b o j ɾ 'e ŋ s
bordencs	b o d 'e ŋ s
borgencs	b o ɾ dʒ 'e ŋ s
bredencs	b ɾ e ð 'e ŋ s
brunencs	b ɾ u n 'e ŋ s
cabrencs	k a β ɾ 'e ŋ s
caldencs	k a l d 'e ŋ s
canoencs	k a n o 'e ŋ s
costencs	k o s t 'e ŋ s
cretencs	k ɾ e t 'e ŋ s
doblencs	d o β l 'e ŋ s
dolcencs	d o l s 'e ŋ s
egarencs	e ɣ a ɾ 'e ŋ s
estrencs	a s t ɾ 'e ŋ s
evolencs	e β o l 'e ŋ s
ferrencs	f e r 'e ŋ s
flamencs	f l a m 'e ŋ s
flixencs	f l i k s 'e ŋ s
foixencs	f o j ʃ 'e ŋ s
fredencs	f ɾ e ð 'e ŋ s
gravencs	g ɾ a β 'e ŋ s
grisencs	g ɾ i s 'e ŋ s
guixencs	g i ʃ 'e ŋ s
hortencs	o ɾ t 'e ŋ s
ilurencs	i l u ɾ 'e ŋ s
isclencs	i s k l 'e ŋ s
isonencs	i z o n 'e ŋ s
jafrencs	dʒ a f ɾ 'e ŋ s
joquencs	dʒ o k 'e ŋ s
jorbencs	dʒ o b 'e ŋ s
llamencs	ʎ a m 'e ŋ s
llesencs	ʎ e s 'e ŋ s
mallencs	m a ʎ 'e ŋ s
marcencs	m a s 'e ŋ s
masoencs	m a z o 'e ŋ s
mierencs	m i e ɾ 'e ŋ s
mitgencs	m i tʃ 'e ŋ s
mollencs	m o ʎ 'e ŋ s
naügencs	n a w dʒ 'e ŋ s
negrencs	n e ɣ ɾ 'e ŋ s
nullencs	n u ʎ 'e ŋ s
ocegencs	o s e ʒ 'e ŋ s
odenencs	o ð e n 'e ŋ s
oletencs	o l e t 'e ŋ s
olonencs	o l o n 'e ŋ s
ometencs	o m e t 'e ŋ s
onilencs	o n i l 'e ŋ s
opolencs	o p o l 'e ŋ s
ordiencs	o ɾ d i 'e ŋ s
orisencs	o ɾ i s 'e ŋ s
orriencs	o r i 'e ŋ s
osonencs	o z o n 'e ŋ s
osorencs	o z o ɾ 'e ŋ s
palmencs	p a l m 'e ŋ s
palsencs	p a l s 'e ŋ s
patrencs	p a t ɾ 'e ŋ s
paülencs	p a w l 'e ŋ s
pedrencs	p e ð ɾ 'e ŋ s
petrencs	p e t ɾ 'e ŋ s
pianencs	p i a n 'e ŋ s
pierencs	p i e ɾ 'e ŋ s
planencs	p l a n 'e ŋ s
poalencs	p o a l 'e ŋ s
poblencs	p o β l 'e ŋ s
pradencs	p ɾ a ð 'e ŋ s
pratencs	p ɾ a t 'e ŋ s
presencs	p ɾ e s 'e ŋ s
pruiencs	p ɾ u i 'e ŋ s
punxencs	p u n tʃ 'e ŋ s
reusencs	r e u s 'e ŋ s
rierencs	r i e ɾ 'e ŋ s
riolencs	r i o l 'e ŋ s
rossencs	r o s 'e ŋ s
saldencs	s a l d 'e ŋ s
saltencs	s a l t 'e ŋ s
seniencs	s e n i 'e ŋ s
sorrencs	s o r 'e ŋ s
sortencs	s o t 'e ŋ s
suriencs	s u ɾ i 'e ŋ s
terrencs	t e r 'e ŋ s
tianencs	t i a n 'e ŋ s
torrencs	t o r 'e ŋ s
tossencs	t o s 'e ŋ s
trapencs	t ɾ a p 'e ŋ s
turiencs	t u ɾ i 'e ŋ s
tuïnencs	t u i n 'e ŋ s
urtxencs	u tʃ 'e ŋ s
urusencs	u ɾ u s 'e ŋ s
vallencs	b a ʎ 'e ŋ s
verdencs	b e ɾ d 'e ŋ s
vidrencs	b i ð ɾ 'e ŋ s
xabiencs	tʃ a β i 'e ŋ s
abellencs	a β e ʎ 'e ŋ s
abrerencs	a β ɾ e ɾ 'e ŋ s
abrilencs	a β ɾ i l 'e ŋ s
agostencs	a ɣ o s t 'e ŋ s
aguilencs	a ɣ i l 'e ŋ s
aitonencs	a j t o n 'e ŋ s
alberencs	a l β e ɾ 'e ŋ s
albinencs	a l β i n 'e ŋ s
albonencs	a l β o n 'e ŋ s
alellencs	a l e ʎ 'e ŋ s
alfarencs	a l f a ɾ 'e ŋ s
alionencs	a l i o n 'e ŋ s
alzinencs	a l z i n 'e ŋ s
arbocencs	a ɾ b o s 'e ŋ s
arenyencs	a ɾ e ɲ 'e ŋ s
argilencs	a r i l 'e ŋ s
artanencs	a ɾ t a n 'e ŋ s
artesencs	a t e s 'e ŋ s
asconencs	a s k o n 'e ŋ s
bajanencs	b a ʒ a n 'e ŋ s
bastrencs	b a s t ɾ 'e ŋ s
begurencs	b e ɣ u ɾ 'e ŋ s
besorencs	b e z o ɾ 'e ŋ s
bestiencs	b e s t i 'e ŋ s
bianyencs	b i a ɲ 'e ŋ s
bistiencs	b i s t i 'e ŋ s
brossencs	b ɾ o s 'e ŋ s
brullencs	b ɾ u ʎ 'e ŋ s
bulanencs	b u l a n 'e ŋ s
cabalencs	k a β a l 'e ŋ s
cabanencs	k a β a n 'e ŋ s
cabilencs	k a β i l 'e ŋ s
cabotencs	k a β o t 'e ŋ s
canadencs	k a n a ð 'e ŋ s
canetencs	k a n e t 'e ŋ s
catinencs	k a t i n 'e ŋ s
caçanencs	k a s a n 'e ŋ s
codinencs	k o ð i n 'e ŋ s
codolencs	k o ð o l 'e ŋ s
cogulencs	k o ɣ u l 'e ŋ s
colerencs	k o l e ɾ 'e ŋ s
colomencs	k o l o m 'e ŋ s
coponencs	k o p o n 'e ŋ s
cortsencs	k o t s 'e ŋ s
cudolencs	k u ð o l 'e ŋ s
cunitencs	k u n i t 'e ŋ s
deianencs	d e i a n 'e ŋ s
eguetencs	e ɣ e t 'e ŋ s
elfarencs	e l f a ɾ 'e ŋ s
escalencs	a s k a l 'e ŋ s
escobencs	a s k o β 'e ŋ s
espasencs	a s p a s 'e ŋ s
espilencs	a s p i l 'e ŋ s
espotencs	a s p o t 'e ŋ s
estevencs	a s t e β 'e ŋ s
estiuencs	a s t i u 'e ŋ s
estopencs	a s t o p 'e ŋ s
faionencs	f a j o n 'e ŋ s
famolencs	f a m o l 'e ŋ s
feliuencs	f e l i u 'e ŋ s
figolencs	f i ɣ o l 'e ŋ s
filipencs	f i l i p 'e ŋ s
fogarencs	f o ɣ a ɾ 'e ŋ s
galerencs	g a l e ɾ 'e ŋ s
gavanencs	g a β a n 'e ŋ s
gelidencs	dʒ e l i ð 'e ŋ s
graciencs	g ɾ a s i 'e ŋ s
groguencs	g ɾ o ɣ 'e ŋ s
gualbencs	g w a l β 'e ŋ s
gualtencs	g w a l t 'e ŋ s
guilsencs	g i l s 'e ŋ s
homenencs	o m e n 'e ŋ s
ilerdencs	i l e ð 'e ŋ s
illesencs	i ʎ e s 'e ŋ s
ivarsencs	i β a s 'e ŋ s
juianencs	dʒ u i a n 'e ŋ s
junedencs	dʒ u n e ð 'e ŋ s
llebrencs	ʎ e β ɾ 'e ŋ s
llersencs	ʎ e s 'e ŋ s
lliviencs	ʎ i β i 'e ŋ s
lloarencs	ʎ o a ɾ 'e ŋ s
llossencs	ʎ o s 'e ŋ s
maialencs	m a j a l 'e ŋ s
maianencs	m a j a n 'e ŋ s
marbrencs	m a ɾ β ɾ 'e ŋ s
marinencs	m a ɾ i n 'e ŋ s
masonencs	m a z o n 'e ŋ s
maçanencs	m a s a n 'e ŋ s
menerencs	m e n e ɾ 'e ŋ s
milanencs	m i l a n 'e ŋ s
molarencs	m o l a ɾ 'e ŋ s
molinencs	m o l i n 'e ŋ s
moradencs	m o ɾ a ð 'e ŋ s
morquencs	m o ɾ k 'e ŋ s
muserencs	m u z e ɾ 'e ŋ s
nadalencs	n a ð a l 'e ŋ s
navatencs	n a β a t 'e ŋ s
navesencs	n a β e s 'e ŋ s
obertencs	o β e t 'e ŋ s
