big	b 'i tʃ }
Cebenc	s ə β 'e ŋ k }
Proenç	p ɾ o 'ɛ n s }
Pugenc	p u ʒ 'e ŋ k }
Solenc	s o l 'e ŋ k }
Vicenç	v i s 'ɛ n s }
acienç	ə s i 'ɛ n s }
advenc	ə ð v 'e ŋ k }
agrenc	ə ɣ ɾ 'e ŋ k }
albenc	ə l β 'e ŋ k }
allenc	ə ʎ 'e ŋ k }
alpenc	ə l p 'e ŋ k }
alvenc	ə l v 'e ŋ k }
anyenc	ə ɲ 'e ŋ k }
aprenc	ə p ɾ 'e ŋ k }
argenç	ə ɾ ʒ 'ɛ n s }
arrenc	ə r 'e ŋ k }
aspenc	ə s p 'e ŋ k }
aïnenc	ə i n 'e ŋ k }
bagenc	b ə ʒ 'e ŋ k }
barenc	b ə ɾ 'e ŋ k }
basenc	b ə s 'e ŋ k }
belenc	b ə l 'e ŋ k }
botenc	b o t 'e ŋ k }
bouenc	b o w 'e ŋ k }
bovenc	b o v 'e ŋ k }
burenc	b u ɾ 'e ŋ k }
capenc	k ə p 'e ŋ k }
començ	k o m 'ɛ n s }
cruenc	k ɾ u 'e ŋ k }
dasenc	d ə z 'e ŋ k }
defenc	d ə f 'e ŋ k }
depenc	d ə p 'e ŋ k }
detenc	d ə t 'e ŋ k }
einenc	ə i n 'e ŋ k }
eldenc	ə l d 'e ŋ k }
encenc	ə n s 'e ŋ k }
entenc	ə n t 'e ŋ k }
espenc	ə s p 'e ŋ k }
estenc	ə s t 'e ŋ k }
eusenc	ə w s 'e ŋ k }
expenc	ə t s p 'e ŋ k }
ferenc	f ə ɾ 'e ŋ k }
forenc	f o ɾ 'e ŋ k }
gerenc	ʒ ə ɾ 'e ŋ k }
illenc	i ʎ 'e ŋ k }
janenc	ʒ ə n 'e ŋ k }
josenc	ʒ o s 'e ŋ k }
magenc	m ə ʒ 'e ŋ k }
mogenc	m o ʒ 'e ŋ k }
moienc	m o i 'e ŋ k }
morenc	m o ɾ 'e ŋ k }
mulenc	m u l 'e ŋ k }
nouenc	n o w 'e ŋ k }
obtenc	o t t 'e ŋ k }
obvenc	o β v 'e ŋ k }
oixenc	o ʃ 'e ŋ k }
olienc	o l i 'e ŋ k }
palenc	p ə l 'e ŋ k }
pauenc	p ə w 'e ŋ k }
pinenc	p i n 'e ŋ k }
podenc	p o ð 'e ŋ k }
putenc	p u t 'e ŋ k }
ralenc	r ə l 'e ŋ k }
rarenc	r ə ɾ 'e ŋ k }
retenc	r ə t 'e ŋ k }
revenc	r ə v 'e ŋ k }
revenç	r ə v 'ɛ n s }
rodenc	r o ð 'e ŋ k }
rogenc	r o ʒ 'e ŋ k }
rosenc	r o z 'e ŋ k }
salenc	s ə l 'e ŋ k }
sedenc	s ə ð 'e ŋ k }
sevenc	s ə v 'e ŋ k }
silenc	s i l 'e ŋ k }
sorenc	s o ɾ 'e ŋ k }
surenc	s u ɾ 'e ŋ k }
tofenc	t o f 'e ŋ k }
tonenc	t o n 'e ŋ k }
touenc	t o w 'e ŋ k }
tovenc	t o v 'e ŋ k }
urnenc	u ɾ n 'e ŋ k }
vilenc	v i l 'e ŋ k }
vitenc	v i t 'e ŋ k }
xaienc	ʃ ə j 'e ŋ k }
xinenc	ʃ i n 'e ŋ k }
xodenc	ʃ o ð 'e ŋ k }
Carlenc	k ə ɾ l 'e ŋ k }
Climenç	k l i m 'ɛ n s }
Foixenc	f o ʃ 'e ŋ k }
Hostenc	o s t 'e ŋ k }
Llorenç	ʎ o ɾ 'ɛ n s }
Moixenc	m o ʃ 'e ŋ k }
Salsenc	s ə l s 'e ŋ k }
abadenc	ə β ə ð 'e ŋ k }
abstenc	ə t s t 'e ŋ k }
agerenc	ə ʒ ə ɾ 'e ŋ k }
alosenc	ə l o z 'e ŋ k }
amerenc	ə m ə ɾ 'e ŋ k }
anoienc	ə n o i 'e ŋ k }
aparenç	ə p ə ɾ 'ɛ n s }
arenenc	ə ɾ ə n 'e ŋ k }
arrienc	ə r i 'e ŋ k }
asprenc	ə s p ɾ 'e ŋ k }
atenenc	ə t ə n 'e ŋ k }
avinenç	ə v i n 'ɛ n s }
badienc	b ə ð i 'e ŋ k }
biarenc	b i ə ɾ 'e ŋ k }
biurenc	b i w ɾ 'e ŋ k }
blanenc	b l ə n 'e ŋ k }
blavenc	b l ə v 'e ŋ k }
boirenc	b o i ɾ 'e ŋ k }
bordenc	b o ɾ ð 'e ŋ k }
borgenc	b o ɾ ʒ 'e ŋ k }
bredenc	b ɾ ə ð 'e ŋ k }
brunenc	b ɾ u n 'e ŋ k }
cabrenc	k ə β ɾ 'e ŋ k }
cairenc	k ə j ɾ 'e ŋ k }
caldenc	k ə l d 'e ŋ k }
canoenc	k ə n o 'e ŋ k }
captenc	k ə t t 'e ŋ k }
cartenc	k ə ɾ t 'e ŋ k }
carvenc	k ə ɾ v 'e ŋ k }
coixenc	k o ʃ 'e ŋ k }
contenc	k o n t 'e ŋ k }
convenc	k o n v 'e ŋ k }
convenç	k o n v 'ɛ n s }
costenc	k o s t 'e ŋ k }
cretenc	k ɾ ə t 'e ŋ k }
despenc	d ə s p 'e ŋ k }
distenc	d i s t 'e ŋ k }
doblenc	d o β l 'e ŋ k }
dolcenc	d o l s 'e ŋ k }
egarenc	ə ɣ ə ɾ 'e ŋ k }
emprenc	ə m p ɾ 'e ŋ k }
estrenc	ə s t ɾ 'e ŋ k }
evolenc	ə v o l 'e ŋ k }
ferrenc	f ə r 'e ŋ k }
flamenc	f l ə m 'e ŋ k }
flixenc	f l i t s 'e ŋ k }
fredenc	f ɾ ə ð 'e ŋ k }
gravenc	g ɾ ə v 'e ŋ k }
grisenc	g ɾ i z 'e ŋ k }
guixenc	g i ʃ 'e ŋ k }
hortenc	o ɾ t 'e ŋ k }
ilurenc	i l u ɾ 'e ŋ k }
isclenc	i s k l 'e ŋ k }
isonenc	i z o n 'e ŋ k }
jafrenc	ʒ ə f ɾ 'e ŋ k }
joquenc	ʒ o k 'e ŋ k }
jorbenc	ʒ o ɾ β 'e ŋ k }
llamenc	ʎ ə m 'e ŋ k }
llesenc	ʎ ə s 'e ŋ k }
llimenc	ʎ i m 'e ŋ k }
mallenc	m ə ʎ 'e ŋ k }
malvenc	m ə l v 'e ŋ k }
mantenc	m ə n t 'e ŋ k }
marcenc	m ə ɾ s 'e ŋ k }
masoenc	m ə z o 'e ŋ k }
mierenc	m i ə ɾ 'e ŋ k }
mirrenc	m i r 'e ŋ k }
mitgenc	m i tʃ 'e ŋ k }
mollenc	m o ʎ 'e ŋ k }
naügenc	n ə w ʒ 'e ŋ k }
negrenc	n ə ɣ ɾ 'e ŋ k }
nullenc	n u ʎ 'e ŋ k }
ocegenc	o s ə ʒ 'e ŋ k }
odenenc	o ð ə n 'e ŋ k }
oletenc	o l ə t 'e ŋ k }
olonenc	o l o n 'e ŋ k }
ometenc	o m ə t 'e ŋ k }
onilenc	o n i l 'e ŋ k }
opolenc	o p o l 'e ŋ k }
ordienc	o ɾ ð i 'e ŋ k }
orisenc	o ɾ i s 'e ŋ k }
orrienc	o r i 'e ŋ k }
osonenc	o z o n 'e ŋ k }
osorenc	o z o ɾ 'e ŋ k }
palmenc	p ə l m 'e ŋ k }
palsenc	p ə l s 'e ŋ k }
patrenc	p ə t ɾ 'e ŋ k }
paülenc	p ə w l 'e ŋ k }
pedrenc	p ə ð ɾ 'e ŋ k }
pervenc	p ə ɾ v 'e ŋ k }
petrenc	p ə t ɾ 'e ŋ k }
pianenc	p i ə n 'e ŋ k }
pierenc	p i ə ɾ 'e ŋ k }
planenc	p l ə n 'e ŋ k }
poalenc	p o ə l 'e ŋ k }
poblenc	p o β l 'e ŋ k }
poulenc	p o u l 'e ŋ k }
pradenc	p ɾ ə ð 'e ŋ k }
pratenc	p ɾ ə t 'e ŋ k }
presenc	p ɾ ə z 'e ŋ k }
pretenc	p ɾ ə t 'e ŋ k }
prevenc	p ɾ ə v 'e ŋ k }
propenc	p ɾ o p 'e ŋ k }
provenc	p ɾ o v 'e ŋ k }
pruienc	p ɾ u i 'e ŋ k }
punxenc	p u n ʃ 'e ŋ k }
reprenc	r ə p ɾ 'e ŋ k }
reusenc	r ə w s 'e ŋ k }
rierenc	r i ə ɾ 'e ŋ k }
riolenc	r i o l 'e ŋ k }
rossenc	r o s 'e ŋ k }
saixenc	s ə ʃ 'e ŋ k }
saldenc	s ə l d 'e ŋ k }
saltenc	s ə l t 'e ŋ k }
senienc	s ə n i 'e ŋ k }
sorrenc	s o r 'e ŋ k }
sortenc	s o ɾ t 'e ŋ k }
sostenc	s o s t 'e ŋ k }
subvenc	s u β v 'e ŋ k }
suerenc	s ə ɾ 'e ŋ k }
surienc	s u ɾ i 'e ŋ k }
suspenc	s u s p 'e ŋ k }
tercenc	t ə ɾ s 'e ŋ k }
terrenc	t ə r 'e ŋ k }
tianenc	t i ə n 'e ŋ k }
torrenc	t o r 'e ŋ k }
tossenc	t o s 'e ŋ k }
trapenc	t ɾ ə p 'e ŋ k }
turienc	t u ɾ i 'e ŋ k }
tuïnenc	t u i n 'e ŋ k }
urtxenc	u ɾ ʃ 'e ŋ k }
urusenc	u ɾ u z 'e ŋ k }
vallenc	v ə ʎ 'e ŋ k }
verdenc	v ə ɾ ð 'e ŋ k }
vidrenc	v i ð ɾ 'e ŋ k }
viltenc	v i l t 'e ŋ k }
xabienc	ʃ ə β i 'e ŋ k }
xorrenc	ʃ o r 'e ŋ k }
Agostenc	ə ɣ o s t 'e ŋ k }
Bagudenc	b ə ɣ u ð 'e ŋ k }
Cirerenc	s i ɾ ə ɾ 'e ŋ k }
Comprenc	k o m p ɾ 'e ŋ k }
Crescenç	k ɾ ə t s 'ɛ n s }
Fluixenc	f l u ʃ 'e ŋ k }
Quadrenc	k w ə ð ɾ 'e ŋ k }
abellenc	ə β ə ʎ 'e ŋ k }
abrerenc	ə β ɾ ə ɾ 'e ŋ k }
abrilenc	ə β ɾ i l 'e ŋ k }
agostenc	ə ɣ o s t 'e ŋ k }
aguilenc	ə ɣ i l 'e ŋ k }
aitonenc	ə j t o n 'e ŋ k }
albalenc	ə l β ə l 'e ŋ k }
alberenc	ə l β ə ɾ 'e ŋ k }
albinenc	ə l β i n 'e ŋ k }
albonenc	ə l β o n 'e ŋ k }
alellenc	ə l ə ʎ 'e ŋ k }
alfarenc	ə l f ə ɾ 'e ŋ k }
algarenc	ə l ɣ ə ɾ 'e ŋ k }
alionenc	ə l i o n 'e ŋ k }
alzinenc	ə l z i n 'e ŋ k }
alzirenc	ə l z i ɾ 'e ŋ k }
aprehenc	ə p ɾ ə 'ɛ ŋ k }
arbocenc	ə ɾ β o s 'e ŋ k }
arenyenc	ə ɾ ə ɲ 'e ŋ k }
argilenc	ə ɾ ʒ i l 'e ŋ k }
armadenc	ə ɾ m ə ð 'e ŋ k }
artanenc	ə ɾ t ə n 'e ŋ k }
artesenc	ə ɾ t ə z 'e ŋ k }
asconenc	ə s k o n 'e ŋ k }
bajanenc	b ə ʒ ə n 'e ŋ k }
bastrenc	b ə s t ɾ 'e ŋ k }
begurenc	b ə ɣ u ɾ 'e ŋ k }
berrienc	b ə r i 'e ŋ k }
besorenc	b ə z o ɾ 'e ŋ k }
bestienc	b ə s t i 'e ŋ k }
bianyenc	b i ə ɲ 'e ŋ k }
bistienc	b i s t i 'e ŋ k }
brossenc	b ɾ o s 'e ŋ k }
brullenc	b ɾ u ʎ 'e ŋ k }
bulanenc	b u l ə n 'e ŋ k }
cabalenc	k ə β ə l 'e ŋ k }
cabanenc	k ə β ə n 'e ŋ k }
cabilenc	k ə β i l 'e ŋ k }
cabotenc	k ə β o t 'e ŋ k }
canadenc	k ə n ə ð 'e ŋ k }
canetenc	k ə n ə t 'e ŋ k }
captrenc	k ə t t ɾ 'e ŋ k }
caribenc	k ə ɾ i β 'e ŋ k }
catinenc	k ə t i n 'e ŋ k }
caçanenc	k ə s ə n 'e ŋ k }
codinenc	k o ð i n 'e ŋ k }
codolenc	k o ð o l 'e ŋ k }
cogulenc	k o ɣ u l 'e ŋ k }
colerenc	k o l ə ɾ 'e ŋ k }
colomenc	k o l o m 'e ŋ k }
comprenc	k o m p ɾ 'e ŋ k }
coponenc	k o p o n 'e ŋ k }
corprenc	k o ɾ p ɾ 'e ŋ k }
cortrenc	k o ɾ t ɾ 'e ŋ k }
cortsenc	k o ɾ t s 'e ŋ k }
cudolenc	k u ð o l 'e ŋ k }
cunitenc	k u n i t 'e ŋ k }
deianenc	d ə j ə n 'e ŋ k }
desagenç	d ə z ə ʒ 'ɛ n s }
desatenc	d ə z ə t 'e ŋ k }
desavenc	d ə z ə v 'e ŋ k }
desavenç	d ə z ə v 'ɛ n s }
desprenc	d ə s p ɾ 'e ŋ k }
dolorenc	d o l o ɾ 'e ŋ k }
eguetenc	ə ɣ ə t 'e ŋ k }
elfarenc	ə l f ə ɾ 'e ŋ k }
escalenc	ə s k ə l 'e ŋ k }
escobenc	ə s k o β 'e ŋ k }
esdevenc	ə z ð ə v 'e ŋ k }
espasenc	ə s p ə z 'e ŋ k }
espilenc	ə s p i l 'e ŋ k }
espotenc	ə s p o t 'e ŋ k }
estevenc	ə s t ə v 'e ŋ k }
estiuenc	ə s t i w 'e ŋ k }
estopenc	ə s t o p 'e ŋ k }
faionenc	f ə j o n 'e ŋ k }
famolenc	f ə m o l 'e ŋ k }
feliuenc	f ə l i w 'e ŋ k }
figolenc	f i ɣ o l 'e ŋ k }
filipenc	f i l i p 'e ŋ k }
fogarenc	f o ɣ ə ɾ 'e ŋ k }
galerenc	g ə l ə ɾ 'e ŋ k }
gandienc	g ə n d i 'e ŋ k }
gatovenc	g ə t o v 'e ŋ k }
gavanenc	g ə v ə n 'e ŋ k }
gelidenc	ʒ ə l i ð 'e ŋ k }
gracienc	g ɾ ə s i 'e ŋ k }
groguenc	g ɾ o ɣ 'e ŋ k }
gualbenc	g w ə l β 'e ŋ k }
gualtenc	g w ə l t 'e ŋ k }
guilsenc	g i l s 'e ŋ k }
homenenc	o m ə n 'e ŋ k }
iatovenc	i ə t o v 'e ŋ k }
ilerdenc	i l ə ɾ ð 'e ŋ k }
illesenc	i ʎ ə s 'e ŋ k }
ivarsenc	i v ə ɾ s 'e ŋ k }
juianenc	ʒ u j ə n 'e ŋ k }
junedenc	ʒ u n ə ð 'e ŋ k }
kosovenc	k o z o v 'e ŋ k }
llebrenc	ʎ ə β ɾ 'e ŋ k }
llersenc	ʎ ə s 'e ŋ k }
llivienc	ʎ i v i 'e ŋ k }
lloarenc	ʎ o ə ɾ 'e ŋ k }
llossenc	ʎ o s 'e ŋ k }
maialenc	m ə j ə l 'e ŋ k }
maianenc	m ə j ə n 'e ŋ k }
malprenc	m ə l p ɾ 'e ŋ k }
mamprenc	m ə m p ɾ 'e ŋ k }
marbrenc	m ə ɾ β ɾ 'e ŋ k }
marinenc	m ə ɾ i n 'e ŋ k }
masonenc	m ə z o n 'e ŋ k }
maçanenc	m ə s ə n 'e ŋ k }
menerenc	m ə n ə ɾ 'e ŋ k }
milanenc	m i l ə n 'e ŋ k }
molarenc	m o l ə ɾ 'e ŋ k }
molinenc	m o l i n 'e ŋ k }
moradenc	m o ɾ ə ð 'e ŋ k }
morquenc	m o ɾ k 'e ŋ k }
muserenc	m u z ə ɾ 'e ŋ k }
nadalenc	n ə ð ə l 'e ŋ k }
navatenc	n ə v ə t 'e ŋ k }
navesenc	n ə v ə z 'e ŋ k }
obertenc	o β ə ɾ t 'e ŋ k }
ogassenc	o ɣ ə s 'e ŋ k }
oliolenc	o l i o l 'e ŋ k }
olostenc	o l o s t 'e ŋ k }
ombrienc	o m b ɾ i 'e ŋ k }
omellenc	o m ə ʎ 'e ŋ k }
ondarenc	o n d ə ɾ 'e ŋ k }
ordinenc	o ɾ ð i n 'e ŋ k }
orpinenc	o ɾ p i n 'e ŋ k }
ovellenc	o v ə ʎ 'e ŋ k }
palauenc	p ə l ə w 'e ŋ k }
palolenc	p ə l o l 'e ŋ k }
panamenc	p ə n ə m 'e ŋ k }
parisenc	p ə ɾ i s 'e ŋ k }
paçanenc	p ə s ə n 'e ŋ k }
pilarenc	p i l ə ɾ 'e ŋ k }
pinetenc	p i n ə t 'e ŋ k }
pinosenc	p i n o s 'e ŋ k }
pirinenc	p i ɾ i n 'e ŋ k }
pujalenc	p u ʒ ə l 'e ŋ k }
puçolenc	p u s o l 'e ŋ k }
quartenc	k w ə ɾ t 'e ŋ k }
rabosenc	r ə β o s 'e ŋ k }
rafalenc	r ə f ə l 'e ŋ k }
rafolenc	r ə f o l 'e ŋ k }
rapitenc	r ə p i t 'e ŋ k }
recomenç	r ə k o m 'ɛ n s }
redonenc	r ə ð o n 'e ŋ k }
reialenc	r ə j ə l 'e ŋ k }
remagenc	r ə m ə ʒ 'e ŋ k }
renauenc	r ə n ə w 'e ŋ k }
repelenc	r ə p ə l 'e ŋ k }
rialpenc	r i ə l p 'e ŋ k }
riberenc	r i β ə ɾ 'e ŋ k }
riellenc	r i ə ʎ 'e ŋ k }
rodesenc	r o ð ə z 'e ŋ k }
rodonenc	r o ð o n 'e ŋ k }
romeuenc	r o m ə w 'e ŋ k }
rosadenc	r o z ə ð 'e ŋ k }
rubinenc	r u β i n 'e ŋ k }
rupitenc	r u p i t 'e ŋ k }
safagenc	s ə f ə ʒ 'e ŋ k }
saforenc	s ə f o ɾ 'e ŋ k }
salouenc	s ə l o w 'e ŋ k }
salprenc	s ə l p ɾ 'e ŋ k }
sanetenc	s ə n ə t 'e ŋ k }
santsenc	s ə n s 'e ŋ k }
sanuienc	s ə n u i 'e ŋ k }
savoienc	s ə v o i 'e ŋ k }
solerenc	s o l ə ɾ 'e ŋ k }
sorprenc	s o ɾ p ɾ 'e ŋ k }
teianenc	t ə j ə n 'e ŋ k }
temorenc	t ə m o ɾ 'e ŋ k }
terolenc	t ə ɾ o l 'e ŋ k }
tesanenc	t ə z ə n 'e ŋ k }
tolugenc	t o l u ʒ 'e ŋ k }
toranenc	t o ɾ ə n 'e ŋ k }
tunisenc	t u n i s 'e ŋ k }
ullanenc	u ʎ ə n 'e ŋ k }
ullprenc	u ʎ p ɾ 'e ŋ k }
vajolenc	v ə ʒ o l 'e ŋ k }
vidrienc	v i ð ɾ i 'e ŋ k }
vilanenc	v i l ə n 'e ŋ k }
vilarenc	v i l ə ɾ 'e ŋ k }
vivenenc	v i v ə n 'e ŋ k }
viverenc	v i v ə ɾ 'e ŋ k }
xativenc	ʃ ə t i v 'e ŋ k }
xixonenc	ʃ i t s o n 'e ŋ k }
fencs	f 'e n s }
zencs	z 'e n s }
asencs	ə s 'e n s }
avencs	ə v 'e n s }
brencs	b ɾ 'e n s }
elencs	ə l 'e n s }
erencs	ə ɾ 'e n s }
obencs	o β 'e n s }
trencs	t ɾ 'e n s }
agrencs	ə ɣ ɾ 'e n s }
albencs	ə l β 'e n s }
allencs	ə ʎ 'e n s }
alpencs	ə l p 'e n s }
alvencs	ə l v 'e n s }
anyencs	ə ɲ 'e n s }
aïnencs	ə i n 'e n s }
bagencs	b ə ʒ 'e n s }
barencs	b ə ɾ 'e n s }
basencs	b ə s 'e n s }
belencs	b ə l 'e n s }
botencs	b o t 'e n s }
bouencs	b o w 'e n s }
bovencs	b o v 'e n s }
burencs	b u ɾ 'e n s }
capencs	k ə p 'e n s }
cruencs	k ɾ u 'e n s }
dasencs	d ə z 'e n s }
einencs	ə i n 'e n s }
eusencs	ə w s 'e n s }
forencs	f o ɾ 'e n s }
gerencs	ʒ ə ɾ 'e n s }
illencs	i ʎ 'e n s }
janencs	ʒ ə n 'e n s }
josencs	ʒ o s 'e n s }
magencs	m ə ʒ 'e n s }
mogencs	m o ʒ 'e n s }
morencs	m o ɾ 'e n s }
mulencs	m u l 'e n s }
nouencs	n o w 'e n s }
oixencs	o ʃ 'e n s }
palencs	p ə l 'e n s }
pauencs	p ə w 'e n s }
pinencs	p i n 'e n s }
pugencs	p u ʒ 'e n s }
putencs	p u t 'e n s }
ralencs	r ə l 'e n s }
rodencs	r o ð 'e n s }
rogencs	r o ʒ 'e n s }
rosencs	r o z 'e n s }
salencs	s ə l 'e n s }
sedencs	s ə ð 'e n s }
sevencs	s ə v 'e n s }
silencs	s i l 'e n s }
sorencs	s o ɾ 'e n s }
surencs	s u ɾ 'e n s }
tofencs	t o f 'e n s }
tonencs	t o n 'e n s }
touencs	t o w 'e n s }
tovencs	t o v 'e n s }
urnencs	u ɾ n 'e n s }
vilencs	v i l 'e n s }
vitencs	v i t 'e n s }
xaiencs	ʃ ə j 'e n s }
xodencs	ʃ o ð 'e n s }
Terrencs	t ə r 'e n s }
abadencs	ə β ə ð 'e n s }
agerencs	ə ʒ ə ɾ 'e n s }
alosencs	ə l o z 'e n s }
amerencs	ə m ə ɾ 'e n s }
anoiencs	ə n o i 'e n s }
arenencs	ə ɾ ə n 'e n s }
arriencs	ə r i 'e n s }
asprencs	ə s p ɾ 'e n s }
atenencs	ə t ə n 'e n s }
badiencs	b ə ð i 'e n s }
biurencs	b i w ɾ 'e n s }
blanencs	b l ə n 'e n s }
blavencs	b l ə v 'e n s }
boirencs	b o i ɾ 'e n s }
bordencs	b o ɾ ð 'e n s }
borgencs	b o ɾ ʒ 'e n s }
bredencs	b ɾ ə ð 'e n s }
brunencs	b ɾ u n 'e n s }
cabrencs	k ə β ɾ 'e n s }
caldencs	k ə l d 'e n s }
canoencs	k ə n o 'e n s }
costencs	k o s t 'e n s }
cretencs	k ɾ ə t 'e n s }
doblencs	d o β l 'e n s }
dolcencs	d o l s 'e n t s }
egarencs	ə ɣ ə ɾ 'e n s }
estrencs	ə s t ɾ 'e n s }
evolencs	ə v o l 'e n s }
ferrencs	f ə r 'e n s }
flamencs	f l ə m 'e n t s }
flixencs	f l i t s 'e n s }
foixencs	f o ʃ 'e n s }
fredencs	f ɾ ə ð 'e n s }
gravencs	g ɾ ə v 'e n s }
grisencs	g ɾ i z 'e n s }
guixencs	g i ʃ 'e n s }
hortencs	o ɾ t 'e n s }
ilurencs	i l u ɾ 'e n s }
isclencs	i s k l 'e n s }
isonencs	i z o n 'e n s }
jafrencs	ʒ ə f ɾ 'e n s }
joquencs	ʒ o k 'e n s }
jorbencs	ʒ o ɾ β 'e n s }
llamencs	ʎ ə m 'e n t s }
llesencs	ʎ ə s 'e n s }
mallencs	m ə ʎ 'e n s }
marcencs	m ə ɾ s 'e n t s }
masoencs	m ə z o 'e n s }
mierencs	m i ə ɾ 'e n s }
mitgencs	m i tʃ 'e n s }
mollencs	m o ʎ 'e n s }
naügencs	n ə w ʒ 'e n s }
negrencs	n ə ɣ ɾ 'e n s }
nullencs	n u ʎ 'e n s }
ocegencs	o s ə ʒ 'e n s }
odenencs	o ð ə n 'e n s }
oletencs	o l ə t 'e n s }
olonencs	o l o n 'e n s }
ometencs	o m ə t 'e n s }
onilencs	o n i l 'e n s }
opolencs	o p o l 'e n s }
ordiencs	o ɾ ð i 'e n s }
orisencs	o ɾ i s 'e n s }
orriencs	o r i 'e n s }
osonencs	o z o n 'e n s }
osorencs	o z o ɾ 'e n s }
palmencs	p ə l m 'e n t s }
palsencs	p ə l s 'e n s }
patrencs	p ə t ɾ 'e n s }
paülencs	p ə w l 'e n s }
pedrencs	p ə ð ɾ 'e n s }
petrencs	p ə t ɾ 'e n s }
pianencs	p i ə n 'e n s }
pierencs	p i ə ɾ 'e n s }
planencs	p l ə n 'e n s }
poalencs	p o ə l 'e n s }
poblencs	p o β l 'e n s }
pradencs	p ɾ ə ð 'e n s }
pratencs	p ɾ ə t 'e n s }
presencs	p ɾ ə z 'e n s }
pruiencs	p ɾ u i 'e n s }
punxencs	p u n ʃ 'e n s }
reusencs	r ə w s 'e n s }
rierencs	r i ə ɾ 'e n s }
riolencs	r i o l 'e n s }
rossencs	r o s 'e n s }
saldencs	s ə l d 'e n s }
saltencs	s ə l t 'e n s }
seniencs	s ə n i 'e n s }
sorrencs	s o r 'e n s }
sortencs	s o ɾ t 'e n s }
suriencs	s u ɾ i 'e n s }
terrencs	t ə r 'e n s }
tianencs	t i ə n 'e n s }
torrencs	t o r 'e n s }
tossencs	t o s 'e n s }
trapencs	t ɾ ə p 'e n s }
turiencs	t u ɾ i 'e n s }
tuïnencs	t u i n 'e n s }
urtxencs	u ɾ ʃ 'e n s }
urusencs	u ɾ u z 'e n s }
vallencs	v ə ʎ 'e n s }
verdencs	v ə ɾ ð 'e n s }
vidrencs	v i ð ɾ 'e n s }
xabiencs	ʃ ə β i 'e n s }
abellencs	ə β ə ʎ 'e n s }
abrerencs	ə β ɾ ə ɾ 'e n s }
abrilencs	ə β ɾ i l 'e n s }
agostencs	ə ɣ o s t 'e n s }
aguilencs	ə ɣ i l 'e n s }
aitonencs	ə j t o n 'e n s }
alberencs	ə l β ə ɾ 'e n s }
albinencs	ə l β i n 'e n s }
albonencs	ə l β o n 'e n s }
