a	ə
abaratiments	ə β ə ɾ ə t i m 'e n s
abaratir	ə β ə ɾ ə t 'i
abaratirà	ə β ə ɾ ə t i ɾ 'a
abaratit	ə β ə ɾ ə t 'i t
abarrocament	ə β ə r ˌ o k ə m 'e n t
abassegador	ə β ə s ə ɣ ə ð 'o
abassegadora	ə β ə s ə ɣ ə ð 'o ɾ ə
abast	ə β 'a s t
abasta	ə β 'a s t ə
abastable	ə β ə s t 'a b b l ə
abastament	ə β ə s t ə m 'e n t
abastar	ə β ə s t 'a
abastarà	ə β ə s t ə ɾ 'a
abasten	ə β 'a s t ə n
abasti	ə β 'a s t i
abastidor	ə β ə s t i ð 'o
abastiment	ə β ˌ a s t i m 'e n t
abastir	ə β ə s t 'i
abat	ə β 'a t
abatiment	ə β ə t i m 'e n t
abatre	ə β 'a t ɾ ə
abatrel	ə β ə t ɾ 'ɛ l
abatuda	ə β ə t 'u ð ə
abatut	ə β ə t 'u t
abatuts	ə β ə t 'u t s
abdicació	ə d d i k ə s i 'o
abdicar	ə d d i k 'a
abdicat	ə d d i k 'a t
abdomen	ə d d 'o m ə n
abdominal	ə d d o m i n 'a l
abdominals	ə d d o m i n 'a l s
abductor	ə d d u t t 'o
abductors	ə d d u t t 'o s
abdul	ə d d 'u l
abecedari	ə β ə s ə ð 'a ɾ i
abella	ə β 'ə ʎ ə
abelleix	ə β ə ʎ 'ə ʃ
abelles	ə β 'ə ʎ ə s
aberracions	ə β ə r ə s i 'o n s
aberració	ə β ə r ə s i 'o
aberrant	ə β ə r 'a n t
aberrants	ə β ə r 'a n s
abertzale	ə β ə ɾ d z 'a l ə
aberzale	ə β ə ɾ z 'a l ə
aberzalisme	ə β ə ɾ z ə l 'i z m ə
abillats	ə β i ʎ 'a t s
abismal	ə β i z m 'a l
abismals	ə β i z m 'a l s
abisme	ə β 'i z m ə
abismes	ə β 'i z m ə s
abissínia	ə β i s 'i n i ə
ablacions	ə β l ə s i 'o n s
ablació	ə β l ə s i 'o
abnegada	ə n n ə ɣ 'a ð ə
abnegat	ə n n ə ɣ 'a t
abnegats	ə n n ə ɣ 'a t s
aboca	ə β 'o k ə
abocada	ə β o k 'a ð ə
abocades	ə β o k 'a ð ə s
abocador	ə β o k ə ð 'o
abocadors	ə β o k ə ð 'o s
abocament	ə β o k ə m 'e n t
abocaments	ə β o k ə m 'e n s
abocant	ə β o k 'a n t
abocar	ə β o k 'a
abocarhi	ə β o k 'a ɾ i
abocarse	ə β o k 'a ɾ s ə
abocarà	ə β o k ə ɾ 'a
abocat	ə β o k 'a t
abocats	ə β o k 'a t s
abocava	ə β o k 'a v ə
aboga	ə β 'o ɣ ə
abolició	ə β o l i s i 'o
abolida	ə β o l 'i ð ə
abolim	ə β o l 'i m
abolint	ə β o l 'i n t
abolir	ə β o l 'i
abolirse	ə β o l 'i ɾ s ə
abolit	ə β o l 'i t
abominable	ə β o m i n 'a b b l ə
abominables	ə β o m i n 'a b b l ə s
abona	ə β 'o n ə
abonada	ə β o n 'a ð ə
abonades	ə β o n 'a ð ə s
abonament	ə β o n ə m 'e n t
abonaments	ə β o n ə m 'e n s
abonar	ə β o n 'a
abonaran	ə β o n ə ɾ 'a n
abonarse	ə β o n 'a ɾ s ə
abonarà	ə β o n ə ɾ 'a
abonat	ə β o n 'a t
abonats	ə β o n 'a t s
abonava	ə β o n 'a v ə
abonen	ə β 'o n ə n
aboni	ə β 'ɔ n i
aboquem	ə β o k 'ə m
aboquen	ə β 'o k ə n
aboqui	ə β 'ɔ k i
aborda	ə β 'o ɾ ð ə
abordada	ə β o ɾ ð 'a ð ə
abordant	ə β o ɾ ð 'a n t
abordar	ə β o ɾ ð 'a
abordaran	ə β o ɾ ð ə ɾ 'a n
abordarla	ə β o ɾ ð 'a ɾ l ə
abordarà	ə β o ɾ ð ə ɾ 'a
abordat	ə β o ɾ ð 'a t
abordatge	ə β o ɾ ð 'a dʒ ə
abordats	ə β o ɾ ð 'a t s
abordava	ə β o ɾ ð 'a v ə
abordaven	ə β o ɾ ð 'a v ə n
aborden	ə β 'o ɾ ð ə n
abordessin	ə β o ɾ ð 'e s i n
abordi	ə β 'ɔ ɾ ð i
abordin	ə β 'ɔ ɾ ð i n
aborigen	ə β o ɾ 'i ʒ ə n
aborígens	ə β o ɾ 'i ʒ ə n s
abracen	ə β ɾ 'a s ə n
abrandada	ə β ɾ ə n d 'a ð ə
abrandat	ə β ɾ ə n d 'a t
abrandats	ə β ɾ ə n d 'a t s
abraona	ə β ɾ ə 'o n ə
abraonarà	ə β ɾ ə o n ə ɾ 'a
abrasat	ə β ɾ ə z 'a t
abraça	ə β ɾ 'a s ə
abraçada	ə β ɾ ə s 'a ð ə
abraçades	ə β ɾ ə s 'a ð ə s
abraçadetes	ə β ɾ ə s ə ð 'ə t ə s
abraçant	ə β ɾ ə s 'a n t
abraçar	ə β ɾ ə s 'a
abraçarla	ə β ɾ ə s 'a ɾ l ə
abraçarlo	ə β ɾ ə s 'a ɾ l o
abraçarse	ə β ɾ ə s 'a ɾ s ə
abraçat	ə β ɾ ə s 'a t
abraçats	ə β ɾ ə s 'a t s
abraçava	ə β ɾ ə s 'a v ə
abraçaven	ə β ɾ ə s 'a v ə n
abraço	ə β ɾ 'a s o
abreujada	ə β ɾ ə w ʒ 'a ð ə
abreujar	ə β ɾ ə w ʒ 'a
abreujat	ə β ɾ ə w ʒ 'a t
abreviació	ə β ɾ ə v i ə s i 'o
abreviat	ə β ɾ ə v i 'a t
abreviatura	ə β ɾ ə v i ə t 'u ɾ ə
abric	ə β ɾ 'i k
abrics	ə β ɾ 'i t s
abriga	ə β ɾ 'i ɣ ə
abrigat	ə β ɾ i ɣ 'a t
abril	ə β ɾ 'i l
abrupta	ə β ɾ 'u t t ə
abruptament	ə β ɾ ˌ u t t ə m 'e n t
abrupte	ə β ɾ 'u t t ə
absent	ə t s 'e n t
absenta	ə t s 'e n t ə
absentisme	ə t s ə n t 'i z m ə
absents	ə t s 'e n s
absis	'a t s i s
absoldre	ə t s 'ɔ l d ɾ ə
absolt	ə t s 'o l t
absolta	ə t s 'o l t ə
absolts	ə t s 'o l s
absolucions	ə t s o l u s i 'o n s
absolució	ə t s o l u s i 'o
absolut	ə t s o l 'u t
absoluta	ə t s o l 'u t ə
absolutament	ə t s o l ˌ u t ə m 'e n t
absolutes	ə t s o l 'u t ə s
absolutisme	ə t s o l u t 'i z m ə
absolutista	ə t s o l u t 'i s t ə
absolutistes	ə t s o l u t 'i s t ə s
absoluts	ə t s o l 'u t s
absolutòria	ə t s o l u t 'ɔ ɾ i ə
absorbeix	ə t s o ɾ β 'ə ʃ
absorbeixen	ə t s o ɾ β 'ə ʃ ə n
absorbent	ə t s o ɾ β 'e n t
absorbida	ə t s o ɾ β 'i ð ə
absorbint	ə t s o ɾ β 'i n t
absorbir	ə t s o ɾ β 'i
absorbiran	ə t s o ɾ β i ɾ 'a n
absorbirà	ə t s o ɾ β i ɾ 'a
absorbit	ə t s o ɾ β 'i t
absorbits	ə t s o ɾ β 'i t s
absorbís	ə t s o ɾ β 'i s
absorcions	ə t s o ɾ s i 'o n s
absorció	ə t s o ɾ s i 'o
absort	ə t s 'ɔ ɾ t
abstencionista	ə p s t ə n s i o n 'i s t ə
abstencionistes	ə p s t ə n s i o n 'i s t ə s
abstencions	ə p s t ə n s i 'o n s
abstenció	ə p s t ə n s i 'o
abstenen	ə p s t 'e n ə n
abstenintse	ə p s t ə n 'i n s ə
abstenir	ə p s t ə n 'i
abstenirse	ə p s t ə n 'i ɾ s ə
absteniuvos	ə p s t ə n 'i w v o s
abstindran	ə p s t i n d ɾ 'a n
abstindria	ə p s t i n d ɾ 'i ə
abstindrà	ə p s t i n d ɾ 'a
abstinents	ə p s t i n 'e n s
abstingui	ə p s t 'i ŋ g i
abstinguin	ə p s t 'i ŋ g i n
abstingut	ə p s t i ŋ g 'u t
abstingués	ə p s t i ŋ g 'e s
abstinència	ə p s t i n 'ə n s i ə
abstraccions	ə p s t ɾ ə t s i 'o n s
abstracció	ə p s t ɾ ə t s i 'o
abstracta	ə p s t ɾ 'a t t ə
abstracte	ə p s t ɾ 'a t t ə
abstractes	ə p s t ɾ 'a t t ə s
abstrets	ə p s t ɾ 'ə t s
abstreure	ə p s t ɾ 'ə w ɾ ə
abstreures	ə p s t ɾ 'e w ɾ ə s
absté	ə p s t 'e
absurd	ə t s 'u ɾ t
absurda	ə t s 'u ɾ ð ə
absurdament	ə t s ˌ u ɾ ð ə m 'e n t
absurdes	ə t s 'u ɾ ð ə s
absurditat	ə t s u ɾ ð i t 'a t
absurditats	ə t s u ɾ ð i t 'a t s
absurds	ə t s 'u ɾ t s
absència	ə t s 'ə n s i ə
absències	ə t s 'ə n s i ə s
abuelos	ə β u 'ɛ l o s
abunda	ə β 'u n d ə
abundant	ə β u n d 'a n t
abundantment	ə β u n d ˌ a n m 'e n t
abundants	ə β u n d 'a n s
abundar	ə β u n d 'a
abundat	ə β u n d 'a t
abundats	ə β u n d 'a t s
abundaven	ə β u n d 'a v ə n
abunden	ə β 'u n d ə n
abundor	ə β u n d 'o
abundosa	ə β u n d 'o z ə
abundància	ə β u n d 'a n s i ə
abusa	ə β 'u z ə
abusant	ə β u z 'a n t
abusar	ə β u z 'a
abusat	ə β u z 'a t
abusen	ə β 'u z ə n
abusi	ə β 'u z i
abusin	ə β 'u z i n
abusiu	ə β u z 'i w
abusius	ə β u z 'i w s
abusiva	ə β u z 'i v ə
abusives	ə β u z 'i v ə s
abuso	ə β 'u z o
abusos	ə β 'u z o s
abús	ə β 'u s
aca	'a k ə
acaba	ə k 'a β ə
acabada	ə k ə β 'a ð ə
acabades	ə k ə β 'a ð ə s
acaballes	ə k ə β 'a ʎ ə s
acabament	ə k ə β ə m 'e n t
acabant	ə k ə β 'a n t
acabar	ə k ə β 'a
acabaran	ə k ə β ə ɾ 'a n
acabarem	ə k ə β ə ɾ 'ə m
acabareu	ə k ə β ə ɾ 'ɛ w
acabarho	ə k ə β 'a ɾ o
acabaria	ə k ə β ə ɾ 'i ə
acabarien	ə k ə β ə ɾ 'i ə n
acabarla	ə k ə β 'a ɾ l ə
acabarles	ə k ə β 'a ɾ l ə s
acabarlo	ə k ə β 'a ɾ l o
acabarse	ə k ə β 'a ɾ s ə
acabarà	ə k ə β ə ɾ 'a
acabaràs	ə k ə β ə ɾ 'a s
acabaré	ə k ə β ə ɾ 'e
acabaríem	ə k ə β ə ɾ 'i ə m
acabat	ə k ə β 'a t
acabats	ə k ə β 'a t s
acabava	ə k ə β 'a v ə
acabaven	ə k ə β 'a v ə n
acabem	ə k ə β 'ə m
acaben	ə k 'a β ə n
acabes	ə k 'a β ə s
acabessim	ə k ə β ə s 'i m
acabessin	ə k ə β 'e s i n
acabeu	ə k ə β 'ɛ w
acabi	ə k 'a β i
acabin	ə k 'a β i n
acabis	ə k 'a β i s
acabo	ə k 'a β o
acabà	ə k ə β 'a
acabàvem	ə k ə β 'a v ə m
acabés	ə k ə β 'e s
acabéssim	ə k ə β 'e s i m
academicisme	ə k ə ð ə m i s 'i z m ə
academicismes	ə k ə ð ə m i s 'i z m ə s
academicista	ə k ə ð ə m i s 'i s t ə
acadèmia	ə k ə ð 'ə m i ə
acadèmic	ə k ə ð 'ə m i k
acadèmica	ə k ə ð 'ə m i k ə
acadèmicament	ə k ə ð ˌ ə m i k ə m 'e n t
acadèmics	ə k ə ð 'ə m i t s
acadèmies	ə k ə ð 'ə m i ə s
acadèmiques	ə k ə ð 'ə m i k ə s
acampa	ə k 'a m p ə
acampada	ə k ə m p 'a ð ə
acampades	ə k ə m p 'a ð ə s
acampar	ə k ə m p 'a
acampats	ə k ə m p 'a t s
acampen	ə k 'a m p ə n
acapara	ə k ə p 'a ɾ ə
acaparant	ə k ə p ə ɾ 'a n t
acaparar	ə k ə p ə ɾ 'a
acaparat	ə k ə p ə ɾ 'a t
acaparava	ə k ə p ə ɾ 'a v ə
acaparen	ə k ə p 'a ɾ ə n
acara	ə k 'a ɾ ə
acarament	ə k ə ɾ ə m 'e n t
acarats	ə k ə ɾ 'a t s
acaricia	ə k ə ɾ i s 'i ə
acariciant	ə k ə ɾ i s i 'a n t
acariciava	ə k ə ɾ i s i 'a v ə
acaricien	ə k ə ɾ i s 'i ə n
acarnissada	ə k ə ɾ n i s 'a ð ə
acarnissament	ə k ə ɾ n i s ə m 'e n t
acarnissar	ə k ə ɾ n i s 'a
acarnissarse	ə k ə ɾ n i s 'a ɾ s ə
acarona	ə k ə ɾ 'o n ə
acaronador	ə k ə ɾ o n ə ð 'o
acaronant	ə k ə ɾ o n 'a n t
acaronar	ə k ə ɾ o n 'a
acaronarli	ə k ə ɾ o n 'a ɾ l i
acaronat	ə k ə ɾ o n 'a t
acata	ə k 'a t ə
acatament	ə k ə t ə m 'e n t
acatant	ə k ə t 'a n t
acatar	ə k ə t 'a
acaten	ə k 'a t ə n
acati	ə k 'a t i
accedeix	ə t s ə ð 'ə ʃ
accedeixen	ə t s ə ð 'ə ʃ ə n
accedeixi	ə t s ə ð 'ə ʃ i
accedeixin	ə t s ə ð 'ə ʃ i n
accedeixo	ə t s ə ð 'ə ʃ o
accederies	ə t s ə ð ə ɾ 'i ə s
accedia	ə t s ə ð 'i ə
accedien	ə t s ə ð 'i ə n
accedint	ə t s ə ð 'i n t
accedir	ə t s ə ð 'i
accediran	ə t s ə ð i ɾ 'a n
accedireu	ə t s ə ð i ɾ 'ɛ w
accedirhi	ə t s ə ð 'i ɾ i
accedirà	ə t s ə ð i ɾ 'a
accedissin	ə t s ə ð 'i s i n
accedit	ə t s ə ð 'i t
accediu	ə t s ə ð 'i w
accedís	ə t s ə ð 'i s
accedíssim	ə t s ə ð 'i s i m
accelera	ə t s ə l 'e ɾ ə
acceleració	ə t s ə l ə ɾ ə s i 'o
accelerada	ə t s ə l ə ɾ 'a ð ə
acceleradament	ə t s ə l ə ɾ ˌ a ð ə m 'e n t
accelerador	ə t s ə l ə ɾ ə ð 'o
accelerant	ə t s ə l ə ɾ 'a n t
accelerar	ə t s ə l ə ɾ 'a
acceleraran	ə t s ə l ə ɾ ə ɾ 'a n
accelerarme	ə t s ə l ə ɾ 'a ɾ m ə
accelerarà	ə t s ə l ə ɾ ə ɾ 'a
accelerat	ə t s ə l ə ɾ 'a t
accelerats	ə t s ə l ə ɾ 'a t s
acceleren	ə t s ə l 'e ɾ ə n
acceleri	ə t s ə l 'ɛ ɾ i
accelerin	ə t s ə l 'ɛ ɾ i n
accent	ə t s 'e n t
accents	ə t s 'e n s
accentua	ə t s ə n t 'u ə
accentuació	ə t s ə n t u ə s i 'o
accentuada	ə t s ə n t u 'a ð ə
accentuant	ə t s ə n t u 'a n t
accentuar	ə t s ə n t u 'a
accentuarà	ə t s ə n t u ə ɾ 'a
accentuat	ə t s ə n t u 'a t
accentuats	ə t s ə n t u 'a t s
accentuen	ə t s ə n t 'u ə n
accepcions	ə t s ə t s i 'o n s
accepció	ə t s ə t s i 'o
accepta	ə t s 'e t t ə
acceptable	ə t s ə t t 'a b b l ə
acceptablement	ə t s ə t t ˌ a b b l ə m 'e n t
acceptables	ə t s ə t t 'a b b l ə s
acceptació	ə t s ə t t ə s i 'o
acceptada	ə t s ə t t 'a ð ə
acceptades	ə t s ə t t 'a ð ə s
acceptador	ə t s ə t t ə ð 'o
acceptant	ə t s ə t t 'a n t
acceptantla	ə t s ə t t 'a n l ə
acceptar	ə t s ə t t 'a
acceptaran	ə t s ə t t ə ɾ 'a n
acceptarem	ə t s ə t t ə ɾ 'ə m
acceptaren	ə t s ə t t 'a ɾ ə n
acceptarho	ə t s ə t t 'a ɾ o
acceptaria	ə t s ə t t ə ɾ 'i ə
acceptarien	ə t s ə t t ə ɾ 'i ə n
acceptaries	ə t s ə t t ə ɾ 'i ə s
acceptarla	ə t s ə t t 'a ɾ l ə
acceptarlo	ə t s ə t t 'a ɾ l o
acceptarnos	ə t s ə t t 'a ɾ n o s
acceptarà	ə t s ə t t ə ɾ 'a
acceptaré	ə t s ə t t ə ɾ 'e
acceptaríem	ə t s ə t t ə ɾ 'i ə m
acceptaríeu	ə t s ə t t ə ɾ 'i ə w
acceptat	ə t s ə t t 'a t
acceptats	ə t s ə t t 'a t s
acceptava	ə t s ə t t 'a v ə
acceptaven	ə t s ə t t 'a v ə n
acceptem	ə t s ə t t 'ə m
accepten	ə t s 'e t t ə n
acceptes	ə t s 'e t t ə s
acceptessin	ə t s ə t t 'e s i n
accepteu	ə t s ə t t 'ɛ w
accepti	ə t s 'ɛ t t i
acceptin	ə t s 'ɛ t t i n
accepto	ə t s 'e t t o
acceptà	ə t s ə t t 'a
acceptés	ə t s ə t t 'e s
accessibilitat	ə t s ə s i β i l i t 'a t
accessible	ə t s ə s 'i b b l ə
accessibles	ə t s ə s 'i b b l ə s
accessió	ə t s ə s i 'o
accessori	ə t s ə s 'ɔ ɾ i
accessoris	ə t s ə s 'ɔ ɾ i s
accessos	ə t s 'e s o s
accident	ə t s i ð 'e n t
accidentada	ə t s i ð ə n t 'a ð ə
accidental	ə t s i ð ə n t 'a l
accidentalitat	ə t s i ð ə n t ə l i t 'a t
accidentalment	ə t s i ð ə n t ˌ a l m 'e n t
accidentals	ə t s i ð ə n t 'a l s
accidentat	ə t s i ð ə n t 'a t
accidentats	ə t s i ð ə n t 'a t s
accidents	ə t s i ð 'e n s
acciona	ə t s i 'o n ə
accionar	ə t s i o n 'a
accionarial	ə t s i o n ə ɾ i 'a l
accionarials	ə t s i o n ə ɾ i 'a l s
accionariat	ə t s i o n ə ɾ i 'a t
acciones	ə t s i 'o n ə s
accionista	ə t s i o n 'i s t ə
accionistes	ə t s i o n 'i s t ə s
accions	ə t s i 'o n s
acció	ə t s i 'o
accèssit	ə t s 'ə s i t
accèssits	ə t s 'ə s i t s
accés	ə t s 'e s
acer	ə s 'e ɾ
acetilcolina	ə s ə t i l k o l 'i n ə
acidesa	ə s i ð 'ə z ə
aclama	ə k l 'a m ə
aclamacions	ə k l ə m ə s i 'o n s
aclamació	ə k l ə m ə s i 'o
aclamada	ə k l ə m 'a ð ə
aclamades	ə k l ə m 'a ð ə s
aclamar	ə k l ə m 'a
aclamat	ə k l ə m 'a t
aclamats	ə k l ə m 'a t s
aclapara	ə k l ə p 'a ɾ ə
aclaparada	ə k l ə p ə ɾ 'a ð ə
aclaparador	ə k l ə p ə ɾ ə ð 'o
aclaparadora	ə k l ə p ə ɾ ə ð 'o ɾ ə
aclaparadorament	ə k l ə p ə ɾ ə ð ˌ o ɾ ə m 'e n t
aclaparadores	ə k l ə p ə ɾ ə ð 'o ɾ ə s
aclaparadors	ə k l ə p ə ɾ ə ð 'o s
aclaparat	ə k l ə p ə ɾ 'a t
aclaparats	ə k l ə p ə ɾ 'a t s
aclara	ə k l 'a ɾ ə
aclareix	ə k l ə ɾ 'ə ʃ
aclareixen	ə k l ə ɾ 'ə ʃ ə n
aclareixi	ə k l ə ɾ 'ə ʃ i
aclareixin	ə k l ə ɾ 'ə ʃ i n
aclaria	ə k l ə ɾ 'i ə
aclarida	ə k l ə ɾ 'i ð ə
aclarides	ə k l ə ɾ 'i ð ə s
aclaridor	ə k l ə ɾ i ð 'o
aclaridora	ə k l ə ɾ i ð 'o ɾ ə
aclaridors	ə k l ə ɾ i ð 'o s
aclariment	ə k l ə ɾ i m 'e n t
aclariments	ə k l ə ɾ i m 'e n s
aclarint	ə k l ə ɾ 'i n t
aclarintse	ə k l ə ɾ 'i n s ə
aclarir	ə k l ə ɾ 'i
aclarirho	ə k l ə ɾ 'i ɾ o
aclarirse	ə k l ə ɾ 'i ɾ s ə
aclarirà	ə k l ə ɾ i ɾ 'a
aclariré	ə k l ə ɾ i ɾ 'e
aclarit	ə k l ə ɾ 'i t
aclarits	ə k l ə ɾ 'i t s
aclarís	ə k l ə ɾ 'i s
aclimatant	ə k l i m ə t 'a n t
aclimatarse	ə k l i m ə t 'a ɾ s ə
acluca	ə k l 'u k ə
acoblada	ə k o β l 'a ð ə
acoblament	ə k o β l ə m 'e n t
acoblant	ə k o β l 'a n t
acoblar	ə k o β l 'a
acoblarse	ə k o β l 'a ɾ s ə
acoblat	ə k o β l 'a t
acoblats	ə k o β l 'a t s
acoblen	ə k 'o β l ə n
acollia	ə k o ʎ 'i ə
acollida	ə k o ʎ 'i ð ə
acollides	ə k o ʎ 'i ð ə s
acollidor	ə k o ʎ i ð 'o
acollidora	ə k o ʎ i ð 'o ɾ ə
acollidors	ə k o ʎ i ð 'o s
acollien	ə k o ʎ 'i ə n
acolliment	ə k o ʎ i m 'e n t
acollint	ə k o ʎ 'i n t
acollintse	ə k o ʎ 'i n s ə
acollir	ə k o ʎ 'i
acolliran	ə k o ʎ i ɾ 'a n
acollirlos	ə k o ʎ 'i ɾ l o s
acollirse	ə k o ʎ 'i ɾ s ə
acollirshi	ə k o ʎ 'i ɾ s i
acollirà	ə k o ʎ i ɾ 'a
acollit	ə k o ʎ 'i t
acollits	ə k o ʎ 'i t s
acollonits	ə k o ʎ o n 'i t s
acollí	ə k o ʎ 'i
acolorida	ə k o l o ɾ 'i ð ə
acolorides	ə k o l o ɾ 'i ð ə s
acolorir	ə k o l o ɾ 'i
acolorit	ə k o l o ɾ 'i t
acolorits	ə k o l o ɾ 'i t s
acomiada	ə k o m i 'a ð ə
acomiadada	ə k o m i ə ð 'a ð ə
acomiadament	ə k o m i ə ð ə m 'e n t
acomiadaments	ə k o m i ə ð ə m 'e n s
acomiadant	ə k o m i ə ð 'a n t
acomiadar	ə k o m i ə ð 'a
acomiadarme	ə k o m i ə ð 'a ɾ m ə
acomiadarne	ə k o m i ə ð 'a ɾ n ə
acomiadarnos	ə k o m i ə ð 'a ɾ n o s
acomiadarse	ə k o m i ə ð 'a ɾ s ə
acomiadarvos	ə k o m i ə ð 'a ɾ v o s
acomiadarà	ə k o m i ə ð ə ɾ 'a
acomiadaríem	ə k o m i ə ð ə ɾ 'i ə m
acomiadat	ə k o m i ə ð 'a t
acomiadats	ə k o m i ə ð 'a t s
acomiadava	ə k o m i ə ð 'a v ə
acomiadem	ə k o m i ə ð 'ə m
acomiaden	ə k o m i 'a ð ə n
acomiadi	ə k o m i 'a ð i
acomiadin	ə k o m i 'a ð i n
acomoda	ə k o m 'o ð ə
acomodació	ə k o m o ð ə s i 'o
acomodada	ə k o m o ð 'a ð ə
acomodador	ə k o m o ð ə ð 'o
acomodadors	ə k o m o ð ə ð 'o s
acomodament	ə k o m o ð ə m 'e n t
acomodar	ə k o m o ð 'a
acomodarse	ə k o m o ð 'a ɾ s ə
acomodat	ə k o m o ð 'a t
acomodats	ə k o m o ð 'a t s
acomodatícia	ə k o m o ð ə t 'i s i ə
acompanya	ə k o m p 'a ɲ ə
acompanyada	ə k o m p ə ɲ 'a ð ə
acompanyades	ə k o m p ə ɲ 'a ð ə s
acompanyament	ə k o m p ə ɲ ə m 'e n t
acompanyaments	ə k o m p ə ɲ ə m 'e n s
acompanyant	ə k o m p ə ɲ 'a n t
acompanyants	ə k o m p ə ɲ 'a n s
acompanyar	ə k o m p ə ɲ 'a
acompanyaran	ə k o m p ə ɲ ə ɾ 'a n
acompanyarem	ə k o m p ə ɲ ə ɾ 'ə m
acompanyaria	ə k o m p ə ɲ ə ɾ 'i ə
acompanyarla	ə k o m p ə ɲ 'a ɾ l ə
acompanyarlo	ə k o m p ə ɲ 'a ɾ l o
acompanyarlos	ə k o m p ə ɲ 'a ɾ l o s
acompanyarme	ə k o m p ə ɲ 'a ɾ m ə
acompanyarà	ə k o m p ə ɲ ə ɾ 'a
acompanyat	ə k o m p ə ɲ 'a t
acompanyats	ə k o m p ə ɲ 'a t s
acompanyava	ə k o m p ə ɲ 'a v ə
acompanyaven	ə k o m p ə ɲ 'a v ə n
acompanyen	ə k o m p 'a ɲ ə n
acompanyi	ə k o m p 'a ɲ i
acompanyin	ə k o m p 'a ɲ i n
acompanyo	ə k o m p 'a ɲ o
acompanyà	ə k o m p ə ɲ 'a
acompanyés	ə k o m p ə ɲ 'e s
acompleix	ə k o m p l 'ə ʃ
acompleixen	ə k o m p l 'ə ʃ ə n
acompleixi	ə k o m p l 'ə ʃ i
acompleixin	ə k o m p l 'ə ʃ i n
acomplert	ə k o m p l 'ɛ ɾ t
acomplerta	ə k o m p l 'ɛ ɾ t ə
acomplerts	ə k o m p l 'ɛ ɾ s
acomplexada	ə k o m p l ə t s 'a ð ə
acomplexar	ə k o m p l ə t s 'a
acomplexat	ə k o m p l ə t s 'a t
acomplexats	ə k o m p l ə t s 'a t s
acompliment	ə k o m p l i m 'e n t
acomplint	ə k o m p l 'i n t
acomplir	ə k o m p l 'i
acompliré	ə k o m p l i ɾ 'e
aconfessional	ə k o m f ə s i o n 'a l
aconsegueix	ə k o n s ə ɣ 'ə ʃ
aconsegueixen	ə k o n s ə ɣ 'ə ʃ ə n
aconsegueixes	ə k o n s ə ɣ 'ə ʃ ə s
aconsegueixi	ə k o n s ə ɣ 'ə ʃ i
aconsegueixin	ə k o n s ə ɣ 'ə ʃ i n
aconsegueixo	ə k o n s ə ɣ 'ə ʃ o
aconseguia	ə k o n s ə ɣ 'i ə
aconseguida	ə k o n s ə ɣ 'i ð ə
aconseguides	ə k o n s ə ɣ 'i ð ə s
