a	ə
abastidor	ə β ə s t i ð 'o
abastir	ə β ə s t 'i
abat	ə β 'a t
abatiment	ə β ə t i m 'e n
abatre	ə β 'a t ɾ ə
abatrel	ə β ə t ɾ 'ɛ l
abatuda	ə β ə t 'u ð ə
abatut	ə β ə t 'u t
abatuts	ə β ə t 'u t s
abdicació	ə b d i k ə s i 'o
abdicar	ə b d i k 'a
abdicat	ə b d i k 'a t
abdomen	ə b d 'o m ə n
abdominal	ə b d u m i n 'a l
abdominals	ə b d u m i n 'a l s
abductor	ə b d u k t 'o
abductors	ə b d u k t 'o s
abdul	ə b d 'u l
abecedari	ə β ə s ə ð 'a ɾ i
abella	ə β 'ɛ ʎ ə
abelleix	ə β ə ʎ 'ɛ ʃ
abelles	ə β 'ɛ ʎ ə s
aberracions	ə β ə r ə s i 'o n s
aberració	ə β ə r ə s i 'o
aberrant	ə β ə r 'a n
aberrants	ə β ə r 'a n s
abertzale	ə β ə r d z 'a l ə
aberzale	ə β ə r z 'a l ə
aberzalisme	ə β ə r z ə l 'i z m ə
abillats	ə β i ʎ 'a t s
abismal	ə β i z m 'a l
abismals	ə β i z m 'a l s
abisme	ə β 'i z m ə
abismes	ə β 'i z m ə s
abissínia	ə β i s 'i n i ə
ablacions	ə β l ə s i 'o n s
ablació	ə β l ə s i 'o
abnegada	ə b n ə ɣ 'a ð ə
abnegat	ə b n ə ɣ 'a t
abnegats	ə b n ə ɣ 'a t s
aboca	ə β 'o k ə
abocada	ə β u k 'a ð ə
abocades	ə β u k 'a ð ə s
abocador	ə β u k ə ð 'o
abocadors	ə β u k ə ð 'o s
abocament	ə β u k ə m 'e n
abocaments	ə β u k ə m 'e n s
abocant	ə β u k 'a n
abocar	ə β u k 'a
abocarhi	ə β u k 'a ɾ i
abocarse	ə β u k 'a r s ə
abocarà	ə β u k ə ɾ 'a
abocat	ə β u k 'a t
abocats	ə β u k 'a t s
abocava	ə β u k 'a β ə
aboga	ə β 'ɔ ɣ ə
abolició	ə β u l i s i 'o
abolida	ə β u l 'i ð ə
abolim	ə β u l 'i m
abolint	ə β u l 'i n
abolir	ə β u l 'i
abolirse	ə β u l 'i r s ə
abolit	ə β u l 'i t
abominable	ə β u m i n 'a b b l ə
abominables	ə β u m i n 'a b b l ə s
abona	ə β 'o n ə
abonada	ə β u n 'a ð ə
abonades	ə β u n 'a ð ə s
abonament	ə β u n ə m 'e n
abonaments	ə β u n ə m 'e n s
abonar	ə β u n 'a
abonaran	ə β u n ə ɾ 'a n
abonarse	ə β u n 'a r s ə
abonarà	ə β u n ə ɾ 'a
abonat	ə β u n 'a t
abonats	ə β u n 'a t s
abonava	ə β u n 'a β ə
abonen	ə β 'o n ə n
aboni	ə β 'o n i
aboquem	ə β u k 'ɛ m
aboquen	ə β 'o k ə n
aboqui	ə β 'o k i
aborda	ə β 'o ɾ ð ə
abordada	ə β u ɾ ð 'a ð ə
abordant	ə β u ɾ ð 'a n
abordar	ə β u ɾ ð 'a
abordaran	ə β u ɾ ð ə ɾ 'a n
abordarla	ə β u ɾ ð 'a r l ə
abordarà	ə β u ɾ ð ə ɾ 'a
abordat	ə β u ɾ ð 'a t
abordatge	ə β u ɾ ð 'a d ʒ ə
abordats	ə β u ɾ ð 'a t s
abordava	ə β u ɾ ð 'a β ə
abordaven	ə β u ɾ ð 'a β ə n
aborden	ə β 'o ɾ ð ə n
abordessin	ə β u ɾ ð 'e s i n
abordi	ə β 'o ɾ ð i
abordin	ə β 'o ɾ ð i n
aborigen	ə β u ɾ 'i ʒ ə n
aborígens	ə β u ɾ 'i ʒ ə n s
abracen	ə β ɾ 'a s ə n
abrandada	ə β ɾ ə n d 'a ð ə
abrandat	ə β ɾ ə n d 'a t
abrandats	ə β ɾ ə n d 'a t s
abraona	ə β ɾ ə 'o n ə
abraonarà	ə β ɾ ə u n ə ɾ 'a
abrasat	ə β ɾ ə z 'a t
abraça	ə β ɾ 'a s ə
abraçada	ə β ɾ ə s 'a ð ə
abraçades	ə β ɾ ə s 'a ð ə s
abraçadetes	ə β ɾ ə s ə ð 'ɛ t ə s
abraçant	ə β ɾ ə s 'a n
abraçar	ə β ɾ ə s 'a
abraçarla	ə β ɾ ə s 'a r l ə
abraçarlo	ə β ɾ ə s 'a r l u
abraçarse	ə β ɾ ə s 'a r s ə
abraçat	ə β ɾ ə s 'a t
abraçats	ə β ɾ ə s 'a t s
abraçava	ə β ɾ ə s 'a β ə
abraçaven	ə β ɾ ə s 'a β ə n
abraço	ə β ɾ 'a s u
abreujada	ə β ɾ ə w ʒ 'a ð ə
abreujar	ə β ɾ ə w ʒ 'a
abreujat	ə β ɾ ə w ʒ 'a t
abreviació	ə β ɾ ə β i ə s i 'o
abreviat	ə β ɾ ə β i 'a t
abreviatura	ə β ɾ ə β i ə t 'u ɾ ə
abric	ə β ɾ 'i k
abrics	ə β ɾ 'i k s
abriga	ə β ɾ 'i ɣ ə
abrigat	ə β ɾ i ɣ 'a t
abril	ə β ɾ 'i l
abrupta	ə β ɾ 'u p t ə
abrupte	ə β ɾ 'u p t ə
absent	ə p s 'e n
absenta	ə p s 'e n t ə
absentisme	ə p s ə n t 'i z m ə
absents	ə p s 'e n s
absis	'a p s i s
absoldre	ə p s 'ɔ l d ɾ ə
absolt	ə p s 'ɔ l t
absolta	ə p s 'ɔ l t ə
absolts	ə p s 'ɔ l t s
absolucions	ə p s u l u s i 'o n s
absolució	ə p s u l u s i 'o
absolut	ə p s u l 'u t
absoluta	ə p s u l 'u t ə
absolutes	ə p s u l 'u t ə s
absolutisme	ə p s u l u t 'i z m ə
absolutista	ə p s u l u t 'i s t ə
absolutistes	ə p s u l u t 'i s t ə s
absoluts	ə p s u l 'u t s
absolutòria	ə p s u l u t 'ɔ ɾ i ə
absorbeix	ə p s u ɾ β 'ɛ ʃ
absorbeixen	ə p s u ɾ β 'ɛ ʃ ə n
absorbent	ə p s u ɾ β 'e n
absorbida	ə p s u ɾ β 'i ð ə
absorbint	ə p s u ɾ β 'i n
absorbir	ə p s u ɾ β 'i
absorbiran	ə p s u ɾ β i ɾ 'a n
absorbirà	ə p s u ɾ β i ɾ 'a
absorbit	ə p s u ɾ β 'i t
absorbits	ə p s u ɾ β 'i t s
absorbís	ə p s u ɾ β 'i s
absorcions	ə p s u r s i 'o n s
absorció	ə p s u r s i 'o
absort	ə p s 'ɔ r t
abstencionista	ə p s t ə n s i u n 'i s t ə
abstencionistes	ə p s t ə n s i u n 'i s t ə s
abstencions	ə p s t ə n s i 'o n s
abstenció	ə p s t ə n s i 'o
abstenen	ə p s t 'ɛ n ə n
abstenintse	ə p s t ə n 'i n s ə
abstenir	ə p s t ə n 'i
abstenirse	ə p s t ə n 'i r s ə
absteniuvos	ə p s t ə n 'i w β u s
abstindran	ə p s t i n d ɾ 'a n
abstindria	ə p s t i n d ɾ 'i ə
abstindrà	ə p s t i n d ɾ 'a
abstinents	ə p s t i n 'e n s
abstingui	ə p s t 'i ŋ g i
abstinguin	ə p s t 'i ŋ g i n
abstingut	ə p s t i ŋ g 'u t
abstingués	ə p s t i ŋ g 'e s
abstinència	ə p s t i n 'ɛ n s i ə
abstraccions	ə p s t ɾ ə k s i 'o n s
abstracció	ə p s t ɾ ə k s i 'o
abstracta	ə p s t ɾ 'a k t ə
abstracte	ə p s t ɾ 'a k t ə
abstractes	ə p s t ɾ 'a k t ə s
abstrets	ə p s t ɾ 'e t s
abstreure	ə p s t ɾ 'ɛ w ɾ ə
abstreures	ə p s t ɾ 'ɛ w ɾ ə s
absté	ə p s t 'e
absurd	ə p s 'u r t
absurda	ə p s 'u ɾ ð ə
absurdes	ə p s 'u ɾ ð ə s
absurditat	ə p s u ɾ ð i t 'a t
absurditats	ə p s u ɾ ð i t 'a t s
absurds	ə p s 'u r s
absència	ə p s 'ɛ n s i ə
absències	ə p s 'ɛ n s i ə s
abuelos	ə β u 'ɛ l u s
abunda	ə β 'u n d ə
abundant	ə β u n d 'a n
abundants	ə β u n d 'a n s
abundar	ə β u n d 'a
abundat	ə β u n d 'a t
abundats	ə β u n d 'a t s
abundaven	ə β u n d 'a β ə n
abunden	ə β 'u n d ə n
abundor	ə β u n d 'o
abundosa	ə β u n d 'o z ə
abundància	ə β u n d 'a n s i ə
abusa	ə β 'u z ə
abusant	ə β u z 'a n
abusar	ə β u z 'a
abusat	ə β u z 'a t
abusen	ə β 'u z ə n
abusi	ə β 'u z i
abusin	ə β 'u z i n
abusiu	ə β u z 'i w
abusius	ə β u z 'i w s
abusiva	ə β u z 'i β ə
abusives	ə β u z 'i β ə s
abuso	ə β 'u z u
abusos	ə β 'u z u s
abús	ə β 'u s
aca	'a k ə
acaba	ə k 'a β ə
acabada	ə k ə β 'a ð ə
acabades	ə k ə β 'a ð ə s
acaballes	ə k ə β 'a ʎ ə s
acabament	ə k ə β ə m 'e n
acabant	ə k ə β 'a n
acabar	ə k ə β 'a
acabaran	ə k ə β ə ɾ 'a n
acabarem	ə k ə β ə ɾ 'ɛ m
acabareu	ə k ə β ə ɾ 'ɛ w
acabarho	ə k ə β 'a ɾ u
acabaria	ə k ə β ə ɾ 'i ə
acabarien	ə k ə β ə ɾ 'i ə n
acabarla	ə k ə β 'a r l ə
acabarles	ə k ə β 'a r l ə s
acabarlo	ə k ə β 'a r l u
acabarse	ə k ə β 'a r s ə
acabarà	ə k ə β ə ɾ 'a
acabaràs	ə k ə β ə ɾ 'a s
acabaré	ə k ə β ə ɾ 'e
acabaríem	ə k ə β ə ɾ 'i ə m
acabat	ə k ə β 'a t
acabats	ə k ə β 'a t s
acabava	ə k ə β 'a β ə
acabaven	ə k ə β 'a β ə n
acabem	ə k ə β 'ɛ m
acaben	ə k 'a β ə n
acabes	ə k 'a β ə s
acabessim	ə k ə β ə s 'i m
acabessin	ə k ə β 'e s i n
acabeu	ə k ə β 'ɛ w
acabi	ə k 'a β i
acabin	ə k 'a β i n
acabis	ə k 'a β i s
acabo	ə k 'a β u
acabà	ə k ə β 'a
acabàvem	ə k ə β 'a β ə m
acabés	ə k ə β 'e s
acabéssim	ə k ə β 'e s i m
academicisme	ə k ə ð ə m i s 'i z m ə
academicismes	ə k ə ð ə m i s 'i z m ə s
academicista	ə k ə ð ə m i s 'i s t ə
acadèmia	ə k ə ð 'ɛ m i ə
acadèmic	ə k ə ð 'ɛ m i k
acadèmica	ə k ə ð 'ɛ m i k ə
acadèmics	ə k ə ð 'ɛ m i k s
acadèmies	ə k ə ð 'ɛ m i ə s
acadèmiques	ə k ə ð 'ɛ m i k ə s
acampa	ə k 'a m p ə
acampada	ə k ə m p 'a ð ə
acampades	ə k ə m p 'a ð ə s
acampar	ə k ə m p 'a
acampats	ə k ə m p 'a t s
acampen	ə k 'a m p ə n
acapara	ə k ə p 'a ɾ ə
acaparant	ə k ə p ə ɾ 'a n
acaparar	ə k ə p ə ɾ 'a
acaparat	ə k ə p ə ɾ 'a t
acaparava	ə k ə p ə ɾ 'a β ə
acaparen	ə k ə p 'a ɾ ə n
acara	ə k 'a ɾ ə
acarament	ə k ə ɾ ə m 'e n
acarats	ə k ə ɾ 'a t s
acaricia	ə k ə ɾ i s 'i ə
acariciant	ə k ə ɾ i s i 'a n
acariciava	ə k ə ɾ i s i 'a β ə
acaricien	ə k ə ɾ i s 'i ə n
acarnissada	ə k ə r n i s 'a ð ə
acarnissament	ə k ə r n i s ə m 'e n
acarnissar	ə k ə r n i s 'a
acarnissarse	ə k ə r n i s 'a r s ə
acarona	ə k ə ɾ 'o n ə
acaronador	ə k ə ɾ u n ə ð 'o
acaronant	ə k ə ɾ u n 'a n
acaronar	ə k ə ɾ u n 'a
acaronarli	ə k ə ɾ u n 'a r l i
acaronat	ə k ə ɾ u n 'a t
acata	ə k 'a t ə
acatament	ə k ə t ə m 'e n
acatant	ə k ə t 'a n
acatar	ə k ə t 'a
acaten	ə k 'a t ə n
acati	ə k 'a t i
accedeix	ə k s ə ð 'ɛ ʃ
accedeixen	ə k s ə ð 'ɛ ʃ ə n
accedeixi	ə k s ə ð 'ɛ ʃ i
accedeixin	ə k s ə ð 'ɛ ʃ i n
accedeixo	ə k s ə ð 'ɛ ʃ u
accederies	ə k s ə ð ə ɾ 'i ə s
accedia	ə k s ə ð 'i ə
accedien	ə k s ə ð 'i ə n
accedint	ə k s ə ð 'i n
accedir	ə k s ə ð 'i
accediran	ə k s ə ð i ɾ 'a n
accedireu	ə k s ə ð i ɾ 'ɛ w
accedirhi	ə k s ə ð 'i ɾ i
accedirà	ə k s ə ð i ɾ 'a
accedissin	ə k s ə ð 'i s i n
accedit	ə k s ə ð 'i t
accediu	ə k s ə ð 'i w
accedís	ə k s ə ð 'i s
accedíssim	ə k s ə ð 'i s i m
accelera	ə k s ə l 'e ɾ ə
acceleració	ə k s ə l ə ɾ ə s i 'o
accelerada	ə k s ə l ə ɾ 'a ð ə
accelerador	ə k s ə l ə ɾ ə ð 'o
accelerant	ə k s ə l ə ɾ 'a n
accelerar	ə k s ə l ə ɾ 'a
acceleraran	ə k s ə l ə ɾ ə ɾ 'a n
accelerarme	ə k s ə l ə ɾ 'a r m ə
accelerarà	ə k s ə l ə ɾ ə ɾ 'a
accelerat	ə k s ə l ə ɾ 'a t
accelerats	ə k s ə l ə ɾ 'a t s
acceleren	ə k s ə l 'e ɾ ə n
acceleri	ə k s ə l 'ɛ ɾ i
accelerin	ə k s ə l 'ɛ ɾ i n
accent	ə k s 'e n
accents	ə k s 'e n s
accentua	ə k s ə n t 'u ə
accentuació	ə k s ə n t u ə s i 'o
accentuada	ə k s ə n t u 'a ð ə
accentuant	ə k s ə n t u 'a n
accentuar	ə k s ə n t u 'a
accentuarà	ə k s ə n t u ə ɾ 'a
accentuat	ə k s ə n t u 'a t
accentuats	ə k s ə n t u 'a t s
accentuen	ə k s ə n t 'u ə n
accepcions	ə k s ə p s i 'o n s
accepció	ə k s ə p s i 'o
accepta	ə k s 'e p t ə
acceptable	ə k s ə p t 'a b b l ə
acceptables	ə k s ə p t 'a b b l ə s
acceptació	ə k s ə p t ə s i 'o
acceptada	ə k s ə p t 'a ð ə
acceptades	ə k s ə p t 'a ð ə s
acceptador	ə k s ə p t ə ð 'o
acceptant	ə k s ə p t 'a n
acceptantla	ə k s ə p t 'a n l l ə
acceptar	ə k s ə p t 'a
acceptaran	ə k s ə p t ə ɾ 'a n
acceptarem	ə k s ə p t ə ɾ 'ɛ m
acceptaren	ə k s ə p t 'a ɾ ə n
acceptarho	ə k s ə p t 'a ɾ u
acceptaria	ə k s ə p t ə ɾ 'i ə
acceptarien	ə k s ə p t ə ɾ 'i ə n
acceptaries	ə k s ə p t ə ɾ 'i ə s
acceptarla	ə k s ə p t 'a r l ə
acceptarlo	ə k s ə p t 'a r l u
acceptarnos	ə k s ə p t 'a r n u s
acceptarà	ə k s ə p t ə ɾ 'a
acceptaré	ə k s ə p t ə ɾ 'e
acceptaríem	ə k s ə p t ə ɾ 'i ə m
acceptaríeu	ə k s ə p t ə ɾ 'i ə w
acceptat	ə k s ə p t 'a t
acceptats	ə k s ə p t 'a t s
acceptava	ə k s ə p t 'a β ə
acceptaven	ə k s ə p t 'a β ə n
acceptem	ə k s ə p t 'ɛ m
accepten	ə k s 'e p t ə n
acceptes	ə k s 'e p t ə s
acceptessin	ə k s ə p t 'e s i n
accepteu	ə k s ə p t 'ɛ w
accepti	ə k s 'e p t i
acceptin	ə k s 'e p t i n
accepto	ə k s 'e p t u
acceptà	ə k s ə p t 'a
acceptés	ə k s ə p t 'e s
accessibilitat	ə k s ə s i β i l i t 'a t
accessible	ə k s ə s 'i b b l ə
accessibles	ə k s ə s 'i b b l ə s
accessió	ə k s ə s i 'o
accessori	ə k s ə s 'ɔ ɾ i
accessoris	ə k s ə s 'ɔ ɾ i s
accessos	ə k s 'e s u s
accident	ə k s i ð 'e n
accidentada	ə k s i ð ə n t 'a ð ə
accidental	ə k s i ð ə n t 'a l
accidentalitat	ə k s i ð ə n t ə l i t 'a t
accidentals	ə k s i ð ə n t 'a l s
accidentat	ə k s i ð ə n t 'a t
accidentats	ə k s i ð ə n t 'a t s
accidents	ə k s i ð 'e n s
acciona	ə k s i 'o n ə
accionar	ə k s i u n 'a
accionarial	ə k s i u n ə ɾ i 'a l
accionarials	ə k s i u n ə ɾ i 'a l s
accionariat	ə k s i u n ə ɾ i 'a t
acciones	ə k s i 'o n ə s
accionista	ə k s i u n 'i s t ə
accionistes	ə k s i u n 'i s t ə s
accions	ə k s i 'o n s
acció	ə k s i 'o
accèssit	ə k s 'ɛ s i t
accèssits	ə k s 'ɛ s i t s
accés	ə k s 'e s
acer	ə s 'e r
acetilcolina	ə s ə t i l k u l 'i n ə
acidesa	ə s i ð 'ɛ z ə
aclama	ə k l 'a m ə
aclamacions	ə k l ə m ə s i 'o n s
aclamació	ə k l ə m ə s i 'o
aclamada	ə k l ə m 'a ð ə
aclamades	ə k l ə m 'a ð ə s
aclamar	ə k l ə m 'a
aclamat	ə k l ə m 'a t
aclamats	ə k l ə m 'a t s
aclapara	ə k l ə p 'a ɾ ə
aclaparada	ə k l ə p ə ɾ 'a ð ə
aclaparador	ə k l ə p ə ɾ ə ð 'o
aclaparadora	ə k l ə p ə ɾ ə ð 'o ɾ ə
aclaparadores	ə k l ə p ə ɾ ə ð 'o ɾ ə s
aclaparadors	ə k l ə p ə ɾ ə ð 'o s
aclaparat	ə k l ə p ə ɾ 'a t
aclaparats	ə k l ə p ə ɾ 'a t s
aclara	ə k l 'a ɾ ə
aclareix	ə k l ə ɾ 'ɛ ʃ
aclareixen	ə k l ə ɾ 'ɛ ʃ ə n
aclareixi	ə k l ə ɾ 'ɛ ʃ i
aclareixin	ə k l ə ɾ 'ɛ ʃ i n
aclaria	ə k l ə ɾ 'i ə
aclarida	ə k l ə ɾ 'i ð ə
aclarides	ə k l ə ɾ 'i ð ə s
aclaridor	ə k l ə ɾ i ð 'o
aclaridora	ə k l ə ɾ i ð 'o ɾ ə
aclaridors	ə k l ə ɾ i ð 'o s
aclariment	ə k l ə ɾ i m 'e n
aclariments	ə k l ə ɾ i m 'e n s
aclarint	ə k l ə ɾ 'i n
aclarintse	ə k l ə ɾ 'i n s ə
aclarir	ə k l ə ɾ 'i
aclarirho	ə k l ə ɾ 'i ɾ u
aclarirse	ə k l ə ɾ 'i r s ə
aclarirà	ə k l ə ɾ i ɾ 'a
aclariré	ə k l ə ɾ i ɾ 'e
aclarit	ə k l ə ɾ 'i t
aclarits	ə k l ə ɾ 'i t s
aclarís	ə k l ə ɾ 'i s
aclimatant	ə k l i m ə t 'a n
aclimatarse	ə k l i m ə t 'a r s ə
acluca	ə k l 'u k ə
acoblada	ə k u b b l 'a ð ə
acoblament	ə k u b b l ə m 'e n
acoblant	ə k u b b l 'a n
acoblar	ə k u b b l 'a
acoblarse	ə k u b b l 'a r s ə
acoblat	ə k u b b l 'a t
acoblats	ə k u b b l 'a t s
acoblen	ə k 'o b b l ə n
acollia	ə k u ʎ 'i ə
acollida	ə k u ʎ 'i ð ə
acollides	ə k u ʎ 'i ð ə s
acollidor	ə k u ʎ i ð 'o
acollidora	ə k u ʎ i ð 'o ɾ ə
acollidors	ə k u ʎ i ð 'o s
acollien	ə k u ʎ 'i ə n
acolliment	ə k u ʎ i m 'e n
acollint	ə k u ʎ 'i n
acollintse	ə k u ʎ 'i n s ə
acollir	ə k u ʎ 'i
acolliran	ə k u ʎ i ɾ 'a n
acollirlos	ə k u ʎ 'i r l u s
acollirse	ə k u ʎ 'i r s ə
acollirshi	ə k u ʎ 'i r s i
acollirà	ə k u ʎ i ɾ 'a
acollit	ə k u ʎ 'i t
acollits	ə k u ʎ 'i t s
acollonits	ə k u ʎ u n 'i t s
acollí	ə k u ʎ 'i
acolorida	ə k u l u ɾ 'i ð ə
acolorides	ə k u l u ɾ 'i ð ə s
acolorir	ə k u l u ɾ 'i
acolorit	ə k u l u ɾ 'i t
acolorits	ə k u l u ɾ 'i t s
acomiada	ə k u m i 'a ð ə
acomiadada	ə k u m i ə ð 'a ð ə
acomiadament	ə k u m i ə ð ə m 'e n
acomiadaments	ə k u m i ə ð ə m 'e n s
acomiadant	ə k u m i ə ð 'a n
acomiadar	ə k u m i ə ð 'a
acomiadarme	ə k u m i ə ð 'a r m ə
acomiadarne	ə k u m i ə ð 'a r n ə
acomiadarnos	ə k u m i ə ð 'a r n u s
acomiadarse	ə k u m i ə ð 'a r s ə
acomiadarvos	ə k u m i ə ð 'a ɾ β u s
acomiadarà	ə k u m i ə ð ə ɾ 'a
acomiadaríem	ə k u m i ə ð ə ɾ 'i ə m
acomiadat	ə k u m i ə ð 'a t
acomiadats	ə k u m i ə ð 'a t s
acomiadava	ə k u m i ə ð 'a β ə
acomiadem	ə k u m i ə ð 'ɛ m
acomiaden	ə k u m i 'a ð ə n
acomiadi	ə k u m i 'a ð i
acomiadin	ə k u m i 'a ð i n
acomoda	ə k u m 'ɔ ð ə
acomodació	ə k u m u ð ə s i 'o
acomodada	ə k u m u ð 'a ð ə
acomodador	ə k u m u ð ə ð 'o
acomodadors	ə k u m u ð ə ð 'o s
acomodament	ə k u m u ð ə m 'e n
acomodar	ə k u m u ð 'a
acomodarse	ə k u m u ð 'a r s ə
acomodat	ə k u m u ð 'a t
acomodats	ə k u m u ð 'a t s
acomodatícia	ə k u m u ð ə t 'i s i ə
acompanya	ə k u m p 'a ɲ ə
acompanyada	ə k u m p ə ɲ 'a ð ə
acompanyades	ə k u m p ə ɲ 'a ð ə s
acompanyament	ə k u m p ə ɲ ə m 'e n
acompanyaments	ə k u m p ə ɲ ə m 'e n s
acompanyant	ə k u m p ə ɲ 'a n
acompanyants	ə k u m p ə ɲ 'a n s
acompanyar	ə k u m p ə ɲ 'a
acompanyaran	ə k u m p ə ɲ ə ɾ 'a n
acompanyarem	ə k u m p ə ɲ ə ɾ 'ɛ m
acompanyaria	ə k u m p ə ɲ ə ɾ 'i ə
acompanyarla	ə k u m p ə ɲ 'a r l ə
acompanyarlo	ə k u m p ə ɲ 'a r l u
acompanyarlos	ə k u m p ə ɲ 'a r l u s
acompanyarme	ə k u m p ə ɲ 'a r m ə
acompanyarà	ə k u m p ə ɲ ə ɾ 'a
acompanyat	ə k u m p ə ɲ 'a t
acompanyats	ə k u m p ə ɲ 'a t s
acompanyava	ə k u m p ə ɲ 'a β ə
acompanyaven	ə k u m p ə ɲ 'a β ə n
acompanyen	ə k u m p 'a ɲ ə n
acompanyi	ə k u m p 'a ɲ i
acompanyin	ə k u m p 'a ɲ i n
acompanyo	ə k u m p 'a ɲ u
acompanyà	ə k u m p ə ɲ 'a
acompanyés	ə k u m p ə ɲ 'e s
acompleix	ə k u m p l 'ɛ ʃ
acompleixen	ə k u m p l 'ɛ ʃ ə n
acompleixi	ə k u m p l 'ɛ ʃ i
acompleixin	ə k u m p l 'ɛ ʃ i n
acomplert	ə k u m p l 'ɛ r t
acomplerta	ə k u m p l 'ɛ r t ə
acomplerts	ə k u m p l 'ɛ r s
acomplexada	ə k u m p l ə k s 'a ð ə
acomplexar	ə k u m p l ə k s 'a
acomplexat	ə k u m p l ə k s 'a t
acomplexats	ə k u m p l ə k s 'a t s
acompliment	ə k u m p l i m 'e n
acomplint	ə k u m p l 'i n
acomplir	ə k u m p l 'i
acompliré	ə k u m p l i ɾ 'e
aconfessional	ə k u m f ə s i u n 'a l
aconsegueix	ə k u n s ə ɣ 'ɛ ʃ
aconsegueixen	ə k u n s ə ɣ 'ɛ ʃ ə n
aconsegueixes	ə k u n s ə ɣ 'ɛ ʃ ə s
aconsegueixi	ə k u n s ə ɣ 'ɛ ʃ i
aconsegueixin	ə k u n s ə ɣ 'ɛ ʃ i n
aconsegueixo	ə k u n s ə ɣ 'ɛ ʃ u
aconseguia	ə k u n s ə ɣ 'i ə
aconseguida	ə k u n s ə ɣ 'i ð ə
aconseguides	ə k u n s ə ɣ 'i ð ə s
aconseguien	ə k u n s ə ɣ 'i ə n
aconseguim	ə k u n s ə ɣ 'i m
aconseguint	ə k u n s ə ɣ 'i n
aconseguintho	ə k u n s ə ɣ 'i n t u
aconseguir	ə k u n s ə ɣ 'i
aconseguiran	ə k u n s ə ɣ i ɾ 'a n
aconseguirem	ə k u n s ə ɣ i ɾ 'ɛ m
aconseguiren	ə k u n s ə ɣ 'i ɾ ə n
aconseguireu	ə k u n s ə ɣ i ɾ 'ɛ w
aconseguirho	ə k u n s ə ɣ 'i ɾ u
aconseguiria	ə k u n s ə ɣ i ɾ 'i ə
aconseguirien	ə k u n s ə ɣ i ɾ 'i ə n
aconseguirla	ə k u n s ə ɣ 'i r l ə
aconseguirlo	ə k u n s ə ɣ 'i r l u
aconseguirlos	ə k u n s ə ɣ 'i r l u s
aconseguirne	ə k u n s ə ɣ 'i r n ə
