a	ə
abastaɾ	ə β ə s t 'a
abastaɾà	ə β ə s t ə ɾ 'a
abasten	ə β 'a s t ə n
abasti	ə β 'a s t i
abastidoɾ	ə β ə s t i ð 'o
abastiɾ	ə β ə s t 'i
abat	ə β 'a t
abatiment	ə β ə t i m 'e n
abatɾe	ə β 'a t ɾ ə
abatɾel	ə β ə t ɾ 'ɛ l
abatuda	ə β ə t 'u ð ə
abatut	ə β ə t 'u t
abatuts	ə β ə t 'u t s
abdicació	ə b d i k ə s i 'o
abdicaɾ	ə b d i k 'a
abdicat	ə b d i k 'a t
abdomen	ə b d 'o m ə n
abdominal	ə b d u m i n 'a l
abdominals	ə b d u m i n 'a l s
abductoɾ	ə b d u k t 'o
abductoɾs	ə b d u k t 'o s
abdul	ə b d 'u l
abecedaɾi	ə β ə s ə ð 'a ɾ i
abella	ə β 'ɛ ʎ ə
abelleix	ə β ə ʎ 'ɛ ʃ
abelles	ə β 'ɛ ʎ ə s
aberacions	ə β ə r ə s i 'o n s
aberació	ə β ə r ə s i 'o
aberant	ə β ə r 'a n
aberants	ə β ə r 'a n s
abeɾtzale	ə β ə r d z 'a l ə
abeɾzale	ə β ə r z 'a l ə
abeɾzalisme	ə β ə r z ə l 'i z m ə
abillats	ə β i ʎ 'a t s
abismal	ə β i z m 'a l
abismals	ə β i z m 'a l s
abisme	ə β 'i z m ə
abismes	ə β 'i z m ə s
abissínia	ə β i s 'i n i ə
ablacions	ə β l ə s i 'o n s
ablació	ə β l ə s i 'o
abnegada	ə b n ə ɣ 'a ð ə
abnegat	ə b n ə ɣ 'a t
abnegats	ə b n ə ɣ 'a t s
aboca	ə β 'o k ə
abocada	ə β u k 'a ð ə
abocades	ə β u k 'a ð ə s
abocadoɾ	ə β u k ə ð 'o
abocadoɾs	ə β u k ə ð 'o s
abocament	ə β u k ə m 'e n
abocaments	ə β u k ə m 'e n s
abocant	ə β u k 'a n
abocaɾ	ə β u k 'a
abocaɾhi	ə β u k 'a ɾ i
abocaɾse	ə β u k 'a r s ə
abocaɾà	ə β u k ə ɾ 'a
abocat	ə β u k 'a t
abocats	ə β u k 'a t s
abocava	ə β u k 'a β ə
aboga	ə β 'ɔ ɣ ə
abolició	ə β u l i s i 'o
abolida	ə β u l 'i ð ə
abolim	ə β u l 'i m
abolint	ə β u l 'i n
aboliɾ	ə β u l 'i
aboliɾse	ə β u l 'i r s ə
abolit	ə β u l 'i t
abominable	ə β u m i n 'a b b l ə
abominables	ə β u m i n 'a b b l ə s
abona	ə β 'o n ə
abonada	ə β u n 'a ð ə
abonades	ə β u n 'a ð ə s
abonament	ə β u n ə m 'e n
abonaments	ə β u n ə m 'e n s
abonaɾ	ə β u n 'a
abonaɾan	ə β u n ə ɾ 'a n
abonaɾse	ə β u n 'a r s ə
abonaɾà	ə β u n ə ɾ 'a
abonat	ə β u n 'a t
abonats	ə β u n 'a t s
abonava	ə β u n 'a β ə
abonen	ə β 'o n ə n
aboni	ə β 'o n i
aboquem	ə β u k 'ɛ m
aboquen	ə β 'o k ə n
aboqui	ə β 'o k i
aboɾda	ə β 'o ɾ ð ə
aboɾdada	ə β u ɾ ð 'a ð ə
aboɾdant	ə β u ɾ ð 'a n
aboɾdaɾ	ə β u ɾ ð 'a
aboɾdaɾan	ə β u ɾ ð ə ɾ 'a n
aboɾdaɾla	ə β u ɾ ð 'a r l ə
aboɾdaɾà	ə β u ɾ ð ə ɾ 'a
aboɾdat	ə β u ɾ ð 'a t
aboɾdatge	ə β u ɾ ð 'a d ʒ ə
aboɾdats	ə β u ɾ ð 'a t s
aboɾdava	ə β u ɾ ð 'a β ə
aboɾdaven	ə β u ɾ ð 'a β ə n
aboɾden	ə β 'o ɾ ð ə n
aboɾdessin	ə β u ɾ ð 'e s i n
aboɾdi	ə β 'o ɾ ð i
aboɾdin	ə β 'o ɾ ð i n
aboɾigen	ə β u ɾ 'i ʒ ə n
aboɾígens	ə β u ɾ 'i ʒ ə n s
abɾacen	ə β ɾ 'a s ə n
abɾandada	ə β ɾ ə n d 'a ð ə
abɾandat	ə β ɾ ə n d 'a t
abɾandats	ə β ɾ ə n d 'a t s
abɾaona	ə β ɾ ə 'o n ə
abɾaonaɾà	ə β ɾ ə u n ə ɾ 'a
abɾasat	ə β ɾ ə z 'a t
abɾaça	ə β ɾ 'a s ə
abɾaçada	ə β ɾ ə s 'a ð ə
abɾaçades	ə β ɾ ə s 'a ð ə s
abɾaçadetes	ə β ɾ ə s ə ð 'ɛ t ə s
abɾaçant	ə β ɾ ə s 'a n
abɾaçaɾ	ə β ɾ ə s 'a
abɾaçaɾla	ə β ɾ ə s 'a r l ə
abɾaçaɾlo	ə β ɾ ə s 'a r l u
abɾaçaɾse	ə β ɾ ə s 'a r s ə
abɾaçat	ə β ɾ ə s 'a t
abɾaçats	ə β ɾ ə s 'a t s
abɾaçava	ə β ɾ ə s 'a β ə
abɾaçaven	ə β ɾ ə s 'a β ə n
abɾaço	ə β ɾ 'a s u
abɾeujada	ə β ɾ ə w ʒ 'a ð ə
abɾeujaɾ	ə β ɾ ə w ʒ 'a
abɾeujat	ə β ɾ ə w ʒ 'a t
abɾeviació	ə β ɾ ə β i ə s i 'o
abɾeviat	ə β ɾ ə β i 'a t
abɾeviatuɾa	ə β ɾ ə β i ə t 'u ɾ ə
abɾic	ə β ɾ 'i k
abɾics	ə β ɾ 'i k s
abɾiga	ə β ɾ 'i ɣ ə
abɾigat	ə β ɾ i ɣ 'a t
abɾil	ə β ɾ 'i l
abɾupta	ə β ɾ 'u p t ə
abɾupte	ə β ɾ 'u p t ə
absent	ə p s 'e n
absenta	ə p s 'e n t ə
absentisme	ə p s ə n t 'i z m ə
absents	ə p s 'e n s
absis	'a p s i s
absoldɾe	ə p s 'ɔ l d ɾ ə
absolt	ə p s 'ɔ l t
absolta	ə p s 'ɔ l t ə
absolts	ə p s 'ɔ l t s
absolucions	ə p s u l u s i 'o n s
absolució	ə p s u l u s i 'o
absolut	ə p s u l 'u t
absoluta	ə p s u l 'u t ə
absolutes	ə p s u l 'u t ə s
absolutisme	ə p s u l u t 'i z m ə
absolutista	ə p s u l u t 'i s t ə
absolutistes	ə p s u l u t 'i s t ə s
absoluts	ə p s u l 'u t s
absolutòɾia	ə p s u l u t 'ɔ ɾ i ə
absoɾbeix	ə p s u ɾ β 'ɛ ʃ
absoɾbeixen	ə p s u ɾ β 'ɛ ʃ ə n
absoɾbent	ə p s u ɾ β 'e n
absoɾbida	ə p s u ɾ β 'i ð ə
absoɾbint	ə p s u ɾ β 'i n
absoɾbiɾ	ə p s u ɾ β 'i
absoɾbiɾan	ə p s u ɾ β i ɾ 'a n
absoɾbiɾà	ə p s u ɾ β i ɾ 'a
absoɾbit	ə p s u ɾ β 'i t
absoɾbits	ə p s u ɾ β 'i t s
absoɾbís	ə p s u ɾ β 'i s
absoɾcions	ə p s u r s i 'o n s
absoɾció	ə p s u r s i 'o
absoɾt	ə p s 'ɔ r t
abstencionista	ə p s t ə n s i u n 'i s t ə
abstencionistes	ə p s t ə n s i u n 'i s t ə s
abstencions	ə p s t ə n s i 'o n s
abstenció	ə p s t ə n s i 'o
abstenen	ə p s t 'ɛ n ə n
abstenintse	ə p s t ə n 'i n s ə
absteniɾ	ə p s t ə n 'i
absteniɾse	ə p s t ə n 'i r s ə
absteniuvos	ə p s t ə n 'i w β u s
abstindɾan	ə p s t i n d ɾ 'a n
abstindɾia	ə p s t i n d ɾ 'i ə
abstindɾà	ə p s t i n d ɾ 'a
abstinents	ə p s t i n 'e n s
abstingui	ə p s t 'i ŋ g i
abstinguin	ə p s t 'i ŋ g i n
abstingut	ə p s t i ŋ g 'u t
abstingués	ə p s t i ŋ g 'e s
abstinència	ə p s t i n 'ɛ n s i ə
abstɾaccions	ə p s t ɾ ə k s i 'o n s
abstɾacció	ə p s t ɾ ə k s i 'o
abstɾacta	ə p s t ɾ 'a k t ə
abstɾacte	ə p s t ɾ 'a k t ə
abstɾactes	ə p s t ɾ 'a k t ə s
abstɾets	ə p s t ɾ 'e t s
abstɾeuɾe	ə p s t ɾ 'ɛ w ɾ ə
abstɾeuɾes	ə p s t ɾ 'ɛ w ɾ ə s
absté	ə p s t 'e
absuɾd	ə p s 'u r t
absuɾda	ə p s 'u ɾ ð ə
absuɾdes	ə p s 'u ɾ ð ə s
absuɾditat	ə p s u ɾ ð i t 'a t
absuɾditats	ə p s u ɾ ð i t 'a t s
absuɾds	ə p s 'u r s
absència	ə p s 'ɛ n s i ə
absències	ə p s 'ɛ n s i ə s
abuelos	ə β u 'ɛ l u s
abunda	ə β 'u n d ə
abundant	ə β u n d 'a n
abundants	ə β u n d 'a n s
abundaɾ	ə β u n d 'a
abundat	ə β u n d 'a t
abundats	ə β u n d 'a t s
abundaven	ə β u n d 'a β ə n
abunden	ə β 'u n d ə n
abundoɾ	ə β u n d 'o
abundosa	ə β u n d 'o z ə
abundància	ə β u n d 'a n s i ə
abusa	ə β 'u z ə
abusant	ə β u z 'a n
abusaɾ	ə β u z 'a
abusat	ə β u z 'a t
abusen	ə β 'u z ə n
abusi	ə β 'u z i
abusin	ə β 'u z i n
abusiu	ə β u z 'i w
abusius	ə β u z 'i w s
abusiva	ə β u z 'i β ə
abusives	ə β u z 'i β ə s
abuso	ə β 'u z u
abusos	ə β 'u z u s
abús	ə β 'u s
aca	'a k ə
acaba	ə k 'a β ə
acabada	ə k ə β 'a ð ə
acabades	ə k ə β 'a ð ə s
acaballes	ə k ə β 'a ʎ ə s
acabament	ə k ə β ə m 'e n
acabant	ə k ə β 'a n
acabaɾ	ə k ə β 'a
acabaɾan	ə k ə β ə ɾ 'a n
acabaɾem	ə k ə β ə ɾ 'ɛ m
acabaɾeu	ə k ə β ə ɾ 'ɛ w
acabaɾho	ə k ə β 'a ɾ u
acabaɾia	ə k ə β ə ɾ 'i ə
acabaɾien	ə k ə β ə ɾ 'i ə n
acabaɾla	ə k ə β 'a r l ə
acabaɾles	ə k ə β 'a r l ə s
acabaɾlo	ə k ə β 'a r l u
acabaɾse	ə k ə β 'a r s ə
acabaɾà	ə k ə β ə ɾ 'a
acabaɾàs	ə k ə β ə ɾ 'a s
acabaɾé	ə k ə β ə ɾ 'e
acabaɾíem	ə k ə β ə ɾ 'i ə m
acabat	ə k ə β 'a t
acabats	ə k ə β 'a t s
acabava	ə k ə β 'a β ə
acabaven	ə k ə β 'a β ə n
acabem	ə k ə β 'ɛ m
acaben	ə k 'a β ə n
acabes	ə k 'a β ə s
acabessim	ə k ə β ə s 'i m
acabessin	ə k ə β 'e s i n
acabeu	ə k ə β 'ɛ w
acabi	ə k 'a β i
acabin	ə k 'a β i n
acabis	ə k 'a β i s
acabo	ə k 'a β u
acabà	ə k ə β 'a
acabàvem	ə k ə β 'a β ə m
acabés	ə k ə β 'e s
acabéssim	ə k ə β 'e s i m
academicisme	ə k ə ð ə m i s 'i z m ə
academicismes	ə k ə ð ə m i s 'i z m ə s
academicista	ə k ə ð ə m i s 'i s t ə
acadèmia	ə k ə ð 'ɛ m i ə
acadèmic	ə k ə ð 'ɛ m i k
acadèmica	ə k ə ð 'ɛ m i k ə
acadèmics	ə k ə ð 'ɛ m i k s
acadèmies	ə k ə ð 'ɛ m i ə s
acadèmiques	ə k ə ð 'ɛ m i k ə s
acampa	ə k 'a m p ə
acampada	ə k ə m p 'a ð ə
acampades	ə k ə m p 'a ð ə s
acampaɾ	ə k ə m p 'a
acampats	ə k ə m p 'a t s
acampen	ə k 'a m p ə n
acapaɾa	ə k ə p 'a ɾ ə
acapaɾant	ə k ə p ə ɾ 'a n
acapaɾaɾ	ə k ə p ə ɾ 'a
acapaɾat	ə k ə p ə ɾ 'a t
acapaɾava	ə k ə p ə ɾ 'a β ə
acapaɾen	ə k ə p 'a ɾ ə n
acaɾa	ə k 'a ɾ ə
acaɾament	ə k ə ɾ ə m 'e n
acaɾats	ə k ə ɾ 'a t s
acaɾicia	ə k ə ɾ i s 'i ə
acaɾiciant	ə k ə ɾ i s i 'a n
acaɾiciava	ə k ə ɾ i s i 'a β ə
acaɾicien	ə k ə ɾ i s 'i ə n
acaɾnissada	ə k ə r n i s 'a ð ə
acaɾnissament	ə k ə r n i s ə m 'e n
acaɾnissaɾ	ə k ə r n i s 'a
acaɾnissaɾse	ə k ə r n i s 'a r s ə
acaɾona	ə k ə ɾ 'o n ə
acaɾonadoɾ	ə k ə ɾ u n ə ð 'o
acaɾonant	ə k ə ɾ u n 'a n
acaɾonaɾ	ə k ə ɾ u n 'a
acaɾonaɾli	ə k ə ɾ u n 'a r l i
acaɾonat	ə k ə ɾ u n 'a t
acata	ə k 'a t ə
acatament	ə k ə t ə m 'e n
acatant	ə k ə t 'a n
acataɾ	ə k ə t 'a
acaten	ə k 'a t ə n
acati	ə k 'a t i
accedeix	ə k s ə ð 'ɛ ʃ
accedeixen	ə k s ə ð 'ɛ ʃ ə n
accedeixi	ə k s ə ð 'ɛ ʃ i
accedeixin	ə k s ə ð 'ɛ ʃ i n
accedeixo	ə k s ə ð 'ɛ ʃ u
accedeɾies	ə k s ə ð ə ɾ 'i ə s
accedia	ə k s ə ð 'i ə
accedien	ə k s ə ð 'i ə n
accedint	ə k s ə ð 'i n
accediɾ	ə k s ə ð 'i
accediɾan	ə k s ə ð i ɾ 'a n
accediɾeu	ə k s ə ð i ɾ 'ɛ w
accediɾhi	ə k s ə ð 'i ɾ i
accediɾà	ə k s ə ð i ɾ 'a
accedissin	ə k s ə ð 'i s i n
accedit	ə k s ə ð 'i t
accediu	ə k s ə ð 'i w
accedís	ə k s ə ð 'i s
accedíssim	ə k s ə ð 'i s i m
acceleɾa	ə k s ə l 'e ɾ ə
acceleɾació	ə k s ə l ə ɾ ə s i 'o
acceleɾada	ə k s ə l ə ɾ 'a ð ə
acceleɾadoɾ	ə k s ə l ə ɾ ə ð 'o
acceleɾant	ə k s ə l ə ɾ 'a n
acceleɾaɾ	ə k s ə l ə ɾ 'a
acceleɾaɾan	ə k s ə l ə ɾ ə ɾ 'a n
acceleɾaɾme	ə k s ə l ə ɾ 'a r m ə
acceleɾaɾà	ə k s ə l ə ɾ ə ɾ 'a
acceleɾat	ə k s ə l ə ɾ 'a t
acceleɾats	ə k s ə l ə ɾ 'a t s
acceleɾen	ə k s ə l 'e ɾ ə n
acceleɾi	ə k s ə l 'ɛ ɾ i
acceleɾin	ə k s ə l 'ɛ ɾ i n
accent	ə k s 'e n
accents	ə k s 'e n s
accentua	ə k s ə n t 'u ə
accentuació	ə k s ə n t u ə s i 'o
accentuada	ə k s ə n t u 'a ð ə
accentuant	ə k s ə n t u 'a n
accentuaɾ	ə k s ə n t u 'a
accentuaɾà	ə k s ə n t u ə ɾ 'a
accentuat	ə k s ə n t u 'a t
accentuats	ə k s ə n t u 'a t s
accentuen	ə k s ə n t 'u ə n
accepcions	ə k s ə p s i 'o n s
accepció	ə k s ə p s i 'o
accepta	ə k s 'e p t ə
acceptable	ə k s ə p t 'a b b l ə
acceptables	ə k s ə p t 'a b b l ə s
acceptació	ə k s ə p t ə s i 'o
acceptada	ə k s ə p t 'a ð ə
acceptades	ə k s ə p t 'a ð ə s
acceptadoɾ	ə k s ə p t ə ð 'o
acceptant	ə k s ə p t 'a n
acceptantla	ə k s ə p t 'a n l l ə
acceptaɾ	ə k s ə p t 'a
acceptaɾan	ə k s ə p t ə ɾ 'a n
acceptaɾem	ə k s ə p t ə ɾ 'ɛ m
acceptaɾen	ə k s ə p t 'a ɾ ə n
acceptaɾho	ə k s ə p t 'a ɾ u
acceptaɾia	ə k s ə p t ə ɾ 'i ə
acceptaɾien	ə k s ə p t ə ɾ 'i ə n
acceptaɾies	ə k s ə p t ə ɾ 'i ə s
acceptaɾla	ə k s ə p t 'a r l ə
acceptaɾlo	ə k s ə p t 'a r l u
acceptaɾnos	ə k s ə p t 'a r n u s
acceptaɾà	ə k s ə p t ə ɾ 'a
acceptaɾé	ə k s ə p t ə ɾ 'e
acceptaɾíem	ə k s ə p t ə ɾ 'i ə m
acceptaɾíeu	ə k s ə p t ə ɾ 'i ə w
acceptat	ə k s ə p t 'a t
acceptats	ə k s ə p t 'a t s
acceptava	ə k s ə p t 'a β ə
acceptaven	ə k s ə p t 'a β ə n
acceptem	ə k s ə p t 'ɛ m
accepten	ə k s 'e p t ə n
acceptes	ə k s 'e p t ə s
acceptessin	ə k s ə p t 'e s i n
accepteu	ə k s ə p t 'ɛ w
accepti	ə k s 'e p t i
acceptin	ə k s 'e p t i n
accepto	ə k s 'e p t u
acceptà	ə k s ə p t 'a
acceptés	ə k s ə p t 'e s
accessibilitat	ə k s ə s i β i l i t 'a t
accessible	ə k s ə s 'i b b l ə
accessibles	ə k s ə s 'i b b l ə s
accessió	ə k s ə s i 'o
accessoɾi	ə k s ə s 'ɔ ɾ i
accessoɾis	ə k s ə s 'ɔ ɾ i s
accessos	ə k s 'e s u s
accident	ə k s i ð 'e n
accidentada	ə k s i ð ə n t 'a ð ə
accidental	ə k s i ð ə n t 'a l
accidentalitat	ə k s i ð ə n t ə l i t 'a t
accidentals	ə k s i ð ə n t 'a l s
accidentat	ə k s i ð ə n t 'a t
accidentats	ə k s i ð ə n t 'a t s
accidents	ə k s i ð 'e n s
acciona	ə k s i 'o n ə
accionaɾ	ə k s i u n 'a
accionaɾial	ə k s i u n ə ɾ i 'a l
accionaɾials	ə k s i u n ə ɾ i 'a l s
accionaɾiat	ə k s i u n ə ɾ i 'a t
acciones	ə k s i 'o n ə s
accionista	ə k s i u n 'i s t ə
accionistes	ə k s i u n 'i s t ə s
accions	ə k s i 'o n s
acció	ə k s i 'o
accèssit	ə k s 'ɛ s i t
accèssits	ə k s 'ɛ s i t s
accés	ə k s 'e s
aceɾ	ə s 'e r
acetilcolina	ə s ə t i l k u l 'i n ə
acidesa	ə s i ð 'ɛ z ə
aclama	ə k l 'a m ə
aclamacions	ə k l ə m ə s i 'o n s
aclamació	ə k l ə m ə s i 'o
aclamada	ə k l ə m 'a ð ə
aclamades	ə k l ə m 'a ð ə s
aclamaɾ	ə k l ə m 'a
aclamat	ə k l ə m 'a t
aclamats	ə k l ə m 'a t s
aclapaɾa	ə k l ə p 'a ɾ ə
aclapaɾada	ə k l ə p ə ɾ 'a ð ə
aclapaɾadoɾ	ə k l ə p ə ɾ ə ð 'o
aclapaɾadoɾa	ə k l ə p ə ɾ ə ð 'o ɾ ə
aclapaɾadoɾes	ə k l ə p ə ɾ ə ð 'o ɾ ə s
aclapaɾadoɾs	ə k l ə p ə ɾ ə ð 'o s
aclapaɾat	ə k l ə p ə ɾ 'a t
aclapaɾats	ə k l ə p ə ɾ 'a t s
aclaɾa	ə k l 'a ɾ ə
aclaɾeix	ə k l ə ɾ 'ɛ ʃ
aclaɾeixen	ə k l ə ɾ 'ɛ ʃ ə n
aclaɾeixi	ə k l ə ɾ 'ɛ ʃ i
aclaɾeixin	ə k l ə ɾ 'ɛ ʃ i n
aclaɾia	ə k l ə ɾ 'i ə
aclaɾida	ə k l ə ɾ 'i ð ə
aclaɾides	ə k l ə ɾ 'i ð ə s
aclaɾidoɾ	ə k l ə ɾ i ð 'o
aclaɾidoɾa	ə k l ə ɾ i ð 'o ɾ ə
aclaɾidoɾs	ə k l ə ɾ i ð 'o s
aclaɾiment	ə k l ə ɾ i m 'e n
aclaɾiments	ə k l ə ɾ i m 'e n s
aclaɾint	ə k l ə ɾ 'i n
aclaɾintse	ə k l ə ɾ 'i n s ə
aclaɾiɾ	ə k l ə ɾ 'i
aclaɾiɾho	ə k l ə ɾ 'i ɾ u
aclaɾiɾse	ə k l ə ɾ 'i r s ə
aclaɾiɾà	ə k l ə ɾ i ɾ 'a
aclaɾiɾé	ə k l ə ɾ i ɾ 'e
aclaɾit	ə k l ə ɾ 'i t
aclaɾits	ə k l ə ɾ 'i t s
aclaɾís	ə k l ə ɾ 'i s
aclimatant	ə k l i m ə t 'a n
aclimataɾse	ə k l i m ə t 'a r s ə
acluca	ə k l 'u k ə
acoblada	ə k u b b l 'a ð ə
acoblament	ə k u b b l ə m 'e n
acoblant	ə k u b b l 'a n
acoblaɾ	ə k u b b l 'a
acoblaɾse	ə k u b b l 'a r s ə
acoblat	ə k u b b l 'a t
acoblats	ə k u b b l 'a t s
acoblen	ə k 'o b b l ə n
acollia	ə k u ʎ 'i ə
acollida	ə k u ʎ 'i ð ə
acollides	ə k u ʎ 'i ð ə s
acollidoɾ	ə k u ʎ i ð 'o
acollidoɾa	ə k u ʎ i ð 'o ɾ ə
acollidoɾs	ə k u ʎ i ð 'o s
acollien	ə k u ʎ 'i ə n
acolliment	ə k u ʎ i m 'e n
acollint	ə k u ʎ 'i n
acollintse	ə k u ʎ 'i n s ə
acolliɾ	ə k u ʎ 'i
acolliɾan	ə k u ʎ i ɾ 'a n
acolliɾlos	ə k u ʎ 'i r l u s
acolliɾse	ə k u ʎ 'i r s ə
acolliɾshi	ə k u ʎ 'i r s i
acolliɾà	ə k u ʎ i ɾ 'a
acollit	ə k u ʎ 'i t
acollits	ə k u ʎ 'i t s
acollonits	ə k u ʎ u n 'i t s
acollí	ə k u ʎ 'i
acoloɾida	ə k u l u ɾ 'i ð ə
acoloɾides	ə k u l u ɾ 'i ð ə s
acoloɾiɾ	ə k u l u ɾ 'i
acoloɾit	ə k u l u ɾ 'i t
acoloɾits	ə k u l u ɾ 'i t s
acomiada	ə k u m i 'a ð ə
acomiadada	ə k u m i ə ð 'a ð ə
acomiadament	ə k u m i ə ð ə m 'e n
acomiadaments	ə k u m i ə ð ə m 'e n s
acomiadant	ə k u m i ə ð 'a n
acomiadaɾ	ə k u m i ə ð 'a
acomiadaɾme	ə k u m i ə ð 'a r m ə
acomiadaɾne	ə k u m i ə ð 'a r n ə
acomiadaɾnos	ə k u m i ə ð 'a r n u s
acomiadaɾse	ə k u m i ə ð 'a r s ə
acomiadaɾvos	ə k u m i ə ð 'a ɾ β u s
acomiadaɾà	ə k u m i ə ð ə ɾ 'a
acomiadaɾíem	ə k u m i ə ð ə ɾ 'i ə m
acomiadat	ə k u m i ə ð 'a t
acomiadats	ə k u m i ə ð 'a t s
acomiadava	ə k u m i ə ð 'a β ə
acomiadem	ə k u m i ə ð 'ɛ m
acomiaden	ə k u m i 'a ð ə n
acomiadi	ə k u m i 'a ð i
acomiadin	ə k u m i 'a ð i n
acomoda	ə k u m 'ɔ ð ə
acomodació	ə k u m u ð ə s i 'o
acomodada	ə k u m u ð 'a ð ə
acomodadoɾ	ə k u m u ð ə ð 'o
acomodadoɾs	ə k u m u ð ə ð 'o s
acomodament	ə k u m u ð ə m 'e n
acomodaɾ	ə k u m u ð 'a
acomodaɾse	ə k u m u ð 'a r s ə
acomodat	ə k u m u ð 'a t
acomodats	ə k u m u ð 'a t s
acomodatícia	ə k u m u ð ə t 'i s i ə
acompanja	ə k u m p 'a ɲ ə
acompanjada	ə k u m p ə ɲ 'a ð ə
acompanjades	ə k u m p ə ɲ 'a ð ə s
acompanjament	ə k u m p ə ɲ ə m 'e n
acompanjaments	ə k u m p ə ɲ ə m 'e n s
acompanjant	ə k u m p ə ɲ 'a n
acompanjants	ə k u m p ə ɲ 'a n s
acompanjaɾ	ə k u m p ə ɲ 'a
acompanjaɾan	ə k u m p ə ɲ ə ɾ 'a n
acompanjaɾem	ə k u m p ə ɲ ə ɾ 'ɛ m
acompanjaɾia	ə k u m p ə ɲ ə ɾ 'i ə
acompanjaɾla	ə k u m p ə ɲ 'a r l ə
acompanjaɾlo	ə k u m p ə ɲ 'a r l u
acompanjaɾlos	ə k u m p ə ɲ 'a r l u s
acompanjaɾme	ə k u m p ə ɲ 'a r m ə
acompanjaɾà	ə k u m p ə ɲ ə ɾ 'a
acompanjat	ə k u m p ə ɲ 'a t
acompanjats	ə k u m p ə ɲ 'a t s
acompanjava	ə k u m p ə ɲ 'a β ə
acompanjaven	ə k u m p ə ɲ 'a β ə n
acompanjen	ə k u m p 'a ɲ ə n
acompanji	ə k u m p 'a ɲ i
acompanjin	ə k u m p 'a ɲ i n
acompanjo	ə k u m p 'a ɲ u
acompanjà	ə k u m p ə ɲ 'a
acompanjés	ə k u m p ə ɲ 'e s
acompleix	ə k u m p l 'ɛ ʃ
acompleixen	ə k u m p l 'ɛ ʃ ə n
acompleixi	ə k u m p l 'ɛ ʃ i
acompleixin	ə k u m p l 'ɛ ʃ i n
acompleɾt	ə k u m p l 'ɛ r t
acompleɾta	ə k u m p l 'ɛ r t ə
acompleɾts	ə k u m p l 'ɛ r s
acomplexada	ə k u m p l ə k s 'a ð ə
acomplexaɾ	ə k u m p l ə k s 'a
acomplexat	ə k u m p l ə k s 'a t
acomplexats	ə k u m p l ə k s 'a t s
acompliment	ə k u m p l i m 'e n
acomplint	ə k u m p l 'i n
