A	'ə
abaltit	ə β ə l t 'i t
abaltits	ə β ə l t 'i t s
abanderada	ə β ə n d ə ɾ 'a ð ə
abanderades	ə β ə n d ə ɾ 'a ð ə s
abanderar	ə β ə n d ə ɾ 'a
abanderares	ə β ə n d ə ɾ 'a ɾ ə s
abanderat	ə β ə n d ə ɾ 'a t
abanderats	ə β ə n d ə ɾ 'a t s
abanderés	ə β ə n d ə ɾ 'e s
abandó	ə β ə n d 'o
abandona	ə β ə n d 'o n ə
abandonada	ə β ə n d u n 'a ð ə
abandonades	ə β ə n d u n 'a ð ə s
abandonament	ə β ə n d u n ə m 'e n
abandonar	ə β ə n d u n 'a
abandonarem	ə β ə n d u n ə ɾ 'ɛ m
abandonàrem	ə β ə n d u n 'a ɾ ə m
abandonares	ə β ə n d u n 'a ɾ ə s
abandonaria	ə β ə n d u n ə ɾ 'i ə
abandonat	ə β ə n d u n 'a t
abandonats	ə β ə n d u n 'a t s
abandonava	ə β ə n d u n 'a β ə
abandonem	ə β ə n d u n 'ɛ m
abandoni	ə β ə n d 'o n i
abandonis	ə β ə n d 'ɔ n i s
abandono	ə β ə n d 'o n u
abans	ə β 'a n s
abaratir	ə β ə ɾ ə t 'i
abarrotar	ə β ə r u t 'a
abassegar	ə β ə s ə ɣ 'a
abast	ə β 'a s t
abasta	ə β 'a s t ə
abastable	ə β ə s t 'a b b l ə
abastables	ə β ə s t 'a b b l ə s
abastada	ə β ə s t 'a ð ə
abastades	ə β ə s t 'a ð ə s
abastament	ə β ə s t ə m 'e n
abastar	ə β ə s t 'a
abastàrem	ə β ə s t 'a ɾ ə m
abastares	ə β ə s t 'a ɾ ə s
abastàreu	ə β ə s t 'a ɾ ə w
abastaria	ə β ə s t ə ɾ 'i ə
abastat	ə β ə s t 'a t
abastats	ə β ə s t 'a t s
abastava	ə β ə s t 'a β ə
abastàvem	ə β ə s t 'a β ə m
abastàveu	ə β ə s t 'a β ə w
abastes	ə β 'a s t ə s
abastés	ə β ə s t 'e s
abastéssim	ə β ə s t 'e s i m
abastéssiu	ə β ə s t 'e s i w
abastí	ə β ə s t 'i
abasto	ə β 'a s t u
abastos	ə β 'a s t u s
abat	ə β 'a t
abatem	ə β ə t 'ɛ m
abateu	ə β ə t 'ɛ w
abati	ə β 'a t i
abatia	ə β ə t 'i ə
abatis	ə β 'a t i s
abato	ə β 'a t u
abatre	ə β 'a t ɾ ə
abats	ə β 'a t s
abatuda	ə β ə t 'u ð ə
abatudes	ə β ə t 'u ð ə s
abatut	ə β ə t 'u t
abatuts	ə β ə t 'u t s
abaxial	ə β ə k s i 'a l
abaxials	ə β ə k s i 'a l s
abdica	ə b d 'i k ə
abdicació	ə b d i k ə s i 'o
abdicacions	ə b d i k ə s i 'o n s
abdicada	ə b d i k 'a ð ə
abdicades	ə b d i k 'a ð ə s
abdicant	ə b d i k 'a n
abdicar	ə b d i k 'a
abdicarà	ə b d i k ə ɾ 'a
abdicaràs	ə b d i k ə ɾ 'a s
abdicaré	ə b d i k ə ɾ 'e
abdicarem	ə b d i k ə ɾ 'ɛ m
abdicàrem	ə b d i k 'a ɾ ə m
abdicares	ə b d i k 'a ɾ ə s
abdicareu	ə b d i k ə ɾ 'ɛ w
abdicàreu	ə b d i k 'a ɾ ə w
abdicaria	ə b d i k ə ɾ 'i ə
abdicat	ə b d i k 'a t
abdicatiu	ə b d i k ə t 'i w
abdicativa	ə b d i k ə t 'i β ə
abdicatives	ə b d i k ə t 'i β ə s
abdicats	ə b d i k 'a t s
abdicava	ə b d i k 'a β ə
abdicàvem	ə b d i k 'a β ə m
abdicaves	ə b d i k 'a β ə s
abdico	ə b d 'i k u
abdiquem	ə b d i k 'ɛ m
abdiques	ə b d 'i k ə s
abdomen	ə b d 'o m ə n
abdominal	ə b d u m i n 'a l
abdominals	ə b d u m i n 'a l s
abducció	ə b d u k s i 'o
abduïda	ə b d u 'i ð ə
abduïdes	ə b d u 'i ð ə s
abduir	ə b d u 'i
abduït	ə b d u 'i t
abduïts	ə b d u 'i t s
abecé	ə β ə s 'e
abecedari	ə β ə s ə ð 'a ɾ i
abecedaris	ə β ə s ə ð 'a ɾ i s
abecés	ə β ə s 'e s
Abelard	ə β ə l 'a r
abelià	ə β ə l i 'a
abeliana	ə β ə l i 'a n ə
abelianes	ə β ə l i 'a n ə s
abell	ə β 'ɛ ʎ
abella	ə β 'ɛ ʎ ə
Abella	ə β 'ɛ ʎ ə
abellaire	ə β ə ʎ 'a j ɾ ə
abellar	ə β ə ʎ 'a
abelles	ə β 'ɛ ʎ ə s
abellir	ə β ə ʎ 'i
Abello	ə β 'ɛ ʎ u
aberració	ə β ə r ə s i 'o
aberracions	ə β ə r ə s i 'o n s
aberrant	ə β ə r 'a n
aberrants	ə β ə r 'a n s
aberrar	ə β ə r 'a
abeurada	ə β ə w ɾ 'a ð ə
abeurades	ə β ə w ɾ 'a ð ə s
abeurador	ə β ə w ɾ ə ð 'o
abeurar	ə β ə w ɾ 'a
abeurat	ə β ə w ɾ 'a t
abeurats	ə β ə w ɾ 'a t s
abiològic	ə β i u l 'ɔ ʒ i k
abiològica	ə β i u l 'ɔ ʒ i k ə
abiològics	ə β i u l 'ɔ ʒ i k s
abiològiques	ə β i u l 'ɔ ʒ i k ə s
abiòtic	ə β i 'ɔ t i k
abís	ə β 'i s
abismals	ə β i z m 'a l s
abismar	ə β i z m 'a
abisme	ə β 'i z m ə
abissal	ə β i s 'a l
abissals	ə β i s 'a l s
ablació	ə β l ə s i 'o
ablució	ə β l u s i 'o
abnegació	ə b n ə ɣ ə s i 'o
abocada	ə β u k 'a ð ə
abocades	ə β u k 'a ð ə s
abocar	ə β u k 'a
abocat	ə β u k 'a t
abocats	ə β u k 'a t s
abolició	ə β u l i s i 'o
abolicionista	ə β u l i s i u n 'i s t ə
abolicionistes	ə β u l i s i u n 'i s t ə s
abolicions	ə β u l i s i 'o n s
abolida	ə β u l 'i ð ə
abolides	ə β u l 'i ð ə s
abolir	ə β u l 'i
abolit	ə β u l 'i t
abolits	ə β u l 'i t s
abominable	ə β u m i n 'a b b l ə
abominables	ə β u m i n 'a b b l ə s
abominada	ə β u m i n 'a ð ə
abominades	ə β u m i n 'a ð ə s
abominar	ə β u m i n 'a
abominat	ə β u m i n 'a t
abominats	ə β u m i n 'a t s
abonada	ə β u n 'a ð ə
abonades	ə β u n 'a ð ə s
abonament	ə β u n ə m 'e n
abonar	ə β u n 'a
abonat	ə β u n 'a t
abonats	ə β u n 'a t s
aboni	ə β 'o n i
abonir	ə β u n 'i
abonyegar	ə β u ɲ ə ɣ 'a
aborígens	ə β u ɾ 'i ʒ ə n s
abortiu	ə β u r t 'i w
abortius	ə β u r t 'i w s
abraça	ə β ɾ 'a s ə
abraçada	ə β ɾ ə s 'a ð ə
abraçades	ə β ɾ ə s 'a ð ə s
abraçant	ə β ɾ ə s 'a n
abraçar	ə β ɾ ə s 'a
abraçaràs	ə β ɾ ə s ə ɾ 'a s
abraçarem	ə β ɾ ə s ə ɾ 'ɛ m
abraçàrem	ə β ɾ ə s 'a ɾ ə m
abraçares	ə β ɾ ə s 'a ɾ ə s
abraçaria	ə β ɾ ə s ə ɾ 'i ə
abraçat	ə β ɾ ə s 'a t
abraçats	ə β ɾ ə s 'a t s
abraçava	ə β ɾ ə s 'a β ə
abracem	ə β ɾ ə s 'ɛ m
abraces	ə β ɾ 'a s ə s
abraços	ə β ɾ 'a s u s
Abraham	ə β ɾ ə 'a m
abranda	ə β ɾ 'a n d ə
abrandada	ə β ɾ ə n d 'a ð ə
abrandades	ə β ɾ ə n d 'a ð ə s
abrandar	ə β ɾ ə n d 'a
abrandares	ə β ɾ ə n d 'a ɾ ə s
abrandaria	ə β ɾ ə n d ə ɾ 'i ə
abrandat	ə β ɾ ə n d 'a t
abrandats	ə β ɾ ə n d 'a t s
abrandava	ə β ɾ ə n d 'a β ə
abrandes	ə β ɾ 'a n d ə s
abrandés	ə β ɾ ə n d 'e s
abrando	ə β ɾ 'a n d u
abraonada	ə β ɾ ə u n 'a ð ə
abraonades	ə β ɾ ə u n 'a ð ə s
abraonar	ə β ɾ ə u n 'a
abraonat	ə β ɾ ə u n 'a t
abraonats	ə β ɾ ə u n 'a t s
abrasant	ə β ɾ ə z 'a n
abrasar	ə β ɾ ə z 'a
abrasió	ə β ɾ ə z i 'o
abrasiu	ə β ɾ ə z 'i w
abrasiva	ə β ɾ ə z 'i β ə
abrasives	ə β ɾ ə z 'i β ə s
abreujada	ə β ɾ ə w ʒ 'a ð ə
abreujades	ə β ɾ ə w ʒ 'a ð ə s
abreujar	ə β ɾ ə w ʒ 'a
abreujat	ə β ɾ ə w ʒ 'a t
abreujats	ə β ɾ ə w ʒ 'a t s
abrevia	ə β ɾ ə β 'i ə
abreviada	ə β ɾ ə β i 'a ð ə
abreviades	ə β ɾ ə β i 'a ð ə s
abreviarem	ə β ɾ ə β i ə ɾ 'ɛ m
abreviares	ə β ɾ ə β i 'a ɾ ə s
abreviaria	ə β ɾ ə β i ə ɾ 'i ə
abreviat	ə β ɾ ə β i 'a t
abreviats	ə β ɾ ə β i 'a t s
abreviatura	ə β ɾ ə β i ə t 'u ɾ ə
abreviava	ə β ɾ ə β i 'a β ə
abreviem	ə β ɾ ə β i 'ɛ m
abrevies	ə β ɾ ə β 'i ə s
abrevio	ə β ɾ ə β 'i u
abric	ə β ɾ 'i k
abrigada	ə β ɾ i ɣ 'a ð ə
abrigades	ə β ɾ i ɣ 'a ð ə s
abrigall	ə β ɾ i ɣ 'a ʎ
abrigar	ə β ɾ i ɣ 'a
abrigat	ə β ɾ i ɣ 'a t
abrigats	ə β ɾ i ɣ 'a t s
abril	ə β ɾ 'i l
abrilenc	ə β ɾ i l 'ɛ ŋ
abrilenca	ə β ɾ i l 'ɛ ŋ k ə
abró	ə β ɾ 'o
abrogar	ə β ɾ u ɣ 'a
abròtan	ə β ɾ 'ɔ t ə n
abrucès	ə β ɾ u s 'ɛ s
Abruços	ə β ɾ 'u s u s
abrupta	ə β ɾ 'u p t ə
abrupte	ə β ɾ 'u p t ə
Absaló	ə p s ə l 'o
abscés	ə p s 'e s
abscessos	ə p s 'ɛ s u s
absència	ə p s 'ɛ n s i ə
absent	ə p s 'e n
absenta	ə p s 'e n t ə
absents	ə p s 'e n s
absis	'a p s i s
absoldre	ə p s 'ɔ l d ɾ ə
absolt	ə p s 'ɔ l t
absolta	ə p s 'ɔ l t ə
absoltes	ə p s 'ɔ l t ə s
absolució	ə p s u l u s i 'o
absolucions	ə p s u l u s i 'o n s
absolut	ə p s u l 'u t
absolutòria	ə p s u l u t 'ɔ ɾ i ə
absolutòries	ə p s u l u t 'ɔ ɾ i ə s
absolutoris	ə p s u l u t 'ɔ ɾ i s
absorció	ə p s u r s i 'o
absorcions	ə p s u r s i 'o n s
abstemis	ə p s t 'ɛ m i s
abstenció	ə p s t ə n s i 'o
abstencions	ə p s t ə n s i 'o n s
abstindre	ə p s t 'i n d ɾ ə
abstinència	ə p s t i n 'ɛ n s i ə
abstracció	ə p s t ɾ ə k s i 'o
abstraccions	ə p s t ɾ ə k s i 'o n s
abstracta	ə p s t ɾ 'a k t ə
abstracte	ə p s t ɾ 'a k t ə
abstractes	ə p s t ɾ 'a k t ə s
absurd	ə p s 'u r t
abuixar	ə β u ʃ 'a
abunda	ə β 'u n d ə
abundada	ə β u n d 'a ð ə
abundades	ə β u n d 'a ð ə s
abundància	ə β u n d 'a n s i ə
abundant	ə β u n d 'a n
abundantment	ə β u n d ə m m 'e n
abundants	ə β u n d 'a n s
abundar	ə β u n d 'a
abundares	ə β u n d 'a ɾ ə s
abundaria	ə β u n d ə ɾ 'i ə
abundat	ə β u n d 'a t
abundats	ə β u n d 'a t s
abundava	ə β u n d 'a β ə
abundes	ə β 'u n d ə s
abundis	ə β 'u n d i s
abundo	ə β 'u n d u
abundós	ə β u n d 'o s
abundosa	ə β u n d 'o z ə
abús	ə β 'u s
abusada	ə β u z 'a ð ə
abusades	ə β u z 'a ð ə s
abusar	ə β u z 'a
abusat	ə β u z 'a t
abusats	ə β u z 'a t s
abuses	ə β 'u z ə s
abusiu	ə β u z 'i w
abusius	ə β u z 'i w s
abusiva	ə β u z 'i β ə
abusives	ə β u z 'i β ə s
abuso	ə β 'u z u
acaba	ə k 'a β ə
acabà	ə k ə β 'a
acabada	ə k ə β 'a ð ə
acabades	ə k ə β 'a ð ə s
acabament	ə k ə β ə m 'e n
acabar	ə k ə β 'a
acabarà	ə k ə β ə ɾ 'a
acabaràs	ə k ə β ə ɾ 'a s
acabaré	ə k ə β ə ɾ 'e
acabarem	ə k ə β ə ɾ 'ɛ m
acabàrem	ə k ə β 'a ɾ ə m
acabares	ə k ə β 'a ɾ ə s
acabàreu	ə k ə β 'a ɾ ə w
acabaria	ə k ə β ə ɾ 'i ə
acabaríem	ə k ə β ə ɾ 'i ə m
acabat	ə k ə β 'a t
acabats	ə k ə β 'a t s
acabava	ə k ə β 'a β ə
acabàvem	ə k ə β 'a β ə m
acabàveu	ə k ə β 'a β ə w
acabem	ə k ə β 'ɛ m
acabes	ə k 'a β ə s
acabés	ə k ə β 'e s
acabéssim	ə k ə β 'e s i m
acabéssiu	ə k ə β 'e s i w
acabí	ə k ə β 'i
acabo	ə k 'a β u
acàcia	ə k 'a s i ə
acadèmia	ə k ə ð 'ɛ m i ə
acadèmic	ə k ə ð 'ɛ m i k
acadèmica	ə k ə ð 'ɛ m i k ə
acadèmics	ə k ə ð 'ɛ m i k s
acadèmiques	ə k ə ð 'ɛ m i k ə s
Acaia	ə k 'a j ə
acampada	ə k ə m p 'a ð ə
acampades	ə k ə m p 'a ð ə s
acampar	ə k ə m p 'a
acampat	ə k ə m p 'a t
acampats	ə k ə m p 'a t s
acanissar	ə k ə n i s 'a
acaparada	ə k ə p ə ɾ 'a ð ə
acaparades	ə k ə p ə ɾ 'a ð ə s
acaparar	ə k ə p ə ɾ 'a
acaparat	ə k ə p ə ɾ 'a t
acaparats	ə k ə p ə ɾ 'a t s
àcar	'a k ə
acaricia	ə k ə ɾ i s 'i ə
acaricià	ə k ə ɾ i s i 'a
acariciada	ə k ə ɾ i s i 'a ð ə
acariciades	ə k ə ɾ i s i 'a ð ə s
acariciant	ə k ə ɾ i s i 'a n
acariciar	ə k ə ɾ i s i 'a
acariciarem	ə k ə ɾ i s i ə ɾ 'ɛ m
acariciares	ə k ə ɾ i s i 'a ɾ ə s
acariciaria	ə k ə ɾ i s i ə ɾ 'i ə
acariciat	ə k ə ɾ i s i 'a t
acariciats	ə k ə ɾ i s i 'a t s
acariciava	ə k ə ɾ i s i 'a β ə
acariciem	ə k ə ɾ i s i 'ɛ m
acaricies	ə k ə ɾ i s 'i ə s
acariciés	ə k ə ɾ i s i 'e s
acaricio	ə k ə ɾ i s 'i u
acarnissada	ə k ə r n i s 'a ð ə
acarnissades	ə k ə r n i s 'a ð ə s
acarnissar	ə k ə r n i s 'a
acarnissat	ə k ə r n i s 'a t
acarnissats	ə k ə r n i s 'a t s
acaronada	ə k ə ɾ u n 'a ð ə
acaronades	ə k ə ɾ u n 'a ð ə s
acaronar	ə k ə ɾ u n 'a
acaronat	ə k ə ɾ u n 'a t
acaronats	ə k ə ɾ u n 'a t s
acaserat	ə k ə z ə ɾ 'a t
acastellanar	ə k ə s t ə ʎ ə n 'a
accadi	ə k k 'a ð i
accedida	ə k s ə ð 'i ð ə
accedides	ə k s ə ð 'i ð ə s
accedir	ə k s ə ð 'i
accedit	ə k s ə ð 'i t
accedits	ə k s ə ð 'i t s
acceleració	ə k s ə l ə ɾ ə s i 'o
acceleracions	ə k s ə l ə ɾ ə s i 'o n s
accelerada	ə k s ə l ə ɾ 'a ð ə
accelerades	ə k s ə l ə ɾ 'a ð ə s
accelerar	ə k s ə l ə ɾ 'a
accelerat	ə k s ə l ə ɾ 'a t
accelerats	ə k s ə l ə ɾ 'a t s
accent	ə k s 'e n
accentuar	ə k s ə n t u 'a
accepció	ə k s ə p s i 'o
accepcions	ə k s ə p s i 'o n s
acceptabilitat	ə k s ə p t ə β i l i t 'a t
acceptable	ə k s ə p t 'a b b l ə
acceptables	ə k s ə p t 'a b b l ə s
acceptació	ə k s ə p t ə s i 'o
acceptacions	ə k s ə p t ə s i 'o n s
acceptada	ə k s ə p t 'a ð ə
acceptades	ə k s ə p t 'a ð ə s
acceptant	ə k s ə p t 'a n
acceptar	ə k s ə p t 'a
acceptat	ə k s ə p t 'a t
acceptats	ə k s ə p t 'a t s
accés	ə k s 'e s
accessibilitat	ə k s ə s i β i l i t 'a t
accessible	ə k s ə s 'i b b l ə
accessibles	ə k s ə s 'i b b l ə s
accessori	ə k s ə s 'ɔ ɾ i
accident	ə k s i ð 'e n
accidentada	ə k s i ð ə n t 'a ð ə
accidentades	ə k s i ð ə n t 'a ð ə s
accidentals	ə k s i ð ə n t 'a l s
accidentar	ə k s i ð ə n t 'a
accidentat	ə k s i ð ə n t 'a t
accidentats	ə k s i ð ə n t 'a t s
accídia	ə k s 'i ð i ə
acció	ə k s i 'o
accionar	ə k s i u n 'a
accionari	ə k s i u n 'a ɾ i
accionarials	ə k s i u n ə ɾ i 'a l s
accionista	ə k s i u n 'i s t ə
accions	ə k s i 'o n s
acenaftè	ə s ə n ə f t 'ɛ
acer	ə s 'e r
acerar	ə s ə ɾ 'a
acerat	ə s ə ɾ 'a t
aceró	ə s ə ɾ 'o
acèrrim	ə s 'ɛ r i m
acetàbul	ə s ə t 'a β u l
acetat	ə s ə t 'a t
acetats	ə s ə t 'a t s
acètic	ə s 'ɛ t i k
acètica	ə s 'ɛ t i k ə
acètics	ə s 'ɛ t i k s
acetilè	ə s ə t i l 'ɛ
acetímetre	ə s ə t 'i m ə t ɾ ə
acètiques	ə s 'ɛ t i k ə s
ací	ə s 'i
àcid	'a s i t
acidifica	ə s i ð i f 'i k ə
acidificació	ə s i ð i f i k ə s i 'o
acidificacions	ə s i ð i f i k ə s i 'o n s
acidificada	ə s i ð i f i k 'a ð ə
acidificades	ə s i ð i f i k 'a ð ə s
acidificar	ə s i ð i f i k 'a
acidificares	ə s i ð i f i k 'a ɾ ə s
acidificaria	ə s i ð i f i k ə ɾ 'i ə
acidificat	ə s i ð i f i k 'a t
acidificats	ə s i ð i f i k 'a t s
acidificava	ə s i ð i f i k 'a β ə
acidifico	ə s i ð i f 'i k u
acidifiques	ə s i ð i f 'i k ə s
acidosi	ə s i ð 'ɔ z i
àcids	'a s i t s
acídul	ə s 'i ð u l
acidular	ə s i ð u l 'a
aclama	ə k l 'a m ə
aclamada	ə k l ə m 'a ð ə
aclamades	ə k l ə m 'a ð ə s
aclamar	ə k l ə m 'a
aclamares	ə k l ə m 'a ɾ ə s
aclamaria	ə k l ə m ə ɾ 'i ə
aclamat	ə k l ə m 'a t
aclamats	ə k l ə m 'a t s
aclamava	ə k l ə m 'a β ə
aclames	ə k l 'a m ə s
aclamo	ə k l 'a m u
aclaparada	ə k l ə p ə ɾ 'a ð ə
aclaparades	ə k l ə p ə ɾ 'a ð ə s
aclaparador	ə k l ə p ə ɾ ə ð 'o
aclaparadora	ə k l ə p ə ɾ ə ð 'o ɾ ə
aclaparadores	ə k l ə p ə ɾ ə ð 'o ɾ ə s
aclaparadors	ə k l ə p ə ɾ ə ð 'o s
aclaparat	ə k l ə p ə ɾ 'a t
aclaparats	ə k l ə p ə ɾ 'a t s
aclarida	ə k l ə ɾ 'i ð ə
aclarides	ə k l ə ɾ 'i ð ə s
aclariment	ə k l ə ɾ i m 'e n
aclarir	ə k l ə ɾ 'i
aclarit	ə k l ə ɾ 'i t
aclarits	ə k l ə ɾ 'i t s
aclucada	ə k l u k 'a ð ə
aclucades	ə k l u k 'a ð ə s
aclucar	ə k l u k 'a
aclucat	ə k l u k 'a t
aclucats	ə k l u k 'a t s
açò	ə s 'ɔ
acoblada	ə k u b b l 'a ð ə
acoblades	ə k u b b l 'a ð ə s
acoblar	ə k u b b l 'a
acoblat	ə k u b b l 'a t
acoblats	ə k u b b l 'a t s
acòlit	ə k 'ɔ l i t
acòlita	ə k 'ɔ l i t ə
acòlites	ə k 'ɔ l i t ə s
acòlits	ə k 'ɔ l i t s
acollar	ə k u ʎ 'a
acollida	ə k u ʎ 'i ð ə
acollides	ə k u ʎ 'i ð ə s
acolliment	ə k u ʎ i m 'e n
acollir	ə k u ʎ 'i
acollit	ə k u ʎ 'i t
acollits	ə k u ʎ 'i t s
acoltellar	ə k u l t ə ʎ 'a
acomiada	ə k u m i 'a ð ə
acomiadada	ə k u m i ə ð 'a ð ə
acomiadades	ə k u m i ə ð 'a ð ə s
acomiadament	ə k u m i ə ð ə m 'e n
acomiadar	ə k u m i ə ð 'a
acomiadat	ə k u m i ə ð 'a t
acomiadats	ə k u m i ə ð 'a t s
acomodada	ə k u m u ð 'a ð ə
acomodades	ə k u m u ð 'a ð ə s
acomodar	ə k u m u ð 'a
acomodat	ə k u m u ð 'a t
acomodats	ə k u m u ð 'a t s
acompanyada	ə k u m p ə ɲ 'a ð ə
acompanyades	ə k u m p ə ɲ 'a ð ə s
acompanyament	ə k u m p ə ɲ ə m 'e n
acompanyar	ə k u m p ə ɲ 'a
acompanyat	ə k u m p ə ɲ 'a t
acompanyats	ə k u m p ə ɲ 'a t s
aconseguida	ə k u n s ə ɣ 'i ð ə
aconseguides	ə k u n s ə ɣ 'i ð ə s
aconseguir	ə k u n s ə ɣ 'i
aconseguit	ə k u n s ə ɣ 'i t
aconseguits	ə k u n s ə ɣ 'i t s
aconsellable	ə k u n s ə ʎ 'a b b l ə
aconsellables	ə k u n s ə ʎ 'a b b l ə s
aconsellada	ə k u n s ə ʎ 'a ð ə
aconsellades	ə k u n s ə ʎ 'a ð ə s
aconsellat	ə k u n s ə ʎ 'a t
aconsellats	ə k u n s ə ʎ 'a t s
acorada	ə k u ɾ 'a ð ə
acorar	ə k u ɾ 'a
acorat	ə k u ɾ 'a t
acord	ə k 'ɔ r t
Açores	ə s 'ɔ ɾ ə s
açorès	ə s u ɾ 'ɛ s
acorralada	ə k u r ə l 'a ð ə
acorralades	ə k u r ə l 'a ð ə s
acorralar	ə k u r ə l 'a
acorralat	ə k u r ə l 'a t
acorralats	ə k u r ə l 'a t s
acorreguda	ə k u r ə ɣ 'u ð ə
acorregudes	ə k u r ə ɣ 'u ð ə s
acorregut	ə k u r ə ɣ 'u t
acorreguts	ə k u r ə ɣ 'u t s
acórrer	ə k 'o r ə
acosta	ə k 'ɔ s t ə
Acosta	ə k 'ɔ s t ə
acostada	ə k u s t 'a ð ə
acostades	ə k u s t 'a ð ə s
acostament	ə k u s t ə m 'e n
acostar	ə k u s t 'a
acostarem	ə k u s t ə ɾ 'ɛ m
acostares	ə k u s t 'a ɾ ə s
acostaria	ə k u s t ə ɾ 'i ə
acostat	ə k u s t 'a t
acostats	ə k u s t 'a t s
acostava	ə k u s t 'a β ə
acostem	ə k u s t 'ɛ m
acostes	ə k 'ɔ s t ə s
acosto	ə k 'ɔ s t u
acostuma	ə k u s t 'u m ə
acostumada	ə k u s t u m 'a ð ə
acostumades	ə k u s t u m 'a ð ə s
acostumar	ə k u s t u m 'a
acostumarem	ə k u s t u m ə ɾ 'ɛ m
acostumares	ə k u s t u m 'a ɾ ə s
acostumaria	ə k u s t u m ə ɾ 'i ə
acostumat	ə k u s t u m 'a t
acostumats	ə k u s t u m 'a t s
acostumava	ə k u s t u m 'a β ə
acostumem	ə k u s t u m 'ɛ m
acostumes	ə k u s t 'u m ə s
acostumo	ə k u s t 'u m u
acotada	ə k u t 'a ð ə
acotades	ə k u t 'a ð ə s
acotar	ə k u t 'a
acotat	ə k u t 'a t
acotats	ə k u t 'a t s
acotxador	ə k u t ʃ ə ð 'o
acotxaneta	ə k u t ʃ ə n 'ɛ t ə
acotxar	ə k u t ʃ 'a
acreció	ə k ɾ ə s i 'o
acredita	ə k ɾ ə ð 'i t ə
acredità	ə k ɾ ə ð i t 'a
acreditació	ə k ɾ ə ð i t ə s i 'o
acreditada	ə k ɾ ə ð i t 'a ð ə
acreditades	ə k ɾ ə ð i t 'a ð ə s
acreditar	ə k ɾ ə ð i t 'a
acreditarem	ə k ɾ ə ð i t ə ɾ 'ɛ m
acreditares	ə k ɾ ə ð i t 'a ɾ ə s
acreditaria	ə k ɾ ə ð i t ə ɾ 'i ə
acreditat	ə k ɾ ə ð i t 'a t
acreditats	ə k ɾ ə ð i t 'a t s
acreditava	ə k ɾ ə ð i t 'a β ə
acreditem	ə k ɾ ə ð i t 'ɛ m
acredites	ə k ɾ ə ð 'i t ə s
acredito	ə k ɾ ə ð 'i t u
acrobàcia	ə k ɾ u β 'a s i ə
acròbata	ə k ɾ 'ɔ β ə t ə
acròbates	ə k ɾ 'ɔ β ə t ə s
acrobàtic	ə k ɾ u β 'a t i k
acrobàtica	ə k ɾ u β 'a t i k ə
acrobàtics	ə k ɾ u β 'a t i k s
acrobàtiques	ə k ɾ u β 'a t i k ə s
acrofòbia	ə k ɾ u f 'ɔ β i ə
acrònim	ə k ɾ 'ɔ n i m
acrònims	ə k ɾ 'ɔ n i m s
acta	'a k t ə
acte	'a k t ə
actes	'a k t ə s
actini	ə k t 'i n i
